"","ZEB2","miR34a","TWIST2","NP63","miR205","CDH1","ZEB1","GSC","miR200c","FOXC2","TWIST1","TCF3","miR200a","TGFbeta","GRHL2","miR141","CLDN7","miR200b","SNAI1","OVOL2","miR101","KLF8","SNAI2"
"TWIST2",-0.160184138173934,-0.0766151365763302,-0.00154826008971352,-0.0636745626724357,-0.0636317713060218,-0.186037761166583,-0.0549265162554166,0.00775551203162655,0.104621568719238,0.0483894681090497,-0.002819400827098,-0.00294051277728537,-0.104621568719238,-0.00774104905820294,0.0513276218081086,0.0548928318364513,0.0548928318364513,-0.0252783720715246,0.118610228079909,0.072029961506799,-0.0764643730084722,-0.0764765391986297,-0.00494466310817103
"TWIST1",-0.134953346144507,-0.0194142063200854,0.146631591475655,-0.0286326440219244,-0.0284126738750158,-0.145278335681159,-0.00415000232635322,-0.00133302916092271,0.0570071285859323,0.0330554175326447,-0.0167628671458636,0.0833474206644741,-0.0570071285859323,0.00140729379998717,0.00208861215147729,0.00407657880343089,0.00407657880343089,0.00071084872858368,0.0654585745680571,0.0450009750122086,-0.123954565119494,-0.123953569252342,-0.136574029167186
"GSC",-0.0908685209068312,-0.0515642740882467,0.0335953082230245,-0.0659817291893235,-0.0658016491111611,-0.0267982646238787,-0.0593082183043355,0.00368333389544328,0.0724247807014059,0.186373290213353,-0.117672474730825,-0.117576640332665,-0.0724247807014059,-0.00362649175157765,0.053481103509271,0.0592618834627066,0.0592618834627066,-0.0141393770869768,0.0516349001286608,0.0744508813065344,-0.0672519618446268,-0.0672198081303856,4.66971774087438e-05
"ZEB2",-0.0830553931159394,-0.0617841393237602,-0.0529077103227231,-0.0488174625303354,-0.0484843357872303,-0.0206116959588711,-0.0195886511423364,-0.00724535190731688,-0.00446678458711928,7.44429414372985e-05,0.00269959209490282,0.00295451602365401,0.00446678458711928,0.00731247468041112,0.0105029102148882,0.0196767841224832,0.0196767841224832,0.0260640245467877,0.029738544269396,0.0692367366200936,0.0710947623565909,0.0711574071605524,0.0723316628825725
"SNAI1",-0.0755993693476947,-0.0292211201340226,0.064907070205568,0.0795427683617425,0.0797179705180768,-0.0496171026391733,0.0786922511648004,0.00918517154069444,0.00377203073906824,0.118779252087434,-0.0105056392589343,-0.0104254222130675,-0.00377203073906824,-0.00912447854771023,-0.0734398664654094,-0.0787127120362791,-0.0787127120362791,-0.0271862085128216,-0.0573327742406147,-0.0841320297151515,-0.105905558132931,-0.105923964629488,-0.0758851521782965
"GRHL2",-0.0704809762930534,-0.114642573962063,0.0964637180349018,-0.0111116826900272,-0.0110196959500025,-0.00899207632802662,-0.107289384885619,0.0931302635150429,0.1267254946644,0.0494651041093963,0.0159756427411626,0.015773318907415,-0.1267254946644,-0.0930465592405816,0.0371404016192937,0.107190906174271,0.107190906174271,0.134858037149428,0.034426015359533,-0.102968321474686,-0.102349277048974,-0.102399455313862,-0.0913090223088796
"TCF3",-0.0465469608015711,-0.0282972059170105,0.0117887835114166,-0.00792347323448102,-0.00902173913043478,-0.11033351797599,0.000118158510865264,0.00252487704590081,0.0229125558350427,0.0327318479494483,0.0315926167178076,0.0301405354012538,-0.0229125558350427,-0.00243424808088359,-0.0010402501590341,-0.000385137262282446,-0.000385137262282446,-0.00764669740535294,0.0735009992821265,0.0130507058759598,-0.0409235653699025,-0.0412364844579668,-0.0164921391413929
"KLF8",-0.0465469608015711,-0.0282972059170105,0.0117887835114166,-0.00792347323448102,-0.00902173913043478,-0.11033351797599,0.000118158510865264,0.00252487704590081,0.0229125558350427,0.0327318479494483,0.0315926167178076,0.0301405354012538,-0.0229125558350427,-0.00243424808088359,-0.0010402501590341,-0.000385137262282446,-0.000385137262282446,-0.00764669740535294,0.0735009992821265,0.0130507058759598,-0.0409235653699025,-0.0412364844579668,-0.0164921391413929
"CLDN7",-0.0465469608015711,-0.0282972059170105,0.0117887835114166,-0.00792347323448102,-0.00902173913043478,-0.11033351797599,0.000118158510865264,0.00252487704590081,0.0229125558350427,0.0327318479494483,0.0315926167178076,0.0301405354012538,-0.0229125558350427,-0.00243424808088359,-0.0010402501590341,-0.000385137262282446,-0.000385137262282446,-0.00764669740535294,0.0735009992821265,0.0130507058759598,-0.0409235653699025,-0.0412364844579668,-0.0164921391413929
"miR141",-0.045428320542388,-0.0171077516949516,0.0833895504819783,-0.0493388984725085,-0.0488448519112858,-0.0854294700209507,-0.00211577641427398,0.0945653141238684,0.02112573777803,0.0579296375232941,-0.0184686911347084,-0.0182749528736202,-0.02112573777803,-0.094394875072873,-0.00670912130656098,0.00197494108893545,0.00197494108893545,0.0180776706660072,-0.00800359096041233,0.0713231618157519,-0.0325898241108251,-0.0325538023536838,-0.103466890755326
