"","miR200a","miR200b","KLF8","SNAI2","TWIST2","SNAI1","GRHL2","miR141","CLDN7","miR34a","NP63","miR205","FOXC2","ZEB1","OVOL2","TCF3","TWIST1","GSC","TGFbeta","miR101","ZEB2","CDH1","miR200c"
"miR200a",0.116311027533864,0.0538362562443685,0.0204763261864324,0.178126414875331,0.16136495738478,-0.194279923582389,-0.00652121952126247,-0.007681144739613,-0.007681144739613,0.110353152772717,0,0,0.00929236836045688,0.00763538999841744,-0.0601374365366227,0.203730500652253,0.203962690781955,0.0825970122144322,0.0826697328761903,-0.0205645794914287,-0.228815744709796,-0.0959456625760386,-0.107665907865084
"miR141",0.109861062222961,0.0221557564708719,0.0236445038679423,0.166081573312688,0.0780623483367174,-0.157849583480083,-0.00228623708666942,-0.00167982684465836,-0.00167982684465836,0.0154987014267051,0,0,-0.0223213889445513,0.00175504317530667,0.0630016955080482,0.158434633603096,0.158447943865308,0.10094670739929,0.101011474238669,-0.0237849887207934,-0.220426753721242,-0.156934684857066,-0.107035237994773
"TWIST1",0.141356292835362,0.0784720006366629,0.00900801149462814,-0.151821309473545,-0.182286695523311,0.263504528550056,-0.102568514036714,-0.0996891958655926,-0.0996891958655926,-0.141607255051208,0,0,-0.207223950920807,0.0996641454871839,0.0958947459454681,-0.167876617745011,-0.268052261294808,-0.00288694790966677,-0.00289290161490822,-0.00895124706700278,-0.202309256940937,-0.106885410206913,-0.0406049105136643
"TWIST2",0.0984054265541973,0.0836776804253868,-0.128110293476754,-0.137188891244419,-0.114518407075317,-0.109252102841141,-0.049261932099309,-0.0478107173557841,-0.0478107173557841,0.036759507270134,0,0,-0.0158365627105328,0.047829980969186,0.065700350065354,0.16227987900524,0.162200087602764,-0.0164365235529395,-0.0165028349216552,0.128073794906282,-0.155131127438919,0.033635120381478,-0.0534223526344262
"miR101",0.0243608101512025,0.07441380129452,-0.189224018054666,0.150958866697683,0.148782648250259,-0.269383041741576,0.0901819037850245,0.0890265651997041,0.0890265651997041,0.141530054560489,0,0,0.129377083599725,-0.0890245876775393,-0.0926587358892962,0.286686321434286,0.286752884074095,-0.0405527669238683,-0.040540190311337,0.0891243290842532,-0.143299783730459,-0.0583377222072424,-0.111501931507684
"SNAI2",0.0922449168523948,-0.221799612751183,0.226038712277608,0.140316571223381,0.217372192994906,0.00409660703355977,-0.106239213827606,-0.105826049562489,-0.105826049562489,-0.0638246211832705,0,0,-0.0693678069354928,0.105776516527039,0.10256617765828,0.151297870632656,0.151393082819816,0.230725216949715,0.230771322734482,-0.226044955557411,-0.0811155906068124,-0.160619901301739,0.0130114923298193
"TCF3",0.0917654407970517,-0.22188536858164,0.225446694358685,0.240253777941768,0.217477135995438,0.00414352262907529,-0.105980831719344,-0.105535005739117,-0.105535005739117,-0.0635491244945287,0,0,-0.0690630377467657,0.105801984490534,0.102380967631123,0.151309088748254,0.151260686037703,0.230039665392499,0.23067406814762,-0.225938424354215,-0.0809114664413104,-0.260394434664855,0.0131530352445788
"KLF8",0.0917654407970517,-0.22188536858164,0.225446694358685,0.240253777941768,0.217477135995438,0.00414352262907529,-0.105980831719344,-0.105535005739117,-0.105535005739117,-0.0635491244945287,0,0,-0.0690630377467657,0.105801984490534,0.102380967631123,0.151309088748254,0.151260686037703,0.230039665392499,0.23067406814762,-0.225938424354215,-0.0809114664413104,-0.260394434664855,0.0131530352445788
"CLDN7",0.0917654407970517,-0.22188536858164,0.225446694358685,0.240253777941768,0.217477135995438,0.00414352262907529,-0.105980831719344,-0.105535005739117,-0.105535005739117,-0.0635491244945287,0,0,-0.0690630377467657,0.105801984490534,0.102380967631123,0.151309088748254,0.151260686037703,0.230039665392499,0.23067406814762,-0.225938424354215,-0.0809114664413104,-0.260394434664855,0.0131530352445788
"SNAI1",0.0755114368959518,0.070373805543307,0.0829025109014231,-0.202999266573061,-0.206788191745884,0.212115338523026,-0.0753584763815272,-0.0735681594214294,-0.0735681594214294,-0.218030164929384,0,0,-0.117552327952379,0.073556963850243,0.0822582138654253,-0.344044580682666,-0.344228006921304,-0.00620559914585273,-0.00623233528745671,-0.0828167179089947,-0.0780519417296741,0.162835751265462,-0.00617899361656599
"miR34a",0.0996034652333361,-0.10385555218624,-0.0151394724286543,0.16306203714113,0.257709242289705,-0.241703165201255,-0.0758607781888903,-0.0767855412300988,-0.0767855412300988,0.0650336479449136,0,0,0.0827159332041993,0.0768419398565424,0.0862187097145698,0.250471405805633,0.250497387398069,0.0624684739548643,0.0624823520329315,0.015035753928347,-0.0331560951540548,-0.0945353225117718,0.072212687472723
"GRHL2",0.00306060518446929,0.0707794120904307,-0.0113677953200958,-0.0271409692810951,-0.005697048485814,0.0300828507010447,0.0174070921900544,0.0113411604023202,0.0113411604023202,2.89188835424033e-05,-0.0255409753580788,-0.0256364332958402,0.028848979425381,-0.0114112527888895,-0.0965996720475016,-0.0319833897513821,-0.0320267448586137,-0.114856712502035,-0.114842854178448,0.0114391012754636,-0.0315339555565928,0.0701150509236904,-0.0173460705676524
"FOXC2",0.0037557571122107,-0.000645838953594189,-0.00314778695058526,0.0143274194159294,0.0850633450418575,-0.0659500101168096,0.000433628527525469,-0.000192069746862113,-0.000192069746862113,-0.00299272379815092,0,0,0.0911667997616164,7.68667813422328e-05,-0.06131288914999,0.0649079323140946,0.0651163595335629,-0.0166183909627853,-0.0166107922610778,0.0031974249356254,-0.00855106550690168,0.0617765092648139,-0.00309417719849748
"ZEB1",-0.00366724490840517,0.000595739010191736,0.0031974249356254,-0.0142975846573573,-0.0849854188332061,0.0658806063284015,-0.000535989631816703,7.68667813422328e-05,7.68667813422328e-05,0.00292056578433082,0,0,-0.0911472060937494,-0.100060052313993,0.0613852675689355,-0.0651163595335629,-0.0650148013058441,0.0166107922610778,0.0165346402039432,-0.003224611827135,0.00856520017495153,-0.0618203514980481,0.00313966950436401
