"","miR200a","miR200c","CDH1","GSC","miR34a","miR141","CLDN7","miR205","NP63","TWIST1","FOXC2","TCF3","OVOL2","ZEB1","GRHL2","SNAI1","TGFbeta","miR101","KLF8","TWIST2","SNAI2","ZEB2","miR200b"
"miR101",0.155078744194252,0.140087608568688,0.0415149769535706,0.0171956874915664,0.0786483904854554,0.0127323290466739,0.0127323290466739,0.0193875809338302,0.0195240495460494,0.16623326873282,-0.0876532284273373,-0.166323837570593,-0.0240349076712457,-0.0127432054185799,-0.0143529074318758,-0.208350923866869,-0.0171898184057184,0.197297952862932,0.297291306931571,0.0894102336146231,0.0919619002332396,-0.315110226938359,-0.0919737652776692
"miR200c",0.140730837510095,0.142216025397519,0.0706964828240673,0.11922051751181,0.109310684783153,-0.00151835127807203,-0.00151835127807203,0.0100835897867968,0.0106913736858549,0.0222899960169973,-0.0251202210374607,-0.0219749864779761,-0.0158706072256807,0.00157571209996109,-0.00398000559170109,-0.151235518742272,-0.119284148090849,0.0360219291365702,0.035908460601575,0.0238411608888029,-0.0717494072721403,-0.29714482522933,-0.126656709670387
"miR141",0.108866054231719,0.139132025559215,0.081505518457884,0.158464441315911,0.00571729838610131,-0.0261267214172766,-0.0261267214172766,-0.0277530120643791,-0.0276996976872688,0.0942767983305829,-0.0478655045627956,-0.0939262947589959,0.0268640691528859,0.0262104191145855,0.0305615098646554,-0.218397840082607,-0.158676921999485,0.0406589198680733,0.0404896176095091,-0.0717823775607978,-0.0982059630120442,-0.256811699719954,-0.160253552181017
"miR200b",0.129736409321147,0.0850414335892743,0.070947221551183,-0.108705972935031,0.00890638034052314,0.0389568290103845,0.0389568290103845,0.036162314958426,0.0359668289090214,-0.0895968319880865,0.0506534334142037,0.089157593335085,-0.0325939890781202,-0.0390882901936244,-0.0427432373582424,0.205700410268634,0.108853686779227,-0.063127865890652,-0.0629369505778031,0.046296110112533,0.0575428619133973,-0.216865468136892,-0.0331948741084775
"miR200a",0.129736409321147,0.0850414335892743,0.070947221551183,-0.108705972935031,0.00890638034052314,0.0389568290103845,0.0389568290103845,0.036162314958426,0.0359668289090214,-0.0895968319880865,0.0506534334142037,0.089157593335085,-0.0325939890781202,-0.0390882901936244,-0.0427432373582424,0.205700410268634,0.108853686779227,-0.063127865890652,-0.0629369505778031,0.046296110112533,0.0575428619133973,-0.216865468136892,-0.0331948741084775
"GSC",0.0647501139747572,0.131056923408113,0.0204277425112265,0.0302054824427204,0.0652765177498965,-0.0694808106609816,-0.0694808106609816,-0.0630503944775742,-0.0632477162653479,0.104654499045734,-0.0425081190704296,-0.104652901805764,0.0566972208975838,0.069535833285416,0.0729494686144713,-0.257839474513969,-0.0303423925526764,0.210953211070322,0.210890852351794,0.0633331968780008,0.0875771914368366,-0.216154759512467,-0.102444744761296
"TWIST2",0.125469176069171,0.0687439461381741,-0.0810047866023423,0.00870188390036725,0.11449244592049,0.0581618933645025,0.0581618933645025,0.050708631920903,0.0505665645844088,0.0601119922069775,-0.113004856904104,-0.0603983863480088,-0.044193598946395,-0.0581675971159567,-0.0626604623005095,-0.203687683534398,-0.00869069556243579,0.0917520583169273,0.091772045629329,-0.00843595933948667,-0.0145757676370979,-0.205060786989078,-0.0428275980951676
"SNAI2",0.0966185240986824,0.0563087447107666,-0.0855643152514474,-8.83611842513727e-05,0.0646725456012194,0.038235691204368,0.038235691204368,0.0382888867762739,0.0382807480931129,-0.0204801489634024,-0.0793725035045653,0.0205504246253538,-0.0379947406725239,-0.0381422811548178,-0.0405368285739937,-0.0984429165937515,0.000149979195670095,0.0746635876249371,0.0745421905176567,0.0735516945230473,-0.0417053634555737,-0.159321235146596,-0.0159148242443546
"FOXC2",0.033036432369254,0.000505488289494668,-0.0101789322278886,-0.031503789526122,0.00600999599993558,0.0246828863193314,0.0246828863193314,0.027533468746294,0.0280620672824826,-0.0920251054022394,0.0813204826029915,0.0919913063936769,-0.0295245096430209,-0.0247079674077656,-0.0271173679647981,0.100402647107809,0.0316459938009345,-0.00450501363540655,-0.0044519523410533,0.0962257343549483,0.0272216470508365,-0.050319131075665,0.000788559450428032
"TWIST1",0.0288698612896849,0.0190536923811477,-0.0573951313697336,0.0204693626660361,-0.0626268299096895,-0.00876343182502478,-0.00876343182502478,-0.0178936145067219,-0.0183099865705132,-0.104421959785131,0.219864285697695,0.00419729943073971,0.0254454746517119,0.00874134306770865,0.0089853210318828,0.223558832439377,-0.0204621555491649,-0.125977346735842,-0.125932532714032,-0.133731980923706,-0.0938338821112272,-0.0375004427951417,-0.042672803998463
