"","ZEB2","OVOL2","NP63","CDH1","SNAI2","miR34a","TCF3","miR200b","CLDN7","miR200c","FOXC2","GSC","TGFbeta","miR200a","ZEB1","miR141","GRHL2","TWIST1","miR101","KLF8","miR205","SNAI1","TWIST2"
"ZEB2",-0.0873215322179299,-0.0531074355473359,-0.0412910187700305,-0.0326484552691247,-0.0284931134742219,-0.0266696800427968,-0.0242286663479613,-0.0128992776159845,-0.00847257900460281,-0.00747866633547248,0.000572995086147772,0.00726443849486719,0.00739067857270497,0.00747866633547248,0.00844827492372669,0.00847257900460281,0.0133249120449407,0.0240906502081915,0.0395182151689882,0.0399149655940779,0.0409423977598043,0.04179085443075,0.0718969222250963
"miR101",-0.0692799026488256,0.0646193891270748,0.0531982419137957,-0.0414069117963234,-0.0876347002794486,0.0137375955467142,0.00766067646426914,0.076122858383843,0.0216960190114904,0.0499064751926037,-0.0121500729520134,-0.0277483644508332,-0.0276402055830637,-0.0499064751926037,-0.021717442168275,-0.0216960190114904,-0.0258647900646905,-0.00797384822861557,-0.00284538809485283,0.0975839390710562,-0.0534528083635123,-0.0159224381098553,-0.024607631122987
"NP63",-0.0640002994037327,-0.181617178753077,-0.0390667820831029,-0.149689026807191,0.0172718268912211,-0.0398406757040444,0.0591580493096833,0.067447851844707,-0.021743382095866,-0.000627132431332834,-0.0256507942376954,0.0280753978496763,0.0283989005797654,0.000627132431332834,0.0217728997368975,0.021743382095866,-0.113170523180366,-0.0583973626721876,-0.0164578694059029,-0.0162659729203499,-0.0619650321903279,0.0121382214174627,-0.000214433360053371
"SNAI1",-0.0268018810276387,-0.0922374288451,-0.0941560606710844,-0.0949460946183634,-0.0444994683677174,0.0129061148555913,-0.0211999571871118,-6.8119348704728e-05,-0.0907870041538524,-0.0234396656421721,-0.027135938333791,0.0191902058080552,0.019126000037342,0.0234396656421721,0.0908908527279613,0.0907870041538524,0.0968778014542804,0.0214007552700777,-0.0384334553813283,-0.0382684208613479,0.0944145757409202,-0.0779965787743133,-0.0148776928239566
"OVOL2",-0.0192409240273889,0.0955713695605748,0.210002734995179,0.0349339928116441,-0.14572913418903,-0.135270403905455,0.141511657574235,0.0431489946027111,-0.0977331295673899,-0.0917683612758841,-0.0436415759468026,-0.200977491026151,-0.201036050329502,0.0917683612758841,0.0977968516142671,0.0977331295673899,-0.0368683417936566,-0.141725670954567,0.15936754600769,0.159498052790752,-0.20969482328481,-0.109689758410358,0.160291762497016
"miR34a",-0.0143432442727442,-0.0774661097246078,-0.0767165710175343,0.00379788057026379,-0.0152053865071511,-0.0399995309325203,-0.0460856262517665,-0.0163392010695662,-0.0673120613890084,-0.0744587075748889,0.0627211791913784,0.0305021030574001,0.0304453839557341,0.0744587075748889,0.0673341924955876,0.0673120613890084,0.0743744496900204,0.0464784994222294,0.00845234054820651,0.0082525863994665,0.0768168605325493,0.0010325743318303,-0.0239093622608101
"ZEB1",-0.0106779668498096,-0.0729239183077643,-0.0651297988273232,-0.0688919437749856,0.090911731889848,-0.00146866429017973,-0.0379824651580758,-0.019095991951179,-0.0128658706683988,-0.00533116533153376,-0.0754878619385473,0.0246776612383813,0.0246120286846346,0.00533116533153376,-0.0872416510336252,0.0128658706683988,0.0240589856409567,0.0379914792019562,-0.0951875611349151,-0.0952051958753537,0.0651297988273232,0.104987809427192,0.0068088101419427
"SNAI2",-0.00828095213218398,-0.0623471900879577,-0.0545296809544597,0.0999853324971599,-0.0598229970260822,-0.00996483021176497,-0.104807380041284,-0.0234651550283993,-0.0357158905243759,-0.0149469258613952,0.025103325698177,0.0171932921308596,0.0171713164764375,0.0149469258613952,0.0357345725342859,0.0357158905243759,0.0393974686329957,0.104884456573746,-0.0371213360234505,-0.0367835052163332,0.0545649485814909,0.0333865938314972,-0.0307743382855827
"TCF3",-0.00820837460544924,-0.0624402313132822,-0.0544108653765603,-0.000226234655384472,0.0399997642000088,-0.0100620432354108,-0.103612027215735,-0.0233794674030207,-0.0359225066037142,-0.0148853758210987,0.0248212378009809,0.0170895241260872,0.0171257757120941,0.0148853758210987,0.0357945030927608,0.0359225066037142,0.0394794540045261,0.1053545247956,-0.0370973093637241,-0.0376188411771647,0.0536594202898551,0.0331696808415191,-0.0308096042187187
"KLF8",-0.00820837460544924,-0.0624402313132822,-0.0544108653765603,-0.000226234655384472,0.0399997642000088,-0.0100620432354108,-0.103612027215735,-0.0233794674030207,-0.0359225066037142,-0.0148853758210987,0.0248212378009809,0.0170895241260872,0.0171257757120941,0.0148853758210987,0.0357945030927608,0.0359225066037142,0.0394794540045261,0.1053545247956,-0.0370973093637241,-0.0376188411771647,0.0536594202898551,0.0331696808415191,-0.0308096042187187
