"","SNAI2","ZEB2","TWIST2","KLF8","miR101","OVOL2","SNAI1","miR141","CLDN7","GRHL2","FOXC2","CDH1","TCF3","miR205","NP63","miR200a","miR200c","GSC","TGFbeta","miR200b","TWIST1","ZEB1","miR34a"
"miR101",-0.0800483745919121,-0.115008527353515,-0.0386621492186646,-0.0900829117203382,-0.189786503181646,-0.111282881377378,0.208844340619308,-0.0537120124540293,-0.0537120124540293,-0.05559850404833,0.091056838693542,0.0761109629313239,0.223393972834715,-0.0291642231216606,-0.0294555311208208,-0.0791488870162872,0.0791488870162872,-0.0191623365541274,-0.0192721723035677,-0.0384941720267737,-0.223111354413231,0.0536154434549851,-0.0696197377674003
"TWIST2",-0.0781223297503438,-0.110769508560725,-0.119692297448778,-0.0680127128021444,-0.067745925632261,0.188942312109547,0.047218916067052,0.143186128804193,0.143186128804193,0.139117708370584,0.0274685605091072,-0.047496087860416,0.0170178896895461,0.0381870355078712,0.0380501031353467,0.0152802946380014,-0.0152802946380014,-0.0271762231641112,-0.0272398056699168,-0.111073794436855,-0.0168697056563757,-0.14313888452328,-0.113660173126873
"ZEB2",-0.0835411369301086,-0.074957843182192,-0.0729260898605667,-0.0726444884079096,-0.0723869486582899,-0.0585852092334301,-0.0472795629827954,-0.037470245545289,-0.037470245545289,-0.0355140020495758,-0.0321379107790678,-0.0314198953780536,-0.0289630517117959,-0.0149024531019325,-0.014855970300569,-0.00181824378010174,0.00181824378010174,0.00340368861025069,0.00372452314953599,0.0280612095291951,0.0289549331153389,0.0375176262282091,0.0508741676421395
"ZEB1",-0.0121340859307432,-0.0703959047170361,0.102578077041782,-0.0430017908989257,-0.0428540999477519,-0.209632820527163,0.124650829823206,-0.159035608337521,-0.159035608337521,-0.153895601268602,0.108326942577256,-0.0212587298383529,0.00893383685212783,-0.0718591245420818,-0.0719884497518761,-0.197620150640454,0.197620150640454,-0.0102244118206409,-0.0103225176239765,0.166020831431004,-0.00873132133294895,0.0589878916058531,0.151927677832911
"NP63",0.0346925303318494,-0.0661961647426353,0.0210238499621682,0.0383477880449641,0.0385616155574374,-0.121311011765961,-0.0485653633723828,0.0372311249925955,0.0372311249925955,-0.0858139211935166,-0.0374970712493104,0.128359478377256,0.0311318666699604,0.0888519045281459,-0.0110137446550011,0.00239748650186694,-0.00239748650186694,-0.107477316424171,-0.107446506640353,-0.0954153145328375,-0.0308872801110016,-0.0370747154234513,-0.0154804964769536
"TWIST1",0.0549512038633752,-0.0566461731670319,0.118728225505869,0.0747745092093677,0.0745982407235838,-0.180839128075014,-0.147285793225726,-0.134915508980007,-0.134915508980007,-0.131240752598528,0.0558247528719696,-0.16459556599362,-0.278141526774573,-0.0373969544835643,-0.037161272183305,-0.104710828705668,0.104710828705668,0.00198898470505796,0.00217730980243237,0.038606157449346,0.178013266135884,0.134927972468772,0.137853532216772
"miR34a",-0.108662078347509,-0.0533515007991688,-0.0660175391190378,-0.123275230521367,-0.122787369427329,0.258240848416908,0.13933096116451,0.220163669327964,0.220163669327964,0.213334018124566,0.0890516402824463,0.0770157816726216,0.0904122480525209,0.0523757654949715,0.0519178397849028,0.151273025683014,-0.151273025683014,-0.0371259047244765,-0.037357608288729,-0.162157502489169,-0.090091808412484,-0.220206265758906,-0.195157757411453
"CDH1",-0.020271844058444,-0.0365894609310166,-0.0298528042969168,-0.0336112465477178,-0.0339121103178967,-0.0282107327757212,0.0513515644349513,-0.0124482679503475,-0.0124482679503475,-0.0127750685874308,0.0407077515709881,-0.0773808825177304,-0.026589079524746,-0.00560986847616654,-0.0057639516810972,-0.0242880910878616,0.0242880910878616,-0.0064316600116559,-0.00669149592629878,-0.0158687273241905,0.0264669015698987,0.0121867608351079,-0.0164375214779277
"SNAI2",-0.120157626067188,-0.0363568242391199,-0.0296854007041204,-0.0339121103178967,-0.0336394870998328,-0.0281199996520822,0.05124514687739,-0.0121867608351079,-0.0121867608351079,-0.012525492866157,0.0404060444433163,-0.0772562584942428,-0.0264669015698987,-0.0057639516810972,-0.00595385428818871,-0.0242936859107855,0.0242936859107855,-0.00669149592629878,-0.00675397572808699,-0.0160058484263215,0.0266346563758472,0.0121266013353059,-0.0165367392725238
"TCF3",-0.0205222080814482,-0.0362131611380928,-0.0296211928426776,-0.0323446692865048,-0.0336112465477178,-0.0278775470071804,0.051667825165226,-0.0124884976252186,-0.0124884976252186,-0.0127653292763247,0.0410004811247248,0.022394555945776,-0.0273151201830228,-0.00601449275362319,-0.00560986847616654,-0.0245407289240929,0.0245407289240929,-0.00697543380175921,-0.0064316600116559,-0.0158820395551725,0.026589079524746,0.0124482679503475,-0.0163951373719675
