"","miR200a","GSC","miR200b","miR200c","CDH1","ZEB1","CLDN7","miR205","GRHL2","SNAI1","miR34a","TCF3","TWIST1","miR101","KLF8","TWIST2","NP63","OVOL2","miR141","FOXC2","SNAI2","TGFbeta","ZEB2"
"miR200b",0.169179729924957,0.195846836741074,0.121128552383266,0.12905880130109,0.0492901795953087,0.0355626638590651,0.0356825189616115,0.0766092098301763,0.0185921262128373,0.0893671376029725,-0.0296770246263082,-0.101640327080162,-0.101973083635466,-0.00745353656363543,-0.00733826694078323,-0.019852265640769,-0.0762715521084773,-0.0998624349858633,-0.0356825189616115,-0.149730586574477,-0.106182063663573,-0.196209303789524,-0.315550238390408
"miR200a",0.169179729924957,0.195846836741074,0.121128552383266,0.12905880130109,0.0492901795953087,0.0355626638590651,0.0356825189616115,0.0766092098301763,0.0185921262128373,0.0893671376029725,-0.0296770246263082,-0.101640327080162,-0.101973083635466,-0.00745353656363543,-0.00733826694078323,-0.019852265640769,-0.0762715521084773,-0.0998624349858633,-0.0356825189616115,-0.149730586574477,-0.106182063663573,-0.196209303789524,-0.315550238390408
"miR205",0.129544833349078,0.0773314633925329,0.107327786989092,0.0939726771763705,0.0880138285422837,0.0305289195368462,0.0307966180747525,-0.0240214913102499,0.0307258984233184,-0.0667867611870629,-0.0253651497846478,0.0705261846431653,0.0701967089214075,-0.0597562414337836,-0.0594971513780855,-0.12023012868269,0.0244377037768042,0.0459765255964582,-0.0307966180747525,0.0627543415108286,-0.0646678737674014,-0.0774489050684573,-0.228495148951191
"TWIST2",0.0739583857315397,0.0684747428859015,0.0689802138415698,0.144739038819854,0.0102979179523533,-0.0701416910507832,-0.070180110659635,-0.0777659281082216,-0.0637689264949365,0.125870473975904,0.0901046764735774,-0.236260498869521,-0.236411532595637,0.0923820124487069,0.09244458142666,0.0500590841105543,0.0775964742972225,0.0865514561167974,0.070180110659635,-0.171100956073314,0.0754962080327952,-0.0686234659145027,-0.222155958526359
"GSC",0.103095919596448,0.0514569726443136,0.04230013024249,0.0697037185348223,0.0390846730530565,0.0394362572489865,0.0397461215023802,0.0510039522017982,0.032532740204932,-0.0103655894082692,-0.0328051063003285,-0.122477301433349,-0.122752026708075,-0.0328401442956615,-0.0326871705642717,0.047609929184711,-0.0500958888289367,-0.0625308962920062,-0.0397461215023802,-0.160242892602076,0.0560736787356331,-0.051504035494611,-0.18800813974222
"SNAI1",0.0733612650124432,0.041416408573496,0.0497847768138255,0.0413600668185497,0.100504443860081,0.0445942622944486,0.0448803284409716,0.049540170879641,0.0402226400317588,-0.0817027058730147,0.0386804225096486,0.000273416868446783,0.000104296854549308,0.0217327900172513,0.0218422930730417,-0.0665490560569483,-0.0487327707326182,-0.0559829691552932,-0.0448803284409716,-0.104554357328891,-0.074816547823888,-0.0413486900250539,-0.117347642709543
"FOXC2",0.0294985555280315,0.00588468717561363,0.0103890528203898,0.0229104682227964,-0.049574717603645,0.00533498868789123,0.00505229506401403,0.0496950451420475,-0.0066460428422274,0.091243264173975,0.00425212279662252,-0.0930320467511506,-0.0929869814064007,0.0478537285592979,0.047660311583107,0.0976821646107743,-0.0502778589127171,-0.0733906844719012,-0.00505229506401403,-0.10455998117591,0.0333558094316601,-0.00611590481328583,-0.0767870153556575
"ZEB1",0.0297878272555524,0.00611590481328583,0.0103717828740292,0.0228709096959559,-0.0496294388029422,-0.0947750779064884,0.00533498868789123,0.0502778589127171,-0.00645982872999279,0.0913145565008433,0.00401974953177815,-0.0929869814064007,-0.0930344553708373,0.0477971504337239,0.0478537285592979,0.0975565284784588,-0.0500709385770463,-0.0735618821344255,-0.00533498868789123,-0.104491741160235,0.0333475419684413,-0.00612162193469233,-0.0767807052359924
"OVOL2",0.148701363570378,0.254967353327855,0.0493818135412009,-0.0953585716106914,0.0735013927208664,0.135485746755761,0.135465230702288,-0.146857394384069,0.152637961051821,0.0662718380632733,-0.101995179877407,-0.0144065498841104,-0.0145612150161153,-0.150469548777819,-0.150460775212571,-0.137748537043835,0.146880082615359,0.122661581930231,-0.135465230702288,-0.101017006210237,-0.1706518954505,-0.255231903592405,-0.0689665744807487
"TCF3",0.0311924792682213,0.0037146726250931,0.00101396920365988,-0.0120380852235218,0.073087609200434,0.0430443140656505,0.0412559221554724,0.0542028985507246,0.0347897594870127,-0.0492843749005515,-0.0451556245387496,0.094327034495053,0.0959727266538139,-0.03852880564425,-0.0398847883591956,-0.00967179997130306,-0.0588849794755801,-0.0708592828502849,-0.0412559221554724,0.0623884053199054,-0.0309836080988149,-0.00485659758431007,-0.0233418067043577
