Cycles,Edge_count
"ZEB,SNAIL,miR34",3
SNAIL,1
"ZEB,miR200,SNAIL",3
"ZEB,OVOL2,miR200",3
OVOL2,1
"NRF2,KEAP1,miR200,SNAIL",4
"ZEB,Ecad,NRF2,SNAIL",4
ZEB,1
