"","GRHL2","OCT4","OVOL2","SNAIL","ZEB","miR145","miR200"
"GRHL2",1,0.000603203308086979,-0.00859430785274173,-1,-1,-0.000603203308086979,1
"OCT4",0.000603203308086979,1,0.00419610664054118,-0.000603203308086979,-0.000603203308086979,-1,0.000603203308086979
"OVOL2",-0.00859430785274173,0.00419610664054118,1,0.00859430785274173,0.00859430785274173,-0.00419610664054122,-0.00859430785274173
"SNAIL",-1,-0.000603203308086979,0.00859430785274173,1,1,0.000603203308086979,-1
"ZEB",-1,-0.000603203308086979,0.00859430785274173,1,1,0.000603203308086979,-1
"miR145",-0.000603203308086979,-1,-0.00419610664054122,0.000603203308086979,0.000603203308086979,1,-0.000603203308086979
"miR200",1,0.000603203308086979,-0.00859430785274173,-1,-1,-0.000603203308086979,1
