"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","cfos","ERK","EGR1","SNAI1","TWIST1","Jagged","Csn","NOTCH","NOTCHic","SOSGRB2","ZEB2","ZEB1","IKK","Csl","SHH","AKT","SMO","NFB","HEY1","SNAI2","FUS","ILK","SMAD","RAS","RAF","PI3K","DELTA","cateninmemb","cateninnuc","KLF4","GLI","TCFLEF","CD44","Wnt","cMet","GSK3","Frizzled","SRC","Ecadherin","AXIN2","miR200","DSH","STAT","Patched","Destcompl","TrCP","LIV1","SUFU","RKIP"
"SUFU",-0.420169666701193,-0.530510501058783,-0.506644623346751,-0.47472972972973,-0.445,-0.425040164042365,-0.371794871794872,-0.398231653404067,-0.338461538461538,-0.290447716049282,-0.28843496560928,-0.14740748765904,-0.114285714285714,-0.30007215007215,-0.281818181818182,-0.279002576370997,-0.46718078995579,-0.46718078995579,-0.145516483516484,-0.252272727272727,-0.153327385827386,-0.155583597610443,-0.145277777777778,-0.126285714285714,0.132508437956316,-0.505556934314078,-0.134166666666667,0.15289298515105,0.166980744966292,-0.428310835307963,-0.40679184796619,-0.40679184796619,-0.40679184796619,0.441370584515785,-0.325564461589958,0.426536271718857,-0.397146760715534,-0.310884154684587,-0.293764589467196,-0.375213675213675,-0.271208198489752,0.365889558941631,-0.344444444444444,-0.241111111111111,0.471479327938482,-0.429276802944068,0.483932665031865,-0.3,-0.196666666666667,0.148308080808081,-0.346609887534938,0.1,-0.15,0.146666666666667,0.323367931364986
"Patched",-0.345,-0.445,-0.42,-0.4,-0.3,-0.338461538461538,-0.2,-0.3,-0.1,-0.232795698924731,-0.208333333333333,-0.105396825396825,0,-0.227272727272727,-0.2,-0.25,-0.391666666666667,-0.391666666666667,-0.1,-0.2,-0.134166666666667,-0.114285714285714,-0.266666666666667,-0.1,0.0897435897435897,-0.413946360153257,-0.3,0.1,0.12,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.349068100358423,-0.271208198489752,0.333333333333333,-0.3,-0.241111111111111,-0.196666666666667,-0.25,-0.15,0.3003663003663,-0.2,-0.1,0.376186623516721,-0.321645021645022,0.402380952380952,-0.2,-0.1,0.146666666666667,-0.298261738261738,0,-0.1,0.2,0.248571428571429
"TrCP",-0.190564393966165,-0.229848422230293,-0.211815635345047,-0.181512605042017,-0.128571428571429,-0.30408450012282,-0.230434782608696,-0.269417833456153,-0.2,-0.0830374358630303,-0.227409843779409,0.0115620739604635,0.133333333333333,-0.0298168498168498,-0.0133333333333333,-0.148157315731573,-0.385980934783127,-0.385980934783127,0.074780701754386,0.0128205128205128,0.0939838425214769,0.0599658869395711,0.0981566820276498,0.0958333333333333,0.204125878237352,-0.493479306735336,0.114285714285714,0.20126301416624,0.207069465779143,-0.325390369500843,-0.303572187682661,-0.303572187682661,-0.303572187682661,0.466234169328954,-0.37352360007669,0.357905802758262,-0.342293538724861,-0.360558082835311,-0.346113638390866,-0.329122807017544,-0.332252252252252,0.267020562770563,-0.313333333333333,-0.313333333333333,0.496992096758018,-0.390207887969762,0.402582795924092,-0.28,-0.28,-0.0919838425214769,-0.353555101446562,-0.133333333333333,-0.2,-0.147619047619048,0.136274002240853
"Ecadherin",-0.396385116408657,-0.384455664125933,-0.361490022172949,-0.335636363636364,-0.307636363636364,-0.387110278038113,-0.328877005347594,-0.360835768234192,-0.281818181818182,-0.317748078964897,-0.423794354985942,-0.316985669844504,-0.26,-0.375184277364899,-0.355481675134415,-0.293231470614787,-0.362105850072631,-0.362105850072631,-0.302328042328042,-0.33177033492823,-0.240496147658962,-0.316613756613757,-0.233333333333333,-0.283809523809524,0.0560694418096708,-0.487993471217028,-0.233333333333333,0.102608695652174,0.116894409937888,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.616640547799084,-0.409496723886551,0.288373183309892,-0.377230529741969,-0.394650785511201,-0.376344434328137,-0.353897196408636,-0.353267511251214,0.362406011046383,-0.326310989512084,-0.326310989512084,0.593340345090484,-0.427956280172798,0.372775060652156,-0.296078431372549,-0.296078431372549,0.236559139784946,-0.353451167042901,0.2,-0.266666666666667,0.233333333333333,0.329456685636461
"cateninmemb",-0.396385116408657,-0.384455664125933,-0.361490022172949,-0.335636363636364,-0.307636363636364,-0.387110278038113,-0.328877005347594,-0.360835768234192,-0.281818181818182,-0.317748078964897,-0.423794354985942,-0.316985669844504,-0.26,-0.375184277364899,-0.355481675134415,-0.293231470614787,-0.362105850072631,-0.362105850072631,-0.302328042328042,-0.33177033492823,-0.240496147658962,-0.316613756613757,-0.233333333333333,-0.283809523809524,0.0560694418096708,-0.487993471217028,-0.233333333333333,0.102608695652174,0.116894409937888,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.520731152748308,-0.409496723886551,0.288373183309892,-0.377230529741969,-0.394650785511201,-0.376344434328137,-0.353897196408636,-0.353267511251214,0.362406011046383,-0.326310989512084,-0.326310989512084,0.594407697579066,-0.427956280172798,0.372775060652156,-0.296078431372549,-0.296078431372549,0.236559139784946,-0.353451167042901,0.2,-0.266666666666667,0.233333333333333,0.329456685636461
"KLF4",-0.374645985973875,-0.361490022172949,-0.335636363636364,-0.307636363636364,-0.263636363636364,-0.360835768234192,-0.281818181818182,-0.328877005347594,-0.2,-0.302874661243378,-0.40237908496732,-0.306230521103085,-0.2,-0.355481675134415,-0.33177033492823,-0.28138936535163,-0.337461300309598,-0.337461300309598,-0.283809523809524,-0.305454545454545,-0.236559139784946,-0.302328042328042,-0.233333333333333,-0.26,0.0446600458365164,-0.464333025702278,-0.233333333333333,0.0866666666666667,0.102608695652174,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.591384137542674,-0.394650785511201,0.259259259259259,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,0.346953472415037,-0.296078431372549,-0.296078431372549,0.666368582675683,-0.40259545543053,0.346890516890517,-0.266666666666667,-0.266666666666667,0.233333333333333,-0.341987979717644,0.1,-0.233333333333333,0.2,0.307359307359307
"RKIP",-0.221367521367521,-0.257329773030708,-0.217142857142857,-0.193333333333333,-0.2,-0.201107850330154,-0.17,-0.173448275862069,-0.17,-0.127259352324766,-0.327394533571004,-0.142483224189506,-0.1,-0.123310023310023,-0.0848484848484849,-0.0453968253968254,-0.302744141559063,-0.302744141559063,-0.0160714285714286,-0.0666666666666667,-0.0466448087431694,-0.0372835497835498,-0.0133333333333333,-0.0285714285714286,0.0167247386759582,-0.614897126537273,-0.0333333333333333,0.0348951647411211,0.045786253850032,-0.0911449661449661,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.457271557271557,-0.36375993766512,0.284744141559063,-0.32,-0.345693779904306,-0.318421052631579,-0.27,-0.268421052631579,0.152718676122931,-0.2,-0.2,0.501447943773244,-0.337271448663854,0.314650611930121,-0.1,-0.1,0.0253333333333333,-0.0215419268752797,0.1,0,0.1,0.156792717086835
"GSK3",-0.151682197851109,-0.191963494264661,-0.184527596828763,-0.171635610766046,-0.134492753623188,-0.166737658912581,-0.124880174291939,-0.149692204367127,-0.087843137254902,-0.0274350394016724,-0.202838557876634,-0.0540083694393484,-0.0175,-0.159151338857221,-0.153696793402676,-0.14241771085787,-0.283137340009989,-0.283137340009989,-0.0630459770114943,-0.143207282913165,0.0440819498325722,-0.064755378720896,0.0361681329423265,-0.055,0.12437542641567,-0.378308778110453,0.0393939393939394,0.136095018853484,0.139843144790515,-0.193277421732359,-0.178571539379418,-0.178571539379418,-0.178571539379418,0.368793971295345,-0.346227167421423,0.263705633442883,-0.322724193947688,-0.336490325316159,-0.324290859599329,-0.3109317411175,-0.312386097694567,0.000756937820189743,-0.301127819548872,-0.301127819548872,0.41433457722422,-0.365886544989863,0.29221134370035,-0.286842105263158,-0.286842105263158,-0.0416896053349645,-0.00218630102136248,-0.02,-0.25,-0.0727272727272727,0.0892565329407435
"ZEB2",-0.333641025641026,-0.327319453033739,-0.317266542980829,-0.30025974025974,-0.294805194805195,-0.225978301378939,-0.215789473684211,-0.212563667232598,-0.2,-0.199963255016473,-0.187445688157098,-0.136425815416737,-0.133333333333333,-0.129331651954603,-0.127692307692308,-0.122454212454212,-0.114771489845751,-0.114771489845751,-0.111388888888889,-0.107692307692308,-0.103295850490972,-0.102977673935618,-0.102142857142857,-0.0958333333333333,-0.0869185653056621,-0.0859433575142711,-0.0821428571428571,-0.0757968322757055,-0.0623821981293641,-0.0489819887464427,-0.0389177489177489,-0.0389177489177489,-0.0389177489177489,0.00128154246784186,0.0116189499213962,0.0142537120038124,0.0171027137999615,0.0181124564149027,0.0255068226120858,0.0281118881118881,0.0375438596491228,0.0388363992880272,0.0460606060606061,0.0533333333333333,0.0593579953168286,0.0620313738954149,0.0660203398987437,0.0727272727272727,0.08,0.0923867595818815,0.0972090777974609,0.1,0.1,0.125,0.235571658615137
"ZEB1",-0.204941218202088,-0.170564431002453,-0.169383328640248,-0.161769115442279,-0.163218390804598,-0.105162131813078,-0.112666666666667,-0.102078431372549,-0.116666666666667,-0.142111824301732,-0.0327097116845832,-0.0495888478884544,-0.12,-0.0327550234970021,-0.0368872549019608,-0.0314619883040936,-0.0583730452162413,-0.0583730452162413,-0.0913546160483175,-0.0270833333333333,-0.105311990535457,-0.0813546160483175,-0.105681818181818,-0.0831578947368421,-0.0938665652137155,0.133895167638398,-0.0875,-0.0900202437184932,-0.0823279360261856,0.145916236568232,0.147648520032799,0.147648520032799,0.147648520032799,-0.198247360070895,0.171804988118292,0.0675283012570177,0.166031719935416,0.172881309057627,0.173413223951244,0.167749932993835,0.176191001729022,-0.10730770206333,0.173519163763066,0.180112570356473,-0.0828219082015752,0.214892420069342,-0.0011330321514969,0.185714285714286,0.192307692307692,0.0978386809269162,0.226204837347504,0.1,0.2,0.125,0.167309234930125
