"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","Csn","Jagged","NOTCH","SUFU","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","GLI","Wnt","Frizzled","STAT","AXIN2","DSH","TrCP","LIV1","FUS","Destcompl","SMO","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348056318775632,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.187305068226121,-0.157675438596491,-0.182543721909313,-0.394764539808018,-0.120833333333333,-0.0833333333333333,-0.234377982276755,-0.245018315018315,-0.0761904761904762,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.336759199134199,0.613088570299678,-0.451039840796754,-0.427177771831237,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.396697570484477,-0.364990253411306,-0.328148148148148,-0.28,-0.432859001765963,-0.28,0.0333333333333333,-0.2,0.10952380952381,-0.384679021204463,0.138556067588326,0.159543721909313,0.354596839624464
"SUFU",-0.502366642198034,-0.593993685867663,-0.562632739122101,-0.522207207207207,-0.481666666666667,-0.46393708516966,-0.413226682359942,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155184172156533,-0.145253456221198,-0.297647024116823,-0.271472527472527,-0.362782555282555,-0.347549595226563,-0.236857142857143,-0.192857142857143,-0.286228576031684,-0.390995670995671,-0.253333333333333,-0.362424242424242,-0.323787878787879,-0.297570850202429,0.502747237764907,-0.562276041972775,-0.562276041972775,-0.522267663121317,0.469466192213064,-0.437370428090189,-0.411737516697784,-0.411737516697784,-0.411737516697784,0.524424044809641,0.379022525786587,0.573857496702432,-0.344169622811986,-0.324067321021704,-0.300969494934748,-0.273149946062567,-0.241111111111111,-0.389851221682077,-0.362713675213675,-0.331944444444444,-0.196666666666667,-0.434266111568444,-0.2875,0.15,-0.15,0.290833333333333,-0.350913546483238,0.318611111111111,0.343863636363636,0.421613717652009
"Ecadherin",-0.41924629790368,-0.402043220543992,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358549643047204,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.368465608465608,-0.33989417989418,-0.344483426466853,-0.438126483368021,-0.302857142857143,-0.26,-0.374562670817701,-0.404198310166598,-0.233333333333333,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489842726426676,0.620470173457978,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364662501557927,0.39776370329443,-0.412017964844537,-0.395397983518673,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.374839725144268,-0.352173058477601,-0.326310989512084,-0.296078431372549,-0.427956280172798,-0.296078431372549,0.2,-0.266666666666667,0.266666666666667,-0.353544363687822,0.297916666666667,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402043220543992,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358549643047204,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.368465608465608,-0.33989417989418,-0.344483426466853,-0.438126483368021,-0.302857142857143,-0.26,-0.374562670817701,-0.404198310166598,-0.233333333333333,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489842726426676,0.524561650270257,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364662501557927,0.39776370329443,-0.412017964844537,-0.395397983518673,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.374839725144268,-0.352173058477601,-0.326310989512084,-0.296078431372549,-0.427956280172798,-0.296078431372549,0.2,-0.266666666666667,0.266666666666667,-0.353544363687822,0.297916666666667,0.324798387096774,0.359011578754757
"GSK3",-0.248060906861396,-0.27623405933056,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.15271558572873,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.191993810786914,-0.176609195402299,-0.1468635944971,-0.281398457876626,-0.161666666666667,-0.136666666666667,-0.196471859976945,-0.25715402244814,-0.0954545454545455,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.41264795236399,0.416904506748331,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487972505543372,0.0250060374516847,0.390483087404078,-0.379717312622785,-0.366164681043837,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.347871737241736,-0.328532114600226,-0.308270676691729,-0.286842105263158,-0.386047408568569,-0.286842105263158,0.0866666666666667,-0.25,0.10974025974026,-0.0155425736053356,0.119417679095098,0.13107412081289,0.180109189056557
"SHH",-0.35,-0.44,-0.4,-0.3,-0.2,-0.3,-0.283333333333333,0,-0.2,-0.1,-0.0666666666666667,-0.1,-0.0666666666666667,-0.15,-0.1,-0.253333333333333,-0.2,0,0,-0.162857142857143,-0.233333333333333,0,-0.2,-0.1,-0.25,0.3,-0.375,-0.375,-0.36727969348659,0.299068100358423,-0.303846153846154,-0.25,-0.25,-0.25,0.341666666666667,0.271794871794872,0.383333333333333,-0.241111111111111,-0.196666666666667,-0.15,-0.1,-0.1,-0.25,-0.2,-0.2,-0.1,-0.276190476190476,-0.2,0,0,0,-0.272987012987013,0.1,0.133333333333333,0.26
"RKIP",-0.296006483937518,-0.319020916777926,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.219111608809257,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.156168831168831,-0.110714285714286,-0.205311475409836,-0.374004753416518,-0.0857142857142857,-0.1,-0.258543536260005,-0.21041181041181,-0.1,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.623721513085038,0.474282686047392,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.376098235499602,-0.34988958410011,-0.318421052631579,-0.268421052631579,-0.2,-0.31,-0.26,-0.2,-0.1,-0.337271448663854,-0.1,0.1,0,0.1,-0.0221250172542885,0.14,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0727706057596822,-0.0557894736842105,-0.0691822601357549,-0.228397471649005,-0.0357894736842105,-0.02,-0.113281131623112,-0.129777072722719,-0.02,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.324221610944503,-0.309539071261964,-0.291561543172076,-0.270434782608696,-0.306709178145798,-0.28912676056338,-0.268,-0.24,-0.34124135524529,-0.24,0,-0.2,0.0325,-0.315503569275578,0.0458333333333333,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.33989417989418,-0.302857142857143,-0.324798387096774,-0.412614379084967,-0.26,-0.2,-0.354196538094589,-0.376317269274404,-0.2,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.348106210167198,0.362568172568173,-0.395397983518673,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.352173058477601,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.40259545543053,-0.266666666666667,0.1,-0.233333333333333,0.233333333333333,-0.341987979717644,0.266666666666667,0.297916666666667,0.328674500103071
"ZEB2",-0.23560372960373,-0.219920291348863,-0.214100185528757,-0.203896103896104,-0.194805194805195,-0.163613055060941,-0.15970400937406,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138322127889287,-0.137102615694165,-0.12863707165109,-0.125833333333333,-0.125657269559709,-0.124555254390122,-0.123611111111111,-0.111111111111111,-0.110759256908,-0.100235393022278,-0.1,-0.0964102564102564,-0.0897435897435897,-0.066996336996337,-0.0538832334131651,-0.048962724923402,-0.048962724923402,-0.0478052361026846,-0.0432409082601181,-0.0207599395607961,-0.014978354978355,-0.014978354978355,-0.014978354978355,0.00480845021158247,0.0105130584366529,0.0123046494965675,0.0457985659838884,0.0502141503994729,0.0558479532163743,0.0614035087719298,0.0666666666666667,0.0669429652915891,0.0724475524475524,0.0775757575757576,0.08,0.0885527516873619,0.0909090909090909,0.1,0.1,0.114285714285714,0.115048708063436,0.117142857142857,0.122020905923345,0.175700483091787
