"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Jagged","FUS","SNAI2","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","RAS","cateninmemb","RAF","PI3K","DELTA","miR200","Ecadherin","GSK3","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","AXIN2","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.431527140713308,-0.449284691521914,-0.421415839062898,-0.378991596638655,-0.314285714285714,-0.339319422609353,-0.437064112011791,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.174074586106844,-0.370260587238848,-0.185453216374269,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.209179873892297,-0.10952380952381,0.0380356607881324,-0.0833333333333333,-0.234249084249084,-0.208974358974359,-0.17051282051282,-0.223748624862486,0.55255945875618,-0.600046015099774,-0.600046015099774,-0.356181929288099,0.472309221763623,-0.332545565651735,-0.332545565651735,-0.332545565651735,0.612073341873282,0.498552432888502,0.317155844155844,-0.355939713783103,-0.379756315550785,-0.368445970723198,-0.341793372319688,-0.356223748500976,-0.342362362362362,-0.320740740740741,-0.320740740740741,-0.28,-0.399675930228956,-0.28,0.0333333333333333,0.0761904761904762,-0.2,-0.351522218409093,0.157074586106844,0.352386894873083
"SUFU",-0.458294708920843,-0.543158001889589,-0.519686601495112,-0.492027027027027,-0.465,-0.376516917448504,-0.432168482043757,-0.353846153846154,-0.41131741821397,-0.387179487179487,-0.154518312140104,-0.149832164408638,-0.142672811059908,-0.33480538980539,-0.275579769759568,-0.270054871303193,-0.251934065934066,-0.228857142857143,-0.300555555555556,-0.220182879086379,-0.278333333333333,0.192492632799425,-0.192857142857143,-0.336240981240981,-0.315606060606061,-0.290606060606061,-0.26186970923813,0.490201836763631,-0.539921857379168,-0.539921857379168,-0.369308304102426,0.290597151703209,-0.353169063596097,-0.353169063596097,-0.353169063596097,0.55306672203417,0.279748866352519,0.323145907702862,-0.295993391160677,-0.212227088161103,-0.202866474350362,-0.277777777777778,-0.190094735219927,-0.172049622437972,-0.252777777777778,-0.147777777777778,-0.225,-0.334537106579774,-0.12,0.15,0.253333333333333,-0.1,-0.281555206193146,0.319747474747475,0.394091918554363
"Patched",-0.38,-0.465,-0.44,-0.4,-0.3,-0.312365591397849,-0.353846153846154,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.278333333333333,-0.200925925925926,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.16021164021164,-0.3,0.172107279693487,0,-0.260606060606061,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.313461538461538,0.224928315412186,-0.288461538461538,-0.288461538461538,-0.288461538461538,0.440476190476191,0.219816612729234,0.275457875457875,-0.225,-0.172049622437972,-0.147777777777778,-0.2,-0.12,-0.1,-0.2,-0.1,-0.2,-0.265800865800866,-0.1,0,0.2,-0.1,-0.24975024975025,0.253333333333333,0.302857142857143
"GSK3",-0.233522976411593,-0.256994355944515,-0.248019996970156,-0.236521739130435,-0.203188405797101,-0.138343524804597,-0.208549895237202,-0.119607843137255,-0.190368077055384,-0.164052287581699,-0.0885482716696657,-0.0852439580349821,-0.0763983808235878,-0.133466654690628,-0.251108847876198,-0.185421455938697,-0.174310344827586,-0.161666666666667,-0.116191872643486,-0.166606620843118,-0.10974025974026,0.100360609429403,-0.136666666666667,-0.237927758515994,-0.228836849425085,-0.218347338935574,-0.161078739751457,0.354253216887437,-0.380463222886577,-0.380463222886577,-0.185330069563145,0.321749281256957,-0.174195615781633,-0.174195615781633,-0.174195615781633,0.386215509558312,0.345715704499584,0.00125059816714949,-0.298303263708661,-0.314596411701324,-0.307162201175008,-0.289340999557718,-0.297990340088632,-0.289418911517204,-0.283458646616541,-0.283458646616541,-0.276315789473684,-0.342074165098752,-0.276315789473684,0.0866666666666667,0.0954545454545455,-0.25,0.0179655585987655,0.122940338901154,0.172800708063866
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.22073762506942,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.369964349376114,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.254242460991188,-0.1,-0.21452497522877,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.0911449661449661,0.425825825825826,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.380952950808151,0.444822398927704,0.161544523246651,-0.312307692307692,-0.340042433794945,-0.32960986382039,-0.27,-0.310728744939271,-0.268421052631579,-0.2,-0.2,-0.1,-0.332208157524613,-0.1,0.1,0.1,0,-0.0123496785473771,0.184,0.226050420168067
"miR200",-0.110898532361947,-0.134584932997955,-0.1212128399747,-0.100245098039216,-0.0708333333333333,-0.0951350501350501,-0.104458874458874,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0623027884791781,-0.209722710827005,-0.070883813306852,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0946698313753696,-0.0325,0.22742500418053,-0.02,-0.120679079346525,-0.107684729064039,-0.0869950738916256,-0.112166344294004,0.34836093857833,-0.368893369175627,-0.368893369175627,-0.264713426918735,0.34000829772356,-0.25299272866437,-0.25299272866437,-0.25299272866437,0.302258429608725,0.339296480468764,0.210569460101864,-0.275353660424083,-0.28737499305118,-0.28237499305118,-0.269859154929577,-0.27721626289245,-0.27159828536436,-0.26,-0.261739130434783,-0.24,-0.315111935121773,-0.24,0,0.02,-0.2,-0.290394637204802,0.0546940928270042,0.0797287796971153
"Ecadherin",-0.357857109456967,-0.329032208914889,-0.315831485587583,-0.303636363636364,-0.291636363636364,-0.305377519663682,-0.357585313413088,-0.281818181818182,-0.3446441369425,-0.322994652406417,-0.124058018570454,-0.10782987682914,-0.102260869565217,-0.2875021166709,-0.343391536130281,-0.331139971139971,-0.315555555555556,-0.293333333333333,-0.2625,-0.27363586149509,-0.25,0.229808348293692,-0.26,-0.329475415228965,-0.316464262812608,-0.303062200956938,-0.25079895278505,0.287107360525082,-0.356156735580239,-0.356156735580239,-0.339744600891495,0.39464627851823,-0.331644042232278,-0.331644042232278,-0.331644042232278,0.367306703228491,0.240005223269599,0.300451494349444,-0.252121389373713,-0.268791033790101,-0.261134637898411,-0.240121389373713,-0.251047464797539,-0.23934177917881,-0.229776561787506,-0.229776561787506,-0.227450980392157,-0.316270911032196,-0.227450980392157,0.2,0.233333333333333,-0.233333333333333,-0.278731503677432,0.276478494623656,0.320880670960928
"cateninmemb",-0.357857109456967,-0.329032208914889,-0.315831485587583,-0.303636363636364,-0.291636363636364,-0.305377519663682,-0.357585313413088,-0.281818181818182,-0.3446441369425,-0.322994652406417,-0.124058018570454,-0.10782987682914,-0.102260869565217,-0.2875021166709,-0.343391536130281,-0.331139971139971,-0.315555555555556,-0.293333333333333,-0.2625,-0.27363586149509,-0.25,0.229808348293692,-0.26,-0.329475415228965,-0.316464262812608,-0.303062200956938,-0.25079895278505,0.287107360525082,-0.356156735580239,-0.356156735580239,-0.339744600891495,0.300946099689234,-0.331644042232278,-0.331644042232278,-0.331644042232278,0.367306703228491,0.256899216804457,0.300451494349444,-0.252121389373713,-0.268791033790101,-0.261134637898411,-0.240121389373713,-0.251047464797539,-0.23934177917881,-0.229776561787506,-0.229776561787506,-0.227450980392157,-0.316270911032196,-0.227450980392157,0.2,0.233333333333333,-0.233333333333333,-0.278731503677432,0.276478494623656,0.320880670960928
"KLF4",-0.343898299388318,-0.315831485587583,-0.303636363636364,-0.291636363636364,-0.263636363636364,-0.293985114600391,-0.3446441369425,-0.2,-0.322994652406417,-0.281818181818182,-0.111306340718105,-0.102260869565217,-0.0906666666666667,-0.276478494623656,-0.330169934640523,-0.315555555555556,-0.293333333333333,-0.26,-0.25,-0.261965380945891,-0.233333333333333,0.226617499407479,-0.2,-0.316464262812608,-0.303062200956938,-0.287272727272727,-0.253430531732418,0.259259259259259,-0.334829721362229,-0.334829721362229,-0.331644042232278,0.382338586210537,-0.322820512820513,-0.322820512820513,-0.322820512820513,0.344774114774115,0.328418076239414,0.2933874766894,-0.240121389373713,-0.261134637898411,-0.251047464797539,-0.229776561787506,-0.23934177917881,-0.229776561787506,-0.227450980392157,-0.227450980392157,-0.233333333333333,-0.306167818248691,-0.233333333333333,0.1,0.2,-0.233333333333333,-0.273885278141552,0.2625,0.303277674706246
"ZEB2",-0.243022533022533,-0.232400192400192,-0.221818181818182,-0.207532467532468,-0.194805194805195,-0.168599160999793,-0.166052079451185,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.136537852391511,-0.135436482790082,-0.130506230529595,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.119709119829581,-0.114285714285714,-0.114192242924764,-0.111111111111111,-0.107273644388399,-0.0990769230769231,-0.0897435897435897,-0.0708424908424909,-0.0523565158559132,-0.052333935258637,-0.052333935258637,-0.0312995355821908,-0.0288286941603361,-0.0233766233766234,-0.0233766233766234,-0.0233766233766234,0.0153884297041028,0.0156250866435816,0.0189229763585962,0.0334847415581361,0.0341497220073944,0.0364873843450567,0.0399067599067599,0.0403606237816764,0.0468421052631579,0.0527272727272727,0.06,0.0727272727272727,0.0745293779445385,0.08,0.1,0.1,0.1,0.105260563920158,0.130174216027875,0.180821256038647
