"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","SNAI1","ERK","cfos","HEY1","TWIST1","ILK","SMAD","SHH","AKT","IKK","NFB","SMO","Csn","Jagged","FUS","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","SUFU","AXIN2","TrCP","LIV1","Patched","Destcompl","RKIP"
"TrCP",-0.42057249070632,-0.446904956429319,-0.412211078878298,-0.365754385964912,-0.301754385964912,-0.27,-0.426269592476489,-0.308819554663797,-0.376269592476489,-0.324545454545455,-0.0380221989349644,-0.385966464921251,-0.0302912676698586,-0.0352912676698586,-0.136470588235294,-0.150700280112045,-0.121533613445378,-0.0803571428571429,-0.1,-0.0428571428571429,-0.209591975333795,-0.0666666666666667,-0.227221003040675,-0.195078145897818,-0.150815850815851,-0.224242424242424,0.53789751161938,-0.565729410037497,0.563646375948818,-0.586401011332948,-0.586401011332948,-0.376686284931193,-0.342413984461709,-0.342413984461709,-0.342413984461709,0.644211952240935,0.59761085145603,0.332980777185556,-0.444117768190798,-0.393232521861963,-0.421195132087646,-0.363283283283283,-0.394515669515669,-0.364259259259259,-0.328148148148148,-0.328148148148148,-0.28,-0.28,0.0333333333333333,-0.430107793756235,0,-0.2,0.12,-0.382545609922984,0.31806336045857
"SUFU",-0.483514819002946,-0.581505701505702,-0.54969696969697,-0.50969696969697,-0.46969696969697,-0.35,-0.454884203480589,-0.384049615243105,-0.422439759036145,-0.3875,-0.0565706699346405,-0.334398339827379,-0.038899938506476,-0.0424927528777335,-0.297214623611682,-0.261736770691995,-0.236363636363636,-0.203030303030303,-0.254326923076923,-0.166666666666667,-0.245978779840849,-0.223076923076923,-0.367146416933651,-0.338635778635779,-0.300540540540541,-0.291555752735877,0.485718475073314,-0.518582535961111,0.462857422395499,-0.545475308793494,-0.545475308793494,-0.435155535322322,-0.410602689793866,-0.410602689793866,-0.410602689793866,0.514145498694473,0.5581271293199,0.375518313374476,-0.339554636508463,-0.403448275862069,-0.320890797696162,-0.377777777777778,-0.29965310430657,-0.273784378437844,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,0.2,-0.433723066760768,0.133333333333333,-0.15,0.279032805429864,-0.350309022061509,0.402202183781131
"Patched",-0.376190476190476,-0.46969696969697,-0.433333333333333,-0.4,-0.3,-0.1,-0.35,-0.296320346320346,-0.3,-0.2,-0.02,-0.231318681318681,-0.0111111111111111,-0.0236111111111111,-0.223076923076923,-0.166666666666667,-0.133333333333333,-0.1,-0.3,0,-0.166666666666667,-0.3,-0.26,-0.22,-0.2,-0.25,0.35,-0.415928342135239,0.353353814644137,-0.425974025974026,-0.425974025974026,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.392767106842737,0.433818181818182,0.303502188868043,-0.273784378437844,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,0.2,-0.321645021645022,0,-0.1,0.2,-0.298261738261738,0.288461538461538
"Ecadherin",-0.412768660623487,-0.397305772963388,-0.36979647928309,-0.339143212951432,-0.307636363636364,-0.281818181818182,-0.392697512791502,-0.348412538399812,-0.363613847452857,-0.328877005347594,-0.0729254079254079,-0.434110567101296,-0.0301683026453669,-0.0350762781054896,-0.314935346496322,-0.354716231137284,-0.328842105263158,-0.296842105263158,-0.274761904761905,-0.26,-0.358896386837563,-0.253333333333333,-0.39632726363409,-0.369970674486804,-0.338787878787879,-0.294722698684963,0.300056230319388,-0.489280149397869,0.619283904992998,-0.38201074780502,-0.38201074780502,-0.421625727213963,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.602055480057918,0.391506798504455,0.363828026569105,-0.411250590563922,-0.377230529741969,-0.395243057607236,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.233333333333333,-0.427956280172798,0.2,-0.266666666666667,0.2967131242741,-0.353576764764373,0.351707478808738
"cateninmemb",-0.412768660623487,-0.397305772963388,-0.36979647928309,-0.339143212951432,-0.307636363636364,-0.281818181818182,-0.392697512791502,-0.348412538399812,-0.363613847452857,-0.328877005347594,-0.0729254079254079,-0.434110567101296,-0.0301683026453669,-0.0350762781054896,-0.314935346496322,-0.354716231137284,-0.328842105263158,-0.296842105263158,-0.274761904761905,-0.26,-0.358896386837563,-0.253333333333333,-0.39632726363409,-0.369970674486804,-0.338787878787879,-0.294722698684963,0.300056230319388,-0.489280149397869,0.523374730740169,-0.38201074780502,-0.38201074780502,-0.421625727213963,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.603125852684485,0.391506798504455,0.363828026569105,-0.411250590563922,-0.377230529741969,-0.395243057607236,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.233333333333333,-0.427956280172798,0.2,-0.266666666666667,0.2967131242741,-0.353576764764373,0.351707478808738
"GSK3",-0.241024378671438,-0.270641859817976,-0.254400249079721,-0.2352666750725,-0.197402597402597,-0.116666666666667,-0.210792374991513,-0.142515590767478,-0.188307167890921,-0.160062893081761,-0.0410513967814671,-0.276119142874462,-0.0259523809523809,-0.0302675779505048,-0.123027085257002,-0.171905399749914,-0.158821287600381,-0.142365591397849,-0.104444444444444,-0.113333333333333,-0.181381837213442,-0.0933333333333333,-0.247380418147217,-0.231677938808374,-0.213159420289855,-0.167510865159838,0.347227109807755,-0.409356796762633,0.412427012170717,-0.376130450981494,-0.376130450981494,-0.21340082449528,-0.19408385544512,-0.19408385544512,-0.19408385544512,0.482143678968628,0.380989675246734,0.0225946188759265,-0.376112228970569,-0.346225974704974,-0.362893258233939,-0.327475974704974,-0.346377831736662,-0.327733763940051,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,0.0733333333333333,-0.384310214132085,0.0666666666666667,-0.25,0.112777777777778,-0.0142596600515477,0.171418973199136
"miR200",-0.119477649130082,-0.145493197278912,-0.126445578231292,-0.101445578231292,-0.0708333333333333,-0.0142857142857143,-0.107898193760263,-0.104589164701351,-0.0823809523809524,-0.0442857142857143,-0.00588679245283019,-0.229717261904762,-0.0010752688172043,-0.00338296112489661,-0.0679165672282946,-0.0748591800356506,-0.0588591800356506,-0.0376470588235294,-0.0485714285714286,-0.02,-0.113370486034883,-0.0342857142857143,-0.131911723753829,-0.113783068783069,-0.0887830687830688,-0.114664031620553,0.349838549428713,-0.315103623786988,0.407498969738339,-0.372003707448601,-0.372003707448601,-0.284101067824556,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.44151799232996,0.305497983338655,0.226828746371741,-0.336896498520769,-0.306709178145798,-0.324339071261964,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,0.02,-0.34124135524529,0,-0.2,0.058160469667319,-0.31555661003953,0.084787127053302
"RKIP",-0.289327888754001,-0.315980392156863,-0.265,-0.22,-0.2,-0.17,-0.225019157088123,-0.210403500243072,-0.187241379310345,-0.17,-0.127960927960928,-0.369794891640867,-0.115064102564103,-0.115064102564103,-0.186787365177196,-0.14,-0.1,-0.0857142857142857,-0.125,-0.1,-0.247527472527472,-0.1,-0.202131519274376,-0.151111111111111,-0.111111111111111,-0.0613968253968254,0.329411764705882,-0.624003738443098,0.474191788761325,-0.36625386996904,-0.36625386996904,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.5406380115085,0.374908890530877,0.163442579269917,-0.376738056964007,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,0.1,-0.337271448663854,0.1,0,0.161363636363636,-0.0227081076332972,0.216558441558442
"KLF4",-0.38528050896472,-0.36979647928309,-0.339143212951432,-0.307636363636364,-0.263636363636364,-0.2,-0.363613847452857,-0.327281090812458,-0.328877005347594,-0.281818181818182,-0.0612587412587413,-0.409395738203957,-0.0219114219114219,-0.0301683026453669,-0.2967131242741,-0.328842105263158,-0.296842105263158,-0.26,-0.253333333333333,-0.2,-0.33977873977874,-0.233333333333333,-0.369970674486804,-0.338787878787879,-0.305454545454545,-0.28138936535163,0.264529914529915,-0.464749561875156,0.592305954279639,-0.350000822246707,-0.350000822246707,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.67147779081489,0.358432868543366,0.347641773797487,-0.395243057607236,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,0.2,-0.40259545543053,0.1,-0.233333333333333,0.274761904761905,-0.341987979717644,0.322801228808738
"ZEB2",-0.228809462381444,-0.218671537075496,-0.211021263851453,-0.199910152740341,-0.19047619047619,-0.158333333333333,-0.156936100646008,-0.148929326194753,-0.148861566484517,-0.147222222222222,-0.126959325396825,-0.120603618527364,-0.115160830437494,-0.114397471658868,-0.113470528906202,-0.113073880715077,-0.108992248062016,-0.106666666666667,-0.102497502497502,-0.1,-0.099667164620725,-0.0934065934065934,-0.0912631081719414,-0.0855159817351598,-0.0786666666666667,-0.0658361440539658,-0.0615440115440115,-0.047675982749965,-0.0453738781672852,-0.0407603928760749,-0.0407603928760749,-0.0210052398078937,-0.0156056717733364,-0.0156056717733364,-0.0156056717733364,0.00029284726624587,0.00390566107315948,0.00981599004563933,0.0458852886900221,0.0470720020720021,0.04964270464256,0.0517016317016317,0.0540990326282997,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0857142857142857,0.0868626564148952,0.1,0.1,0.109346817565996,0.114011996004922,0.164156044236412
