"","FOXC2","TGF","TGFR","PAK1","CDC42","cateninmemb","EGR1","cfos","HEY1","ILK","SMAD","ERK","Ecadherin","MEK","SNAI1","NFB","Csn","SHH","IKK","SMO","AKT","FUS","Jagged","TWIST1","KLF4","Csl","NOTCHic","NOTCH","GSK3","SOSGRB2","ZEB2","ZEB1","miR200","SNAI2","RAF","PI3K","DELTA","RAS","TrCP","SUFU","Patched","Wnt","GLI","Frizzled","DSH","cateninnuc","TCFLEF","SRC","cMet","CD44","RKIP","STAT","LIV1","AXIN2","Destcompl"
"SUFU",-0.465367119561546,-0.551085544187017,-0.527219666474986,-0.465,-0.497432432432433,0.318700665828049,-0.353846153846154,-0.387179487179487,-0.154518312140104,-0.142672811059908,-0.150755951937506,-0.413616268788683,0.324678463478153,-0.437871587937619,-0.381881502934268,-0.228857142857143,-0.192857142857143,-0.339588744588745,-0.25578021978022,-0.306111111111111,-0.275243307028542,-0.278333333333333,-0.226385467216678,-0.284446668719844,0.49259704634447,-0.295606060606061,-0.322878787878788,-0.343513708513709,0.330106629446322,-0.268513065881487,-0.543825120471548,-0.543825120471548,0.556905656113451,-0.438954871423748,-0.361744644991446,-0.361744644991446,-0.361744644991446,-0.37851679689018,0.15,0.253333333333333,0.32530303030303,-0.288354700854701,-0.306570314237601,-0.265277777777778,-0.2375,-0.227976090801417,-0.216160234023923,-0.161111111111111,-0.18344120819849,-0.201486320980445,0.399031956425182,-0.133333333333333,-0.1,-0.347076291532752,-0.290211579060046
"TrCP",-0.309427784570514,-0.305855427118687,-0.285090399796282,-0.219047619047619,-0.256302521008403,0.156700602626688,-0.24,-0.25304347826087,-0.0798380221653879,-0.0778801843317972,-0.0849769585253456,-0.275077376565954,0.237042019125944,-0.303077376565954,-0.236218248987652,-0.0708333333333333,-0.0583333333333333,-0.109977470558116,-0.0918859649122807,-0.0868663594470046,-0.104848927875244,-0.0642857142857143,-0.119550102249489,-0.21915753811406,0.50111839708561,-0.0641025641025641,-0.0902564102564102,-0.106739926739927,0.106848484848485,-0.108085808580858,-0.527155168205673,-0.527155168205673,0.541528711161437,-0.292649124259584,-0.114053616026356,-0.114053616026356,-0.114053616026356,-0.133144525117265,0.0333333333333333,0.0476190476190476,0.0979774705581157,-0.0643859649122807,-0.081459135643988,-0.0433333333333333,-0.01,-0.107033125990449,-0.0958607121973459,-0.0433333333333333,-0.064954954954955,-0.0817866381232718,0.260810055506188,-0.01,0.05,-0.0531028286395886,-0.0207452760532035
"Patched",-0.38,-0.465,-0.44,-0.3,-0.4,0.247150537634409,-0.1,-0.2,-0.105128205128205,-0.1,-0.12,-0.3,0.24925836030205,-0.353846153846154,-0.312365591397849,-0.1,0,-0.278333333333333,-0.15,-0.333333333333333,-0.192857142857143,-0.3,-0.167619047619048,-0.208333333333333,0.355555555555556,-0.2,-0.233333333333333,-0.260606060606061,0.28021978021978,-0.25,-0.433333333333333,-0.433333333333333,0.440476190476191,-0.364597701149425,-0.288461538461538,-0.288461538461538,-0.288461538461538,-0.319711538461538,0,0.2,0.253333333333333,-0.2,-0.2375,-0.2,-0.2,-0.18344120819849,-0.161111111111111,-0.1,-0.1,-0.133333333333333,0.302857142857143,-0.1,-0.1,-0.274891774891775,-0.257662337662338
"Ecadherin",-0.412658168966199,-0.393439154033164,-0.369750184774575,-0.307636363636364,-0.340969696969697,0.566902963793208,-0.281818181818182,-0.328877005347594,-0.128084864208038,-0.105159420289855,-0.115086781064673,-0.364959479574398,0.513444086810489,-0.39358693055479,-0.351635153994127,-0.302857142857143,-0.26,-0.337032744898823,-0.33989417989418,-0.297916666666667,-0.365868205868206,-0.266666666666667,-0.357486519897946,-0.423049476028773,0.30464135021097,-0.342296650717703,-0.372193557934198,-0.394870137859849,0.353995135401541,-0.293231470614787,-0.386742452031948,-0.386742452031948,0.396273945380091,-0.468235360214774,-0.391904223227753,-0.391904223227753,-0.391904223227753,-0.408384670155127,0.2,0.233333333333333,0.320497311827957,-0.335974181172068,-0.353307514505401,-0.317008663930689,-0.296078431372549,-0.37726066393254,-0.366149552821429,-0.317008663930689,-0.335269533495906,-0.352326389683197,0.356015324073109,-0.296078431372549,-0.266666666666667,-0.408197657491137,-0.338254032316286
"cateninmemb",-0.412658168966199,-0.393439154033164,-0.369750184774575,-0.307636363636364,-0.340969696969697,0.471251267817913,-0.281818181818182,-0.328877005347594,-0.128084864208038,-0.105159420289855,-0.115086781064673,-0.364959479574398,0.51581544454419,-0.39358693055479,-0.351635153994127,-0.302857142857143,-0.26,-0.337032744898823,-0.33989417989418,-0.297916666666667,-0.365868205868206,-0.266666666666667,-0.357486519897946,-0.423049476028773,0.30464135021097,-0.342296650717703,-0.372193557934198,-0.394870137859849,0.353995135401541,-0.293231470614787,-0.386742452031948,-0.386742452031948,0.396273945380091,-0.468235360214774,-0.391904223227753,-0.391904223227753,-0.391904223227753,-0.408384670155127,0.2,0.233333333333333,0.320497311827957,-0.335974181172068,-0.353307514505401,-0.317008663930689,-0.296078431372549,-0.37726066393254,-0.366149552821429,-0.317008663930689,-0.335269533495906,-0.352326389683197,0.356015324073109,-0.296078431372549,-0.266666666666667,-0.408197657491137,-0.338254032316286
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.0708333333333333,-0.100245098039216,0.396619291123092,-0.0142857142857143,-0.0442857142857143,-0.0134180790960452,-0.00989839396919043,-0.0164814660695039,-0.0806493506493507,0.419854481207403,-0.105819418676562,-0.102694157694158,-0.0357894736842105,-0.02,-0.0691822601357549,-0.0557894736842105,-0.0458333333333333,-0.0727706057596822,-0.0325,-0.111906561176377,-0.227170477783975,0.34836093857833,-0.0869950738916256,-0.111133004926108,-0.129777072722719,0.225719806384285,-0.114294003868472,-0.370282258064516,-0.370282258064516,0.303281447511538,-0.311980616202722,-0.264301569077689,-0.264301569077689,-0.264301569077689,-0.28300481097295,0,0.02,0.0572257383966245,-0.28912676056338,-0.304511375947996,-0.268,-0.24,-0.328893611852459,-0.31919664215549,-0.270434782608696,-0.291561543172076,-0.307291880250728,0.0821827674271767,-0.24,-0.2,-0.339837846473361,-0.313064813426418
"RKIP",-0.268803418803419,-0.283150867823765,-0.248571428571429,-0.2,-0.22,0.322230297524415,-0.17,-0.17,-0.159581881533101,-0.153754813863928,-0.156725110893631,-0.187241379310345,0.354626050854094,-0.219156272927366,-0.190708218392374,-0.0857142857142857,-0.1,-0.182754098360656,-0.110714285714286,-0.14,-0.144047619047619,-0.1,-0.209881558735549,-0.3233541295306,0.332663797226208,-0.111111111111111,-0.138383838383838,-0.172999222999223,0.11371158392435,-0.0453968253968254,-0.364663797226208,-0.364663797226208,0.374751400420554,-0.544393833420761,0.000324675324675328,0.000324675324675328,0.000324675324675328,-0.0312992562992563,0.1,0.1,0.168,-0.173333333333333,-0.215641025641026,-0.133333333333333,-0.1,-0.25680420423289,-0.239755858176911,-0.133333333333333,-0.170175438596491,-0.212483130904184,0.210364145658263,-0.1,0,-0.232512892639475,0.0484322648920195
"KLF4",-0.387715377204185,-0.369750184774575,-0.340969696969697,-0.263636363636364,-0.307636363636364,0.548185015075259,-0.2,-0.281818181818182,-0.111306340718105,-0.0906666666666667,-0.105159420289855,-0.328877005347594,0.592704067336292,-0.364959479574398,-0.33328072361438,-0.26,-0.2,-0.320497311827957,-0.302857142857143,-0.266666666666667,-0.33989417989418,-0.233333333333333,-0.341239380309845,-0.40237908496732,0.266666666666667,-0.305454545454545,-0.342296650717703,-0.372193557934198,0.340970852840835,-0.28138936535163,-0.354514963880289,-0.354514963880289,0.362568172568173,-0.448668834025732,-0.372051282051282,-0.372051282051282,-0.372051282051282,-0.391904223227753,0.1,0.2,0.297916666666667,-0.317008663930689,-0.335974181172068,-0.296078431372549,-0.266666666666667,-0.366149552821429,-0.352326389683197,-0.296078431372549,-0.317008663930689,-0.335269533495906,0.328674500103071,-0.266666666666667,-0.233333333333333,-0.389434770893199,-0.330145924208178
"GSK3",-0.196145217491607,-0.213526932593741,-0.201732060798869,-0.159130434782609,-0.186749482401656,0.208778631593292,-0.107843137254902,-0.133769063180828,-0.0784408231174894,-0.0688864781609181,-0.0753332547726122,-0.149558536865038,0.195721367049748,-0.166603991410493,-0.107327106103648,-0.136666666666667,-0.124166666666667,-0.110962352267153,-0.147011494252874,-0.0917120513894708,-0.157267904509284,-0.082034632034632,-0.129555227426794,-0.199854029169899,0.332382264400609,-0.169187675070028,-0.183872989755343,-0.194522340404693,-0.0412303633814227,-0.12541844995617,-0.353214086461513,-0.353214086461513,0.359328588836352,-0.289867069198772,-0.12272135241468,-0.12272135241468,-0.12272135241468,-0.134486058297033,0.0866666666666667,0.0772727272727273,0.100914505377201,-0.19438178780284,-0.203815750066991,-0.183270676691729,-0.161842105263158,-0.221177454983605,-0.2132827181415,-0.183270676691729,-0.194528954837425,-0.203576573885044,0.143018648018648,-0.161842105263158,-0.125,-0.247696424607962,0.0655270875239774
"ZEB2",-0.196975912975913,-0.177375111660826,-0.176846011131725,-0.176623376623377,-0.174805194805195,-0.166368268234524,-0.158333333333333,-0.142543859649123,-0.142536656891496,-0.134285714285714,-0.133066202090592,-0.129640633842671,-0.129012734277142,-0.127201609452427,-0.12658932133512,-0.111111111111111,-0.111111111111111,-0.105296167247387,-0.104444444444444,-0.102857142857143,-0.101640706126687,-0.1,-0.0712794612794613,-0.0679042258421242,-0.06548092994457,-0.058974358974359,-0.0576410256410257,-0.0560016813787306,-0.0500163873452869,-0.031941391941392,-0.0295326312300238,-0.0295326312300238,-0.00647550527913018,0.0412360310972658,0.0566450216450216,0.0566450216450216,0.0566450216450216,0.0577156854565848,0.1,0.1,0.105296167247387,0.134242424242424,0.134242424242424,0.134242424242424,0.140909090909091,0.141405402109627,0.141924882629108,0.143333333333333,0.143333333333333,0.143333333333333,0.149533011272142,0.15,0.15,0.183345404408258,0.193496113449
