"","KLF4","miR200","Ecadherin","cateninmemb","RKIP","GSK3","Csn","HEY1","ILK","SMAD","NFB","FUS","SMO","IKK","SHH","AKT","Csl","Patched","NOTCHic","Jagged","NOTCH","SUFU","TrCP","EGR1","LIV1","SNAI1","cfos","RAF","PI3K","DELTA","SOSGRB2","ERK","DSH","STAT","RAS","MEK","PAK1","Frizzled","TWIST1","SRC","CDC42","Wnt","cMet","FOXC2","GLI","TGFR","CD44","Destcompl","TGF","TCFLEF","cateninnuc","AXIN2","SNAI2","ZEB2","ZEB1"
"TrCP",0.474290398126464,0.526893556992094,0.61065269030898,0.54518164695665,0.239375008049041,0.331403138528139,-0.0833333333333333,-0.0911463385954082,-0.0831967912613074,-0.0954548557774364,-0.120833333333333,-0.10952380952381,-0.138556067588326,-0.157675438596491,-0.175074586106844,-0.185453216374269,-0.17051282051282,0.157074586106844,-0.212051282051282,-0.225118012951602,-0.242820512820513,0.0761904761904762,0.0333333333333333,-0.24,-0.2,-0.225363934676644,-0.279130434782609,-0.342346830331048,-0.342346830331048,-0.342346830331048,-0.202117711771177,-0.32828297715549,-0.28,-0.28,-0.373255921240139,-0.37228297715549,-0.257142857142857,-0.328148148148148,-0.33827150385846,-0.328148148148148,-0.314005602240896,-0.362358674463938,-0.363283283283283,-0.355212557689182,-0.38918794275662,-0.35794499618029,-0.39001595655061,-0.377275710021943,-0.39018543333876,-0.412608549143203,-0.43247061810872,-0.426732348111658,-0.551364006346913,-0.514630558747015,-0.514630558747015
"SUFU",0.427733876509277,0.487524994525038,0.488051033753094,0.450743570936798,0.32951141968815,0.376811213013075,-0.192857142857143,-0.151619761415466,-0.138207885304659,-0.145829132417823,-0.236857142857143,-0.290833333333333,-0.324166666666667,-0.271472527472527,-0.364773507273507,-0.296304742237628,-0.323787878787879,0.34739898989899,-0.362424242424242,-0.281223281695193,-0.39020202020202,0.253333333333333,0.15,-0.338461538461538,-0.15,-0.300952804587864,-0.371794871794872,-0.410864154252369,-0.410864154252369,-0.410864154252369,-0.279002576370997,-0.398231653404067,-0.3,-0.196666666666667,-0.434281875771356,-0.42674229170194,-0.445,-0.344444444444444,-0.29487529593799,-0.241111111111111,-0.47472972972973,-0.377136752136752,-0.273149946062567,-0.425455679499939,-0.401300320909986,-0.507708453133985,-0.297210096438507,-0.347433490448437,-0.535124626704005,-0.316231835568942,-0.332446669328533,-0.431924191193737,-0.509300423579309,-0.471306334545458,-0.471306334545458
"Patched",0.333333333333333,0.402380952380952,0.383683926645092,0.351845878136201,0.248571428571429,0.305128205128205,0,-0.105128205128205,-0.1,-0.12,-0.1,-0.3,-0.333333333333333,-0.15,-0.290833333333333,-0.192857142857143,-0.2,0.253333333333333,-0.233333333333333,-0.203597883597884,-0.278787878787879,0.2,0,-0.1,-0.1,-0.232795698924731,-0.2,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.25,-0.3,-0.2,-0.1,-0.347596153846154,-0.338461538461538,-0.3,-0.2,-0.208333333333333,-0.1,-0.4,-0.25,-0.15,-0.345,-0.3,-0.42,-0.196666666666667,-0.298261738261738,-0.445,-0.241111111111111,-0.273149946062567,-0.321645021645022,-0.413946360153257,-0.391666666666667,-0.391666666666667
"SMAD",0.358422570566728,0.391442465292477,0.29740432197778,0.230273226791987,0.109388527563193,0.0447159203926121,0.0666666666666667,0.0679678476298235,0.0383644665836447,-0.0673498191306411,0.0428571428571429,0.0291666666666667,0.0141666666666667,0.0252100840336135,0.00509467048645454,0.0185434173669468,0.0257142857142857,-0.011414373088685,0.00617405582922824,-0.0148642647674906,-0.00334975369458128,-0.0416666666666667,-0.1,-0.171428571428571,-0.06,-0.0866307997557998,-0.187557603686636,-0.0495522410631581,-0.0495522410631581,-0.0495522410631581,-0.105057675244011,-0.203836673454078,-0.0761904761904762,-0.102857142857143,-0.0620522410631581,-0.223067442684847,-0.147619047619048,-0.0984126984126984,-0.152090485551124,-0.125079365079365,-0.174379610999329,-0.111874236874237,-0.138804855275444,-0.193919690465578,-0.121226754859848,-0.195050002060782,-0.147895764366353,-0.158212701607857,-0.209791037917356,-0.156172562195389,-0.163973980635106,-0.147938928270158,-0.288856335976017,-0.376272052223049,-0.376272052223049
"miR200",0.34836093857833,0.302258429608725,0.439926108355498,0.406960753020097,0.0797287796971153,0.226551407215886,-0.02,-0.0134180790960452,-0.00989839396919043,-0.0164814660695039,-0.0357894736842105,-0.0325,-0.0458333333333333,-0.0557894736842105,-0.0691822601357549,-0.0727706057596822,-0.0869950738916256,0.0572257383966245,-0.111133004926108,-0.113281131623112,-0.129777072722719,0.02,0,-0.0142857142857143,-0.2,-0.0961932511932512,-0.0442857142857143,-0.264301569077689,-0.264301569077689,-0.264301569077689,-0.114294003868472,-0.0806493506493507,-0.24,-0.24,-0.284002317207364,-0.105819418676562,-0.0708333333333333,-0.268,-0.227170477783975,-0.270434782608696,-0.100245098039216,-0.28912676056338,-0.291561543172076,-0.115849137312552,-0.306709178145798,-0.124438646426312,-0.309539071261964,-0.315503569275578,-0.142461902240266,-0.324221610944503,-0.336645853368746,-0.34124135524529,-0.314833511931918,-0.368893369175627,-0.368893369175627
"Ecadherin",0.288373183309892,0.372402621173571,0.597284346309404,0.618234847808019,0.328707621966049,0.364662501557927,-0.26,-0.128084864208038,-0.105159420289855,-0.114118258062252,-0.302857142857143,-0.266666666666667,-0.297916666666667,-0.33989417989418,-0.345270828041656,-0.368465608465608,-0.342296650717703,0.324798387096774,-0.376317269274404,-0.374562670817701,-0.404198310166598,0.233333333333333,0.2,-0.281818181818182,-0.266666666666667,-0.317839076954792,-0.328877005347594,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.293231470614787,-0.360835768234192,-0.296078431372549,-0.296078431372549,-0.421847156567827,-0.387110278038113,-0.307636363636364,-0.326310989512084,-0.423421915507358,-0.326310989512084,-0.335636363636364,-0.353897196408636,-0.353267511251214,-0.395927450504767,-0.377230529741969,-0.361490022172949,-0.376344434328137,-0.353451167042901,-0.38409400047313,-0.395148917516182,-0.410648450662774,-0.427956280172798,-0.488234290000893,-0.361631916423342,-0.361631916423342
"cateninmemb",0.288373183309892,0.372402621173571,0.598355833752344,0.522326094014087,0.328707621966049,0.364662501557927,-0.26,-0.128084864208038,-0.105159420289855,-0.114118258062252,-0.302857142857143,-0.266666666666667,-0.297916666666667,-0.33989417989418,-0.345270828041656,-0.368465608465608,-0.342296650717703,0.324798387096774,-0.376317269274404,-0.374562670817701,-0.404198310166598,0.233333333333333,0.2,-0.281818181818182,-0.266666666666667,-0.317839076954792,-0.328877005347594,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.293231470614787,-0.360835768234192,-0.296078431372549,-0.296078431372549,-0.421847156567827,-0.387110278038113,-0.307636363636364,-0.326310989512084,-0.423421915507358,-0.326310989512084,-0.335636363636364,-0.353897196408636,-0.353267511251214,-0.395927450504767,-0.377230529741969,-0.361490022172949,-0.376344434328137,-0.353451167042901,-0.38409400047313,-0.395148917516182,-0.410648450662774,-0.427956280172798,-0.488234290000893,-0.361631916423342,-0.361631916423342
"GSK3",0.312620466551699,0.342875077946133,0.464762007661157,0.402605445981455,0.129169339432497,0.0222476803438482,-0.136666666666667,-0.0833336780922967,-0.0707556370394228,-0.0787016640259295,-0.161666666666667,-0.10974025974026,-0.119417679095098,-0.176609195402299,-0.142765787234941,-0.191139109932213,-0.222268907563025,0.129847126947859,-0.239751425045543,-0.191417822745009,-0.256115061409179,0.0954545454545455,0.0866666666666667,-0.107843137254902,-0.25,-0.0940705699199127,-0.141176470588235,-0.194458223330021,-0.194458223330021,-0.194458223330021,-0.15665171281734,-0.168996019460416,-0.286842105263158,-0.286842105263158,-0.211895198119937,-0.190018746733143,-0.172463768115942,-0.308270676691729,-0.253209448598139,-0.308270676691729,-0.205797101449275,-0.327224925057742,-0.327475974704974,-0.206790223240652,-0.344206057133214,-0.225657728626976,-0.344142641371641,-0.0116537212133687,-0.241298754268001,-0.358123050988738,-0.369701998357159,-0.382768214687676,-0.402041730434365,-0.337521569863436,-0.337521569863436
"KLF4",0.259259259259259,0.346890516890517,0.669144132093241,0.592081001654172,0.307359307359307,0.348106210167198,-0.2,-0.111306340718105,-0.0906666666666667,-0.105159420289855,-0.26,-0.233333333333333,-0.266666666666667,-0.302857142857143,-0.324798387096774,-0.33989417989418,-0.305454545454545,0.297916666666667,-0.342296650717703,-0.354196538094589,-0.376317269274404,0.2,0.1,-0.2,-0.233333333333333,-0.302016292144666,-0.281818181818182,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.28138936535163,-0.328877005347594,-0.266666666666667,-0.266666666666667,-0.400897435897436,-0.360835768234192,-0.263636363636364,-0.296078431372549,-0.40237908496732,-0.296078431372549,-0.307636363636364,-0.326310989512084,-0.326310989512084,-0.374645985973875,-0.353897196408636,-0.335636363636364,-0.353267511251214,-0.341987979717644,-0.361490022172949,-0.376344434328137,-0.395148917516182,-0.40259545543053,-0.464333025702278,-0.337461300309598,-0.337461300309598
"TGF",0.0977370963640986,0.109672989845404,0.0268270445049528,0.0292244540988018,-0.0424242424242424,-0.152172832603361,0.233333333333333,0.15364281108962,0.122424242424242,0.128875855327468,0.233333333333333,0.113333333333333,0.113333333333333,0.233333333333333,0.116781609195402,0.228070175438596,0.233333333333333,-0.116781609195402,0.223333333333333,0.116464162984782,0.219885057471264,-0.133333333333333,-0.2,0.0333333333333333,0,0.053134138588684,0.0476190476190476,0.103571428571429,0.103571428571429,0.103571428571429,-0.0697368421052632,0.0739348370927318,0,0,0.107142857142857,0.0628237259816207,0.12,-0.0142857142857143,0.0418518518518518,-0.0333333333333333,0.153333333333333,-0.0142857142857143,-0.0333333333333333,0.0538354037267081,-0.00485175202156334,0.153333333333333,-0.0238993710691824,-0.0982819090741721,0.0479761904761905,-0.0186362131744455,-0.0133730552797087,-0.0284391534391534,0.030146902228074,-0.0977370963640986,-0.0977370963640986
