"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43728068239244,-0.457685193544543,-0.42360698125404,-0.378991596638655,-0.314285714285714,-0.438057400602395,-0.34597160121432,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.180383478755838,-0.186647401213314,-0.390193650972411,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.228870897893421,-0.0833333333333333,-0.242598494670124,-0.21113782051282,-0.17051282051282,-0.225055555555556,-0.526388508183052,0.55255945875618,-0.600949250305135,-0.600949250305135,0.556949285060017,-0.375904550499445,-0.342413984461709,-0.342413984461709,-0.342413984461709,0.634773570644921,0.332757014477157,0.612788145561255,-0.437455067693004,-0.389934100252789,-0.416188099367212,-0.360400421496312,-0.390838797970006,-0.36136511375948,-0.326153846153846,-0.326153846153846,-0.28,-0.28,-0.427384471313966,0.0333333333333333,0.0761904761904762,-0.2,-0.377656079309094,0.158556067588326,0.353868422080713
"SUFU",-0.50028942038734,-0.59401410484398,-0.562893772893773,-0.523333333333333,-0.481666666666667,-0.462327124823317,-0.412085450403011,-0.353846153846154,-0.430449395565675,-0.393240093240093,-0.158132769971429,-0.155323713832439,-0.145253456221198,-0.36517324496809,-0.294848010437052,-0.342244886161735,-0.270190476190476,-0.236857142857143,-0.322261904761905,-0.290833333333333,-0.279593281495788,-0.192857142857143,-0.386348210612917,-0.358848210612917,-0.322377622377622,-0.295212374991648,-0.384200540877886,0.503248054313628,-0.562211790214738,-0.562211790214738,0.456672812189099,-0.430537028440965,-0.40642235727739,-0.40642235727739,-0.40642235727739,0.516306648703359,0.373110296330158,0.573993072101421,-0.332035363614412,-0.396490976364872,-0.313508321036737,-0.37047471620227,-0.291874432988325,-0.265948507062399,-0.337843137254902,-0.234033613445378,-0.296666666666667,-0.192857142857143,-0.426028107399152,0.15,0.253333333333333,-0.15,-0.342110320842705,0.34597324496809,0.420971177944862
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.238461538461538,-0.15,-0.1,-0.333333333333333,-0.3,-0.201318681318681,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,-0.292822966507177,0.355555555555556,-0.433333333333333,-0.433333333333333,0.346745689655172,-0.345781637717122,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.393846153846154,0.303502188868043,0.440476190476191,-0.265948507062399,-0.296666666666667,-0.234033613445378,-0.25,-0.192857142857143,-0.15,-0.2,-0.1,-0.2,-0.1,-0.319047619047619,0,0.2,-0.1,-0.293529411764706,0.253333333333333,0.302857142857143
"Ecadherin",-0.413530650504739,-0.395146091376856,-0.369092451530112,-0.339143212951432,-0.307636363636364,-0.392519478465873,-0.353110969160943,-0.281818181818182,-0.36429367201426,-0.328877005347594,-0.128084864208038,-0.114741729872165,-0.105159420289855,-0.338661887694146,-0.365372866127583,-0.427675125164187,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.266666666666667,-0.362815345573966,-0.26,-0.396969326682306,-0.371772476288605,-0.340589680589681,-0.29128490557062,-0.430157020234108,0.303846153846154,-0.386413141527798,-0.386413141527798,0.597420842988283,-0.412006078574991,-0.393687760256673,-0.393687760256673,-0.393687760256673,0.58999623687286,0.356384478519966,0.395786005539976,-0.391702723768593,-0.360922287130466,-0.376959134025004,-0.34047619047619,-0.359892843474933,-0.33974358974359,-0.316666666666667,-0.316666666666667,-0.291666666666667,-0.291666666666667,-0.414387958555289,0.2,0.233333333333333,-0.266666666666667,-0.341798269289192,0.320143369175627,0.355860528360528
"cateninmemb",-0.413530650504739,-0.395146091376856,-0.369092451530112,-0.339143212951432,-0.307636363636364,-0.392519478465873,-0.353110969160943,-0.281818181818182,-0.36429367201426,-0.328877005347594,-0.128084864208038,-0.114741729872165,-0.105159420289855,-0.338661887694146,-0.365372866127583,-0.427675125164187,-0.338706199460916,-0.302857142857143,-0.295698924731183,-0.266666666666667,-0.362815345573966,-0.26,-0.396969326682306,-0.371772476288605,-0.340589680589681,-0.29128490557062,-0.430157020234108,0.303846153846154,-0.386413141527798,-0.386413141527798,0.500910657372458,-0.412006078574991,-0.393687760256673,-0.393687760256673,-0.393687760256673,0.591432577221459,0.356384478519966,0.395786005539976,-0.391702723768593,-0.360922287130466,-0.376959134025004,-0.34047619047619,-0.359892843474933,-0.33974358974359,-0.316666666666667,-0.316666666666667,-0.291666666666667,-0.291666666666667,-0.414387958555289,0.2,0.233333333333333,-0.266666666666667,-0.341798269289192,0.320143369175627,0.355860528360528
"GSK3",-0.245993227972837,-0.27335255685519,-0.257645750572467,-0.240331262939959,-0.203188405797101,-0.214157550739594,-0.150435544179953,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.144539792102395,-0.191264367816092,-0.276182340589833,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.190866309168829,-0.136666666666667,-0.254230831674619,-0.238580964300614,-0.222268907563025,-0.168278109157532,-0.366333867705938,0.355779934444689,-0.384836107935272,-0.384836107935272,0.401398093460945,-0.210641802511956,-0.192559013840932,-0.192559013840932,-0.192559013840932,0.467848129552778,0.0208784500959207,0.390113022352718,-0.367119761886528,-0.339955366201257,-0.35510537339732,-0.322367426502765,-0.339860886340752,-0.322602003092021,-0.305360623781676,-0.305360623781676,-0.286842105263158,-0.286842105263158,-0.379051935095309,0.0866666666666667,0.0954545454545455,-0.25,-0.0089168900976277,0.129976685306279,0.179297032081842
"RKIP",-0.291823116642394,-0.315495049504951,-0.265,-0.22,-0.2,-0.226371814092954,-0.215712161760333,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.203700564971751,-0.154464285714286,-0.366027841342487,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.250563325563326,-0.1,-0.204988662131519,-0.153968253968254,-0.111111111111111,-0.0587301587301587,-0.402450980392157,0.332663797226208,-0.371439307430289,-0.371439307430289,0.465319782665619,-0.086734685095616,-0.0454502814258912,-0.0454502814258912,-0.0454502814258912,0.527432050421511,0.156353839245622,0.380025159805282,-0.366567353329625,-0.315602836879433,-0.343800782724437,-0.266666666666667,-0.313642052565707,-0.264705882352941,-0.2,-0.2,-0.1,-0.1,-0.332746478873239,0.1,0.1,0,-0.011510520444805,0.181666666666667,0.223809523809524
"miR200",-0.117015373037611,-0.14315209671871,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102249488100552,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0687011482326901,-0.0727706057596822,-0.226860905567301,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.111462997328279,-0.02,-0.129314823107927,-0.111133004926108,-0.0869950738916256,-0.114294003868472,-0.279880049574402,0.34836093857833,-0.370282258064516,-0.370282258064516,0.400138198501717,-0.282533412797907,-0.263751686909582,-0.263751686909582,-0.263751686909582,0.431038405983821,0.225273689413877,0.303281447511538,-0.330471942991024,-0.303909090909091,-0.319630519042804,-0.288,-0.306713852376138,-0.290434782608696,-0.268,-0.270434782608696,-0.24,-0.24,-0.339294021966752,0,0.02,-0.2,-0.312857137179715,0.0572257383966245,0.0821827674271767
"KLF4",-0.386911945468768,-0.369092451530112,-0.339143212951432,-0.307636363636364,-0.263636363636364,-0.36429367201426,-0.332912293664254,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.320143369175627,-0.338706199460916,-0.404629032979818,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.344588744588745,-0.2,-0.371772476288605,-0.340589680589681,-0.305454545454545,-0.27972027972028,-0.409814407814408,0.266666666666667,-0.353725490196078,-0.353725490196078,0.572345767913208,-0.393687760256673,-0.371508771929825,-0.371508771929825,-0.371508771929825,0.660794806598724,0.341896846011132,0.361945701357466,-0.376959134025004,-0.34047619047619,-0.359892843474933,-0.316666666666667,-0.33974358974359,-0.316666666666667,-0.291666666666667,-0.291666666666667,-0.266666666666667,-0.266666666666667,-0.392292286573512,0.1,0.2,-0.233333333333333,-0.33212413486964,0.295698924731183,0.32739898989899
"ZEB2",-0.238695681648702,-0.22658372439885,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.163924012203698,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132322347600933,-0.12863707165109,-0.127690109295949,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112498316498317,-0.111111111111111,-0.101382632100864,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.052775843823709,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0408236328720903,-0.0225862796435679,-0.0162405466019924,-0.0162405466019924,-0.0162405466019924,0.00743040794011646,0.0119822504884899,0.0144245742824161,0.0428627039254072,0.0457849168375484,0.0471923128639547,0.0514992025518341,0.0527893277893278,0.0585585585585586,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0859448855994997,0.1,0.1,0.1,0.113237768437706,0.127735191637631,0.178599033816425
