"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.347886171124013,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.336759199134199,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.384679021204463,0.159543721909313,0.354596839624464
"SUFU",-0.504114969795917,-0.598892704608817,-0.566086380498145,-0.52490990990991,-0.481666666666667,-0.464504461056185,-0.415966061916095,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155694291488019,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.349307655298208,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503598547194241,-0.563492063492063,-0.563492063492063,-0.524060201670025,0.470937138170037,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525584731201868,0.379948491516398,0.575086367439475,-0.346649282648189,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.352193363928839,0.349419191919192,0.423052721088435
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.394880739416917,-0.35772678655657,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115135089389612,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.437644617634324,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.304246284501062,-0.38793236499898,-0.38793236499898,-0.489917946028745,0.620552080005568,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605031118568429,0.364662501557927,0.397090053145516,-0.412321500712196,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.353637560332742,0.324798387096774,0.358118507765822
"cateninmemb",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.394880739416917,-0.35772678655657,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115135089389612,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.437644617634324,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.304246284501062,-0.38793236499898,-0.38793236499898,-0.489917946028745,0.524643534006849,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606105925857271,0.364662501557927,0.397090053145516,-0.412321500712196,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.353637560332742,0.324798387096774,0.358118507765822
"GSK3",-0.247927913908494,-0.276128072035869,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.152288832621016,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.2812943835472,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.38518978079455,-0.38518978079455,-0.41264795236399,0.416904506748331,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487947083465295,0.0250060374516847,0.390390896902727,-0.379848891570153,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.0155425736053356,0.13107412081289,0.179907680259439
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102472412644826,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.389770434331706,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.335628217399177,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412271483305966,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354122841189456,-0.354122841189456,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673421362470867,0.348106210167198,0.362258592471358,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.341987979717644,0.297916666666667,0.328043319795897
"STAT",-0.356851179673321,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.2,-0.328877005347594,-0.308042010502626,-0.1,-0.281818181818182,-0.2,-0.0840336134453781,-0.0906666666666667,-0.0666666666666667,-0.297916666666667,-0.302857142857143,-0.382222222222222,-0.26,-0.2,-0.233333333333333,-0.2,-0.328135932033983,-0.1,-0.342296650717703,-0.305454545454545,-0.26,-0.268181818181818,0.322222222222222,-0.313725490196078,-0.313725490196078,-0.435623348282923,0.560025252525252,-0.375897435897436,-0.345128205128205,-0.345128205128205,-0.345128205128205,0.636648875698381,0.328221483942414,0.320769230769231,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.233333333333333,-0.233333333333333,-0.373563197366014,0,0.1,-0.328407732804064,0.266666666666667,0.28989898989899
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.164113304533816,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0500526944936086,-0.0415318495285875,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00647944165395331,0.0118535064556254,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.11336339621102,0.127735191637631,0.178599033816425
"Destcompl",0.0573610762399114,0.026014053237495,0.0290742704141979,0.0272273047149894,0.0210204081632653,0.0518696629333305,0.0959270045235428,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137643982954651,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.0396307326916396,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203449474651521,0.192674819717496,0.192674819717496,-0.233679663271736,0.214975137475732,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0515133091797166,-0.0887065716616701,-0.204321168676007,-0.186597018659887,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.019968257807527,0.116540607071248,-0.122404761904762
"AXIN2",0.110745714441782,0.0646945769485324,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.155365482844236,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0369276842907675,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245369671778658,0.245369671778658,-0.2770272187641,0.249359406027404,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0626488509647817,-0.170421160202625,-0.259513745937895,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,0.159719384343445,0.151144688644689,-0.178970773024171
"SRC",0.135214085634254,0.109631423190745,0.107936507936508,0.131746031746032,0.142857142857143,0.181538461538462,0.129824561403509,0.2,0.194871794871795,0.233333333333333,0.129090909090909,0.12936381357434,0.127609427609428,-0.00774774774774775,0.0966666666666667,0.0682216905901116,0.106666666666667,0.166666666666667,-0.0333333333333333,0,-0.0644028103044497,0.2,0.05,0.05,0.0833333333333333,-0.115789473684211,-0.151515151515152,0.252882205513784,0.252882205513784,0.0148698148698149,0.232034238580655,0.0435897435897436,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.11595985386308,-0.0416267942583732,-0.269444444444444,-0.129305055355476,-0.156470588235294,-0.138692810457516,-0.18,-0.156470588235294,-0.18,-0.2,-0.2,-0.2,-0.1,-0.217333333333333,-0.1,-0.1,-0.208929082423058,0.0266666666666667,-0.263131313131313
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,-0.0233176107971793,-0.0954545454545455,-0.12
"CD44",0.284615384615385,0.274384236453202,0.257142857142857,0.2,0.1,0.313888888888889,0.270693277310924,0.2,0.280555555555556,0.225,0.223076923076923,0.233739837398374,0.216666666666667,0.205714285714286,0.283333333333333,0.248095238095238,0.3,0.2,0.2,0.1,0.183574879227053,0.2,0.253333333333333,0.26,0.2,0.0142857142857143,-0.185714285714286,0.325108225108225,0.325108225108225,0.407027782344238,-0.0846628679962013,0.175925925925926,0.15,0.15,0.15,-0.25840395480226,-0.203019744483159,-0.338235294117647,0.10017652250662,-0.00303030303030304,0.0545454545454545,-0.0666666666666667,-0.00303030303030304,0.0333333333333333,-0.1,0,0,0.1,-0.0533333333333333,-0.1,-0.1,-0.190258620689655,-0.185714285714286,-0.331428571428571
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.118944099378882,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0929623824451411,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.335628217399177,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412271483305966,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354122841189456,0.354122841189456,0.4649781869926,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673421362470867,-0.348106210167198,-0.362258592471358,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.341987979717644,-0.297916666666667,-0.328043319795897
"FOXC2",0.389770434331706,0.373322638146168,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.335628217399177,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412271483305966,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354122841189456,0.354122841189456,0.4649781869926,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673421362470867,-0.348106210167198,-0.362258592471358,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.341987979717644,-0.297916666666667,-0.328043319795897
"cMet",0.300744416873449,0.297671907686079,0.274384236453202,0.257142857142857,0.2,0.313888888888889,0.298528328857316,0.225,0.313888888888889,0.280555555555556,0.239355992844365,0.248346578971408,0.233739837398374,0.232637362637363,0.283333333333333,0.281428571428571,0.283333333333333,0.3,0.185714285714286,0.2,0.218710014362188,0.2,0.273333333333333,0.253333333333333,0.26,0.0296703296703297,-0.225108225108225,0.358441558441558,0.358441558441558,0.453146503805425,-0.134889112340093,0.210757386600083,0.175925925925926,0.175925925925926,0.175925925925926,-0.303209149607455,-0.232431509189041,-0.368235294117647,0.133033665363762,0.0557932263814617,0.10017652250662,-0.00303030303030304,0.0545454545454545,-0.00303030303030304,-0.0666666666666667,0.0333333333333333,-0.1,0,0.00083333333333333,-0.2,-0.1,-0.161388327802626,-0.205714285714286,-0.352358803986711
