"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","SMO","NFB","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","Ecadherin","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.427863175804673,-0.445724395021166,-0.417551020408163,-0.377551020408163,-0.314285714285714,-0.335227119521111,-0.434345167841611,-0.28,-0.388245877061469,-0.336521739130435,-0.100476967398654,-0.107825792078763,-0.374096664544168,-0.0933521078682369,-0.169817787712525,-0.1814586645469,-0.155968468468468,-0.136190476190476,-0.120833333333333,-0.209488238324935,-0.10952380952381,-0.0833333333333333,-0.229725725514966,-0.20425988700565,-0.168666666666667,-0.219445288753799,-0.547623271137186,-0.597845306447812,-0.597845306447812,0.551603174603175,-0.359479121507423,-0.330099067599068,-0.330099067599068,-0.330099067599068,0.53115291756042,0.610100175500584,0.317553716060263,-0.408857145074125,-0.364197416585157,-0.388969189892052,-0.33873157807584,-0.364881598651176,-0.339565142954973,-0.314141414141414,0.609301284077737,-0.314141414141414,-0.277777777777778,-0.277777777777778,-0.407756215307703,0.0333333333333333,0.0761904761904762,-0.2,-0.356683293649297,0.151979949874687,0.348424422095822
"SUFU",-0.493815132236185,-0.58623082900006,-0.556008606777838,-0.516363636363636,-0.476363636363636,-0.406114009710407,-0.456401586218659,-0.353846153846154,-0.425492495309569,-0.391346153846154,-0.156829443457827,-0.153922206370105,-0.332064837910634,-0.144352828379674,-0.359455090084137,-0.290809523809524,-0.266523809523809,-0.318095238095238,-0.23452380952381,-0.266742175576656,-0.286666666666667,-0.192857142857143,-0.378369679472944,-0.352147457250722,-0.315438596491228,-0.286423118865867,-0.50397810345081,-0.558958238066938,-0.558958238066938,0.501266507585594,-0.420534670008354,-0.398730158730159,-0.398730158730159,-0.398730158730159,0.438325816710161,0.570944545650428,0.363280672773814,-0.308368473063114,-0.377765458356093,-0.291562917507558,-0.355060144346432,-0.272978846711098,-0.250429827103255,-0.324827586206897,0.512714151459099,-0.221018062397373,-0.28,-0.176190476190476,-0.411071102644007,0.15,0.253333333333333,-0.133333333333333,-0.326423436658495,0.342008281573499,0.417417378549989
"Patched",-0.386842105263158,-0.476363636363636,-0.44,-0.4,-0.3,-0.321264367816092,-0.353846153846154,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.231318681318681,-0.1,-0.286666666666667,-0.192857142857143,-0.15,-0.333333333333333,-0.1,-0.191794871794872,-0.3,0,-0.273333333333333,-0.233333333333333,-0.2,-0.25,-0.405840455840456,-0.433333333333333,-0.433333333333333,0.355555555555556,-0.34,-0.3,-0.3,-0.3,0.337727272727273,0.440476190476191,0.296666666666667,-0.250429827103255,-0.28,-0.221018062397373,-0.233333333333333,-0.176190476190476,-0.133333333333333,-0.2,0.394081281037803,-0.1,-0.2,-0.1,-0.306666666666667,0,0.2,-0.1,-0.283712121212121,0.253333333333333,0.302857142857143
"GSK3",-0.237734416063228,-0.262965699616331,-0.250853023559993,-0.237841871143636,-0.203188405797101,-0.142511707796508,-0.210057678661501,-0.119607843137255,-0.190769844833608,-0.164052287581699,-0.0885482716696657,-0.085406014411374,-0.264084461592733,-0.0763983808235878,-0.137076333335875,-0.186607843137255,-0.174607843137255,-0.116406926406926,-0.161666666666667,-0.177283157240554,-0.10974025974026,-0.136666666666667,-0.243578765860216,-0.231328053609503,-0.219387755102041,-0.162615864527629,-0.391245206061781,-0.381698118908105,-0.381698118908105,0.354584597442499,-0.197613379955826,-0.181345437372094,-0.181345437372094,-0.181345437372094,0.377337811962082,0.387305786808576,0.0100803697978557,-0.345200599912572,-0.319258703481393,-0.334487838495585,-0.302115846338535,-0.319077264817295,-0.302314259036948,-0.289615846338535,0.442749356802289,-0.289615846338535,-0.279411764705882,-0.279411764705882,-0.361403178192325,0.0866666666666667,0.0954545454545455,-0.25,0.00504843790185031,0.124099234099234,0.174424420180379
"RKIP",-0.295418405883522,-0.32,-0.267619047619048,-0.22,-0.2,-0.219662572996585,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.368879926552561,-0.153754813863928,-0.207333333333333,-0.156168831168831,-0.110714285714286,-0.14,-0.0857142857142857,-0.251344617042291,-0.1,-0.1,-0.209506833036245,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.614119996577737,-0.372663797226208,-0.372663797226208,0.332663797226208,-0.0893664848059984,-0.0499169435215947,-0.0499169435215947,-0.0499169435215947,0.448582129481006,0.380952950808151,0.159338598067496,-0.348055555555556,-0.310643274853801,-0.330555555555556,-0.268421052631579,-0.308888888888889,-0.266666666666667,-0.2,0.510899075057918,-0.2,-0.1,-0.1,-0.331852654387866,0.1,0.1,0,-0.0104761904761905,0.184,0.226050420168067
"miR200",-0.106664587849211,-0.130245320424789,-0.116329462819611,-0.0973639455782313,-0.0708333333333333,-0.0917427130084229,-0.100598006644518,-0.0142857142857143,-0.0791694352159468,-0.0442857142857143,-0.0134180790960452,-0.0159686815091265,-0.209550210801342,-0.00989839396919043,-0.0595114942528736,-0.0671620227038184,-0.0534365325077399,-0.0428448275862069,-0.0357894736842105,-0.0951868059476755,-0.0325,-0.02,-0.116554232804233,-0.102804232804233,-0.0842857142857143,-0.107359550561798,-0.290521435928413,-0.366453081849697,-0.366453081849697,0.347183263207106,-0.264429342587237,-0.249224664224664,-0.249224664224664,-0.249224664224664,0.367296258530081,0.299947379089256,0.209147983399274,-0.300257422370616,-0.277808254963427,-0.291037564214588,-0.265308254963427,-0.279983579638752,-0.267126436781609,-0.251515151515152,0.394031635148806,-0.253333333333333,-0.233333333333333,-0.233333333333333,-0.316902173913043,0,0.02,-0.2,-0.291938197977082,0.0507395644283122,0.0758608058608059
"Ecadherin",-0.379228056237662,-0.355085794589655,-0.329605025358886,-0.302561000201654,-0.28187134502924,-0.318532182876445,-0.363486562942008,-0.28,-0.340714285714286,-0.315714285714286,-0.121033613445378,-0.106937799043062,-0.387641336228504,-0.10050505050505,-0.287001519285783,-0.337345351714387,-0.313768115942029,-0.245925925925926,-0.283333333333333,-0.290343298960146,-0.22,-0.25,-0.354376411325343,-0.330614035087719,-0.301666666666667,-0.249038808122071,-0.435629411376992,-0.364730155049033,-0.364730155049033,0.289130434782609,-0.370770555017903,-0.355416224309242,-0.355416224309242,-0.355416224309242,0.540059669953182,0.374819937086452,0.320759656257359,-0.311156370702535,-0.287115059221658,-0.299317204656369,-0.268333333333333,-0.285751313183501,-0.267383966244726,-0.243333333333333,0.47721454256338,-0.243333333333333,-0.216666666666667,-0.216666666666667,-0.363646392367323,0.2,0.2,-0.2,-0.299877874713077,0.27025025025025,0.32902989647539
"cateninmemb",-0.355534315677685,-0.334558889022525,-0.310466479781601,-0.281262939958592,-0.259523809523809,-0.308219629868091,-0.340299547196099,-0.266666666666667,-0.318077324973877,-0.293939393939394,-0.111955751447584,-0.100137585991245,-0.276644108971022,-0.0939837398373984,-0.189036660152301,-0.317438055165965,-0.295698924731183,-0.151315789473684,-0.266666666666667,-0.190553087635722,-0.125,-0.233333333333333,-0.332599402674977,-0.310745098039216,-0.281333333333333,-0.223671328671329,-0.415228786966027,-0.348768556005398,-0.348768556005398,0.267947178871549,-0.348749476910977,-0.334228928965771,-0.334228928965771,-0.334228928965771,0.339976494147443,0.355906917484268,0.305024506048669,-0.21284153214335,-0.190121654501217,-0.201223274881939,-0.173333333333333,-0.188822219472968,-0.172033898305085,-0.15,0.458060979205798,-0.15,-0.12,-0.12,-0.341932393847287,0.2,0.1,-0.1,-0.282349450239727,0.174952153110048,0.320018035139433
"KLF4",-0.353632818142424,-0.329605025358886,-0.302561000201654,-0.28187134502924,-0.255555555555556,-0.300444864789127,-0.340714285714286,-0.2,-0.315714285714286,-0.28,-0.109033613445378,-0.10050505050505,-0.365970317951742,-0.0893939393939394,-0.27025025025025,-0.313768115942029,-0.283333333333333,-0.22,-0.25,-0.274688346883469,-0.2,-0.2,-0.330614035087719,-0.301666666666667,-0.275,-0.240418118466899,-0.415416645419546,-0.335284090909091,-0.335284090909091,0.255797101449275,-0.355416224309242,-0.336416224309242,-0.336416224309242,-0.336416224309242,0.519119499013011,0.34452380952381,0.308355368355368,-0.299317204656369,-0.268333333333333,-0.285751313183501,-0.243333333333333,-0.267383966244726,-0.243333333333333,-0.216666666666667,0.55020202020202,-0.216666666666667,-0.2,-0.2,-0.343031007751938,0.1,0.2,-0.2,-0.292091821903328,0.245925925925926,0.30296354576449
"ZEB2",-0.246843296162722,-0.236595613779506,-0.227341882436222,-0.211786326880667,-0.194805194805195,-0.170544375837443,-0.170246272741611,-0.158333333333333,-0.157988208225482,-0.153070175438596,-0.146407624633431,-0.139587087743854,-0.139040019106425,-0.137102615694165,-0.136934170564013,-0.133107060706071,-0.128156565656566,-0.126050420168067,-0.123611111111111,-0.120548379471129,-0.114285714285714,-0.111111111111111,-0.110676741401379,-0.104503901895206,-0.0943589743589744,-0.0755371775990333,-0.0668567673046956,-0.0547273374600477,-0.0547273374600477,-0.0505812628823645,-0.034757781900639,-0.027687074829932,-0.027687074829932,-0.027687074829932,-0.0142507417179111,0.0178161881977672,0.0223417009363222,0.0229558545410357,0.0274123292727944,0.0280169365654685,0.0320634920634921,0.0337640630022501,0.0384699453551913,0.04,0.0453121522963376,0.0466666666666667,0.06,0.0666666666666667,0.0683581603581604,0.1,0.1,0.1,0.101652979813154,0.132543926661574,0.184037897298517
