"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.430894234273635,-0.449816834609461,-0.419486504279131,-0.377551020408163,-0.314285714285714,-0.435099023914616,-0.338749481063588,-0.28,-0.388245877061469,-0.336521739130435,-0.100476967398654,-0.107825792078763,-0.0933521078682369,-0.173288130309407,-0.182891545391545,-0.378697098062183,-0.155968468468468,-0.120833333333333,-0.136190476190476,-0.10952380952381,-0.214725321162948,-0.0833333333333333,-0.234082428072947,-0.206371584699454,-0.168666666666667,-0.220952380952381,0.551603174603175,-0.55145372049806,-0.598663120572885,-0.598663120572885,0.534534865226109,-0.364329418423659,-0.334486486486486,-0.334486486486486,-0.334486486486486,0.61530948043837,0.321962964159907,0.61073948328457,-0.413372076640287,-0.372120342648037,-0.394771708316162,-0.347569444444444,-0.3728669464114,-0.348476702508961,-0.319444444444444,-0.319444444444444,-0.277777777777778,-0.277777777777778,-0.413912052859421,0.0333333333333333,0.0761904761904762,-0.2,-0.36157383957153,0.154139194139194,0.350020094847681
"SUFU",-0.489822318437505,-0.581677415778512,-0.552022243364719,-0.514598930481283,-0.476363636363636,-0.45365144979631,-0.402532557475581,-0.353846153846154,-0.424679487179487,-0.391346153846154,-0.156829443457827,-0.153576129350548,-0.144352828379674,-0.356049571343689,-0.287763791648046,-0.327775874959444,-0.265136054421769,-0.23452380952381,-0.316078431372549,-0.286666666666667,-0.263226685000241,-0.192857142857143,-0.373772473584159,-0.348084400189663,-0.313873873873874,-0.282185039370079,0.50053210389795,-0.500216526125623,-0.557040860306223,-0.557040860306223,0.436493459726204,-0.415428717409689,-0.393315214474268,-0.393315214474268,-0.393315214474268,0.521971042147671,0.359027830758512,0.569222197553618,-0.304272063664258,-0.373511630451088,-0.287617733538425,-0.348638534004388,-0.268142078107714,-0.243399810066477,-0.316931216931217,-0.212535612535613,-0.276190476190476,-0.171794871794872,-0.40484638408629,0.15,0.253333333333333,-0.133333333333333,-0.321157304873576,0.338300653594771,0.414474298080436
"Patched",-0.386842105263158,-0.476363636363636,-0.44,-0.4,-0.3,-0.353846153846154,-0.321264367816092,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.286666666666667,-0.192857142857143,-0.228857142857143,-0.15,-0.1,-0.333333333333333,-0.3,-0.189333333333333,0,-0.273333333333333,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.401315136476427,-0.433333333333333,-0.433333333333333,0.33179646440516,-0.337931034482759,-0.3,-0.3,-0.3,0.401846153846154,0.294871794871795,0.440476190476191,-0.243399810066477,-0.276190476190476,-0.212535612535613,-0.233333333333333,-0.171794871794872,-0.133333333333333,-0.2,-0.1,-0.2,-0.1,-0.303508771929825,0,0.2,-0.1,-0.27823051948052,0.253333333333333,0.302857142857143
"GSK3",-0.238276097989282,-0.263607683731339,-0.251495007675001,-0.237841871143636,-0.203188405797101,-0.210296472052543,-0.142942432747957,-0.119607843137255,-0.190769844833608,-0.164052287581699,-0.0885482716696657,-0.085406014411374,-0.0763983808235878,-0.137442283224813,-0.186997223668228,-0.263754726817406,-0.174607843137255,-0.161666666666667,-0.116406926406926,-0.10974025974026,-0.176705534854529,-0.136666666666667,-0.244231059945346,-0.231980347694633,-0.219387755102041,-0.163065410199557,0.354584597442499,-0.390000480362147,-0.381945947485546,-0.381945947485546,0.373878665822388,-0.197427959037866,-0.182043343653251,-0.182043343653251,-0.182043343653251,0.440905867758872,0.00989195946646603,0.387500300082656,-0.342461548292858,-0.318251690062034,-0.331923725818001,-0.30322278832793,-0.318031647746818,-0.303411764705882,-0.291411764705882,-0.291411764705882,-0.279411764705882,-0.279411764705882,-0.361055945004063,0.0866666666666667,0.0954545454545455,-0.25,0.00615826967762466,0.124687181183996,0.174858450901616
"Ecadherin",-0.398162808595674,-0.376571393872663,-0.35342728906917,-0.328139932747331,-0.302766798418972,-0.382068048910154,-0.339457601451774,-0.281818181818182,-0.358383838383838,-0.327272727272727,-0.126799298464584,-0.112593185743445,-0.10430303030303,-0.323208972620628,-0.355741007194245,-0.406598399935828,-0.332,-0.3,-0.284743991640543,-0.260606060606061,-0.334934612655958,-0.26,-0.378562461569994,-0.356241032998565,-0.329411764705882,-0.274512987012987,0.29966504966505,-0.45486557386912,-0.378733704586657,-0.378733704586657,0.559759895695423,-0.39156936123111,-0.376266870127907,-0.376266870127907,-0.376266870127907,0.60071758160753,0.338951633350994,0.388569492527707,-0.353591425198403,-0.326346899224806,-0.340455831978064,-0.307299280177187,-0.325029334700387,-0.306369047619048,-0.286369047619048,-0.286369047619048,-0.267619047619048,-0.267619047619048,-0.386424518743668,0.2,0.233333333333333,-0.253333333333333,-0.318894759525038,0.306695211152739,0.346747370276782
"cateninmemb",-0.398162808595674,-0.376571393872663,-0.35342728906917,-0.328139932747331,-0.302766798418972,-0.382068048910154,-0.339457601451774,-0.281818181818182,-0.358383838383838,-0.327272727272727,-0.126799298464584,-0.112593185743445,-0.10430303030303,-0.323208972620628,-0.355741007194245,-0.406598399935828,-0.332,-0.3,-0.284743991640543,-0.260606060606061,-0.334934612655958,-0.26,-0.378562461569994,-0.356241032998565,-0.329411764705882,-0.274512987012987,0.29966504966505,-0.45486557386912,-0.378733704586657,-0.378733704586657,0.464578746468495,-0.39156936123111,-0.376266870127907,-0.376266870127907,-0.376266870127907,0.602615763889925,0.338951633350994,0.388569492527707,-0.353591425198403,-0.326346899224806,-0.340455831978064,-0.307299280177187,-0.325029334700387,-0.306369047619048,-0.286369047619048,-0.286369047619048,-0.267619047619048,-0.267619047619048,-0.386424518743668,0.2,0.233333333333333,-0.253333333333333,-0.318894759525038,0.306695211152739,0.346747370276782
"miR200",-0.11483080853142,-0.140165614681044,-0.123195917711347,-0.100245098039216,-0.0708333333333333,-0.105306884895926,-0.0996421284923179,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0662021031403054,-0.0719799498746867,-0.221323330832708,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.105322443584175,-0.02,-0.126272679670779,-0.109802091435485,-0.0869950738916256,-0.113401759530792,0.34836093857833,-0.304709766798269,-0.369704363736622,-0.369704363736622,0.386329389461074,-0.277244636948203,-0.260487880191447,-0.260487880191447,-0.260487880191447,0.416722693886016,0.220400627216881,0.30289485719865,-0.317031958630842,-0.294581304771178,-0.30787165328733,-0.281923076923077,-0.297182817182817,-0.284195804195804,-0.265,-0.267272727272727,-0.24,-0.24,-0.33231184563468,0,0.02,-0.2,-0.305292902608308,0.0560897435897436,0.0811767848794497
"RKIP",-0.27525,-0.295470085470085,-0.246581196581197,-0.207692307692308,-0.2,-0.215993031358885,-0.203750389044507,-0.17,-0.184285714285714,-0.17,-0.159581881533101,-0.154807445442875,-0.153754813863928,-0.193892339544513,-0.145714285714286,-0.324941724941725,-0.105714285714286,-0.0857142857142857,-0.133333333333333,-0.1,-0.234415584415584,-0.1,-0.186842105263158,-0.136842105263158,-0.1,-0.0380952380952381,0.329411764705882,-0.606343779042611,-0.364895635673624,-0.364895635673624,0.360253575114256,-0.0672479206187071,-0.0279220779220779,-0.0279220779220779,-0.0279220779220779,0.412252747252747,0.134511784511785,0.373870639164757,-0.365780631353665,-0.323333333333333,-0.347428571428571,-0.273333333333333,-0.321428571428571,-0.271428571428571,-0.2,-0.2,-0.1,-0.1,-0.338947368421053,0.1,0.1,0,0.0147928405298817,0.172463768115942,0.214022209674384
"KLF4",-0.374506894617179,-0.35342728906917,-0.328139932747331,-0.302766798418972,-0.263636363636364,-0.358383838383838,-0.321461312026913,-0.2,-0.327272727272727,-0.281818181818182,-0.111306340718105,-0.10430303030303,-0.0906666666666667,-0.306695211152739,-0.332,-0.385357349816496,-0.3,-0.26,-0.260606060606061,-0.233333333333333,-0.318219070133964,-0.2,-0.356241032998565,-0.329411764705882,-0.3,-0.268452380952381,0.264529914529915,-0.433946787979046,-0.348707594926082,-0.348707594926082,0.536667112190268,-0.376266870127907,-0.357881219903692,-0.357881219903692,-0.357881219903692,0.67258980875926,0.326641813157356,0.35740859639736,-0.340455831978064,-0.307299280177187,-0.325029334700387,-0.286369047619048,-0.306369047619048,-0.286369047619048,-0.267619047619048,-0.267619047619048,-0.253333333333333,-0.253333333333333,-0.366995947315096,0.1,0.2,-0.233333333333333,-0.311097729822068,0.284743991640543,0.320696950108715
"ZEB2",-0.239145256916996,-0.227241808470859,-0.219420579420579,-0.207532467532468,-0.194805194805195,-0.164937957198851,-0.164235865940471,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132574123989218,-0.128690476190476,-0.128415727614201,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112744361977491,-0.111111111111111,-0.101795216950811,-0.0965929048120829,-0.0897435897435897,-0.0691456582633053,-0.0523565158559132,-0.0516218641951483,-0.0511943961550261,-0.0511943961550261,-0.0396736991946897,-0.0231043372209165,-0.016751396044446,-0.016751396044446,-0.016751396044446,0.00887225854314461,0.0123551376616119,0.014534796191952,0.0429658170677947,0.0444937857841084,0.0466940689319206,0.0498701298701299,0.0514559736938254,0.056890756302521,0.0584415584415584,0.0657142857142857,0.0727272727272727,0.08,0.0846768723788826,0.1,0.1,0.1,0.113286949877214,0.127857142857143,0.178700043917435
