"","FOXC2","TGF","TGFR","CDC42","PAK1","TWIST1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","miR200","Ecadherin","cateninnuc","GLI","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.40622809548541,-0.438259488824967,-0.403776730204277,-0.359014825442372,-0.298039215686275,-0.314659942755895,-0.436191082540921,-0.346412561527891,-0.28,-0.388245877061469,-0.336521739130435,-0.0964530892448512,-0.101422282120395,-0.0887556154537286,-0.179581708613967,-0.186647401213314,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.230595238095238,-0.10952380952381,-0.0833333333333333,-0.244273504273504,-0.212051282051282,-0.17051282051282,-0.210805860805861,-0.555140146611654,0.55255945875618,-0.601141337161801,-0.601141337161801,0.561578697713869,-0.377708040640971,-0.344063180827887,-0.344063180827887,-0.344063180827887,0.335320505309493,0.612938740150235,0.640858309938278,-0.442109898058554,-0.394451178451178,-0.420781484774421,-0.395390859774421,-0.364148148148148,-0.365134449518011,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.430787417351232,0.0333333333333333,0.0761904761904762,-0.2,-0.381075165967004,0.158556067588326,0.354234654234654
"SUFU",-0.509623015873016,-0.599011078342408,-0.568281911675741,-0.530350877192982,-0.49,-0.389358453058643,-0.457201024704611,-0.408612070008394,-0.35,-0.425979305247598,-0.389393939393939,-0.152177119791876,-0.146976481171274,-0.138152951759509,-0.36035195243078,-0.290999333999334,-0.266523809523809,-0.23452380952381,-0.318095238095238,-0.277086460709102,-0.286666666666667,-0.192857142857143,-0.383563993418893,-0.355832900981918,-0.320893141945774,-0.275306177614206,-0.50007044808601,0.501659850034083,-0.560005421817393,-0.560005421817393,0.458309846460559,-0.428370008387025,-0.40392556394258,-0.40392556394258,-0.40392556394258,0.372214482431491,0.57194959575339,0.519550276697523,-0.333010230496846,-0.39674087816945,-0.314209769135831,-0.292155388471178,-0.369393939393939,-0.264882661198451,-0.336060606060606,-0.232251082251082,-0.296666666666667,-0.192857142857143,-0.425793612195713,0.15,0.253333333333333,-0.15,-0.34226051973532,0.341499493414387,0.417876539352756
"Patched",-0.404166666666667,-0.49,-0.45,-0.4,-0.3,-0.283333333333333,-0.35,-0.323333333333333,-0.1,-0.3,-0.2,-0.1,-0.113939393939394,-0.0939393939393939,-0.286666666666667,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.198857142857143,-0.3,0,-0.278787878787879,-0.233333333333333,-0.2,-0.233333333333333,-0.398875,0.355555555555556,-0.433333333333333,-0.433333333333333,0.345989010989011,-0.343846153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.303502188868043,0.440476190476191,0.395734126984127,-0.264882661198451,-0.296666666666667,-0.232251082251082,-0.192857142857143,-0.25,-0.15,-0.2,-0.1,-0.2,-0.1,-0.319047619047619,0,0.2,-0.1,-0.292641219497203,0.253333333333333,0.302857142857143
"GSK3",-0.20514619923792,-0.24580650130187,-0.230596145314815,-0.213565577629225,-0.176356275303644,-0.136714252396435,-0.211129251437689,-0.149290798058354,-0.119607843137255,-0.189721626804258,-0.163004069552349,-0.0837385478001291,-0.0795637475666432,-0.0710366157836975,-0.142011055125809,-0.189533198517021,-0.17562015503876,-0.161666666666667,-0.117936981051735,-0.190261659200323,-0.10974025974026,-0.136666666666667,-0.254006496215507,-0.238580964300614,-0.222268907563025,-0.153035230108725,-0.393472962833228,0.355484535070584,-0.38430289392558,-0.38430289392558,0.404644610663699,-0.210641802511956,-0.192559013840932,-0.192559013840932,-0.192559013840932,0.0218498034253537,0.389609413355692,0.472468142342726,-0.369665229780208,-0.342231455008943,-0.357520343416572,-0.34215032444124,-0.324409672830725,-0.32465032444124,-0.306842105263158,-0.306842105263158,-0.286842105263158,-0.286842105263158,-0.380968628338816,0.0866666666666667,0.0954545454545455,-0.25,-0.0104530567894254,0.127936981051735,0.178313494196733
"Ecadherin",-0.346982478263755,-0.409595414539513,-0.383923042901371,-0.354511278195489,-0.322368421052632,-0.332581910183428,-0.386639123588276,-0.347249695700877,-0.28,-0.359520479520479,-0.325454545454545,-0.113470695970696,-0.0937701664537771,-0.0851539784642209,-0.328125107749821,-0.358850574712644,-0.333333333333333,-0.3,-0.287272727272727,-0.355737316790464,-0.260606060606061,-0.26,-0.391870316063864,-0.367676767676768,-0.338787878787879,-0.279132727652464,-0.454475425763992,0.301566161055617,-0.382995040199703,-0.382995040199703,0.59506175306225,-0.407733335705686,-0.389760985475271,-0.389760985475271,-0.389760985475271,0.354334393133498,0.392575535285237,0.589121494191352,-0.389678297124436,-0.358575229801645,-0.374789287920321,-0.357528232285514,-0.337820512820513,-0.337073686830968,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.412260914900816,0.2,0.233333333333333,-0.266666666666667,-0.340417607693826,0.310528541226216,0.351068286552158
"cateninmemb",-0.346982478263755,-0.409595414539513,-0.383923042901371,-0.354511278195489,-0.322368421052632,-0.332581910183428,-0.386639123588276,-0.347249695700877,-0.28,-0.359520479520479,-0.325454545454545,-0.113470695970696,-0.0937701664537771,-0.0851539784642209,-0.328125107749821,-0.358850574712644,-0.333333333333333,-0.3,-0.287272727272727,-0.355737316790464,-0.260606060606061,-0.26,-0.391870316063864,-0.367676767676768,-0.338787878787879,-0.279132727652464,-0.454475425763992,0.301566161055617,-0.382995040199703,-0.382995040199703,0.498662973531076,-0.407733335705686,-0.389760985475271,-0.389760985475271,-0.389760985475271,0.354334393133498,0.392575535285237,0.590921288185944,-0.389678297124436,-0.358575229801645,-0.374789287920321,-0.357528232285514,-0.337820512820513,-0.337073686830968,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.412260914900816,0.2,0.233333333333333,-0.266666666666667,-0.340417607693826,0.310528541226216,0.351068286552158
"RKIP",-0.261693404634581,-0.296581196581197,-0.246581196581197,-0.207692307692308,-0.2,-0.191360412637008,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.154764914874029,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.258543536260005,-0.1,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.055831608005521,-0.615477894236145,0.332663797226208,-0.372663797226208,-0.372663797226208,0.471815515196904,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.164381402679275,0.380952950808151,0.535728189063574,-0.374220460684296,-0.32,-0.3503359462486,-0.318421052631579,-0.27,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0222772021332673,0.184,0.226050420168067
"miR200",-0.0777128787302874,-0.116254154903642,-0.0981729740918343,-0.0754006968641115,-0.0485714285714286,-0.0794603943272224,-0.10330736625043,-0.100992433600711,-0.0142857142857143,-0.0791694352159468,-0.0442857142857143,-0.0102279368790181,-0.011892915080312,-0.00639129695733469,-0.0665869811588044,-0.0719799498746867,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.109741797352464,-0.0325,-0.02,-0.128847290640394,-0.111133004926108,-0.0869950738916256,-0.0997235023041475,-0.297864366658367,0.34836093857833,-0.369994317685112,-0.369994317685112,0.398057604751293,-0.281259630954288,-0.263193473193473,-0.263193473193473,-0.263193473193473,0.2250320727139,0.3030886479837,0.427518043378991,-0.329045855028171,-0.303254237288136,-0.318489851804964,-0.306041719024881,-0.288,-0.290434782608696,-0.268,-0.270434782608696,-0.24,-0.24,-0.338863398723411,0,0.02,-0.2,-0.312305250643147,0.0560897435897436,0.0816828810377197
"KLF4",-0.320425101214575,-0.383923042901371,-0.354511278195489,-0.322368421052632,-0.275,-0.307248576850095,-0.359520479520479,-0.327999269806499,-0.2,-0.325454545454545,-0.28,-0.0977564102564102,-0.0851539784642209,-0.0719756838905775,-0.310528541226216,-0.333333333333333,-0.3,-0.26,-0.260606060606061,-0.33767115902965,-0.233333333333333,-0.2,-0.367676767676768,-0.338787878787879,-0.305454545454545,-0.269757727652464,-0.43225320354177,0.265618448637317,-0.351481392557023,-0.351481392557023,0.569795390809586,-0.389760985475271,-0.3683324140467,-0.3683324140467,-0.3683324140467,0.340253247548772,0.359890710382514,0.659780901329888,-0.374789287920321,-0.337820512820513,-0.357528232285514,-0.337073686830968,-0.31474358974359,-0.31474358974359,-0.291666666666667,-0.291666666666667,-0.266666666666667,-0.266666666666667,-0.390320961090192,0.1,0.2,-0.233333333333333,-0.330633879578481,0.287272727272727,0.32379555927943
"ZEB2",-0.258136213198748,-0.241333333333333,-0.233333333333333,-0.222222222222222,-0.211111111111111,-0.175312294543064,-0.166738208225482,-0.165301167411823,-0.158333333333333,-0.157988208225482,-0.153070175438596,-0.148311258278146,-0.140402910959298,-0.139145049324077,-0.134146261433083,-0.129606918238994,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114989693836956,-0.114285714285714,-0.111111111111111,-0.102487604476555,-0.0964102564102564,-0.0897435897435897,-0.075168212402255,-0.0617570153165256,-0.0523565158559132,-0.0514510164116463,-0.0514510164116463,-0.0356173338280964,-0.0246981131318481,-0.0174453658791008,-0.0174453658791008,-0.0174453658791008,0.0131371854716863,0.0146934759761475,0.0154069187377222,0.0391443308673763,0.0431940255636938,0.0438600035442141,0.0501562998405104,0.0503030303030303,0.0573333333333333,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.084015535292131,0.1,0.1,0.1,0.111345221979628,0.129029982363316,0.179182522332875
