"","FOXC2","TGF","TGFR","CDC42","MEK","SOSGRB2","PAK1","ERK","EGR1","cfos","SNAI1","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.405643879173291,0.410243407707911,0.276470588235294,0.352941176470588,0.2,0.288235294117647,0.37146790711633,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.448322008191805,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,-0.286538461538462,0.378588839941263,0.378588839941263,0.710777486540221,-0.63753975365315,0.445995897363012,0.414032427043377,0.414032427043377,0.414032427043377,-0.808795441395151,-0.386470390385003,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.331736263736264,0.409088572491298,0.416770048102976,0.299428571428571,0.381565636711481,0.305797101449275,0.348654244306418,0.338464326718869,0.125144098798497,0.113534581834718,0.104121212121212,0.217983443951747,0.350479166666667,0.330166666666667,0.324932174627243,0.304166666666667,0.18792349726776,0.163333333333333,0.248442217972693,0.270833333333333,0.378239330633891,0.357784785179346,0.332203389830509,-0.301618152507832,0.382946233909949,0.382946233909949,0.464462224689976,-0.410140467636894,0.3998665998666,0.382358182358182,0.382358182358182,0.382358182358182,-0.493545418999547,-0.339091339124484,-0.390226954822903,0.182479914887107,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319913373360756,-0.204693683603163,-0.353189011980575
"AKT",0.278358212604682,0.298249873938228,0.273778574844572,0.233941176470588,0.263532190215783,0.331410256410256,0.177941176470588,0.224291683886669,0.123809523809524,0.176750700280112,0.19759177533205,0.090581791983743,0.0955497091765999,0.0830917967186875,0.150998650472335,0.205466428995841,0.286274509803922,0.300363520264519,0.252941176470588,0.115384615384615,0.1,0.203775415359591,0.2,0.265726562972826,0.242555831265509,0.203846153846154,-0.370175438596491,0.404960518367885,0.404960518367885,0.425085029922244,-0.428577766723433,0.263767801324494,0.23316539168594,0.23316539168594,0.23316539168594,-0.504805243283358,-0.208299779670747,-0.40598605092337,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00445179867071142,-0.132051282051282,-0.195587532671932
"RAS",0.368253968253968,0.387454863133372,0.327058823529412,0.28,0.562074303405573,0.427272727272727,0.26,0.497368421052632,0.4,0.45,0.338918387413963,0.189130434782609,0.185776128633271,0.17965367965368,0.212926553672316,0.336666666666667,0.286666666666667,0.391882160392799,0.266666666666667,0.133333333333333,0.1,0.274204612655234,0.3,0.395332671300894,0.336842105263158,0.3,-0.366428571428571,0.416944035346097,0.416944035346097,0.607403760360341,-0.406722830016964,0.303461538461538,0.347692307692308,0.347692307692308,0.347692307692308,-0.485967210775395,-0.25687338501292,-0.424953846153846,0.417065720906854,0.338970588235294,0.382788100510253,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0433174619221131,-0.177333333333333,-0.481716981132075
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.284190476190476,0.433823529411765,0.35,0.210857142857143,0.1,0.142857142857143,0.293560927339553,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.264285714285714,0.532941176470588,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.394391758901869,0.347912885662432,0.347912885662432,0.347912885662432,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"CD44",0.39125,0.383333333333333,0.35,0.3,0.66,0.585714285714286,0.2,0.6,0.4,0.5,0.403163211057948,0.226315789473684,0.232086167800453,0.205555555555556,0.197272727272727,0.4,0.366666666666667,0.363369963369963,0.3,0.15,0.1,0.203916083916084,0.2,0.379699248120301,0.342857142857143,0.3,-0.277777777777778,0.43015873015873,0.43015873015873,0.468336108336108,-0.146373626373626,0.41047619047619,0.361904761904762,0.361904761904762,0.361904761904762,-0.291684399088047,-0.273214285714286,-0.43897233201581,0.135354800238521,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.169049437957001,-0.17,-0.500740740740741
"RAF",0.360492189802535,0.37595015576324,0.313333333333333,0.246666666666667,0.546881878209831,0.529777777777778,0.2,0.472413793103448,0.4,0.4,0.29680495998689,0.221718931475029,0.214301253617018,0.207370560547711,0.25648087431694,0.321861471861472,0.264285714285714,0.420614973262032,0.214285714285714,0.173333333333333,0.133333333333333,0.297408844692376,0.2,0.358508158508159,0.296969696969697,0.233333333333333,-0.375705404112865,0.431705404112865,0.431705404112865,0.703238328379087,-0.502273702273702,0.282742257742258,0.228896103896104,0.228896103896104,0.228896103896104,-0.593586143407146,-0.255673758865248,-0.437280154392923,0.403630753871815,0.327692307692308,0.368770702981229,0.27,0.326113360323887,0.268421052631579,0.2,0.2,0.1,0.1,0.342334739803094,-0.2,-0.1,0,0.0021648380606598,-0.225333333333333,-0.376750700280112
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.29976461038961,0.328647526807333,0.145454545454545,0.257056277056277,0.146666666666667,0.201212121212121,0.166985597321549,0.0788621262458472,0.0860884467791811,0.072463768115942,0.141855855525871,0.218266666666667,0.196666666666667,0.294960261804582,0.155,0.108513708513709,0.0873015873015873,0.188399625595777,0.105,0.271464646464647,0.246464646464646,0.201010101010101,-0.399880772821949,0.437214226633582,0.437214226633582,0.440078869716123,-0.442370015831975,0.262211674669081,0.231309563344705,0.231309563344705,0.231309563344705,-0.51709854555252,-0.152746187653757,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0500354615631174,-0.124642740771773,-0.187433999978155
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.257292852624921,0.123070607553366,0.140909090909091,0.236862745098039,0.233333333333333,0.213333333333333,0.14981513824296,0.0613333333333333,0.0678605141873508,0.0644122383252818,0.0645925087466557,0.0522841000807103,0.0438095238095238,0.0802251471666764,0.02,0.045,0.025,0.068589510595417,0,0.0384295203255797,0.0258081611022788,-0.00392156862745098,-0.326728064963359,0.442935269858347,0.442935269858347,0.106131220626014,-0.0628629869659736,-0.0117340561460687,-0.026659429280397,-0.026659429280397,-0.026659429280397,-0.205847869013171,0.04043391188251,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0636695348791481,-0.0566279069767442,-0.176645752895753
"SOSGRB2",0.422539682539683,0.437986127347829,0.379120879120879,0.321428571428571,0.68978978978979,0.648611111111111,0.271428571428571,0.623123123123123,0.5,0.555555555555556,0.424810234541578,0.319981060606061,0.316511015865855,0.306021505376344,0.347496333542845,0.516008771929825,0.470175438596491,0.44463768115942,0.433333333333333,0.266666666666667,0.233333333333333,0.395869305521431,0.4,0.554230276765488,0.499300699300699,0.445454545454545,-0.392719298245614,0.445576441102757,0.445576441102757,0.715009198200703,-0.515103311103311,0.584021439953643,0.525047080979284,0.525047080979284,0.525047080979284,-0.602750104166312,-0.394790520372568,-0.452849151088574,0.420885199948079,0.33731884057971,0.383600305110603,0.275,0.336231884057971,0.273913043478261,0.2,0.2,0.1,0.1,0.349566831683168,-0.3,-0.2,0,-0.0539063844432972,-0.312612612612613,-0.514437134502924
