"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","RKIP","SNAI1","HEY1","TWIST1","SHH","SMAD","AKT","ILK","IKK","NFB","Csn","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","EGR1","MEK","ERK","cfos","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched"
"TrCP",-0.400095930718797,-0.427513598583994,-0.393633817163229,-0.348179271708683,-0.295238095238095,-0.322153465346535,-0.271388684979845,-0.297872930167423,-0.0612612811241438,-0.36544504046678,-0.148972293337885,-0.0655026455026455,-0.164156920077973,-0.0551800648574842,-0.132675438596491,-0.0958333333333333,-0.0583333333333333,-0.109984639016897,-0.205731509884117,-0.080952380952381,-0.227252747252747,-0.195384615384615,-0.153846153846154,0.514954462659381,0.546882770691672,-0.560044576625862,-0.560044576625862,-0.510520640467051,-0.376959624943843,-0.346050534034752,-0.346050534034752,-0.346050534034752,0.238361471861472,0.616647767968169,0.572332978722946,-0.386556363809252,-0.431430750655059,-0.411016957551611,-0.359727095516569,-0.387313253847907,-0.360580580580581,-0.328148148148148,-0.328148148148148,-0.04,-0.0963831982313928,-0.0803831982313928,-0.0617391304347826,-0.28,-0.28,-0.424379279363014,0.0333333333333333,0.0476190476190476,-0.2,-0.390590930992765,0.130972293337885
"SUFU",-0.491845955695262,-0.589163323590492,-0.55780237684493,-0.519504504504505,-0.481666666666667,-0.380511593669488,-0.34515931458494,-0.396471121366579,-0.134541414583321,-0.340652507034131,-0.351797706797707,-0.127278185157199,-0.286962460358434,-0.119656938044035,-0.263472527472527,-0.228857142857143,-0.192857142857143,-0.311666666666667,-0.275716111817477,-0.278333333333333,-0.38520202020202,-0.357424242424242,-0.318787878787879,0.493794651134889,0.465458021917272,-0.549660750713687,-0.549660750713687,-0.505817724907768,-0.438800697284816,-0.413484241588614,-0.413484241588614,-0.413484241588614,0.360256058281865,0.514866808212841,0.562231579040316,-0.405453881104439,-0.341816690270193,-0.32314661354385,-0.379059829059829,-0.301407483109067,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.0430769230769231,-0.0781061589425493,-0.0708721163893578,-0.0582284382284382,-0.3,-0.196666666666667,-0.435039963518347,0.15,0.253333333333333,-0.15,-0.354741054236627,0.332878787878788
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.3,-0.274285714285714,-0.312365591397849,-0.0897435897435897,-0.240740740740741,-0.278333333333333,-0.103333333333333,-0.192857142857143,-0.0833333333333333,-0.15,-0.1,0,-0.333333333333333,-0.196190476190476,-0.3,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.407049808429119,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.28974358974359,0.395064724919094,0.440476190476191,-0.3,-0.275091693635383,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,0.1,-0.0430769230769231,-0.02,0,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.30045954045954,0.253333333333333
"Ecadherin",-0.417415634288119,-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.330628780355692,-0.299933177220497,-0.352900976778937,-0.116785291297727,-0.436636725453682,-0.338607548048429,-0.100801908972874,-0.365868205868206,-0.0928115942028986,-0.33989417989418,-0.302857142857143,-0.26,-0.297916666666667,-0.370765430681788,-0.266666666666667,-0.402711321319014,-0.376317269274404,-0.342296650717703,0.30464135021097,0.620341968329773,-0.386742452031948,-0.386742452031948,-0.485564420405835,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.359391118632133,0.603648344466991,0.396273945380091,-0.377230529741969,-0.411986918802209,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.147272727272727,-0.19165518128526,-0.184204200893103,-0.170802139037433,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.35459737071784,0.320497311827957
"cateninmemb",-0.417415634288119,-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.330628780355692,-0.299933177220497,-0.352900976778937,-0.116785291297727,-0.436636725453682,-0.338607548048429,-0.100801908972874,-0.365868205868206,-0.0928115942028986,-0.33989417989418,-0.302857142857143,-0.26,-0.297916666666667,-0.370765430681788,-0.266666666666667,-0.402711321319014,-0.376317269274404,-0.342296650717703,0.30464135021097,0.524433527272179,-0.386742452031948,-0.386742452031948,-0.485564420405835,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.359391118632133,0.604723236665716,0.396273945380091,-0.377230529741969,-0.411986918802209,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.147272727272727,-0.19165518128526,-0.184204200893103,-0.170802139037433,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.35459737071784,0.320497311827957
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.118549323017408,-0.0740489855154411,-0.102694157694158,-0.0134180790960452,-0.228397471649005,-0.0691822601357549,-0.0152275475742061,-0.0727706057596822,-0.00989839396919043,-0.0557894736842105,-0.0357894736842105,-0.02,-0.0458333333333333,-0.113281131623112,-0.0325,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.34836093857833,0.406960753020097,-0.370282258064516,-0.370282258064516,-0.314441739160126,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.225719806384285,0.440221966343664,0.303281447511538,-0.306709178145798,-0.336645853368746,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.0142857142857143,-0.048126159554731,-0.0379220779220779,-0.0242857142857143,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245
"GSK3",-0.233565365682869,-0.263730670178178,-0.24578195222946,-0.22592132505176,-0.194492753623188,-0.223843311160384,-0.10848993112151,-0.132498916654629,-0.0697136861260747,-0.269178588045129,-0.129306825435754,-0.0614155546956196,-0.183502063071029,-0.0561681783837755,-0.166408045977012,-0.149166666666667,-0.124166666666667,-0.104461667364893,-0.182448512681308,-0.0915584415584415,-0.250219290513408,-0.232816693110811,-0.213935574229692,0.338904164645181,0.405891636795366,-0.368035476288483,-0.368035476288483,-0.386975758999873,-0.213680085303156,-0.196033026479627,-0.196033026479627,-0.196033026479627,0.00153866350552435,0.471968533827497,0.373334125250157,-0.343370565703938,-0.371199493273884,-0.358699493273884,-0.325917735515259,-0.343294328536573,-0.326151471393716,-0.308270676691729,-0.308270676691729,-0.0592156862745098,-0.084424858194208,-0.0741975854669353,-0.0629193899782135,-0.286842105263158,-0.286842105263158,-0.381924332831136,0.0866666666666667,0.0772727272727273,-0.25,-0.016446415288005,0.117345102947715
"RKIP",-0.286811081638668,-0.313413440142412,-0.267619047619048,-0.22,-0.2,-0.132761904761905,-0.00644257703081231,-0.197212283433025,-0.135656213704994,-0.36592394533571,-0.189311475409836,-0.132774628553998,-0.144047619047619,-0.127824133504493,-0.110714285714286,-0.0857142857142857,-0.1,-0.14,-0.245866682836123,-0.1,-0.202719502719503,-0.156565656565657,-0.111111111111111,0.332663797226208,0.47362909127615,-0.364663797226208,-0.364663797226208,-0.607793903363059,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.142710795902285,0.536644885956278,0.374751400420554,-0.32,-0.375461213488534,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.03,-0.107879677182685,-0.0972413793103448,-0.08,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0278187233081386,0.168
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.310891938250429,-0.281581117295403,-0.33328072361438,-0.104033613445378,-0.412614379084967,-0.320497311827957,-0.0928115942028986,-0.33989417989418,-0.0826666666666667,-0.302857142857143,-0.26,-0.2,-0.266666666666667,-0.351772295670347,-0.233333333333333,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.266666666666667,0.592777865765671,-0.354514963880289,-0.354514963880289,-0.461663156107219,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.343276328345158,0.672976484681208,0.362568172568173,-0.353897196408636,-0.395647049521164,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.12,-0.184204200893103,-0.170802139037433,-0.147272727272727,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342481806878138,0.297916666666667
"ZEB2",-0.22442735042735,-0.215150140864427,-0.207742733457019,-0.20025974025974,-0.194805194805195,-0.17007326007326,-0.15280193236715,-0.144279578732238,-0.125117302052786,-0.118333111453103,-0.11708584098828,-0.116303921087501,-0.11613707165109,-0.11569416498994,-0.113333333333333,-0.111111111111111,-0.111111111111111,-0.108571428571429,-0.100645779254369,-0.1,-0.093635981504834,-0.0887179487179487,-0.0820512820512821,-0.063954212387318,-0.0480425111516086,-0.0368738542957035,-0.0368738542957035,-0.0303489402654469,-0.0227126264171232,-0.0173593073593074,-0.0173593073593074,-0.0173593073593074,-0.00935188422621722,-0.00493119000887491,0.000173982846783885,0.0480319069309895,0.0485600863732813,0.0515470993602943,0.0517016317016317,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0666666666666667,0.0674845059146687,0.0687040181097906,0.0719298245614035,0.0727272727272727,0.08,0.0874933309354674,0.1,0.1,0.1,0.11077473388523,0.113449477351916
