"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","TWIST1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","miR200","Ecadherin","cateninnuc","GLI","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.275460347301242,-0.326382087857498,-0.306709956709957,-0.280952380952381,-0.247619047619048,-0.429674281503316,-0.343449207208006,-0.385674281503316,-0.28,-0.336521739130435,-0.0911463385954082,-0.0082943722943723,-0.0928742106161461,-0.0831967912613074,-0.175074586106844,-0.185453216374269,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.224504516019087,-0.10952380952381,-0.0833333333333333,-0.242820512820513,-0.212051282051282,-0.17051282051282,-0.17516501650165,-0.492874406076845,0.55255945875618,-0.600689101916495,-0.600689101916495,0.534555187817239,-0.372346830331048,-0.342346830331048,-0.342346830331048,-0.342346830331048,0.332808441558442,0.61258095608648,0.586081206802303,-0.424517556135856,-0.388212333000523,-0.408655487170339,-0.389025857540709,-0.362358674463938,-0.363283283283283,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.426103417294048,0.0333333333333333,0.0761904761904762,-0.2,-0.37535701286411,0.157074586106844,0.353491867248773
"SUFU",-0.317821240874926,-0.45535509763824,-0.440167720912402,-0.419954954954955,-0.398333333333333,-0.433996343592822,-0.390639374074131,-0.408889960614099,-0.338461538461538,-0.377855477855478,-0.139133696755488,-0.0483177340072364,-0.131413281396892,-0.124715821812596,-0.340360945360945,-0.276585588907737,-0.25578021978022,-0.228857142857143,-0.306111111111111,-0.251859364464607,-0.278333333333333,-0.192857142857143,-0.364076479076479,-0.341060606060606,-0.313787878787879,-0.225892528524107,-0.385819265039991,0.49587573486906,-0.549891220207372,-0.549891220207372,0.383022822217041,-0.403125451466839,-0.383821653998485,-0.383821653998485,-0.383821653998485,0.356103383895202,0.562532741338561,0.391603621887431,-0.289260288791114,-0.364133940202713,-0.275705301578838,-0.259129214622316,-0.342200854700855,-0.237324703344121,-0.315277777777778,-0.211111111111111,-0.2875,-0.183333333333333,-0.395660685731224,0.15,0.253333333333333,-0.15,-0.322668055726512,0.32530303030303,0.404158309371859
"Patched",-0.27,-0.398333333333333,-0.373333333333333,-0.333333333333333,-0.233333333333333,-0.338461538461538,-0.318817204301075,-0.3,-0.1,-0.2,-0.0897435897435897,-0.0462962962962963,-0.103333333333333,-0.0833333333333333,-0.278333333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.188783068783069,-0.3,0,-0.278787878787879,-0.233333333333333,-0.2,-0.2,-0.321931034482759,0.355555555555556,-0.433333333333333,-0.433333333333333,0.29915770609319,-0.335096153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.3003663003663,0.440476190476191,0.30730312837109,-0.237324703344121,-0.2875,-0.211111111111111,-0.183333333333333,-0.25,-0.15,-0.2,-0.1,-0.2,-0.1,-0.312554112554113,0,0.2,-0.1,-0.283756243756244,0.253333333333333,0.302857142857143
"GSK3",-0.11936302783304,-0.166963008712744,-0.159014290764026,-0.149606625258799,-0.125797101449275,-0.203910613953184,-0.14446450639575,-0.185160613953184,-0.119607843137255,-0.160348583877996,-0.0780160145009396,0.0399678287420888,-0.0720365091129717,-0.0649900323513525,-0.135650586354702,-0.186276156793398,-0.174310344827586,-0.161666666666667,-0.116191872643486,-0.181749624894839,-0.10974025974026,-0.136666666666667,-0.249681494975613,-0.23695422224834,-0.222268907563025,-0.122528403719555,-0.339113437842579,0.355016575666063,-0.38273650856242,-0.38273650856242,0.377173688039593,-0.202863238879548,-0.187947272492993,-0.187947272492993,-0.187947272492993,0.0173491277779508,0.388232065186939,0.423942862678873,-0.352308533325937,-0.332103983599398,-0.343426954378569,-0.331939866221846,-0.318424738316379,-0.318606532888513,-0.304699248120301,-0.304699248120301,-0.286842105263158,-0.286842105263158,-0.372570255973097,0.0866666666666667,0.0954545454545455,-0.25,-0.00335977142472468,0.124167332766185,0.175703068860964
"RKIP",-0.20201886236369,-0.241352914997775,-0.212380952380952,-0.193333333333333,-0.2,-0.227666911225238,-0.22073762506942,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.0525579322638146,-0.152764714854027,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.258543536260005,-0.1,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0453968253968254,-0.585068485166404,0.332663797226208,-0.372663797226208,-0.372663797226208,0.463489539960128,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.164381402679275,0.380952950808151,0.510681592520254,-0.368592763871992,-0.32,-0.348490982701509,-0.318421052631579,-0.27,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0215419268752797,0.184,0.226050420168067
"Ecadherin",-0.0546103653826108,-0.168025562376288,-0.155909830007391,-0.140787878787879,-0.123454545454545,-0.352647885770991,-0.325232719658025,-0.332647885770991,-0.263636363636364,-0.304812834224599,-0.0800855204803093,0.153293411716021,-0.0566824578025757,-0.0501449275362319,-0.296690055880112,-0.338739778739779,-0.319259259259259,-0.293333333333333,-0.26875,-0.320782909980417,-0.25,-0.26,-0.368086588329525,-0.351357963794209,-0.33177033492823,-0.175716198730101,-0.332944257187918,0.294608532583216,-0.370080798595317,-0.370080798595317,0.510510334290822,-0.380540290030924,-0.368808446455505,-0.368808446455505,-0.368808446455505,0.337201012772176,0.380516344818021,0.42591353231396,-0.342729206304929,-0.323068069248549,-0.333112026099514,-0.322028588988679,-0.309734735915216,-0.30898511072781,-0.29594163246694,-0.29594163246694,-0.284313725490196,-0.284313725490196,-0.381204029611455,0.2,0.233333333333333,-0.266666666666667,-0.320042847059996,0.284879032258064,0.334263177521604
"cateninmemb",-0.0546103653826108,-0.168025562376288,-0.155909830007391,-0.140787878787879,-0.123454545454545,-0.352647885770991,-0.325232719658025,-0.332647885770991,-0.263636363636364,-0.304812834224599,-0.0800855204803093,0.153293411716021,-0.0566824578025757,-0.0501449275362319,-0.296690055880112,-0.338739778739779,-0.319259259259259,-0.293333333333333,-0.26875,-0.320782909980417,-0.25,-0.26,-0.368086588329525,-0.351357963794209,-0.33177033492823,-0.175716198730101,-0.332944257187918,0.294608532583216,-0.370080798595317,-0.370080798595317,0.413319647480702,-0.380540290030924,-0.368808446455505,-0.368808446455505,-0.368808446455505,0.337201012772176,0.380516344818021,0.41889392680821,-0.342729206304929,-0.323068069248549,-0.333112026099514,-0.322028588988679,-0.309734735915216,-0.30898511072781,-0.29594163246694,-0.29594163246694,-0.284313725490196,-0.284313725490196,-0.381204029611455,0.2,0.233333333333333,-0.266666666666667,-0.320042847059996,0.284879032258064,0.334263177521604
"miR200",-0.00410028995394849,-0.0490124369327626,-0.03912871600253,-0.0262254901960784,-0.0125,-0.0985528756957328,-0.0986500536500537,-0.0761038961038961,-0.0142857142857143,-0.0442857142857143,-0.00669491525423729,0.148803752484734,-0.00673010236635504,-0.00265486725663717,-0.0633897450009173,-0.070883813306852,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.105270135059538,-0.0325,-0.02,-0.127517185717069,-0.111133004926108,-0.0869950738916256,-0.0686621534493875,-0.257671622502235,0.34836093857833,-0.369587813620072,-0.369587813620072,0.3811999577639,-0.277027217642843,-0.261316494450823,-0.261316494450823,-0.261316494450823,0.222945493609973,0.302769938560132,0.395686929951365,-0.31765541887665,-0.298397771242842,-0.310231176452407,-0.301104192325423,-0.28630985915493,-0.288744641763625,-0.268,-0.270434782608696,-0.24,-0.24,-0.335161670050996,0,0.02,-0.2,-0.308036181549775,0.0546940928270042,0.080955773562146
"KLF4",-0.0429398848334117,-0.155909830007391,-0.140787878787879,-0.123454545454545,-0.0954545454545455,-0.332647885770991,-0.311625124721316,-0.304812834224599,-0.2,-0.263636363636364,-0.0673338426279603,0.154596949891068,-0.0501449275362319,-0.04,-0.284879032258064,-0.319259259259259,-0.293333333333333,-0.26,-0.25,-0.308654763527327,-0.233333333333333,-0.2,-0.351357963794209,-0.33177033492823,-0.305454545454545,-0.173084619782733,-0.321083932082559,0.262962962962963,-0.344014447884417,-0.344014447884417,0.494869308649797,-0.368808446455505,-0.354102564102564,-0.354102564102564,-0.354102564102564,0.327708739041492,0.353142043142043,0.508678868243853,-0.333112026099514,-0.309734735915216,-0.322028588988679,-0.30898511072781,-0.29594163246694,-0.29594163246694,-0.284313725490196,-0.284313725490196,-0.266666666666667,-0.266666666666667,-0.367389596621764,0.1,0.2,-0.233333333333333,-0.313891868495225,0.26875,0.312914862914863
"ZEB2",-0.252051282051282,-0.239715522572665,-0.234953617810761,-0.228831168831169,-0.223376623376623,-0.168058373707676,-0.166462070388819,-0.159521788341822,-0.158333333333333,-0.153070175438596,-0.150043988269795,-0.142488076156395,-0.14155852563788,-0.140948769540319,-0.13562876148242,-0.130506230529595,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.117122734561631,-0.114285714285714,-0.111111111111111,-0.103514081546868,-0.0964102564102564,-0.0897435897435897,-0.0793589743589744,-0.0620114901783566,-0.0523565158559132,-0.0517351328634275,-0.0517351328634275,-0.0335438389889278,-0.026472695755351,-0.0185497835497835,-0.0185497835497835,-0.0185497835497835,0.0142302239046497,0.0149065019932594,0.0151453500102154,0.0373131452190014,0.0408806484035842,0.0414689893748456,0.0478070175438597,0.0491375291375291,0.056140350877193,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0822796075129498,0.1,0.1,0.1,0.109784506150201,0.130174216027875,0.179710144927536
