"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","cfos","EGR1","AKT","TWIST1","HEY1","IKK","SMAD","ILK","NFB","SHH","SMO","Jagged","NOTCH","FUS","Csn","NOTCHic","Csl","ZEB2","ZEB1","RAS","SOSGRB2","RAF","PI3K","DELTA","SNAI2","cateninmemb","KLF4","Ecadherin","cateninnuc","TCFLEF","GLI","miR200","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","Destcompl","RKIP","GSK3"
"GSK3",-0.531116072829659,-0.564410598238806,-0.546974700802909,-0.522236024844721,-0.483188405797101,-0.390145016805234,-0.35045452356878,-0.37025865316887,-0.345446623093682,-0.304705882352941,-0.303847627468317,-0.453951900045168,-0.133611109703594,-0.290172413793103,-0.126195118348959,-0.11674984098764,-0.268333333333333,-0.207460361949618,-0.161045943304008,-0.273409334112188,-0.375523789935555,-0.128787878787879,-0.243333333333333,-0.352406906818672,-0.32093837535014,-0.556666493964834,-0.556666493964834,-0.462198711756865,-0.282349301294281,-0.458627283185436,-0.458627283185436,-0.458627283185436,-0.535968321567942,0.546255848150732,0.533582866185828,0.6412444759202,-0.491681476957448,-0.477273582220606,-0.455878110926595,0.572749554706993,-0.45616939700244,-0.427104526020935,-0.427597968431011,-0.38984962406015,-0.38984962406015,-0.343421052631579,-0.343421052631579,-0.489515841450707,0.193333333333333,0.0954545454545455,-0.275,0.184972323672106,0.022877646971742,0.401209229367124,0.153432703295737
"TrCP",-0.332595948387766,-0.37450270719316,-0.364120193531958,-0.34593837535014,-0.304761904761905,-0.351107835912552,-0.15907916881966,-0.337774502579219,-0.319130434782609,-0.28,-0.124415204678363,-0.322900244682853,-0.0990063791633595,-0.118859649122807,-0.101416623997269,-0.0917392046424304,-0.108333333333333,-0.180543721909313,-0.138556067588326,-0.227907506816633,-0.206556776556777,-0.10952380952381,-0.0833333333333333,-0.188974358974359,-0.162820512820513,-0.497407416469958,-0.497407416469958,-0.173335241462932,-0.212252475247525,-0.173789786917477,-0.173789786917477,-0.173789786917477,-0.551255459253242,0.54956989488823,0.486248763986469,0.613568482438632,-0.418484350516443,-0.407174005688857,-0.388212333000523,0.515003143235451,-0.389025857540709,-0.362358674463938,-0.363283283283283,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.426103417294048,0.0333333333333333,0.0761904761904762,-0.2,0.159543721909313,-0.468330300162578,0.218156061249984,-0.246082251082251
"AXIN2",-0.419303132464725,-0.437264989404545,-0.41218248115372,-0.380324074074074,-0.339583333333333,-0.387208340211021,-0.371090866616372,-0.361001443659296,-0.324552845528455,-0.273333333333333,-0.352463768115942,-0.412150450906367,-0.0909746750517542,-0.328019323671498,-0.0880089717046239,-0.0772946859903381,-0.294685990338164,-0.283945535338978,-0.226556776556777,-0.395200299113343,-0.377735216419427,-0.188461538461538,-0.255555555555556,-0.346654135338346,-0.307368421052632,-0.439554760140418,-0.439554760140418,-0.409094885654023,-0.240492441951068,-0.401220869905991,-0.401220869905991,-0.401220869905991,-0.539412680419443,0.553000517405038,0.4042155931051,0.489844900196298,-0.489966003621582,-0.472542743785871,-0.448958658011933,0.451522712603185,-0.44874438505199,-0.41688318631382,-0.41688318631382,-0.375503875968992,-0.375503875968992,-0.326666666666667,-0.326666666666667,-0.00551949808822255,0.2,0.15,-0.266666666666667,0.258699633699634,0.202616995117092,0.393915081334436,0.269785415322029
"RKIP",-0.412982611258473,-0.438210947930574,-0.394285714285714,-0.346666666666667,-0.3,-0.337204695524578,-0.375411101703402,-0.301034482758621,-0.27,-0.17,-0.191179653679654,-0.446375519904932,-0.164459930313589,-0.151785714285714,-0.169523951753327,-0.158632862644416,-0.114285714285714,-0.215147540983607,-0.14,-0.272408844692376,-0.241724941724942,-0.1,-0.1,-0.187878787878788,-0.133333333333333,-0.433282639885222,-0.433282639885222,-0.255200355200355,-0.0836190476190476,-0.238961038961039,-0.238961038961039,-0.238961038961039,-0.65421460628315,0.506876624523683,0.399282639885222,0.581764474178256,-0.411515563584668,-0.381744571218255,-0.341538461538462,0.445017086175489,-0.340485829959514,-0.28,-0.278947368421053,-0.2,-0.2,-0.1,-0.1,-0.354805438349742,0.1,0.1,0,0.184,0.0197460168736484,0.416316526610644,0.167966903073286
"Destcompl",-0.378486523182696,-0.402502314900552,-0.389989999629616,-0.368937368050669,-0.342040816326531,-0.3577671909608,-0.312283852264209,-0.345952844969238,-0.325734265734266,-0.298461538461538,-0.321325577526336,-0.379922406149135,-0.104713406251868,-0.311258463432376,-0.0953174603174603,-0.0886507936507936,-0.292339544513458,-0.26969311725355,-0.233169129720854,-0.379921152213919,-0.356985792972549,-0.204597701149425,-0.261904761904762,-0.340352526439483,-0.314265569917744,-0.405751949253337,-0.405751949253337,-0.345574112828762,-0.222783552196926,-0.345103155214947,-0.345103155214947,-0.345103155214947,-0.523492762408104,0.544455700506474,0.380424095164436,0.477269311383945,-0.454184574087032,-0.444495639869796,-0.431241135016493,0.41891261961631,-0.43079700973281,-0.412131673049888,-0.411767158986541,-0.385398999782561,-0.385398999782561,-0.348412698412698,-0.348412698412698,-0.472542743785871,0.233333333333333,0.166666666666667,-0.305555555555556,0.254412653036916,-0.0142867313947051,0.35221514363473,0.162564140915789
"SUFU",-0.234567558195566,-0.353162907336393,-0.349415372819628,-0.335585585585586,-0.316666666666667,-0.263192532583582,-0.0986274309110024,-0.260213809179326,-0.252167832167832,-0.243076923076923,-0.14796459915923,-0.175910067894787,-0.12688729116178,-0.149978021978022,-0.12002952761725,-0.11610343061956,-0.142285714285714,-0.333819176319176,-0.313055555555556,-0.236300900923,-0.278737373737374,-0.290833333333333,-0.114285714285714,-0.273181818181818,-0.257272727272727,-0.311023441781587,-0.311023441781587,-0.0163912541782159,-0.24815360078518,-0.0198722668364437,-0.0198722668364437,-0.0198722668364437,-0.436891319059368,0.377435155948688,0.295840013961149,0.395450165501496,-0.249008048629092,-0.244455618961573,-0.34262264480666,0.320950879178751,-0.237390401570269,-0.33258547008547,-0.227615965480043,-0.315277777777778,-0.211111111111111,-0.2875,-0.183333333333333,-0.37961344003323,0.1,0.253333333333333,-0.15,0.324166666666667,-0.466527403332521,0.144429015592491,-0.367676549010858
"miR200",-0.0415139873676459,-0.0814174131768236,-0.0785104364326376,-0.0720588235294118,-0.0583333333333333,-0.035417439703154,0.0278943278943279,-0.0333766233766234,-0.0242857142857143,-0.0142857142857143,-0.0300070932047099,-0.176804524718635,-0.0117514124293785,-0.0281203007518797,-0.0109497990791857,-0.00812848246476565,-0.0252631578947368,-0.0670083470922767,-0.0458333333333333,-0.107557420282906,-0.10236620188695,-0.0325,-0.02,-0.0938916256157635,-0.0800985221674877,-0.29959229390681,-0.29959229390681,-0.121433480974181,-0.10397807865893,-0.125174129353234,-0.125174129353234,-0.125174129353234,-0.29864991449078,0.390008398734641,0.30200138026225,0.411076417372219,-0.311731897953129,-0.30824704946828,-0.298397771242842,0.235880001175883,-0.301104192325423,-0.28630985915493,-0.288744641763625,-0.268,-0.270434782608696,-0.24,-0.24,-0.335161670050996,0,0.02,-0.2,0.0572257383966245,-0.377899110385547,-0.0167349900577686,-0.260166797705764
"Patched",-0.21,-0.316666666666667,-0.3,-0.3,-0.3,-0.243076923076923,-0.109677419354839,-0.22,-0.2,-0.1,-0.114285714285714,-0.143518518518519,-0.105128205128205,-0.1,-0.11,-0.1,-0.1,-0.290833333333333,-0.333333333333333,-0.196190476190476,-0.227272727272727,-0.3,0,-0.2,-0.2,-0.291666666666667,-0.291666666666667,-0.0293269230769231,-0.216666666666667,-0.0230769230769231,-0.0230769230769231,-0.0230769230769231,-0.386819923371648,0.322275985663082,0.261111111111111,0.338983279395901,-0.227615965480043,-0.211111111111111,-0.2875,0.297619047619048,-0.183333333333333,-0.25,-0.15,-0.2,-0.1,-0.2,-0.1,-0.312554112554113,0,0.2,-0.1,0.253333333333333,-0.402757242757243,0.134285714285714,-0.3003663003663
"cateninnuc",0.0258242577095036,0.0531084389184073,0.0605320197044335,0.0674285714285714,0.0674285714285714,0.0641595455569493,-0.18249749821457,0.0733338574835548,0.0821946169772257,0.0869565217391304,-0.0424573863636364,0.0749213675172756,0.0548040737323088,-0.0338636363636364,0.037087115552327,0.0374963924963925,-0.0238636363636364,0.141519315574491,0.144972677595628,0.151474788672562,0.166840557725461,0.143333333333333,-0.0208333333333333,0.173658739543643,0.179472693032015,-0.120826244211948,-0.120826244211948,-0.082036747036747,0.180936572050388,-0.075976140976141,-0.075976140976141,-0.075976140976141,0.320087456062894,-0.248306092740312,0.126628798248015,-0.269703523443831,0.033252784577135,0.137146736524111,0.142790760956336,0.115552271153525,0.141403644664514,0.147138587043292,0.145768724029594,0.151486413130249,0.15011655011655,0.15011655011655,0.15011655011655,0.296172789041158,0.0333333333333333,-0.133333333333333,0.142424242424242,-0.144351559583206,0.419488086764819,0.156420387718154,0.391976516738474
"HEY1",0.102260760457978,0.149627494456763,0.151090909090909,0.155090909090909,0.159090909090909,0.118053916974475,-0.112253545108935,0.123208556149733,0.129090909090909,0.12,0.0847619047619048,0.226779956427015,0.0777234530175707,0.0847619047619048,0.0573333333333333,0.0573333333333333,0.08,0.292943548387097,0.266666666666667,0.306441324792149,0.24477186405564,0.233333333333333,0.1,0.239617224880383,0.229090909090909,-0.0867698658410733,-0.0867698658410733,0.0423378582202112,0.235977701543739,0.0541025641025641,0.0541025641025641,0.0541025641025641,0.385731558535265,-0.501080227360715,0.0888888888888889,-0.531217439141893,0.296172789041158,0.299286114072291,0.301114046260044,0.0837647537647538,0.300289458553897,0.29594163246694,0.29594163246694,0.284313725490196,0.284313725490196,0.266666666666667,0.266666666666667,0.362013252535742,-0.1,-0.2,0.233333333333333,-0.285416666666667,0.459225072259583,0.0798804370232942,0.419228167821426
