"","TGF","FOXC2","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43872482709009,-0.43872482709009,-0.403776730204277,-0.359014825442372,-0.298039215686275,-0.436191082540921,-0.346761982286768,-0.28,-0.388245877061469,-0.336521739130435,-0.0964530892448512,-0.101422282120395,-0.0887556154537286,-0.179984639016897,-0.186647401213314,-0.394580912275735,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.232865280426903,-0.0833333333333333,-0.244647967134155,-0.212051282051282,-0.17051282051282,-0.210805860805861,0.55255945875618,-0.601141337161801,-0.601141337161801,-0.571153759850055,0.570888002215292,-0.379289119886774,-0.344426734565674,-0.344426734565674,-0.344426734565674,0.652436363695621,0.336759199134199,0.612938740150235,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.158556067588326,0.354234654234654
"SUFU",-0.486036535303777,-0.486036535303777,-0.454786535303777,-0.41547619047619,-0.376190476190476,-0.44929564622749,-0.387878238294222,-0.34,-0.416585365853659,-0.38,-0.113102446709004,-0.108503159244847,-0.0997852105268985,-0.331086956521739,-0.268285371702638,-0.336018624824595,-0.241666666666667,-0.208333333333333,-0.286666666666667,-0.253333333333333,-0.262880377553732,-0.166666666666667,-0.370851648351648,-0.341684981684982,-0.303589743589744,-0.195575041301309,0.488148693411851,-0.548405629458261,-0.548405629458261,-0.517726438422854,0.464077420109935,-0.418325864858739,-0.39320271214938,-0.39320271214938,-0.39320271214938,0.516024911114103,0.374549070251077,0.560715085449591,-0.340494193814822,-0.40373197625106,-0.32150685204267,-0.377777777777778,-0.29993822459169,-0.273784378437844,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.433889788620745,0.133333333333333,0.22,-0.15,-0.351283623770997,0.312753623188406,0.398440812061502
"Patched",-0.376190476190476,-0.376190476190476,-0.342857142857143,-0.3,-0.2,-0.34,-0.300606060606061,-0.1,-0.3,-0.2,-0.0666666666666667,-0.07825311942959,-0.0606060606060606,-0.253333333333333,-0.166666666666667,-0.231318681318681,-0.133333333333333,-0.1,-0.3,-0.3,-0.181318681318681,0,-0.26,-0.22,-0.2,-0.153333333333333,0.35,-0.425974025974026,-0.425974025974026,-0.415224898966042,0.353353814644137,-0.329114971050455,-0.287179487179487,-0.287179487179487,-0.287179487179487,0.393241235888295,0.301794871794872,0.433818181818182,-0.273784378437844,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.22,0.283333333333333
"Ecadherin",-0.416315509146723,-0.416315509146723,-0.387777226084078,-0.355701754385965,-0.322368421052632,-0.389745350871509,-0.354291804142694,-0.28,-0.360237154150198,-0.325454545454545,-0.113470695970696,-0.0939168650621591,-0.0851539784642209,-0.336304985337243,-0.362615384615385,-0.43635262182473,-0.334615384615385,-0.3,-0.289638318670577,-0.260606060606061,-0.369783339212754,-0.26,-0.40076842934837,-0.373221259537049,-0.340589680589681,-0.284472049689441,0.302392642185704,-0.385636531122516,-0.385636531122516,-0.489417034668384,0.619991188650982,-0.419305001713412,-0.398512922505491,-0.398512922505491,-0.398512922505491,0.603853259152579,0.363920843564928,0.394885891584184,-0.41184668257219,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353659314918391,0.316304985337243,0.354924785941258
"cateninmemb",-0.416315509146723,-0.416315509146723,-0.387777226084078,-0.355701754385965,-0.322368421052632,-0.389745350871509,-0.354291804142694,-0.28,-0.360237154150198,-0.325454545454545,-0.113470695970696,-0.0939168650621591,-0.0851539784642209,-0.336304985337243,-0.362615384615385,-0.43635262182473,-0.334615384615385,-0.3,-0.289638318670577,-0.260606060606061,-0.369783339212754,-0.26,-0.40076842934837,-0.373221259537049,-0.340589680589681,-0.284472049689441,0.302392642185704,-0.385636531122516,-0.385636531122516,-0.489417034668384,0.524082238244317,-0.419305001713412,-0.398512922505491,-0.398512922505491,-0.398512922505491,0.604925700801194,0.363920843564928,0.394885891584184,-0.41184668257219,-0.377230529741969,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353659314918391,0.316304985337243,0.354924785941258
"GSK3",-0.247168759986682,-0.247168759986682,-0.230956881977051,-0.213565577629225,-0.176356275303644,-0.211359053704842,-0.150820286300086,-0.119607843137255,-0.189721626804258,-0.163004069552349,-0.0837385478001291,-0.0795637475666432,-0.0710366157836975,-0.143617938482427,-0.189905869324474,-0.280792658224585,-0.17562015503876,-0.161666666666667,-0.117936981051735,-0.10974025974026,-0.194513091610352,-0.136666666666667,-0.2559242427153,-0.239170316013729,-0.222268907563025,-0.153495182527441,0.355484535070584,-0.384540443312322,-0.384540443312322,-0.412579255181468,0.416835885510958,-0.214230927197186,-0.194527537366677,-0.194527537366677,-0.194527537366677,0.487641095584778,0.02486377455651,0.389796196887518,-0.379792067482284,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0155425736053356,0.128495987262915,0.178725772355653
"RKIP",-0.296006483937518,-0.296006483937518,-0.246581196581197,-0.207692307692308,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.154764914874029,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.055831608005521,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117015373037611,-0.117015373037611,-0.0986330200964347,-0.0754006968641115,-0.0485714285714286,-0.10330736625043,-0.101444265593561,-0.0142857142857143,-0.0791694352159468,-0.0442857142857143,-0.0102279368790181,-0.011892915080312,-0.00639129695733469,-0.0670787545787546,-0.0719799498746867,-0.228144522144522,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.111985063739983,-0.02,-0.129314823107927,-0.111133004926108,-0.0869950738916256,-0.0997235023041475,0.34836093857833,-0.369994317685112,-0.369994317685112,-0.314833511931918,0.406960753020097,-0.283049932523617,-0.263751686909582,-0.263751686909582,-0.263751686909582,0.440106252997181,0.226551407215886,0.3030886479837,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0560897435897436,0.0816828810377197
"KLF4",-0.387777226084078,-0.387777226084078,-0.355701754385965,-0.322368421052632,-0.275,-0.360237154150198,-0.332608956246254,-0.2,-0.325454545454545,-0.28,-0.0977564102564102,-0.0851539784642209,-0.0719756838905775,-0.316304985337243,-0.334615384615385,-0.411024291618351,-0.3,-0.26,-0.260606060606061,-0.233333333333333,-0.349689881268829,-0.2,-0.373221259537049,-0.340589680589681,-0.305454545454545,-0.271690094802223,0.265618448637317,-0.352303197789183,-0.352303197789183,-0.464749561875156,0.592542735042735,-0.398512922505491,-0.373605859308465,-0.373605859308465,-0.373605859308465,0.672584822574408,0.347641773797487,0.360540540540541,-0.395445557923643,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.289638318670577,0.325153793574846
"ZEB2",-0.239005439005439,-0.239005439005439,-0.231313131313131,-0.22020202020202,-0.211111111111111,-0.166738208225482,-0.164821940756126,-0.158333333333333,-0.157988208225482,-0.153070175438596,-0.148311258278146,-0.140091421563825,-0.139145049324077,-0.133659611992945,-0.129606918238994,-0.12770749634059,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.113196568199905,-0.111111111111111,-0.101904761904762,-0.0964102564102564,-0.0897435897435897,-0.0742073338847533,-0.0523565158559132,-0.0514510164116463,-0.0514510164116463,-0.0500526944936086,-0.0415318495285875,-0.023066775483842,-0.0168032765637556,-0.0168032765637556,-0.0168032765637556,0.00662106787576708,0.0118535064556254,0.0146934759761475,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.129029982363316,0.179182522332875
