"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348056318775632,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.234377982276755,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.336759199134199,0.613088570299678,-0.451039840796754,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.328148148148148,-0.365985985985986,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.354596839624464
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.26,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489842726426676,0.620470173457978,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364662501557927,0.39776370329443,-0.412017964844537,-0.377230529741969,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353544363687822,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.26,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489842726426676,0.524561650270257,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364662501557927,0.39776370329443,-0.412017964844537,-0.377230529741969,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353544363687822,0.324798387096774,0.359011578754757
"GSK3",-0.248060906861396,-0.27623405933056,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.15271558572873,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.281398457876626,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.136666666666667,-0.196471859976945,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.41264795236399,0.416904506748331,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487972505543372,0.0250060374516847,0.390483087404078,-0.379717312622785,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.308270676691729,-0.328800478016233,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0155425736053356,0.13107412081289,0.180109189056557
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.1,-0.258543536260005,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.623721513085038,0.474282686047392,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.376098235499602,-0.32,-0.34988958410011,-0.27,-0.318421052631579,-0.2,-0.268421052631579,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0221250172542885,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.113281131623112,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.268,-0.291561543172076,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.2,-0.354196538094589,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.348106210167198,0.362568172568173,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"Patched",0.015,-0.055,-0.0466666666666667,-0.0666666666666667,-0.166666666666667,-0.0323076923076923,-0.0134408602150538,-0.1,-0.04,-0.1,-0.058974358974359,-0.0566666666666667,-0.0666666666666667,-0.0533333333333333,0.0857142857142857,0.0388888888888889,0.1,0.1,-0.133333333333333,-0.1,0,0.062010582010582,0.190909090909091,0.2,0.2,-0.0166666666666667,0.211111111111111,-0.208333333333333,-0.208333333333333,0.235892720306513,-0.11489247311828,0.213942307692308,0.207692307692308,0.207692307692308,0.207692307692308,-0.0323597626752967,-0.212454212454212,0.207142857142857,0.0962459546925566,-0.0125,0.0933333333333333,0,0.0933333333333333,0,0.1,0.1,0,0.1,0.247619047619048,0,0.2,0.1,0.233046953046953,0.0533333333333333,0.0342857142857143
"SUFU",0.0197174548418621,-0.0530719042093838,-0.0572139160437033,-0.0604054054054054,-0.055,-0.0214026032661396,-0.00174732355446365,-0.0323076923076923,-0.0235302628406077,-0.0292773892773893,-0.0386470871541589,-0.0500681606671326,-0.0493753200204813,-0.0471245271245271,0.103446861862969,0.0477630280625591,0.0974065934065934,0.0897142857142857,-0.0533333333333333,-0.0533333333333333,0.0857142857142857,0.0706388173816557,0.20021645021645,0.195454545454545,0.190909090909091,-0.0331186357502147,0.22048498631153,-0.206516200930418,-0.206516200930418,0.240402074805797,-0.117330129191912,0.221093332292745,0.220776876596542,0.220776876596542,0.220776876596542,-0.0347503462329528,-0.217810282842332,0.207719743216011,0.0972887551079173,-0.00828209894195024,0.09672609526137,-0.00865384615384615,0.0969978343918048,-0.0125,0.0962459546925566,0.0933333333333333,-0.0125,0.0933333333333333,0.250653361843668,-0.1,0.0533333333333333,0.1,0.233808642613689,0.0482828282828283,0.0135301680809781
"ZEB2",-0.237979797979798,-0.225446299732014,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.16298269789865,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.131371555273994,-0.12863707165109,-0.125994103310986,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.110759256908,-0.100235393022278,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0479772051482564,-0.0430680474131,-0.0207599395607961,-0.014978354978355,-0.014978354978355,-0.014978354978355,0.00553939821792179,0.0105130584366529,0.0144245742824161,0.0456686958540183,0.048761147109771,0.0502141503994729,0.0542657342657343,0.0558479532163743,0.0593939393939394,0.0614035087719298,0.0666666666666667,0.0727272727272727,0.08,0.0885527516873619,0.1,0.1,0.1,0.115048708063436,0.127735191637631,0.178599033816425
