"","FOXC2","TGF","TGFR","MEK","EGR1","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","PAK1","CDC42"
"TrCP",-0.41552357864929,-0.441083169482398,-0.405564043799338,-0.424978629329403,-0.28,-0.376978629329403,-0.327826086956522,-0.316623201375928,-0.0990063791633595,-0.104642430448882,-0.0917392046424304,-0.181543721909313,-0.187305068226121,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.380221061547149,-0.10952380952381,-0.233150988411725,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.218193069306931,0.530117616445485,-0.566767718099142,0.564827880693066,-0.57598802087369,-0.57598802087369,-0.379331309266747,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.641537023996417,0.588147460183889,0.336031926406926,-0.446680648555691,-0.396697570484477,-0.424335820969484,-0.364990253411306,-0.397669154302818,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432230070948353,0.0333333333333333,0.0761904761904762,-0.2,-0.38336182780603,0.159543721909313,0.327617741374647,0.304761904761905,0.361624649859944
"SUFU",-0.480033888305945,-0.579371683152371,-0.548405213724363,-0.45302443704498,-0.353846153846154,-0.422811671087533,-0.387179487179487,-0.382778274570204,-0.156927950694321,-0.152970062047019,-0.143963133640553,-0.369110311610312,-0.297647024116823,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.334916777527657,-0.290833333333333,-0.286483276543947,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.293724696356275,0.481868503430298,-0.520494817016904,0.465966887043879,-0.537163343997822,-0.537163343997822,-0.437927334839401,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.515278754659803,0.548718142248557,0.379434352698917,-0.343044912680438,-0.406197375528231,-0.324170232373533,-0.379059829059829,-0.302159362808315,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435508347593289,0.15,0.253333333333333,-0.15,-0.351263434593224,0.349419191919192,0.395199756878696,0.473333333333333,0.511171171171171
"Patched",-0.38,-0.473333333333333,-0.44,-0.353846153846154,-0.1,-0.3,-0.2,-0.302150537634409,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.233333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,0.354623655913978,-0.425,-0.425,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.395064724919094,0.433333333333333,0.305128205128205,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.288571428571429,0.3,0.4
"Ecadherin",-0.41403116667787,-0.398283682767783,-0.37170140428677,-0.39358693055479,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.348619731325714,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.434675941139957,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30210970464135,-0.489722317034744,0.620341968329773,-0.383163005786001,-0.383163005786001,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.603745715450438,0.39266778534935,0.364662501557927,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.351933691420048,0.307636363636364,0.340969696969697
"cateninmemb",-0.41403116667787,-0.398283682767783,-0.37170140428677,-0.39358693055479,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.348619731325714,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.434675941139957,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30210970464135,-0.489722317034744,0.524433527272179,-0.383163005786001,-0.383163005786001,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604820655077796,0.39266778534935,0.364662501557927,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.351933691420048,0.307636363636364,0.340969696969697
"GSK3",-0.23846556544231,-0.26833311969049,-0.250640811998182,-0.209391646078953,-0.119607843137255,-0.18666437335168,-0.160348583877996,-0.138659380165952,-0.0878562301471743,-0.0841893909788875,-0.0756436638424557,-0.146385125597579,-0.191993810786914,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.274946833883797,-0.10974025974026,-0.195887918371106,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.165729902542154,0.345607816979901,-0.410628300709448,0.414030721854319,-0.374002192628149,-0.374002192628149,-0.215116486635343,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.482934644029642,0.379392089120987,0.0246732587495216,-0.377758544933303,-0.348343435354943,-0.364798018617513,-0.328532114600226,-0.348324287540042,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385742994565525,0.0866666666666667,0.0954545454545455,-0.25,-0.0149290498670018,0.13107412081289,0.169101775417565,0.198840579710145,0.232173913043478
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.105819418676562,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.101635956635957,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.228397471649005,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.314833511931918,0.406960753020097,-0.370282258064516,-0.370282258064516,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.303281447511538,0.226551407215886,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767,0.0708333333333333,0.100245098039216
"RKIP",-0.291408782788093,-0.317151757899422,-0.267619047619048,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.20734893799106,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.369964349376114,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.624385964912281,0.474936280818634,-0.368663797226208,-0.368663797226208,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.542377562210929,0.377852175614352,0.164381402679275,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.218207282913165,0.2,0.22
"KLF4",-0.387715377204185,-0.37170140428677,-0.340969696969697,-0.364959479574398,-0.2,-0.328877005347594,-0.281818181818182,-0.328683022464955,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.26,-0.266666666666667,-0.410653594771242,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,0.592777865765671,-0.351883384932921,-0.351883384932921,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.672976484681208,0.36045177045177,0.348106210167198,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.32459286745001,0.263636363636364,0.307636363636364
"ZEB2",-0.23001554001554,-0.219617948189377,-0.21273964131107,-0.160387248609328,-0.158333333333333,-0.153070175438596,-0.153070175438596,-0.152712957919921,-0.146407624633431,-0.138322127889287,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.122422674739557,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.066996336996337,-0.0589187229002416,-0.0490791214530031,-0.0428506992182237,-0.042618888411948,-0.042618888411948,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00318464506238602,0.00599835231625399,0.0118535064556254,0.0439087101021868,0.0461970445456684,0.0479346841281608,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113506355467632,0.127735191637631,0.16829307568438,0.194805194805195,0.203896103896104
