"","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","NFB","IKK","SMO","TWIST1","FUS","FOXC2","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","KLF4","ZEB2","ZEB1","SNAI2","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","TrCP","SUFU","LIV1","AXIN2","Patched","Destcompl","RKIP"
"TrCP",-0.452093548741155,-0.416781976040858,-0.372980323148296,-0.311278195488722,-0.42945619262166,-0.28,-0.338890207261918,-0.382693602693603,-0.334545454545455,-0.0991887777041712,-0.106293605954623,-0.0923953008698771,-0.173223335803981,-0.178155339805825,-0.116666666666667,-0.15,-0.13012987012987,-0.386668789742952,-0.103463203463203,-0.353930694504857,-0.0833333333333333,-0.226124270737378,-0.236180742334588,-0.203636363636364,-0.163636363636364,-0.21603128054741,0.570110751085756,0.549315818281335,-0.595716522973967,-0.595716522973967,-0.56927915579659,0.649550070566227,-0.372811906488484,-0.337278911564626,-0.337278911564626,-0.337278911564626,0.328653957172283,0.607601139388038,-0.451962647822016,-0.399346405228758,-0.428538523308398,-0.366013071895425,-0.400505050505051,-0.327777777777778,-0.367171717171717,-0.327777777777778,-0.277777777777778,-0.277777777777778,0.0333333333333333,0.0761904761904762,-0.2,-0.432866263371598,0.150642690642691,-0.381511493009653,0.346438221221503
"SUFU",-0.595258041710852,-0.563550724637681,-0.523333333333333,-0.481666666666667,-0.462623308609153,-0.353846153846154,-0.413295017414198,-0.430449395565675,-0.393240093240093,-0.158132769971429,-0.155323713832439,-0.145253456221198,-0.366436740050351,-0.295360544217687,-0.236857142857143,-0.270190476190476,-0.322261904761905,-0.344187303714828,-0.290833333333333,-0.316527729246743,-0.192857142857143,-0.282112370461472,-0.387750190009326,-0.359586924703204,-0.322377622377622,-0.295767359575409,0.461345440066435,0.503248054313628,-0.562526574881601,-0.562526574881601,-0.517899761254124,0.519338666160621,-0.432738545363684,-0.407943799879284,-0.407943799879284,-0.407943799879284,0.375078229634261,0.574228031998039,-0.337625848879978,-0.39970539188438,-0.317951052132011,-0.372857142857143,-0.295139000482083,-0.33952380952381,-0.268367346938776,-0.235714285714286,-0.296666666666667,-0.192857142857143,0.15,0.253333333333333,-0.15,-0.428660555131143,0.346751700680272,-0.345426955984823,0.421556577393898
"Patched",-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.1,-0.325268817204301,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.1,-0.15,-0.333333333333333,-0.238461538461538,-0.3,-0.2,0,-0.201318681318681,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.347941176470588,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.413500761035008,0.393275538894096,-0.345781637717122,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.303502188868043,0.440476190476191,-0.268367346938776,-0.296666666666667,-0.235714285714286,-0.25,-0.192857142857143,-0.2,-0.15,-0.1,-0.2,-0.1,0,0.2,-0.1,-0.319047619047619,0.253333333333333,-0.294397644655411,0.302857142857143
"Ecadherin",-0.401885774982936,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358370250964644,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.344639656938044,-0.368465608465608,-0.302857142857143,-0.33989417989418,-0.297916666666667,-0.43673722259444,-0.266666666666667,-0.411925192519252,-0.26,-0.372733750711556,-0.403658093244442,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.616087521882496,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.487912745181853,0.600400684512066,-0.420511132810146,-0.40034188034188,-0.40034188034188,-0.40034188034188,0.363548336645095,0.39776370329443,-0.408519708942674,-0.374660677290853,-0.392365862788828,-0.352626778985768,-0.373743413809236,-0.326310989512084,-0.351974706326243,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.42609184935801,0.324798387096774,-0.351747962043957,0.359011578754757
"cateninmemb",-0.401885774982936,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358370250964644,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.344639656938044,-0.368465608465608,-0.302857142857143,-0.33989417989418,-0.297916666666667,-0.43673722259444,-0.266666666666667,-0.411925192519252,-0.26,-0.372733750711556,-0.403658093244442,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.520154548526428,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.487912745181853,0.601388942195087,-0.420511132810146,-0.40034188034188,-0.40034188034188,-0.40034188034188,0.363548336645095,0.39776370329443,-0.408519708942674,-0.374660677290853,-0.392365862788828,-0.352626778985768,-0.373743413809236,-0.326310989512084,-0.351974706326243,-0.326310989512084,-0.296078431372549,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.42609184935801,0.324798387096774,-0.351747962043957,0.359011578754757
"GSK3",-0.270967727351288,-0.253383834733838,-0.235865586558656,-0.201212121212121,-0.209180540140585,-0.119607843137255,-0.147370341715084,-0.188004069552349,-0.163004069552349,-0.0878881327705516,-0.0848278519165616,-0.0759321463950892,-0.141521350310562,-0.1871007690003,-0.159247311827957,-0.172188488298545,-0.113651266766021,-0.276101375881048,-0.105454545454545,-0.257402188889178,-0.136666666666667,-0.190839202246956,-0.251617339378207,-0.234002163226446,-0.217213842058563,-0.1634221578573,0.414723738413373,0.353408405441384,-0.381725921759247,-0.381725921759247,-0.4064130372358,0.490690089654445,-0.208700487804414,-0.18901368690956,-0.18901368690956,-0.18901368690956,0.0184709731769847,0.386994523371594,-0.370294835895055,-0.341047502116204,-0.35726377555946,-0.320945720945721,-0.341047559343244,-0.299267399267399,-0.321253214870236,-0.299267399267399,-0.276190476190476,-0.276190476190476,0.0866666666666667,0.0954545454545455,-0.242857142857143,-0.379383364947492,0.125600952300612,-0.00807124307343266,0.17535049483236
"RKIP",-0.319075358298659,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.17,-0.218551384719621,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.206033898305085,-0.156168831168831,-0.0857142857142857,-0.110714285714286,-0.14,-0.369794891640867,-0.1,-0.3218782249742,-0.1,-0.253253968253968,-0.208565656565657,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.473521013733028,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.619815529714129,0.545279645089772,-0.0898809523809524,-0.0488095238095238,-0.0488095238095238,-0.0488095238095238,0.159703368526898,0.380952950808151,-0.371953468035716,-0.313605442176871,-0.344977991196479,-0.266666666666667,-0.311644657863145,-0.2,-0.264705882352941,-0.2,-0.1,-0.1,0.1,0.1,0,-0.332756756756757,0.184,-0.0167153963246956,0.226050420168067
"miR200",-0.144887955182073,-0.125245098039216,-0.100245098039216,-0.0708333333333333,-0.106166592028661,-0.0142857142857143,-0.103461801986982,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0696095571095571,-0.0730971659919028,-0.0357894736842105,-0.0557894736842105,-0.0458333333333333,-0.230807005494505,-0.0325,-0.212217261904762,-0.02,-0.114773312501808,-0.131070218400296,-0.111995073891626,-0.0869950738916256,-0.114664031620553,0.41588754754985,0.34836093857833,-0.370526780756222,-0.370526780756222,-0.318883833975231,0.455797120187601,-0.286772411051481,-0.266358974358974,-0.266358974358974,-0.266358974358974,0.228696766569765,0.30353786285152,-0.341730524582803,-0.310778564206269,-0.329120082815735,-0.292173913043478,-0.314120082815735,-0.270434782608696,-0.295072463768116,-0.273333333333333,-0.24,-0.24,0,0.02,-0.2,-0.345687189332465,0.057521645021645,-0.318321958611634,0.0826612178651132
"KLF4",-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.2,-0.33671420000923,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.26,-0.302857142857143,-0.266666666666667,-0.411925192519252,-0.233333333333333,-0.382222222222222,-0.2,-0.353289306267112,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.589008346899129,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.46360166128718,0.66933422392474,-0.40034188034188,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.347641773797487,0.362568172568173,-0.392365862788828,-0.352626778985768,-0.373743413809236,-0.326310989512084,-0.351974706326243,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.266666666666667,0.1,0.2,-0.233333333333333,-0.401824066931232,0.297916666666667,-0.340689360909742,0.328674500103071
"ZEB2",-0.219115190127197,-0.213330066160255,-0.204239157069346,-0.194805194805195,-0.160369897059382,-0.158333333333333,-0.158326702054408,-0.154709519700892,-0.153070175438596,-0.146407624633431,-0.13834485171901,-0.137102615694165,-0.128057817442222,-0.124563492063492,-0.123611111111111,-0.123611111111111,-0.120168067226891,-0.117897566496887,-0.114285714285714,-0.11359649122807,-0.111111111111111,-0.105018865145208,-0.0938776543091612,-0.0904685634000703,-0.0863589743589744,-0.0638559460341639,-0.0636610666960748,-0.0536820380761629,-0.0483287464308741,-0.0483287464308741,-0.0374748940928088,-0.0239356179712494,-0.0109537196633822,-0.00623461853978671,-0.00623461853978671,-0.00623461853978671,0.00217985359005215,0.0117809284798449,0.0583408506883723,0.0584580312583434,0.0622243458340034,0.0628058573452999,0.0671115638791162,0.0696551724137931,0.0715018077815552,0.078544061302682,0.08,0.0888888888888889,0.1,0.1,0.1,0.100676558349289,0.123871770930594,0.125599299388609,0.174383731062203
