"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","NOTCH","TrCP","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Csn","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.28,-0.348056318775632,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.157675438596491,-0.394764539808018,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.245018315018315,-0.0333333333333333,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.571153759850055,-0.601332188733215,-0.601332188733215,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.336395562770563,0.652517701354814,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0761904761904762,-0.2,0.0833333333333333,-0.384679021204463,0.159543721909313,0.354596839624464
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.353846153846154,-0.41594835024345,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.271472527472527,-0.349643836064259,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.391789321789322,-0.15,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.524106467125905,-0.563986127625245,-0.563986127625245,0.47098276859156,-0.438243790535604,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.378765456377847,0.525760895676563,0.575591090136125,-0.34669001488608,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.253333333333333,-0.15,0.192857142857143,-0.352299690350955,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.1,-0.325268817204301,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.240740740740741,-0.1,-0.333333333333333,-0.3,-0.203597883597884,-0.278787878787879,0,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.305128205128205,0.397006472491909,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0.2,-0.1,0,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358233187351002,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.438126483368021,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.2,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.489963135818609,-0.388638186629104,-0.388638186629104,0.620598378586183,-0.421567826958888,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.363644631578093,0.605247826870112,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,0.26,-0.353730756977663,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.281818181818182,-0.358233187351002,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.33989417989418,-0.438126483368021,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.2,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.489963135818609,-0.388638186629104,-0.388638186629104,0.524689773268335,-0.421567826958888,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.363644631578093,0.606322543684083,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,0.26,-0.353730756977663,0.324798387096774,0.359011578754757
"GSK3",-0.245691346597099,-0.274327510594743,-0.257404433671666,-0.240331262939959,-0.203188405797101,-0.212894563726607,-0.119607843137255,-0.15020543438137,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191139109932213,-0.176609195402299,-0.279980018160314,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.25663454192866,-0.0866666666666667,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.354253216887437,-0.412389108533101,-0.383137814268449,-0.383137814268449,0.416639254758941,-0.21438201962019,-0.194003868359686,-0.194003868359686,-0.194003868359686,0.0224858358355554,0.487226193523313,0.388325708854912,-0.379473428759074,-0.348815133468151,-0.365986586653811,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0954545454545455,-0.25,0.136666666666667,-0.0161230225975461,0.13107412081289,0.177311986259355
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.17,-0.217485592549095,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.374004753416518,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.21041181041181,-0.1,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.624385964912281,-0.372663797226208,-0.372663797226208,0.474936280818634,-0.0928543678543678,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.160677698975571,0.543314330360812,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0,0.1,-0.023291198012306,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.0142857142857143,-0.102694157694158,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.228397471649005,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.129777072722719,0,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.314833511931918,-0.370282258064516,-0.370282258064516,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.226551407215886,0.440221966343664,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0.02,-0.2,0.02,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.2,-0.33671420000923,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.412614379084967,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.376317269274404,-0.1,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,-0.354514963880289,-0.354514963880289,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.347529841291117,0.673504886266412,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.2,-0.233333333333333,0.2,-0.341987979717644,0.297916666666667,0.328674500103071
"IKK",0.0720923520923521,0.0681373737373737,0.0737373737373737,0.0555555555555556,0,0.0408571428571429,-0.05,0.0575204975968335,0.0208571428571429,-0.00714285714285715,0.0579979360165119,0.0698157315731573,0.0569444444444445,0.112337164750958,0.0514157014157014,0.0595238095238095,0.190522875816993,0.142857142857143,0.12,0.12,0.107789753202124,0.0518037518037518,0,0.0597402597402597,0.0454545454545455,0.11281512605042,0.216483516483517,0.365717462022861,-0.211784461152882,-0.211784461152882,-0.23983832740816,0.0838288046488246,0.0753781004234725,0.0753781004234725,0.0753781004234725,-0.146520146520146,-0.228428487561769,0.220289855072464,0.162028378782294,0.151880341880342,0.156965087643054,0.153418803418803,0.151880341880342,0.153418803418803,0.161111111111111,0.161111111111111,0.15,0.15,0.19452380952381,-0.1,0.1,-0.1,0.265989849149493,-0.108888888888889,-0.0261384335154827
