"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","KLF4","ZEB2","ZEB1","Ecadherin","RAS","RAF","PI3K","DELTA","GSK3","miR200","GLI","cateninnuc","TCFLEF","Wnt","Frizzled","CD44","cMet","DSH","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","SNAI2","Destcompl","Patched","RKIP"
"TrCP",-0.419555495873707,-0.435927396293838,-0.40751209574739,-0.371148459383754,-0.314285714285714,-0.427007614836649,-0.330158534858091,-0.28,-0.385674281503316,-0.336521739130435,-0.100476967398654,-0.106900494965011,-0.0933521078682369,-0.168153837401149,-0.176486354775828,-0.152412280701754,-0.120833333333333,-0.1321044546851,-0.363210521362695,-0.10952380952381,-0.0833333333333333,-0.206565056237219,-0.221501831501832,-0.195128205128205,-0.162820512820513,-0.212252475247525,0.487452347448315,0.54928077023159,-0.593440750507698,-0.593440750507698,0.532303567996009,-0.343683873648006,-0.314592964557097,-0.314592964557097,-0.314592964557097,0.308119588744589,0.605905663295929,-0.349109970047069,-0.38939726889744,-0.372017958552612,-0.322280701754386,-0.293333333333333,-0.34979573633039,-0.323063063063063,-0.26,-0.293333333333333,-0.26,-0.387347956749388,0.0333333333333333,0.0761904761904762,-0.2,-0.0948369333706117,-0.346558581793349,0.148153837401149,0.342405311079344
"SUFU",-0.498073185230553,-0.59034908066823,-0.562143952463101,-0.52490990990991,-0.481666666666667,-0.463086021339873,-0.409449041317346,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.362753305253305,-0.294962460358434,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.334624547839442,-0.290833333333333,-0.192857142857143,-0.271670785998119,-0.382481962481963,-0.357878787878788,-0.323787878787879,-0.296172248803828,0.421562614639855,0.503944842555326,-0.562053760475486,-0.562053760475486,0.447952454614291,-0.424238529021784,-0.402719541680012,-0.402719541680012,-0.402719541680012,0.36845264672198,0.574104101288541,-0.382189495758269,-0.312301990979236,-0.29649636438077,-0.36025641025641,-0.333333333333333,-0.278018103511205,-0.25621359223301,-0.3,-0.23,-0.196666666666667,-0.415069386745844,0.15,0.253333333333333,-0.15,-0.280711734747052,-0.335656559993952,0.345378787878788,0.420410267199663
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.240740740740741,-0.3,0,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.330609318996416,0.355555555555556,-0.433333333333333,-0.433333333333333,0.349244875943905,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.305128205128205,0.440476190476191,-0.3,-0.25621359223301,-0.23,-0.25,-0.2,-0.196666666666667,-0.15,-0.2,-0.1,-0.1,-0.321645021645022,0,0.2,-0.1,-0.237915708812261,-0.293866133866134,0.253333333333333,0.302857142857143
"Ecadherin",-0.415723400482994,-0.397560355462177,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.39437124428028,-0.354934170672564,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.340758085682838,-0.367166907166907,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.428794245444919,-0.266666666666667,-0.26,-0.363816704088147,-0.399162476801327,-0.374255413604301,-0.342296650717703,-0.294547260088472,0.584182873359703,0.30464135021097,-0.387690319330526,-0.387690319330526,0.542240258643364,-0.413630947866899,-0.396033182503771,-0.396033182503771,-0.396033182503771,0.358157631834188,0.39701882433726,-0.362073619824835,-0.388393483508646,-0.375695070810234,-0.344073619824835,-0.321659826721386,-0.36112470966453,-0.343398957156169,-0.296078431372549,-0.321659826721386,-0.296078431372549,-0.415889849887283,0.2,0.233333333333333,-0.266666666666667,-0.318958290448607,-0.343518238856117,0.322647849462366,0.357513451413933
"cateninmemb",-0.415723400482994,-0.397560355462177,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.39437124428028,-0.354934170672564,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.340758085682838,-0.367166907166907,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.428794245444919,-0.266666666666667,-0.26,-0.363816704088147,-0.399162476801327,-0.374255413604301,-0.342296650717703,-0.294547260088472,0.488398020651675,0.30464135021097,-0.387690319330526,-0.387690319330526,0.543934896375245,-0.413630947866899,-0.396033182503771,-0.396033182503771,-0.396033182503771,0.358157631834188,0.39701882433726,-0.362073619824835,-0.388393483508646,-0.375695070810234,-0.344073619824835,-0.321659826721386,-0.36112470966453,-0.343398957156169,-0.296078431372549,-0.321659826721386,-0.296078431372549,-0.415889849887283,0.2,0.233333333333333,-0.266666666666667,-0.318958290448607,-0.343518238856117,0.322647849462366,0.357513451413933
"GSK3",-0.239082329339367,-0.264910017518713,-0.250807453416149,-0.236521739130435,-0.203188405797101,-0.209686258873565,-0.144649076347762,-0.119607843137255,-0.190368077055384,-0.164052287581699,-0.0885482716696657,-0.0852439580349821,-0.0763983808235878,-0.139748393616862,-0.187130857648099,-0.174310344827586,-0.161666666666667,-0.116191872643486,-0.266225933367871,-0.10974025974026,-0.136666666666667,-0.182104049723674,-0.245919766508002,-0.231634052222288,-0.218347338935574,-0.162939204867736,0.370466986058596,0.354253216887437,-0.381651930167409,-0.381651930167409,0.416588810642004,-0.199964269699893,-0.182947462977204,-0.182947462977204,-0.182947462977204,0.0129741136513732,0.387153375912356,-0.324394203229123,-0.347530136287922,-0.337924873130028,-0.306941373040444,-0.290601503759398,-0.324300652292984,-0.307157795150127,-0.276315789473684,-0.290601503759398,-0.276315789473684,-0.363687738540086,0.0866666666666667,0.0954545454545455,-0.25,-0.162498583988211,0.000684747583464484,0.125394326631216,0.174805720595194
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.369964349376114,-0.1,-0.1,-0.254242460991188,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.449213919802155,0.332663797226208,-0.372663797226208,-0.372663797226208,0.499960657948432,-0.0911449661449661,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.161544523246651,0.380952950808151,-0.312307692307692,-0.358231369541132,-0.336602870813397,-0.27,-0.2,-0.310728744939271,-0.268421052631579,-0.1,-0.2,-0.1,-0.332208157524613,0.1,0.1,0,-0.456329777933205,-0.0152651304424209,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.22778397471649,-0.0325,-0.02,-0.112593846399744,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.400742203830125,0.34836093857833,-0.370282258064516,-0.370282258064516,0.426854238435584,-0.283503564090157,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.226135606800086,0.303281447511538,-0.305610277046897,-0.331965259306129,-0.321510713851584,-0.28912676056338,-0.268,-0.308415475756346,-0.291561543172076,-0.24,-0.270434782608696,-0.24,-0.340539600859325,0,0.02,-0.2,-0.2543488833402,-0.314201614967844,0.0572257383966245,0.0821827674271767
"KLF4",-0.38894994510542,-0.37170140428677,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.334997461811805,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.322647849462366,-0.33989417989418,-0.302857142857143,-0.26,-0.266666666666667,-0.407006535947713,-0.233333333333333,-0.2,-0.347111898596156,-0.374255413604301,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.563029027205856,0.266666666666667,-0.354514963880289,-0.354514963880289,0.61857910966576,-0.396033182503771,-0.373974358974359,-0.373974358974359,-0.373974358974359,0.344250347065976,0.362568172568173,-0.344073619824835,-0.375695070810234,-0.36112470966453,-0.321659826721386,-0.296078431372549,-0.343398957156169,-0.321659826721386,-0.266666666666667,-0.296078431372549,-0.266666666666667,-0.395477478753263,0.1,0.2,-0.233333333333333,-0.30998779074963,-0.334757754233563,0.297916666666667,0.328674500103071
"ZEB2",-0.234270396270396,-0.220608809180238,-0.216376004947434,-0.207532467532468,-0.194805194805195,-0.163613055060941,-0.159155943969766,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.128023439974659,-0.126767912772586,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.11891128695859,-0.114285714285714,-0.111111111111111,-0.104375734768542,-0.0953829340058848,-0.0937435897435897,-0.0897435897435897,-0.066996336996337,-0.0655024827373504,-0.0523565158559132,-0.0499387256777987,-0.0499387256777987,-0.026869276497744,-0.013029561444979,-0.00896103896103896,-0.00896103896103896,-0.00896103896103896,0.004438613409304,0.0134607188607293,0.0598267787258613,0.0601377982586285,0.0631248112456415,0.0634965034965035,0.0660606060606061,0.0669980506822612,0.0707017543859649,0.0727272727272727,0.0733333333333333,0.08,0.0986768684961293,0.1,0.1,0.1,0.114109057899777,0.12343170763306,0.125296167247387,0.176376811594203
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0951209576902037,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.0395864829276475,-0.111877394636015,0.0523809523809524,-0.185156082244664,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,0.211865899046955,-0.203149190846705,0.192133863412772,0.192133863412772,0.0467649135589706,0.00216738184909742,0.00295231120545534,0.00295231120545534,0.00295231120545534,-0.0889570412922273,-0.203803589903581,-0.185016224574652,-0.184407262625438,-0.184356268234821,-0.183346465762036,-0.180376168732333,-0.184356268234821,-0.182863730921388,-0.181746031746032,-0.180376168732333,-0.181746031746032,-0.238186219150176,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.217825989836108,-0.0192085009162074,0.116540607071248,-0.121719625848595
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.1547184519461,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,-0.0370946197518206,-0.157692307692308,0.122222222222222,-0.220035634166069,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,0.247648525376513,-0.252988588338008,0.245175501457021,0.245175501457021,0.0586451712756471,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,-0.170421160202625,-0.2593606087525,-0.237208142308837,-0.238661791999289,-0.238186219150176,-0.235950280673617,-0.237674418604651,-0.236896652913364,-0.235950280673617,-0.24,-0.237674418604651,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,-0.262425591513643,0.159896297213857,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.217941176470588,0,0.1,0.147009803921569,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.305423728813559,-0.262745098039216,0.304208512673362,0.304208512673362,-0.355402570154734,0.14606971975393,0.118796992481203,0.118796992481203,0.118796992481203,-0.0695141065830721,-0.306262626262626,0.276315789473684,0.307157795150127,0.290601503759398,0.25,0.3,0.276315789473684,0.25,0.2,0.2,0.1,0.303636363636364,-0.1,0,0,0.138620689655172,-0.031747069537197,-0.0954545454545455,-0.12
