"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","TWIST1","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"FOXC2",0.387777226084078,0.371751964385628,0.340068796068796,0.307636363636364,0.263636363636364,0.36429367201426,0.2,0.332291021671827,0.328877005347594,0.281818181818182,0.111306340718105,0.105372549019608,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.411024291618351,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.265618448637317,0.464864059106832,0.352303197789183,0.352303197789183,-0.592660505579354,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672878012069076,-0.360540540540541,-0.348106210167198,0.395546429340606,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.325811688311688
"DSH",0.2297505574624,0.25748859895503,0.238760683760684,0.202222222222222,0.146666666666667,0.19082361842453,0.0666666666666667,0.132983912025252,0.163004069552349,0.119607843137255,0.072441937495129,0.076292543482318,0.0633154442456768,0.131218921331123,0.176609195402299,0.161666666666667,0.136666666666667,0.26154949860409,0.10974025974026,0.0954545454545455,0.17921466503268,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.155667789001122,-0.330703012912482,0.391794003169014,0.361745098039216,0.361745098039216,-0.393887801694979,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.464122336277369,-0.366813894639982,-0.11036377455651,0.365678358667428,0.328532114600226,0.348609547228643,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00450471343854284,-0.119417679095098,-0.158679118816748
"RAF",0.294835164835165,0.320187617260788,0.266341463414634,0.22,0.2,0.226371814092954,0.17,0.21940379403794,0.187241379310345,0.17,0.159581881533101,0.156785116894231,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.373743216557043,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.331078431372549,0.624195488721805,0.371284616939559,0.371284616939559,-0.47475198852248,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.542884447881764,-0.379361438561439,-0.164381402679275,0.377308593661977,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.224992605737947
"PI3K",0.253326118326118,0.272387479581997,0.233043217286915,0.177941176470588,0.125,0.191512605042017,0.0666666666666667,0.171899951899952,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0800609024097444,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.275753317720531,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.335600970511385,0.395185894850074,0.373741418764302,0.373741418764302,-0.396705680809293,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471445033248695,-0.37425902864259,-0.18481240981241,0.381176636424174,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.163327731092437
"ILK",0.253326118326118,0.272387479581997,0.233043217286915,0.177941176470588,0.125,0.191512605042017,0.0666666666666667,0.171899951899952,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0800609024097444,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.275753317720531,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.335600970511385,0.395185894850074,0.373741418764302,0.373741418764302,-0.396705680809293,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.471445033248695,-0.37425902864259,-0.18481240981241,0.381176636424174,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.163327731092437
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.2,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.36727969348659,0.375,0.375,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.423837862759764,0.410212881509142,0.374992755722979,0.333613445378151,0.276470588235294,0.393237294917967,0.2,0.367774435372201,0.349019607843137,0.288235294117647,0.116169379144063,0.112267809757093,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.275,0.447155155946255,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.285905550146056,0.710709954072689,0.377048236577385,0.377048236577385,-0.637471215494354,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808384727946567,-0.38521271970188,-0.386470390385003,0.44947920169572,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.353016206482593
"cateninnuc",0.391548677273202,0.37581396332142,0.355371974371144,0.329209183673469,0.297959183673469,0.373544653317703,0.297101449275362,0.332708776695612,0.352248357021407,0.326133707339878,0.124543649417791,0.111454394084439,0.103376399655469,0.217679959739707,0.345489501312336,0.328166666666667,0.304166666666667,0.322708336285464,0.18792349726776,0.163333333333333,0.248158633624554,0.270833333333333,0.375343455668886,0.356621994481671,0.332203389830509,0.259230309213072,-0.297748917748918,0.463215890906574,0.37860986918364,0.37860986918364,-0.409157625237711,0.388569154741161,0.372717552717553,0.372717552717553,0.372717552717553,-0.491792034042393,-0.386002613248057,-0.337956615596495,0.181698730040334,0.254886545716926,0.26876865234888,0.238054862548609,0.253926073638235,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395546429340606,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319748747196398,-0.204904629343231,-0.346482401214891
"RAS",0.337050960735171,0.359673913043478,0.3075,0.27,0.25,0.302657004830918,0.25,0.305836083608361,0.272222222222222,0.25,0.161637426900585,0.157777777777778,0.155555555555556,0.196223776223776,0.213752913752914,0.174358974358974,0.166666666666667,0.373921568627451,0.12,0.1,0.261444909024954,0.2,0.280432172869148,0.229411764705882,0.2,0.00505050505050504,-0.342857142857143,0.56855722580132,0.382392026578073,0.382392026578073,-0.393144715606201,0.149256756756757,0.203423423423423,0.203423423423423,0.203423423423423,-0.463729896841478,-0.391727053140097,-0.21229444656246,0.400307224045275,0.334090909090909,0.371472868217054,0.275,0.333139534883721,0.275,0.2,0.2,0.1,0.1,0.346577380952381,-0.2,-0.1,0,-0.0406717350180248,-0.165454545454545,-0.389772727272727
"SOSGRB2",0.360774764451235,0.384158926728586,0.334158926728586,0.292982456140351,0.266666666666667,0.34907898970399,0.276190476190476,0.338613789073912,0.31470398970399,0.301190476190476,0.262026825633383,0.258478163393418,0.253292978208232,0.300596672403901,0.339460971268752,0.304678362573099,0.288888888888889,0.397314715359828,0.233333333333333,0.2,0.358472286552416,0.3,0.395378534508969,0.347552447552448,0.309090909090909,-0.0305882352941177,-0.353945249597423,0.643328972614687,0.392291114259078,0.392291114259078,-0.491572848668877,0.332628952967936,0.285875706214689,0.285875706214689,0.285875706214689,-0.560205058701854,-0.40195184932027,-0.315163507989595,0.397411323838792,0.330882352941176,0.368505073838792,0.275,0.329795396419437,0.273913043478261,0.2,0.2,0.1,0.1,0.34525,-0.2,-0.2,0,-0.0367889521399958,-0.27047619047619,-0.364321772931496
"AKT",0.276990240463523,0.297158121783832,0.272387479581997,0.233043217286915,0.177941176470588,0.22062652909265,0.0952380952380952,0.193750851642882,0.191512605042017,0.148179271708683,0.0877694175361737,0.0923058003689281,0.0800609024097444,0.149072558647027,0.195210018739431,0.276018099547511,0.252941176470588,0.299592327008457,0.115384615384615,0.1,0.202578947368421,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.19604580812446,-0.36835959120104,0.423282571587234,0.403112048134931,0.403112048134931,-0.428128403429559,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.503710479472952,-0.404150332990416,-0.205376925941442,0.400466759880964,0.357752076547316,0.381176636424174,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00419119798819234,-0.132051282051282,-0.188168495423647
"MEK",0.336653346653347,0.363569970201964,0.320187617260788,0.266341463414634,0.22,0.173829441211598,0.17,0.24564964121402,0.226371814092954,0.187241379310345,0.163285585236805,0.16587602598514,0.156785116894231,0.227795461947671,0.185580595874714,0.156168831168831,0.110714285714286,0.406343949157776,0.184,0.14,0.279204693284798,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0917339040485108,-0.368452168746286,0.658914315127673,0.409187842746011,0.409187842746011,-0.512098425868918,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.584190795627855,-0.417531785564593,-0.192145530443403,0.400112331979734,0.352867132867133,0.377308593661977,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427081076332972,-0.208590163934426,-0.256571553106368
"CD44",0.367179487179487,0.360504201680672,0.342857142857143,0.3,0.2,0.407222222222222,0.3,0.358524217520546,0.385,0.325,0.204093567251462,0.198888888888889,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.343549783549783,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.275,0.438323326158378,0.415,0.415,-0.143809523809524,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.280353594389246,-0.426050420168067,-0.223809523809524,0.131436531007752,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.413703703703704
"IKK",0.497414965986395,0.528869338546758,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.1,0.291915313734094,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.264285714285714,0.314285714285714,0.532549019607843,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.660347091652491,0.424994303941672,0.424994303941672,-0.569256032607988,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.682772518658195,-0.428530502190765,-0.224505494505495,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.276666666666667
"Csn",0.252926761347814,0.279227832491911,0.251867057673509,0.206060606060606,0.145454545454545,0.243997208931419,0.106666666666667,0.163619638357378,0.208580542264753,0.161212121212121,0.0754831932773109,0.0822945034891462,0.0688230008984726,0.139518773829624,0.205766666666667,0.184166666666667,0.155,0.294588117368325,0.108513708513709,0.0873015873015873,0.186939673091459,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.171446014303157,-0.398554917069348,0.438084185699431,0.436081013276524,0.436081013276524,-0.442029531351777,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.516202489092803,-0.443908683502484,-0.149229914302437,0.419522727559968,0.37427547866515,0.398727067523802,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0503728173469395,-0.124642740771773,-0.179567567907553
"ERK",0.365921639336273,0.39355602320057,0.363569970201964,0.320187617260788,0.266341463414634,0.209024971937855,0.187241379310345,0.268284371752942,0.173829441211598,0.226371814092954,0.175173697124917,0.177331134344273,0.16587602598514,0.245240179392389,0.210580595874714,0.185580595874714,0.156168831168831,0.432437038015322,0.208590163934426,0.184,0.298412010357969,0.110714285714286,0.275771792519449,0.247638087784073,0.21041181041181,0.123417072365342,-0.403097838037625,0.68768640393601,0.441550302292937,0.441550302292937,-0.544226381362659,0.157916528528436,0.129801864801865,0.129801864801865,0.129801864801865,-0.618310892816331,-0.451032412917165,-0.213892573209554,0.419748949729559,0.37849527357065,0.400112331979734,0.352867132867133,0.377308593661977,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411535615110431,-0.0857142857142857,-0.14,0.2,0.0583825612881578,-0.227795461947671,-0.284525443596282
"STAT",0.219722222222222,0.212503518153673,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.2,0.150106829719284,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.02,0.0809071591018853,0.045,0.025,0.0675142417782127,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.104995176821802,0.443869183025809,0.443869183025809,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.205794746838038,-0.459279674281075,0.0427236315086783,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.172651637812928
"cMet",0.392820512820513,0.393837535014006,0.360504201680672,0.342857142857143,0.3,0.412676767676768,0.325,0.392452788949117,0.407222222222222,0.385,0.218987184272739,0.21042735042735,0.198888888888889,0.207272727272727,0.2725,0.26,0.266666666666667,0.384458874458874,0.15,0.15,0.227167832167832,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.00476190476190475,-0.315,0.487212215047267,0.449042553191489,0.449042553191489,-0.194725274725275,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.327997573446838,-0.459383753501401,-0.259293394777266,0.163806473204284,0.086969696969697,0.131436531007752,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127792935355961,-0.177272727272727,-0.442005590496157
"SRC",0.395469236645707,0.386957671957672,0.355476190476191,0.331666666666667,0.325,0.324273504273504,0.3,0.299155991022853,0.308888888888889,0.32,0.12621568627451,0.111517273576097,0.108660130718954,0.0964102564102564,0.169457013574661,0.157692307692308,0.15,0.249203539823009,0.0533333333333333,0.0333333333333333,0.111039253539254,0.15,0.16973544973545,0.143809523809524,0.12,0.0013986013986014,-0.344312359089977,0.20343787392516,0.470056022408964,0.470056022408964,-0.104911181955456,0.218127146112127,0.191973299958281,0.191973299958281,0.191973299958281,-0.266116386572109,-0.482064397500993,-0.151414229941837,0.0768688024408848,0.0333333333333333,0.0583333333333333,0,0.0333333333333333,0,-0.05,-0.05,-0.1,0,-0.027861385925902,-0.1,-0.0333333333333333,0,-0.0811888072828017,-0.0733333333333333,-0.398195514466701
"NFB",0.542576256308975,0.573917261869442,0.528869338546758,0.469191919191919,0.405555555555556,0.306137844611529,0.142857142857143,0.321858816558953,0.252190476190476,0.178857142857143,0.198011573050273,0.199645631698001,0.18578795379538,0.281035559863977,0.358820248820249,0.321042471042471,0.264285714285714,0.567373300758003,0.228148148148148,0.18,0.313312588916683,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.336627598407784,-0.414826274049575,0.69890253417538,0.473831513243998,0.473831513243998,-0.612596413157671,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730556563783094,-0.478377596991988,-0.252348631760396,0.465904081853449,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.314329004329004
"SMO",0.430350877192982,0.524132420091324,0.481666666666667,0.44,0.4,0.393240093240093,0.2,0.360682730923695,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.284024322830293,0.253333333333333,0.333333333333333,0.239312169312169,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.458517788724685,0.481609195402299,0.481609195402299,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.445895361380798,-0.491758241758242,-0.335225292506846,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.351428571428571
"TWIST1",0.534723462921279,0.522242668941709,0.484742668941709,0.440438871473354,0.381818181818182,0.476554281706013,0.28,0.475182896054498,0.431830663615561,0.371304347826087,0.243465573974049,0.238209918644701,0.21981526981527,0.458591118009162,0.460917613459986,0.416849816849817,0.369230769230769,0.464108231196839,0.391555555555556,0.355555555555556,0.410423425501433,0.3,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.40351252141284,0.731139035985068,0.486214465344619,0.486214465344619,-0.658547729532138,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.82699697764371,-0.494415951893285,-0.402797009911764,0.470445071651422,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.428541856925419,-0.459027248878734
"FUS",0.470350877192983,0.564992635145088,0.524132420091324,0.481666666666667,0.44,0.430449395565675,0.3,0.389808944515928,0.393240093240093,0.353846153846154,0.144879757923236,0.145396825396825,0.134285714285714,0.349419191919192,0.271472527472527,0.236857142857143,0.192857142857143,0.319813796514503,0.290833333333333,0.253333333333333,0.265818193408555,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.274493927125506,-0.460555555555555,0.494129299516052,0.525708574284286,0.525708574284286,-0.437716685909631,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.488595085898705,-0.535476834723066,-0.359640008225909,0.326176548630012,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.391011904761905
"TGF",0.529224109224109,0.546462639109698,0.589705882352941,0.524705882352941,0.46,0.470634920634921,0.333333333333333,0.433912566562294,0.420634920634921,0.376190476190476,0.232323232323232,0.226233766233766,0.211948051948052,0.266625880608083,0.341791979949875,0.315476190476191,0.258333333333333,0.462382987382987,0.203333333333333,0.153333333333333,0.320494987468672,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.17972972972973,-0.503535353535354,0.510208778563209,0.554937222694232,0.554937222694232,-0.513398091342877,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.596351230858694,-0.562675324675325,-0.375373528406796,0.425974043026843,0.342264150943396,0.387959515181807,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180323526772042,-0.234367816091954,-0.403852813852814
