"","FOXC2","TGF","TGFR","PAK1","CDC42","cateninmemb","EGR1","cfos","ILK","SMAD","ERK","SNAI1","MEK","Ecadherin","NFB","Csn","SHH","IKK","SMO","AKT","FUS","Jagged","TWIST1","KLF4","Csl","NOTCHic","NOTCH","GSK3","SOSGRB2","ZEB2","ZEB1","miR200","SNAI2","RAF","PI3K","DELTA","RAS","TrCP","SUFU","Patched","HEY1","Wnt","GLI","Frizzled","cateninnuc","TCFLEF","cMet","CD44","DSH","SRC","RKIP","STAT","LIV1","AXIN2","Destcompl"
"TrCP",-0.438259488824967,-0.458872371601398,-0.424446142093201,-0.314285714285714,-0.378991596638655,0.560378836506254,-0.28,-0.336521739130435,-0.0933521078682369,-0.108190817545656,-0.389064112011791,-0.347101664837685,-0.438397445345124,0.637192443481312,-0.120833333333333,-0.0833333333333333,-0.181543721909313,-0.157675438596491,-0.138556067588326,-0.187305068226121,-0.10952380952381,-0.230974991479209,-0.391618953510258,0.55255945875618,-0.17051282051282,-0.212051282051282,-0.243919413919414,0.334262987012987,-0.225728822882288,-0.601332188733215,-0.601332188733215,0.613088570299678,-0.566461931920677,-0.34356634252617,-0.34356634252617,-0.34356634252617,-0.377202706162534,0.0333333333333333,0.0761904761904762,0.159543721909313,0.0818157097921627,-0.362358674463938,-0.392114772024913,-0.328148148148148,-0.443704005815307,-0.42039366098772,-0.363283283283283,-0.392986253580313,-0.28,-0.328148148148148,0.354596839624464,-0.28,-0.2,-0.428619140564489,-0.380776162397695
"SUFU",-0.504178709587351,-0.598549172992708,-0.566399271612038,-0.481666666666667,-0.52490990990991,0.461882633466589,-0.353846153846154,-0.393240093240093,-0.145253456221198,-0.155646065920967,-0.431171127722852,-0.41594835024345,-0.464788148999448,0.510596015193835,-0.236857142857143,-0.192857142857143,-0.369110311610312,-0.271472527472527,-0.324166666666667,-0.297647024116823,-0.290833333333333,-0.285278457266838,-0.34777197337737,0.503944842555326,-0.323787878787879,-0.362424242424242,-0.390995670995671,0.378508386969107,-0.298969451601031,-0.563986127625245,-0.563986127625245,0.575591090136125,-0.520758495329363,-0.411737516697784,-0.411737516697784,-0.411737516697784,-0.436737516697784,0.15,0.253333333333333,0.349419191919192,0.121403147228187,-0.377136752136752,-0.403530804181362,-0.344444444444444,-0.340488753439065,-0.321204865971034,-0.273149946062567,-0.299465735536252,-0.3,-0.241111111111111,0.423675573322112,-0.196666666666667,-0.15,-0.433329343418561,-0.349585319922587
"Patched",-0.39,-0.481666666666667,-0.44,-0.3,-0.4,0.351845878136201,-0.1,-0.2,-0.1,-0.12,-0.3,-0.325268817204301,-0.353846153846154,0.389509169363538,-0.1,0,-0.290833333333333,-0.15,-0.333333333333333,-0.192857142857143,-0.3,-0.203597883597884,-0.240740740740741,0.355555555555556,-0.2,-0.233333333333333,-0.278787878787879,0.305128205128205,-0.25,-0.433333333333333,-0.433333333333333,0.440476190476191,-0.416613026819923,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.347596153846154,0,0.2,0.253333333333333,0.0897435897435897,-0.25,-0.3,-0.2,-0.273149946062567,-0.241111111111111,-0.15,-0.196666666666667,-0.2,-0.1,0.302857142857143,-0.1,-0.1,-0.321645021645022,-0.298261738261738
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.307636363636364,-0.340969696969697,0.619004078577249,-0.281818181818182,-0.328877005347594,-0.105159420289855,-0.115086781064673,-0.364959479574398,-0.358866098743407,-0.39515555800577,0.601109083684298,-0.302857142857143,-0.26,-0.345270828041656,-0.33989417989418,-0.297916666666667,-0.368465608465608,-0.266666666666667,-0.374562670817701,-0.438126483368021,0.30464135021097,-0.342296650717703,-0.376317269274404,-0.404198310166598,0.364662501557927,-0.295863049562156,-0.388638186629104,-0.388638186629104,0.39776370329443,-0.489722317034744,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.421847156567827,0.2,0.233333333333333,0.324798387096774,0.0583635235668398,-0.353897196408636,-0.377230529741969,-0.326310989512084,-0.41120867475241,-0.395148917516182,-0.353267511251214,-0.376344434328137,-0.296078431372549,-0.326310989512084,0.359011578754757,-0.296078431372549,-0.266666666666667,-0.427956280172798,-0.353451167042901
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.307636363636364,-0.340969696969697,0.523094832002556,-0.281818181818182,-0.328877005347594,-0.105159420289855,-0.115086781064673,-0.364959479574398,-0.358866098743407,-0.39515555800577,0.602179570686645,-0.302857142857143,-0.26,-0.345270828041656,-0.33989417989418,-0.297916666666667,-0.368465608465608,-0.266666666666667,-0.374562670817701,-0.438126483368021,0.30464135021097,-0.342296650717703,-0.376317269274404,-0.404198310166598,0.364662501557927,-0.295863049562156,-0.388638186629104,-0.388638186629104,0.39776370329443,-0.489722317034744,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.421847156567827,0.2,0.233333333333333,0.324798387096774,0.0583635235668398,-0.353897196408636,-0.377230529741969,-0.326310989512084,-0.41120867475241,-0.395148917516182,-0.353267511251214,-0.376344434328137,-0.296078431372549,-0.326310989512084,0.359011578754757,-0.296078431372549,-0.266666666666667,-0.427956280172798,-0.353451167042901
"GSK3",-0.247741927595049,-0.275721238817739,-0.258798161894662,-0.203188405797101,-0.240331262939959,0.411108702604609,-0.119607843137255,-0.164052287581699,-0.0763983808235878,-0.0858436581849071,-0.19187183645388,-0.152272617843902,-0.214599109181153,0.479266266158078,-0.161666666666667,-0.136666666666667,-0.146385125597579,-0.176609195402299,-0.119417679095098,-0.191993810786914,-0.10974025974026,-0.194528782966817,-0.279664910233579,0.355779934444689,-0.222268907563025,-0.239751425045543,-0.25663454192866,0.0237100535733072,-0.169099159490538,-0.385306971058471,-0.385306971058471,0.390483087404078,-0.410076361690925,-0.195018447419657,-0.195018447419657,-0.195018447419657,-0.213926010444867,0.0866666666666667,0.0954545454545455,0.13107412081289,0.0549806155050326,-0.327224925057742,-0.345621151472837,-0.308270676691729,-0.375887974763,-0.362401132657737,-0.327475974704974,-0.345571212800212,-0.286842105263158,-0.308270676691729,0.180109189056557,-0.286842105263158,-0.25,-0.383681456696809,-0.0134942924283702
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.0708333333333333,-0.100245098039216,0.406960753020097,-0.0142857142857143,-0.0442857142857143,-0.00989839396919043,-0.0164814660695039,-0.0806493506493507,-0.102694157694158,-0.105819418676562,0.439926108355498,-0.0357894736842105,-0.02,-0.0691822601357549,-0.0557894736842105,-0.0458333333333333,-0.0727706057596822,-0.0325,-0.113281131623112,-0.228397471649005,0.34836093857833,-0.0869950738916256,-0.111133004926108,-0.129777072722719,0.226551407215886,-0.114294003868472,-0.370282258064516,-0.370282258064516,0.303281447511538,-0.314833511931918,-0.264301569077689,-0.264301569077689,-0.264301569077689,-0.284002317207364,0,0.02,0.0572257383966245,0.00502824858757062,-0.28912676056338,-0.306709178145798,-0.268,-0.336645853368746,-0.324221610944503,-0.291561543172076,-0.309539071261964,-0.24,-0.270434782608696,0.0821827674271767,-0.24,-0.2,-0.34124135524529,-0.315503569275578
"RKIP",-0.283554376657825,-0.303889630618603,-0.258095238095238,-0.2,-0.22,0.407458046281576,-0.17,-0.17,-0.153754813863928,-0.156725110893631,-0.187241379310345,-0.20734893799106,-0.223411592076302,0.461755914915672,-0.0857142857142857,-0.1,-0.197311475409836,-0.110714285714286,-0.14,-0.150108225108225,-0.1,-0.236844126445145,-0.351179441473559,0.332663797226208,-0.111111111111111,-0.147474747474747,-0.193628593628594,0.14160756501182,-0.0533968253968254,-0.368663797226208,-0.368663797226208,0.377852175614352,-0.58843154397622,-0.0275974025974026,-0.0275974025974026,-0.0275974025974026,-0.0660589410589411,0.1,0.1,0.176,0.137359659310879,-0.226666666666667,-0.272820512820513,-0.166666666666667,-0.323431490165118,-0.300785179732548,-0.224561403508772,-0.270715249662618,-0.1,-0.166666666666667,0.218207282913165,-0.1,0,-0.289861697140178,0.0092911729151591
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.263636363636364,-0.307636363636364,0.592081001654172,-0.2,-0.281818181818182,-0.0906666666666667,-0.105159420289855,-0.328877005347594,-0.33671420000923,-0.364959479574398,0.670729336848855,-0.26,-0.2,-0.324798387096774,-0.302857142857143,-0.266666666666667,-0.33989417989418,-0.233333333333333,-0.354196538094589,-0.412614379084967,0.266666666666667,-0.305454545454545,-0.342296650717703,-0.376317269274404,0.348106210167198,-0.28138936535163,-0.354514963880289,-0.354514963880289,0.362568172568173,-0.4649781869926,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.400897435897436,0.1,0.2,0.297916666666667,0.0482964094728801,-0.326310989512084,-0.353897196408636,-0.296078431372549,-0.395148917516182,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.266666666666667,-0.296078431372549,0.328674500103071,-0.266666666666667,-0.233333333333333,-0.40259545543053,-0.341987979717644
"ZEB2",-0.19764257964258,-0.178433312719027,-0.176846011131725,-0.176623376623377,-0.174805194805195,-0.164851819840584,-0.158333333333333,-0.142543859649123,-0.134285714285714,-0.133066202090592,-0.129640633842671,-0.12748417592125,-0.127201609452427,-0.126936101601484,-0.111111111111111,-0.111111111111111,-0.106205258156478,-0.104444444444444,-0.102857142857143,-0.101640706126687,-0.1,-0.0728419612794613,-0.0693430747629875,-0.06548092994457,-0.058974358974359,-0.0576410256410257,-0.057094577553594,-0.0486759393263144,-0.031941391941392,-0.0295326312300238,-0.0295326312300238,-0.00647550527913018,0.0398484179342007,0.0554545454545455,0.0554545454545455,0.0554545454545455,0.0560969437414834,0.1,0.1,0.105296167247387,0.122463343108504,0.131678321678322,0.131678321678322,0.134242424242424,0.140442014126225,0.140701754385965,0.140701754385965,0.140701754385965,0.140909090909091,0.143333333333333,0.149533011272142,0.15,0.15,0.181099040036186,0.192382638623032
