"","EGR1","SNAI1","MEK","cfos","ERK","HEY1","SMAD","ILK","FOXC2","NFB","SHH","IKK","AKT","SMO","Csn","FUS","TGF","TGFR","CDC42","Jagged","cateninmemb","PAK1","NOTCH","NOTCHic","Csl","KLF4","Ecadherin","ZEB2","ZEB1","GSK3","RAS","RAF","PI3K","DELTA","miR200","SOSGRB2","TWIST1","GLI","Wnt","cateninnuc","Frizzled","TCFLEF","CD44","DSH","cMet","SRC","STAT","TrCP","SUFU","LIV1","SNAI2","AXIN2","Patched","Destcompl","RKIP"
"TrCP",-0.26,-0.319572051516073,-0.400871654083734,-0.31,-0.358936170212766,-0.0837817883511075,-0.0875510204081633,-0.0769449598021027,-0.333774841488795,-0.104761904761905,-0.153687293099058,-0.134173669467787,-0.158904852263486,-0.115367965367965,-0.0761904761904762,-0.0939393939393939,-0.35803591806459,-0.326539855072464,-0.289583333333333,-0.204851912412555,0.554907487906208,-0.233333333333333,-0.217203921905909,-0.187402597402597,-0.152857142857143,0.54099632141116,0.633250910970353,-0.58396945856251,-0.58396945856251,0.313207095472542,-0.354220198406245,-0.320886865072912,-0.320886865072912,-0.320886865072912,0.596532339890661,-0.121435819381025,-0.38119075351226,-0.383452380952381,-0.350952380952381,-0.433065343566112,-0.314285714285714,-0.411623902124671,-0.384700825201594,-0.271428571428571,-0.352216748768473,-0.314285714285714,-0.271428571428571,0.0333333333333333,0.0666666666666667,-0.2,-0.467304289128664,-0.419354731525784,0.132510822510823,-0.365396815763257,0.328291124339959
"SUFU",-0.35,-0.406543815842542,-0.454762000314368,-0.389393939393939,-0.423540280857354,-0.149192045165011,-0.144142555917846,-0.134874263234919,-0.476948298126674,-0.23452380952381,-0.357404620725165,-0.266523809523809,-0.289600732600733,-0.318095238095238,-0.192857142857143,-0.286666666666667,-0.573853935274172,-0.54521071919377,-0.507372881355932,-0.272983896606538,0.449080338031417,-0.465,-0.381883321149985,-0.355832900981918,-0.320893141945774,0.501659850034083,0.5047273888759,-0.559505421817393,-0.559505421817393,0.370411878239613,-0.425142021903224,-0.402065098826301,-0.402065098826301,-0.402065098826301,0.571565718594081,-0.264842284739983,-0.290647949577787,-0.39220856524428,-0.367310606060606,-0.327071647055506,-0.336060606060606,-0.308655123819706,-0.287570786470308,-0.296666666666667,-0.262777398040556,-0.232251082251082,-0.192857142857143,0.15,0.253333333333333,-0.15,-0.484019352337825,-0.422405294510892,0.339371833839919,-0.339365811391176,0.417029081725637
"Patched",-0.1,-0.323333333333333,-0.35,-0.2,-0.3,-0.1,-0.113939393939394,-0.0939393939393939,-0.370833333333333,-0.1,-0.286666666666667,-0.15,-0.192857142857143,-0.333333333333333,0,-0.3,-0.465,-0.425,-0.4,-0.198857142857143,0.342912087912088,-0.3,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,0.385039682539683,-0.433333333333333,-0.433333333333333,0.303502188868043,-0.343846153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.440476190476191,-0.233333333333333,-0.192857142857143,-0.296666666666667,-0.25,-0.262777398040556,-0.2,-0.232251082251082,-0.192857142857143,-0.2,-0.15,-0.1,-0.1,0,0.2,-0.1,-0.38775,-0.319047619047619,0.253333333333333,-0.292641219497203,0.302857142857143
"Ecadherin",-0.281818181818182,-0.357117218893225,-0.392978926817936,-0.328877005347594,-0.363613847452857,-0.123630408482856,-0.109273734031799,-0.100092592592593,-0.397492057538719,-0.302857142857143,-0.342066893949424,-0.33989417989418,-0.367525758841548,-0.297916666666667,-0.26,-0.266666666666667,-0.383367314011992,-0.356410792272861,-0.324226884226884,-0.370477181577279,0.612152316366034,-0.291919191919192,-0.403109722104593,-0.376317269274404,-0.342296650717703,0.30464135021097,0.594457502767291,-0.388324487689813,-0.388324487689813,0.36317250005447,-0.419151252285581,-0.399778032912361,-0.399778032912361,-0.399778032912361,0.39752144359621,-0.280676056338028,-0.376209067133251,-0.373588978298483,-0.352626778985768,-0.40530442973458,-0.326310989512084,-0.390021874452025,-0.372664361498657,-0.296078431372549,-0.351974706326243,-0.326310989512084,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.475231751055987,-0.425452758914354,0.323191391941392,-0.350633902272563,0.358485820857788
"cateninmemb",-0.281818181818182,-0.357117218893225,-0.392978926817936,-0.328877005347594,-0.363613847452857,-0.123630408482856,-0.109273734031799,-0.100092592592593,-0.397492057538719,-0.302857142857143,-0.342066893949424,-0.33989417989418,-0.367525758841548,-0.297916666666667,-0.26,-0.266666666666667,-0.383367314011992,-0.356410792272861,-0.324226884226884,-0.370477181577279,0.516227557272449,-0.291919191919192,-0.403109722104593,-0.376317269274404,-0.342296650717703,0.30464135021097,0.595477216740638,-0.388324487689813,-0.388324487689813,0.36317250005447,-0.419151252285581,-0.399778032912361,-0.399778032912361,-0.399778032912361,0.39752144359621,-0.280676056338028,-0.376209067133251,-0.373588978298483,-0.352626778985768,-0.40530442973458,-0.326310989512084,-0.390021874452025,-0.372664361498657,-0.296078431372549,-0.351974706326243,-0.326310989512084,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.475231751055987,-0.425452758914354,0.323191391941392,-0.350633902272563,0.358485820857788
"GSK3",-0.108496732026144,-0.138745656107068,-0.195735725736836,-0.152496732026144,-0.177496732026144,-0.0824127227112302,-0.0753788737176322,-0.0689538325314708,-0.167313142746224,-0.153333333333333,-0.132602796227216,-0.165528455284553,-0.179417344173442,-0.106896551724138,-0.133333333333333,-0.1,-0.194467894358305,-0.176861056751468,-0.163619047619048,-0.179058054747994,0.399522713675245,-0.140952380952381,-0.241557517384744,-0.224554635540364,-0.210050818746471,0.348784683508384,0.475951257014461,-0.375485371087824,-0.375485371087824,0.0103780958050508,-0.19773147233577,-0.179124029358579,-0.179124029358579,-0.179124029358579,0.38103345971767,-0.105744228725973,-0.333720034658708,-0.328576946279593,-0.308029001074114,-0.355405820614897,-0.286224489795918,-0.344008474791322,-0.32858350102427,-0.267857142857143,-0.308361894376071,-0.286224489795918,-0.267857142857143,0.0866666666666667,0.09,-0.242857142857143,-0.412346693575366,-0.368436230675713,0.117563218390805,0.000640001700248462,0.166799044781939
"RKIP",-0.17,-0.214543254688445,-0.22024154589372,-0.17,-0.181111111111111,-0.149122807017544,-0.146647058823529,-0.142647058823529,-0.220512820512821,-0.0857142857142857,-0.199820089955022,-0.110714285714286,-0.152649769585253,-0.14,-0.1,-0.1,-0.244729965156794,-0.191071428571429,-0.128571428571429,-0.245672268907563,0.46480117820324,-0.1,-0.206565656565657,-0.156565656565657,-0.111111111111111,0.332663797226208,0.53847140272614,-0.371439307430289,-0.371439307430289,0.157653457653458,-0.0847463284379172,-0.0464285714285714,-0.0464285714285714,-0.0464285714285714,0.380025159805282,-0.0216666666666667,-0.300116959064327,-0.308888888888889,-0.266666666666667,-0.362073523536522,-0.2,-0.33606196284288,-0.306928104575163,-0.1,-0.264705882352941,-0.2,-0.1,0.1,0.1,0,-0.609529211330529,-0.330285714285714,0.179130434782609,-0.0115180148938111,0.223809523809524
"miR200",-0.0142857142857143,-0.10503463819536,-0.110989983252757,-0.0476190476190476,-0.083982683982684,-0.0137054354178843,-0.0163552302490489,-0.0101257220523276,-0.131014527325207,-0.0357894736842105,-0.0711177041349455,-0.0570015948963317,-0.0746486537198612,-0.0467857142857143,-0.02,-0.0325,-0.159634290301186,-0.139339087349157,-0.113565891472868,-0.116625576145871,0.422638436321599,-0.0833333333333333,-0.132681478859468,-0.112920999817552,-0.0869950738916256,0.348796166432913,0.466868402533427,-0.371254228467343,-0.371254228467343,0.229651108699913,-0.289751053236308,-0.268571428571429,-0.268571428571429,-0.268571428571429,0.30417371912579,-0.131440986823661,-0.308166276143366,-0.312788814119354,-0.293511705685619,-0.344929915750861,-0.270434782608696,-0.33195281651422,-0.31616334283001,-0.24,-0.296410256410256,-0.273333333333333,-0.24,0,0.02,-0.2,-0.376509456294288,-0.347687201236897,0.058474025974026,-0.319650193979615,0.0838095238095238
"KLF4",-0.2,-0.336089931573803,-0.363613847452857,-0.281818181818182,-0.328877005347594,-0.108561915332171,-0.100092592592593,-0.0875,-0.370324427480916,-0.26,-0.323191391941392,-0.302857142857143,-0.33989417989418,-0.266666666666667,-0.2,-0.233333333333333,-0.356410792272861,-0.324226884226884,-0.291919191919192,-0.352359534518455,0.586297323205979,-0.255555555555556,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.266666666666667,0.6645225786892,-0.354514963880289,-0.354514963880289,0.347641773797487,-0.399778032912361,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.362568172568173,-0.268,-0.354853134929861,-0.352626778985768,-0.326310989512084,-0.390021874452025,-0.296078431372549,-0.372664361498657,-0.351974706326243,-0.266666666666667,-0.326310989512084,-0.296078431372549,-0.266666666666667,0.1,0.2,-0.233333333333333,-0.452859783401001,-0.401824066931232,0.297916666666667,-0.340252949891611,0.328674500103071
"ZEB2",-0.147619047619048,-0.147580247606064,-0.143912762037544,-0.142355889724311,-0.140601503759398,-0.136237741477073,-0.127844612329188,-0.12686741363212,-0.12046559490525,-0.117777777777778,-0.116815109505001,-0.115452196382429,-0.114462097372528,-0.113574660633484,-0.111111111111111,-0.107692307692308,-0.102104919833831,-0.100050125313283,-0.0947869674185464,-0.0926520460111177,-0.0861534822306365,-0.0852631578947368,-0.0832840236686391,-0.0826923076923077,-0.0826923076923077,-0.0568036949926714,-0.054915883209222,-0.0430122215183191,-0.0430122215183191,-0.00588046693309851,0.00355557266331554,0.00592524090976103,0.00592524090976103,0.00592524090976103,0.00702496623979037,0.0403246753246753,0.0596131731399741,0.0708750508750509,0.0734391534391534,0.0742094345219941,0.0762962962962963,0.0766593231634195,0.0796533351394674,0.08,0.0822440087145969,0.0851851851851852,0.0888888888888889,0.1,0.1,0.1,0.104442074744364,0.112159675409258,0.114873361932185,0.135004592357608,0.165969410706253
