"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI2","SNAI1","ERK","cfos","TWIST1","EGR1","HEY1","AKT","NOTCH","SMAD","Jagged","SHH","ILK","NFB","IKK","NOTCHic","RAS","Csl","SMO","Csn","RAF","PI3K","DELTA","FUS","SOSGRB2","ZEB2","ZEB1","KLF4","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","cateninmemb","Frizzled","miR200","SRC","AXIN2","DSH","Ecadherin","STAT","Destcompl","TrCP","LIV1","GSK3","SUFU","Patched","RKIP"
"TrCP",-0.371061880018895,-0.3861768770152,-0.359230769230769,-0.323846153846154,-0.273846153846154,-0.371175213675214,-0.568030303030303,-0.28082239637428,-0.335277777777778,-0.3075,-0.307591359822481,-0.27,-0.089277798075752,-0.127793571823423,-0.167008663930689,-0.0940479005373075,-0.15280736933336,-0.120731039205615,-0.084873588610702,-0.0928571428571428,-0.111375661375661,-0.146078431372549,-0.329555315357551,-0.116666666666667,-0.0944444444444444,-0.0761904761904762,-0.299628308058281,-0.299628308058281,-0.299628308058281,-0.0777777777777778,-0.141247771836007,-0.565909101692704,-0.565909101692704,0.532014885699096,-0.330252100840336,-0.370640603521615,-0.304761904761905,-0.352955716061808,-0.333270676691729,-0.308270676691729,0.564463951088719,-0.271428571428571,0.578964428418884,-0.271428571428571,-0.371048951048951,-0.2,0.607494859662995,-0.2,-0.269052865714877,0.0333333333333333,-0.1,0.278798978798979,0.0666666666666667,0.107171717171717,0.30245742561532
"SUFU",-0.457967464981754,-0.541477068172028,-0.517808429118774,-0.489808429118774,-0.462222222222222,-0.429373646611216,-0.442217548996772,-0.373797176484691,-0.41003663003663,-0.387179487179487,-0.274404510218464,-0.353846153846154,-0.153845275164615,-0.267914438502674,-0.332796408876487,-0.149229804983028,-0.203172123102332,-0.32941568512133,-0.142314911366006,-0.229220779220779,-0.251948051948052,-0.313721264367816,-0.363002070393375,-0.289583333333333,-0.298990901571547,-0.192857142857143,-0.34879917184265,-0.34879917184265,-0.34879917184265,-0.276410256410256,-0.244864897178384,-0.542930466092838,-0.542930466092838,0.493638105189829,-0.202724726254138,-0.119010452142361,-0.183116883116883,-0.108070544592284,-0.0936892736892737,-0.0744973544973545,0.429629595871933,-0.155844155844156,0.556366279254464,-0.0485714285714286,-0.314984824276025,-0.127272727272727,0.485596181322782,-0.02,-0.251711178402169,0.15,0,0.313432888174093,0.253333333333333,0.315874018454664,0.395548654244306
"Patched",-0.379411764705882,-0.462222222222222,-0.44,-0.4,-0.3,-0.353846153846154,-0.36,-0.311333333333333,-0.3,-0.2,-0.197272727272727,-0.1,-0.105128205128205,-0.192857142857143,-0.258333333333333,-0.12,-0.147272727272727,-0.276410256410256,-0.1,-0.1,-0.15,-0.233333333333333,-0.315,-0.2,-0.333333333333333,0,-0.29,-0.29,-0.29,-0.3,-0.25,-0.433333333333333,-0.433333333333333,0.355555555555556,-0.127272727272727,-0.0744973544973545,-0.1,-0.0485714285714286,-0.02,0,0.33051282051282,-0.2,0.440476190476191,-0.1,-0.247619047619048,-0.2,0.382126436781609,-0.1,-0.229158249158249,0,-0.1,0.270980392156863,0.2,0.253333333333333,0.302857142857143
"RKIP",-0.262051282051282,-0.276780145530146,-0.238942307692308,-0.207692307692308,-0.2,-0.212490842490842,-0.575742893580532,-0.187530465713721,-0.184285714285714,-0.17,-0.294341290893015,-0.17,-0.159581881533101,-0.141428571428571,-0.168300653594771,-0.154807445442875,-0.202373145979703,-0.178666666666667,-0.153754813863928,-0.0857142857142857,-0.105714285714286,-0.129411764705882,-0.0317094017094017,-0.1,-0.133333333333333,-0.1,-0.00555555555555555,-0.00555555555555555,-0.00555555555555555,-0.1,-0.0300751879699248,-0.361996034368804,-0.361996034368804,0.329411764705882,-0.295555555555556,-0.333926886792453,-0.255555555555556,-0.318301886792453,-0.29,-0.25,0.45878736609349,-0.2,0.37168673111878,-0.2,-0.312023460410557,-0.1,0.511916024688021,-0.1,0.0638835203440813,0.1,0,0.100683760683761,0.1,0.166666666666667,0.208225108225108
"GSK3",-0.204378203796507,-0.225226852419835,-0.216584877111193,-0.209514170040486,-0.18582995951417,-0.178394032559871,-0.350063450358476,-0.11125596541738,-0.166855571021409,-0.152836879432624,-0.21407604443749,-0.116666666666667,-0.0832337167149673,-0.159420944352451,-0.202419515224796,-0.0788073048539726,-0.133882349011052,-0.107940199335548,-0.0725236423764142,-0.147619047619048,-0.151728636660144,-0.193777539916154,-0.149192864066729,-0.186846846846847,-0.09,-0.133333333333333,-0.138036677454153,-0.138036677454153,-0.138036677454153,-0.09,-0.128866813833701,-0.361120785110581,-0.361120785110581,0.340843034685539,-0.266973052787006,-0.283888405796286,-0.256507936507937,-0.275669227714094,-0.266396044756701,-0.256872235232891,0.37436803722168,-0.245396825396825,0.367322762604105,-0.245396825396825,-0.311679986679987,-0.231111111111111,0.442551004242205,-0.231111111111111,0.0607286234756213,0.0866666666666667,-0.22,-0.0323944577301112,0.09,0.0969767441860465,0.148095106216055
"cateninmemb",-0.358580103024548,-0.332335569886869,-0.313398692810458,-0.293790849673203,-0.272222222222222,-0.349182957393484,-0.401080306675272,-0.312165092025511,-0.330761904761905,-0.307428571428571,-0.236374570585795,-0.271428571428571,-0.116190476190476,-0.329356060606061,-0.333572984749455,-0.103846187289516,-0.0974040190788959,-0.200297815392155,-0.0968531802965088,-0.283333333333333,-0.310606060606061,-0.315925925925926,-0.34555043185478,-0.295925925925926,-0.171428571428571,-0.25,-0.33629117259552,-0.33629117259552,-0.33629117259552,-0.147619047619048,-0.232380254154448,-0.354969731463755,-0.354969731463755,0.274438454627134,-0.0773537388609066,-0.0941208639641964,-0.0672413793103448,-0.0870882739127384,-0.0759018332347723,-0.0657894736842105,0.356622152558456,-0.05,0.363659213250518,-0.05,-0.323945374781829,-0.05,0.553512927564794,-0.05,-0.269826655587306,0.2,-0.0333333333333333,0.300835344115473,0.133333333333333,0.188409703504043,0.32719646799117
"miR200",-0.0427552116913819,-0.0561227580536985,-0.0464453386988598,-0.030952380952381,-0.0166666666666667,-0.0387654320987654,-0.161330889540277,-0.0361179361179361,-0.0251851851851852,-0.00666666666666667,-0.0695006652922168,0,-0.0029126213592233,-0.0212579397956366,-0.0544979203802733,-0.00418673907331173,-0.0461196536456629,-0.0200847457627119,-0.00204081632653061,-0.00588235294117647,-0.0142156862745098,-0.0462626262626263,-0.140692748028513,-0.0311111111111111,-0.0114285714285714,0,-0.127023683280311,-0.127023683280311,-0.127023683280311,-0.00666666666666667,-0.0473279352226721,-0.337524728749774,-0.337524728749774,0.328863636363636,-0.253422848338103,-0.273219554746463,-0.241558441558442,-0.266228673287497,-0.26034632034632,-0.247619047619048,0.374738815333249,-0.227272727272727,0.269750757853812,-0.233333333333333,-0.290954545454545,-0.2,0.381752700638408,-0.2,-0.217300116917705,0,-0.1,0.166774640088594,0,0.0165133171912833,0.0273748473748474
"Ecadherin",-0.339238539238539,-0.313398692810458,-0.293790849673203,-0.272222222222222,-0.255555555555556,-0.330761904761905,-0.384706037669424,-0.298439601829432,-0.307428571428571,-0.271428571428571,-0.22130607743511,-0.2,-0.107301587301587,-0.310606060606061,-0.315925925925926,-0.0968531802965088,-0.0882086167800454,-0.188409703504043,-0.0886178861788618,-0.25,-0.283333333333333,-0.295925925925926,-0.33629117259552,-0.27,-0.147619047619048,-0.2,-0.32469696969697,-0.32469696969697,-0.32469696969697,-0.133333333333333,-0.23010752688172,-0.32987012987013,-0.32987012987013,0.24047619047619,-0.0672413793103448,-0.0870882739127384,-0.05,-0.0759018332347723,-0.0657894736842105,-0.05,0.435634498237468,-0.05,0.336278260869565,-0.05,-0.311945374781829,-0.0333333333333333,0.531190605242472,-0.0333333333333333,-0.265817988198357,0.1,-0.133333333333333,0.293518270944742,0.1,0.171428571428571,0.306666666666667
"KLF4",-0.317016317016317,-0.293790849673203,-0.272222222222222,-0.255555555555556,-0.2,-0.307428571428571,-0.366487414187643,-0.280979284369115,-0.271428571428571,-0.2,-0.199938556067588,-0.1,-0.0828571428571429,-0.283333333333333,-0.295925925925926,-0.0886178861788618,-0.0698412698412698,-0.171428571428571,-0.0666666666666667,-0.2,-0.25,-0.27,-0.32469696969697,-0.25,-0.133333333333333,-0.1,-0.308333333333333,-0.308333333333333,-0.308333333333333,-0.1,-0.233333333333333,-0.296536796536797,-0.296536796536797,0.207142857142857,-0.05,-0.0759018332347723,-0.05,-0.0657894736842105,-0.05,-0.05,0.412887717121588,-0.0333333333333333,0.303478260869565,-0.0333333333333333,-0.297991886409736,-0.133333333333333,0.603540835657218,-0.133333333333333,-0.262389416769786,0,-0.1,0.283101604278075,0.1,0.147619047619048,0.276363636363636
"ZEB2",-0.281545643898585,-0.280317902807867,-0.266193609022556,-0.253035714285714,-0.234285714285714,-0.206532356532357,-0.205600128936128,-0.196708613868363,-0.195421245421245,-0.192857142857143,-0.184150452721881,-0.176190476190476,-0.154005376344086,-0.147916666666667,-0.14750092284976,-0.146371196968102,-0.14591090606771,-0.145840556991636,-0.142981366459627,-0.141666666666667,-0.141666666666667,-0.135873015873016,-0.134540652707036,-0.131111111111111,-0.130519480519481,-0.125,-0.124014336917563,-0.124014336917563,-0.124014336917563,-0.123376623376623,-0.10042735042735,-0.07410531314582,-0.07410531314582,-0.031804993050534,-0.00566037735849057,-0.00564482347829488,0,6.08822274108203e-05,0.00851158645276293,0.0143939393939394,0.0211910590206094,0.025,0.0367219817219817,0.0416666666666667,0.0468627450980392,0.05,0.0525862154724053,0.0666666666666667,0.0920094388402533,0.1,0.1,0.114164934164934,0.114285714285714,0.137926887926888,0.211666666666667
