"","FOXC2","SNAI1","HEY1","TWIST1","SHH","ILK","SMAD","SMO","EGR1","IKK","Jagged","AKT","FUS","NFB","Csn","NOTCH","KLF4","NOTCHic","MEK","Csl","cfos","ERK","cateninmemb","SNAI2","ZEB2","ZEB1","miR200","Ecadherin","GSK3","TGF","RAS","TGFR","CDC42","RAF","PI3K","DELTA","PAK1","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","SOSGRB2","RKIP"
"SUFU",-0.479364566117098,-0.379420099311415,-0.0589035549747965,-0.333077300008361,-0.310394192894193,-0.0451920122887865,-0.0477324279931745,-0.273055555555556,-0.313846153846154,-0.227208791208791,-0.245729354851067,-0.246671878457113,-0.250833333333333,-0.200285714285714,-0.164285714285714,-0.360093795093795,0.483066108220717,-0.33469696969697,-0.387691726224375,-0.300606060606061,-0.328997668997669,-0.36003215175629,0.464077871186799,-0.518165107428798,-0.536457970713094,-0.536457970713094,0.548592999622771,0.511691196384845,0.373853683597254,-0.0437390619878345,-0.414005646543033,-0.0332854130726471,-0.0247747747747748,-0.389955013631641,-0.389955013631641,-0.389955013631641,-0.0166666666666667,-0.405453881104439,-0.341509784899349,-0.32314661354385,-0.379059829059829,-0.301407483109067,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,0.213333333333333,-0.196666666666667,-0.435039963518347,0.292247474747475,0.15,-0.15,-0.35166173181826,-0.0976505950190161,0.385175444748346
"TrCP",-0.365287167852843,-0.240477842248786,-0.00843107857835788,-0.341667419536985,-0.0994254423394208,-0.0042584058713091,-0.0107100187745349,-0.0654377880184332,0,-0.0607456140350877,-0.168497358554874,-0.0885233918128655,-0.0428571428571429,-0.0291666666666667,0.00833333333333333,-0.171978021978022,0.487814207650273,-0.142307692307692,-0.136368459837878,-0.103846153846154,-0.0478260869565217,-0.100368459837878,0.542149424941377,-0.544551546270109,-0.528236000923886,-0.528236000923886,0.540385620484157,0.606700124055853,0.310727813852814,-0.0954059119922186,-0.267423614432223,-0.0899414311179017,-0.0747899159663866,-0.237423614432223,-0.237423614432223,-0.237423614432223,-0.0571428571428571,-0.385580754053155,-0.429354122302569,-0.4099058464405,-0.359727095516569,-0.387313253847907,-0.360580580580581,-0.328148148148148,-0.328148148148148,-0.28,0.00952380952380952,-0.28,-0.424379279363014,0.0864254423394208,-0.0333333333333333,-0.2,-0.379446437670941,-0.0317244224422442,0.230479980424732
"Patched",-0.38,-0.302150537634409,-0.0384615384615385,-0.233333333333333,-0.250833333333333,-0.0333333333333333,-0.0333333333333333,-0.333333333333333,-0.1,-0.15,-0.175026455026455,-0.164285714285714,-0.3,-0.1,0,-0.260606060606061,0.355555555555556,-0.233333333333333,-0.313846153846154,-0.2,-0.2,-0.26,0.354623655913978,-0.416613026819923,-0.425,-0.425,0.433333333333333,0.393122977346278,0.305128205128205,-0.0166666666666667,-0.332211538461538,0,0,-0.288461538461538,-0.288461538461538,-0.288461538461538,-0.1,-0.3,-0.275091693635383,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,0.2,-0.1,-0.321645021645022,0.213333333333333,0,-0.1,-0.298261738261738,-0.0833333333333333,0.288571428571429
"Ecadherin",-0.413573500773979,-0.347761362227002,-0.088277234017463,-0.434303501661372,-0.323169608839218,-0.060695652173913,-0.064327613432993,-0.285416666666667,-0.281818181818182,-0.332486772486772,-0.362199091841639,-0.354564694564695,-0.266666666666667,-0.302857142857143,-0.26,-0.396357126707432,0.30210970464135,-0.372193557934198,-0.370930775309187,-0.342296650717703,-0.317112299465241,-0.347009206681736,0.620085558073363,-0.489481498250878,-0.382689072136712,-0.382689072136712,0.392295345870765,0.602827829931446,0.363779499350421,-0.137761486429594,-0.414677801932978,-0.131432372505543,-0.125090909090909,-0.394845399698341,-0.394845399698341,-0.394845399698341,-0.121090909090909,-0.377230529741969,-0.411986918802209,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,0.233333333333333,-0.296078431372549,-0.427956280172798,0.305846774193548,0.2,-0.266666666666667,-0.353637560332742,-0.191653877403629,0.349686500408812
"cateninmemb",-0.413573500773979,-0.347761362227002,-0.088277234017463,-0.434303501661372,-0.323169608839218,-0.060695652173913,-0.064327613432993,-0.285416666666667,-0.281818181818182,-0.332486772486772,-0.362199091841639,-0.354564694564695,-0.266666666666667,-0.302857142857143,-0.26,-0.396357126707432,0.30210970464135,-0.372193557934198,-0.370930775309187,-0.342296650717703,-0.317112299465241,-0.347009206681736,0.524177281276023,-0.489481498250878,-0.382689072136712,-0.382689072136712,0.392295345870765,0.603903276943988,0.363779499350421,-0.137761486429594,-0.414677801932978,-0.131432372505543,-0.125090909090909,-0.394845399698341,-0.394845399698341,-0.394845399698341,-0.121090909090909,-0.377230529741969,-0.411986918802209,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,0.233333333333333,-0.296078431372549,-0.427956280172798,0.305846774193548,0.2,-0.266666666666667,-0.353637560332742,-0.191653877403629,0.349686500408812
"miR200",-0.117314338777753,-0.101635956635957,-0.0100847457627119,-0.228397471649005,-0.0670083470922767,-0.00635857096034087,-0.00980684682240984,-0.0458333333333333,-0.0142857142857143,-0.0557894736842105,-0.111906561176377,-0.0727706057596822,-0.0325,-0.0357894736842105,-0.02,-0.129777072722719,0.34836093857833,-0.111133004926108,-0.103098330241187,-0.0869950738916256,-0.0442857142857143,-0.0806493506493507,0.406960753020097,-0.314833511931918,-0.370282258064516,-0.370282258064516,0.303281447511538,0.440221966343664,0.226551407215886,-0.0667400305958843,-0.28300481097295,-0.0620888678051866,-0.0556372549019608,-0.264301569077689,-0.264301569077689,-0.264301569077689,-0.0458333333333333,-0.306709178145798,-0.336645853368746,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,0.02,-0.24,-0.34124135524529,0.0572257383966245,0,-0.2,-0.315503569275578,-0.0915344938749194,0.0821827674271767
"GSK3",-0.219279162290178,-0.113624071131655,-0.019868053690595,-0.260628651111737,-0.0950509200334734,-0.00894281517017346,-0.0141901914820175,-0.078941488618908,-0.0411764705882353,-0.132658045977012,-0.153006474926303,-0.145478558797524,-0.0692640692640693,-0.115416666666667,-0.0841666666666667,-0.222972027972028,0.327554488778391,-0.208166833166833,-0.126709431779091,-0.189285714285714,-0.0856209150326797,-0.111936704506364,0.403843052221942,-0.400981827758925,-0.353704397074246,-0.353704397074246,0.358789650356538,0.467381754441258,0.0160654177600179,-0.160870186723845,-0.184367823533739,-0.157793263646922,-0.15047619047619,-0.168191352945503,-0.168191352945503,-0.168191352945503,-0.14,-0.34289886759073,-0.370204683788014,-0.358165210103804,-0.325917735515259,-0.343294328536573,-0.326151471393716,-0.308270676691729,-0.308270676691729,-0.286842105263158,0.0454545454545455,-0.286842105263158,-0.381924332831136,0.0869169487416074,0.0466666666666667,-0.25,-0.0131089809791824,-0.0449894291754757,0.136710482499956
"RKIP",-0.273401119952844,-0.186919036043664,-0.110491676345335,-0.357944147355912,-0.163868852459016,-0.0981065468549422,-0.0971164478450412,-0.1,-0.17,-0.0857142857142857,-0.226859487428248,-0.112987012987013,-0.1,-0.0857142857142857,-0.1,-0.180691530691531,0.322907699665232,-0.138383838383838,-0.108004402054292,-0.111111111111111,-0.07,-0.0803448275862069,0.472321901733667,-0.621728157603311,-0.352907699665232,-0.352907699665232,0.362553067818535,0.533722514151275,0.158707643814027,-0.0892923898531375,-0.0631562881562882,-0.0771428571428571,-0.0533333333333333,-0.0178571428571429,-0.0178571428571429,-0.0178571428571429,-0.0333333333333333,-0.32,-0.375461213488534,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,0.1,-0.1,-0.337271448663854,0.136,0.1,0,-0.0227081076332972,0.128952380952381,0.189775910364146
"KLF4",-0.387715377204185,-0.327824653366242,-0.0768678380443086,-0.410653594771242,-0.305846774193548,-0.052,-0.060695652173913,-0.266666666666667,-0.2,-0.302857142857143,-0.343663622734088,-0.332486772486772,-0.233333333333333,-0.26,-0.2,-0.372193557934198,0.266666666666667,-0.342296650717703,-0.347009206681736,-0.305454545454545,-0.281818181818182,-0.317112299465241,0.592777865765671,-0.4649781869926,-0.351883384932921,-0.351883384932921,0.36045177045177,0.672448083096003,0.348106210167198,-0.131432372505543,-0.394845399698341,-0.125090909090909,-0.121090909090909,-0.372051282051282,-0.372051282051282,-0.372051282051282,-0.109090909090909,-0.353897196408636,-0.395647049521164,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,0.2,-0.266666666666667,-0.40259545543053,0.285416666666667,0.1,-0.233333333333333,-0.341987979717644,-0.189022298456261,0.32459286745001
"ZEB2",-0.214068376068376,-0.129232993172873,-0.114134897360704,-0.110234580655239,-0.103311688311688,-0.102247330134654,-0.101637574037093,-0.0978571428571429,-0.0916666666666667,-0.0911111111111111,-0.0904562795083047,-0.0901765316718588,-0.0892857142857143,-0.0888888888888889,-0.0888888888888889,-0.0760655737704918,-0.0734780219111276,-0.0733333333333333,-0.0718811683023452,-0.0666666666666667,-0.0653508771929825,-0.0621250707413696,-0.049405848189103,-0.0429809966810875,-0.0249548351910557,-0.0249548351910557,-0.0103598893735742,-0.00783605105869248,0.00476222988789689,0.0137786023500309,0.0141921354876387,0.0185405071119357,0.0192207792207792,0.0195454545454545,0.0195454545454545,0.0195454545454545,0.0246753246753247,0.0480319069309895,0.0489496967628917,0.0515470993602943,0.0517016317016317,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.075,0.08,0.0874933309354674,0.0978571428571429,0.1,0.1,0.114078192494079,0.126080586080586,0.137117552334944
