"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348056318775632,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571217640658295,0.570959582011642,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.336759199134199,0.613088570299678,-0.451264438248607,-0.397673180240574,-0.427283788628704,-0.364990253411306,-0.398659253312719,-0.328148148148148,-0.365985985985986,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384708462277024,0.159543721909313,0.354596839624464
"SUFU",-0.460525164617581,-0.576899114137199,-0.530402298850575,-0.468333333333333,-0.393333333333333,-0.509242424242424,-0.37713587487781,-0.342857142857143,-0.461190476190476,-0.402857142857143,-0.135434995112414,-0.144856475472383,-0.129666602054662,-0.299112794873782,-0.206343239050006,-0.39070271306682,-0.175730994152047,-0.138888888888889,-0.247023809523809,-0.20952380952381,-0.247426301230976,-0.0833333333333333,-0.253528746824251,-0.214288240495137,-0.162564102564103,-0.198787878787879,0.542222222222222,-0.59334229390681,-0.59334229390681,-0.551302113535574,0.548378396972824,-0.433553603259486,-0.390238095238095,-0.390238095238095,-0.390238095238095,0.630522424072604,0.395695718654434,0.60412365756019,-0.446430355394074,-0.476862745098039,-0.41462707670555,-0.433333333333333,-0.377235772357724,-0.38,-0.333333333333333,-0.28,-0.3,-0.2,-0.402292213473316,0.0333333333333333,0.166666666666667,-0.1,-0.324455672778041,0.273339598997494,0.370979722032354
"Patched",-0.288888888888889,-0.393333333333333,-0.333333333333333,-0.3,-0.3,-0.342857142857143,-0.253333333333333,-0.1,-0.3,-0.2,-0.1,-0.109090909090909,-0.1,-0.20952380952381,-0.0833333333333333,-0.227777777777778,-0.0333333333333333,0,-0.233333333333333,-0.2,-0.143333333333333,0,-0.0933333333333333,-0.0333333333333333,0,-0.1,0.36,-0.426666666666667,-0.426666666666667,-0.381818181818182,0.376,-0.275,-0.2,-0.2,-0.2,0.447017543859649,0.26,0.431428571428571,-0.333333333333333,-0.3,-0.28,-0.2,-0.2,-0.1,-0.1,0,-0.1,0,-0.2,0,0.2,0,-0.224561403508772,0.166666666666667,0.216666666666667
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489917946028745,0.620552080005568,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364662501557927,0.39776370329443,-0.412220880531639,-0.377230529741969,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353596371326036,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489917946028745,0.524643534006849,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364662501557927,0.39776370329443,-0.412220880531639,-0.377230529741969,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353596371326036,0.324798387096774,0.359011578754757
"GSK3",-0.248060906861396,-0.27623405933056,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.15271558572873,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.281398457876626,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.385306971058471,-0.385306971058471,-0.412665610967306,0.416924381086179,-0.21553665470257,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.487972505543372,0.0250060374516847,0.390483087404078,-0.379832024525032,-0.348815133468151,-0.366195660888668,-0.328532114600226,-0.348800478016233,-0.308270676691729,-0.328800478016233,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0155502962429565,0.13107412081289,0.180109189056557
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624195488721805,0.47475198852248,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377024070228253,-0.32,-0.350815418828762,-0.27,-0.318421052631579,-0.2,-0.268421052631579,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0224932848620835,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228507295173962,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113373879456023,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314993766359454,0.407088916196362,-0.284101067824556,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440286932192697,0.226616511665124,0.303281447511538,-0.336925901036434,-0.306904538341158,-0.324425901036434,-0.28912676056338,-0.309743361353894,-0.268,-0.291561543172076,-0.270434782608696,-0.24,-0.24,-0.341392616791382,0,0.02,-0.2,-0.315589543734694,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.348106210167198,0.362568172568173,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.238336542684369,-0.226011986999829,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.163451239738129,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.131844780678727,-0.12863707165109,-0.12677608642015,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111571264782016,-0.111111111111111,-0.100805860805861,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.049134397895848,-0.0422081872588565,-0.0216142554643236,-0.0156056717733364,-0.0156056717733364,-0.0156056717733364,0.00605090076684313,0.0112191093713585,0.0144245742824161,0.0441452784130724,0.0473958457444696,0.0487706855791962,0.0529004329004329,0.0544444444444444,0.0593939393939394,0.06,0.0666666666666667,0.0727272727272727,0.08,0.0873412698412698,0.1,0.1,0.1,0.114150446394375,0.127735191637631,0.178599033816425
