"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","HEY1","ERK","SMAD","ILK","EGR1","cfos","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.437686477986199,-0.458983025822285,-0.42360698125404,-0.378991596638655,-0.314285714285714,-0.346689994091492,-0.368248337028825,-0.0964985994397759,-0.320975609756098,-0.103825269504189,-0.0888751033912324,-0.193333333333333,-0.26,-0.180709463532248,-0.186737699237699,-0.394005812369449,-0.155968468468468,-0.120833333333333,-0.136190476190476,-0.10952380952381,-0.233267715474999,-0.0833333333333333,-0.24484568568136,-0.21113782051282,-0.17051282051282,-0.267162698412698,0.551603174603175,-0.600379746574976,-0.600379746574976,-0.570723555559143,0.570490756754936,-0.383579840031334,-0.347816742081448,-0.347816742081448,-0.347816742081448,0.651989579048403,0.337237491700477,0.612093116596428,-0.450662041416808,-0.397673180240574,-0.426912041416808,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.385757598300107,0.157709463532248,0.353718491631377
"SUFU",-0.502692441657959,-0.597770124963673,-0.565770124963673,-0.52490990990991,-0.481666666666667,-0.413001526053129,-0.484306804306804,-0.150906719961446,-0.447163947163947,-0.147625198639073,-0.137198658354713,-0.355555555555556,-0.401709401709402,-0.36597324496809,-0.295707717569787,-0.348224789915966,-0.270190476190476,-0.236857142857143,-0.322261904761905,-0.290833333333333,-0.285096019900371,-0.192857142857143,-0.390751171335154,-0.361718913270637,-0.323787878787879,-0.339117647058824,0.503248054313628,-0.562211790214738,-0.562211790214738,-0.521816906697238,0.470501322397971,-0.440461857430959,-0.413977106227106,-0.413977106227106,-0.413977106227106,0.524511758802721,0.377434973413825,0.573993072101421,-0.346072005450343,-0.406940869952022,-0.326072005450343,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.353370085777086,0.34597324496809,0.413595634358068
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.355555555555556,-0.105128205128205,-0.3,-0.115789473684211,-0.1,-0.1,-0.2,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.27,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.415928342135239,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.303502188868043,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.298461538461538
"RKIP",-0.329376114081996,-0.351721611721612,-0.297435897435897,-0.238461538461538,-0.2,-0.257811071941507,-0.342156862745098,-0.183025210084034,-0.283333333333333,-0.180494845711564,-0.177198142414861,-0.35,-0.25,-0.23362962962963,-0.174025974025974,-0.399262820512821,-0.128571428571429,-0.1,-0.16,-0.12,-0.283082706766917,-0.1,-0.228846153846154,-0.175,-0.125,0.0238095238095238,0.360701754385965,-0.407510265024263,-0.407510265024263,-0.687805692403088,0.495500077828466,-0.107782987135302,-0.058250276854928,-0.058250276854928,-0.058250276854928,0.579987109664529,0.203388723910617,0.414802888368462,-0.394123226799189,-0.326,-0.36310718401844,-0.27,-0.324421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.341414141414141,0.1,0.1,0,-0.024593767844033,0.204,0.325
"Ecadherin",-0.418920145190563,-0.402146271711851,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.357369931573803,-0.395362728402929,-0.125028032521989,-0.361694386694387,-0.110844041320232,-0.101708238851096,-0.275,-0.321153846153846,-0.343525535539003,-0.367998755057579,-0.43784802394478,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.373561356334309,-0.26,-0.403929209572912,-0.376317269274404,-0.342296650717703,-0.311865079365079,0.30464135021097,-0.388324487689813,-0.388324487689813,-0.488917389463175,0.620552080005568,-0.422209381646001,-0.401082621082621,-0.401082621082621,-0.401082621082621,0.604930888606676,0.363201982568325,0.39752144359621,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353986452136874,0.324003623188406,0.354336672952278
"cateninmemb",-0.418920145190563,-0.402146271711851,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.357369931573803,-0.395362728402929,-0.125028032521989,-0.361694386694387,-0.110844041320232,-0.101708238851096,-0.275,-0.321153846153846,-0.343525535539003,-0.367998755057579,-0.43784802394478,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.373561356334309,-0.26,-0.403929209572912,-0.376317269274404,-0.342296650717703,-0.311865079365079,0.30464135021097,-0.388324487689813,-0.388324487689813,-0.488917389463175,0.524643534006849,-0.422209381646001,-0.401082621082621,-0.401082621082621,-0.401082621082621,0.606005597966833,0.363201982568325,0.39752144359621,-0.412282563539855,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353986452136874,0.324003623188406,0.354336672952278
"GSK3",-0.247424624279216,-0.275735727408523,-0.258225999782064,-0.240331262939959,-0.203188405797101,-0.152341948739691,-0.170194358905699,-0.0875794160841881,-0.149739813451154,-0.0842757267263584,-0.0752127466956364,-0.0742857142857143,-0.121904761904762,-0.14630236566712,-0.191777360278934,-0.281110242546631,-0.17562015503876,-0.161666666666667,-0.117936981051735,-0.10974025974026,-0.196181136437005,-0.136666666666667,-0.257065052855835,-0.239170316013729,-0.222268907563025,-0.185270935960591,0.355186863393602,-0.384850694791746,-0.384850694791746,-0.412437410405589,0.41668700935508,-0.21649125139996,-0.196322296806507,-0.196322296806507,-0.196322296806507,0.48773424976821,0.0247460163003798,0.389958166569812,-0.379623589575665,-0.348815133468151,-0.366017248756643,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0158265623860083,0.130436981051735,0.180340000354106
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102869581398993,-0.111666666666667,-0.0135593220338983,-0.0866666666666667,-0.0163794367616024,-0.01001001001001,-0.02,-0.0533333333333333,-0.0693136504845366,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113373879456023,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.118133381660022,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314986604602462,0.406960753020097,-0.284200813410182,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440254401145329,0.226717344817382,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315521191034763,0.0572257383966245,0.0827968655816757
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.336089931573803,-0.361694386694387,-0.109959539371304,-0.321153846153846,-0.101708238851096,-0.0891156462585034,-0.2,-0.275,-0.324003623188406,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.353745688131544,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.293809523809524,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.464235764235764,0.592777865765671,-0.401082621082621,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673421362470867,0.346814022702104,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342128375572915,0.297916666666667,0.325153793574846
"ZEB2",-0.238024540709104,-0.226011986999829,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.162521967791614,-0.149552377630508,-0.144564270152505,-0.139716312056738,-0.137335918982978,-0.135182072829132,-0.133333333333333,-0.133333333333333,-0.131148002524149,-0.127720125786164,-0.126941803699897,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111596373061471,-0.111111111111111,-0.100805860805861,-0.0964102564102564,-0.0897435897435897,-0.0751286059780067,-0.0523565158559132,-0.0505627787764207,-0.0505627787764207,-0.0493453088844972,-0.041611850007095,-0.0225040455220788,-0.0162405466019924,-0.0162405466019924,-0.0162405466019924,0.00609636713658727,0.0110327720358697,0.0139951568548365,0.0430312060424816,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113078956965146,0.126560846560847,0.175125143513203
