"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","TWIST1","SHH","ILK","AKT","IKK","SMO","NFB","Jagged","NOTCH","FUS","Csn","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","Ecadherin","GSK3","cateninnuc","Wnt","GLI","TCFLEF","Frizzled","cMet","CD44","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.403496382573214,-0.413721733104568,-0.398421186656481,-0.371148459383754,-0.314285714285714,-0.423007614836649,-0.312539731800781,-0.385674281503316,-0.28,-0.336521739130435,-0.100476967398654,-0.106900494965011,-0.32670459250894,-0.151746429993742,-0.0933521078682369,-0.170930799220273,-0.152412280701754,-0.1321044546851,-0.120833333333333,-0.171413599182004,-0.199084249084249,-0.10952380952381,-0.0833333333333333,-0.185897435897436,-0.162820512820513,-0.206311881188119,-0.476070037634299,-0.589582229607377,-0.589582229607377,0.54928077023159,-0.306120434377249,-0.288847707104522,-0.288847707104522,-0.288847707104522,0.383850247504813,0.602859978016741,0.38263843355464,0.277593614718615,-0.314823308115217,-0.276374269005848,-0.289545000713165,-0.304202618460044,-0.271111111111111,-0.276516516516517,-0.289387803645229,-0.271111111111111,-0.26,-0.26,-0.336020386033398,0.0333333333333333,0.0761904761904762,-0.2,-0.30404087674234,0.140746429993742,0.335775476825201
"SUFU",-0.46668290903523,-0.552424249126377,-0.529347326049454,-0.497432432432433,-0.465,-0.438722651767406,-0.382746148879432,-0.413616268788683,-0.353846153846154,-0.387179487179487,-0.154518312140104,-0.150755951937506,-0.28158226414655,-0.340064545064545,-0.142672811059908,-0.276585588907737,-0.25578021978022,-0.306111111111111,-0.228857142857143,-0.222321604027239,-0.344992784992785,-0.278333333333333,-0.192857142857143,-0.325151515151515,-0.295606060606061,-0.269911667280088,-0.431973216813595,-0.544791304046427,-0.544791304046427,0.49259704634447,-0.376171547485684,-0.36319686394138,-0.36319686394138,-0.36319686394138,0.294437844186041,0.557649150537243,0.281615226049303,0.328294647793183,-0.211546911859765,-0.290064102564103,-0.300101277285292,-0.203311617742118,-0.270833333333333,-0.185113268608414,-0.19488770469864,-0.166666666666667,-0.2375,-0.133333333333333,-0.343661722470679,0.15,0.253333333333333,-0.1,-0.284409113050305,0.327323232323232,0.400664609486406
"Patched",-0.38,-0.465,-0.44,-0.4,-0.3,-0.353846153846154,-0.312365591397849,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.208333333333333,-0.278333333333333,-0.1,-0.192857142857143,-0.15,-0.333333333333333,-0.1,-0.167619047619048,-0.260606060606061,-0.3,0,-0.233333333333333,-0.2,-0.25,-0.367264367816092,-0.433333333333333,-0.433333333333333,0.355555555555556,-0.319711538461538,-0.288461538461538,-0.288461538461538,-0.288461538461538,0.248046594982079,0.440476190476191,0.229557713052859,0.28021978021978,-0.185113268608414,-0.2,-0.2375,-0.166666666666667,-0.2,-0.1,-0.133333333333333,-0.1,-0.2,-0.1,-0.274891774891775,0,0.2,-0.1,-0.25986013986014,0.253333333333333,0.302857142857143
"GSK3",-0.223359618757416,-0.244276585909672,-0.238635560268646,-0.232712215320911,-0.203188405797101,-0.203068863111433,-0.129339079076187,-0.188864317656887,-0.119607843137255,-0.164052287581699,-0.0885482716696657,-0.0846442578850571,-0.237557682729288,-0.12560292884488,-0.0763983808235878,-0.179703801945181,-0.172011494252874,-0.112966066191873,-0.161666666666667,-0.154789422806051,-0.225294901177254,-0.10974025974026,-0.136666666666667,-0.219320875203228,-0.214425770308123,-0.153988552570515,-0.352098560378026,-0.376213828355098,-0.376213828355098,0.352726499330185,-0.170913973847837,-0.159989604099938,-0.159989604099938,-0.159989604099938,0.290965948951562,0.382416864889567,0.296824747792615,-0.00983038528122335,-0.293781607124438,-0.265486018968991,-0.277750169912387,-0.288386870282333,-0.262218045112782,-0.265529303390928,-0.27743406529569,-0.262218045112782,-0.265789473684211,-0.265789473684211,-0.321346295714493,0.0866666666666667,0.0954545454545455,-0.25,0.0300615561323829,0.116033550854449,0.166494733336839
"RKIP",-0.293707633362806,-0.317151757899422,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.217485592549095,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156725110893631,-0.354863339275104,-0.205311475409836,-0.153754813863928,-0.156168831168831,-0.110714285714286,-0.14,-0.0857142857142857,-0.238226614924408,-0.206565656565657,-0.1,-0.1,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.586081774202949,-0.372663797226208,-0.372663797226208,0.332663797226208,-0.0763431013431013,-0.0464285714285714,-0.0464285714285714,-0.0464285714285714,0.360366416837005,0.380952950808151,0.366607907813539,0.149330181245075,-0.29222808796935,-0.26,-0.283076923076923,-0.285866764814133,-0.2,-0.257894736842105,-0.280971659919028,-0.2,-0.1,-0.1,-0.309610876699484,0.1,0.1,0,0.011941849910696,0.184,0.226050420168067
"miR200",-0.0913462689072445,-0.110669027551005,-0.103692283364959,-0.0924019607843137,-0.0708333333333333,-0.0917501546072974,-0.0771656121656122,-0.0761038961038961,-0.0142857142857143,-0.0442857142857143,-0.0134180790960452,-0.0152275475742061,-0.182023967852189,-0.0483989176297927,-0.00989839396919043,-0.0595091502340757,-0.0500751879699248,-0.0391666666666667,-0.0357894736842105,-0.0745214576840086,-0.0977879825220562,-0.0325,-0.02,-0.0904433497536946,-0.0800985221674877,-0.0975950999355255,-0.245909208824599,-0.360806451612903,-0.360806451612903,0.345186335403727,-0.229386426776534,-0.220658247225411,-0.220658247225411,-0.220658247225411,0.285660608426102,0.29489622835641,0.280503657754638,0.182918495576412,-0.246057896976486,-0.228225352112676,-0.234818758706083,-0.241663957582547,-0.224,-0.228573178199633,-0.235314751233341,-0.224347826086957,-0.22,-0.22,-0.270907841134108,0,0.02,-0.2,-0.256980590678091,0.042964135021097,0.0671421974687361
"Ecadherin",-0.291465621964846,-0.260801594206966,-0.244345898004435,-0.227272727272727,-0.223272727272727,-0.293990113383685,-0.247015509769129,-0.282617564364077,-0.263636363636364,-0.275401069518717,-0.103752954507001,-0.0887094080078605,-0.276762673287813,-0.213145055456778,-0.0870144927536232,-0.267089947089947,-0.252804232804233,-0.185416666666667,-0.234285714285714,-0.190929415674938,-0.255521176828485,-0.166666666666667,-0.22,-0.241023035564544,-0.221435406698565,-0.198873792543107,-0.300509740970749,-0.300491418817465,-0.300491418817465,0.242475386779184,-0.268373463265839,-0.26250754147813,-0.26250754147813,-0.26250754147813,0.258184911294667,0.311089396843587,0.0605830969580535,0.247924601534866,-0.18571906908996,-0.17566316021196,-0.18166316021196,-0.182731207278569,-0.160145918832649,-0.174928527528302,-0.180614146257399,-0.160145918832649,-0.13921568627451,-0.13921568627451,-0.246429621252218,0.2,0.166666666666667,-0.133333333333333,-0.227936377409257,0.20369623655914,0.26431142426327
"KLF4",-0.274760816472855,-0.244345898004435,-0.227272727272727,-0.223272727272727,-0.227272727272727,-0.282617564364077,-0.23720538318685,-0.275401069518717,-0.2,-0.263636363636364,-0.100397249809015,-0.0870144927536232,-0.266148148148148,-0.20369623655914,-0.0826666666666667,-0.252804232804233,-0.234285714285714,-0.166666666666667,-0.22,-0.185666257780201,-0.241023035564544,-0.166666666666667,-0.2,-0.221435406698565,-0.210909090909091,-0.193610634648371,-0.292863744583031,-0.282481940144479,-0.282481940144479,0.222222222222222,-0.26250754147813,-0.252948717948718,-0.252948717948718,-0.252948717948718,0.252928501038257,0.292653642653643,0.151235482547148,0.242847338841709,-0.182731207278569,-0.160145918832649,-0.17566316021196,-0.180614146257399,-0.13921568627451,-0.160145918832649,-0.174928527528302,-0.13921568627451,-0.133333333333333,-0.133333333333333,-0.237563641870775,0.1,0.2,-0.166666666666667,-0.225886051221,0.185416666666667,0.248206555349412
"cateninmemb",-0.142964580088124,-0.106043332812089,-0.100437546193644,-0.0882424242424242,-0.0789090909090909,-0.156848043809839,-0.0761494418050685,-0.150181377143172,-0.150909090909091,-0.145026737967914,-0.0472019729185146,-0.0423121030283889,-0.0331313153442631,-0.00336021505376344,-0.0411014492753623,-0.106887926887927,-0.101693121693122,0.00416666666666667,-0.0942857142857143,-0.000179097054343643,-0.10006613443962,0.0166666666666667,-0.08,-0.0959769151087654,-0.0866985645933014,-0.101248833920135,-0.121685979503867,-0.149400026411163,-0.149400026411163,0.128645100797,-0.103730735525839,-0.102334087481146,-0.102334087481146,-0.102334087481146,-0.0541750506274699,0.167924047812316,0.00663987049048946,0.102396553901425,2.52623634237149e-05,0.000610091670990767,0.0019434250043241,0.00207941735875518,0.00405836753305973,0.00144967188088582,0.00245301636249117,0.00405836753305973,0.0156862745098039,0.0156862745098039,-0.0947307460366192,0.1,-0.0333333333333333,0.0333333333333333,-0.0923819222214755,0.00336021505376344,0.0885663560623432
"ZEB2",-0.250320124320124,-0.239748505462791,-0.231811997526283,-0.214805194805195,-0.194805194805195,-0.174155934683286,-0.173266783022364,-0.159521788341822,-0.158333333333333,-0.153070175438596,-0.146407624633431,-0.14015139618197,-0.1394499766582,-0.138615774469433,-0.137102615694165,-0.136819833852544,-0.130277777777778,-0.128571428571429,-0.123611111111111,-0.119548505304441,-0.114353930222783,-0.114285714285714,-0.111111111111111,-0.109435897435897,-0.0974358974358975,-0.0796886446886447,-0.0645008084512146,-0.0572799487434784,-0.0572799487434784,-0.0493030807414094,-0.0374621559739333,-0.032965367965368,-0.032965367965368,-0.032965367965368,-0.0263713693579587,0.0201102069866434,0.0202425950464742,0.0250556056680873,0.0305630433317609,0.031981351981352,0.031981351981352,0.0341994069681245,0.0345454545454545,0.0373684210526316,0.0373684210526316,0.04,0.0545454545454545,0.06,0.0676449959536013,0.1,0.1,0.1,0.100016706383325,0.13588850174216,0.187729468599034
