"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","NFB","SMO","IKK","AKT","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","DELTA","Ecadherin","GSK3","miR200","PI3K","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.437569833652553,-0.458872371601398,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.34266071139217,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.39259062676454,0.00416666666666667,-0.138556067588326,0.0357456140350877,0.0579678362573099,-0.10952380952381,-0.234377982276755,-0.0333333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.600046015099774,-0.600046015099774,-0.571153759850055,0.570888002215292,-0.375074103058321,-0.342346830331048,-0.342346830331048,0.652240884745817,0.320794913419913,0.612073341873282,0.342346830331048,-0.450901909762272,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.386711904241933,0.159543721909313,0.352386894873083
"SUFU",-0.495790509472964,-0.592260503610749,-0.560505079547633,-0.522207207207207,-0.481666666666667,-0.458488320190448,-0.40446881122008,-0.353846153846154,-0.426573426573427,-0.393240093240093,-0.158132769971429,-0.155184172156533,-0.145253456221198,-0.369882512382512,-0.340017757749304,0.126285714285714,-0.324166666666667,0.14167032967033,0.154422007522679,-0.290833333333333,-0.28695833592637,0.114285714285714,-0.388722943722944,-0.360151515151515,-0.323787878787879,-0.297570850202429,0.498270944449898,-0.55620994223695,-0.55620994223695,-0.521974554594203,0.469146484450215,-0.426896112517625,-0.403161935302435,-0.403161935302435,0.522211212718424,0.350762012965756,0.568230411477322,0.403161935302435,-0.344202201682996,-0.406197375528231,-0.324713710634402,-0.379059829059829,-0.302159362808315,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435508347593289,-0.1,0.253333333333333,-0.15,-0.357057127439959,0.349419191919192,0.415241835565841
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.318817204301075,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.240740740740741,0.1,-0.333333333333333,0.1,0.114285714285714,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.341346153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.284981684981685,0.440476190476191,0.303846153846154,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.30045954045954,0.253333333333333,0.302857142857143
"Ecadherin",-0.408113755013332,-0.393665796588921,-0.367083518107908,-0.33830303030303,-0.307636363636364,-0.387894591763603,-0.344201312316116,-0.281818181818182,-0.360835768234192,-0.328877005347594,-0.128084864208038,-0.114602519563463,-0.105159420289855,-0.345270828041656,-0.426636944535729,0.283809523809524,-0.297916666666667,0.298624338624339,0.309013949013949,-0.266666666666667,-0.374105004913811,0.26,-0.400649465648911,-0.374255413604301,-0.342296650717703,-0.294547260088472,0.297140178152836,-0.377925647684866,-0.377925647684866,-0.487670890571867,0.618619463192634,-0.409726231704543,-0.390452488687783,-0.390452488687783,0.601085300701734,0.336919764250097,0.387474460156024,0.390452488687783,-0.409574793018329,-0.376563863075302,-0.393981889190131,-0.353897196408636,-0.375675538007067,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427543909038778,-0.2,0.233333333333333,-0.266666666666667,-0.358715373582732,0.324798387096774,0.347876263205316
"cateninmemb",-0.408113755013332,-0.393665796588921,-0.367083518107908,-0.33830303030303,-0.307636363636364,-0.387894591763603,-0.344201312316116,-0.281818181818182,-0.360835768234192,-0.328877005347594,-0.128084864208038,-0.114602519563463,-0.105159420289855,-0.345270828041656,-0.426636944535729,0.283809523809524,-0.297916666666667,0.298624338624339,0.309013949013949,-0.266666666666667,-0.374105004913811,0.26,-0.400649465648911,-0.374255413604301,-0.342296650717703,-0.294547260088472,0.297140178152836,-0.377925647684866,-0.377925647684866,-0.487670890571867,0.522710463008322,-0.409726231704543,-0.390452488687783,-0.390452488687783,0.602158553390801,0.336919764250097,0.387474460156024,0.390452488687783,-0.409574793018329,-0.376563863075302,-0.393981889190131,-0.353897196408636,-0.375675538007067,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427543909038778,-0.2,0.233333333333333,-0.266666666666667,-0.358715373582732,0.324798387096774,0.347876263205316
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.222363641329582,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.374004753416518,-0.114285714285714,-0.14,-0.114285714285714,-0.0991341991341991,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0962731712731713,-0.050974025974026,-0.050974025974026,0.543314330360812,0.165248226950355,0.380952950808151,0.050974025974026,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0221250172542885,0.184,0.226050420168067
"miR200",-0.116581738045153,-0.143043297589103,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.0997082547082547,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.227170477783975,0.0357894736842105,-0.0458333333333333,0.0557894736842105,0.0689970208540218,-0.0325,-0.113281131623112,0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.369587813620072,-0.369587813620072,-0.314833511931918,0.406960753020097,-0.281013520542311,-0.262809031764256,-0.262809031764256,0.440074037349581,0.21694968648209,0.302769938560132,0.262809031764256,-0.336494338217231,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.316640370817004,0.0572257383966245,0.080955773562146
"GSK3",-0.224158167413981,-0.254681264299504,-0.24057870019694,-0.222111801242236,-0.181159420289855,-0.193308248339208,-0.125535092365224,-0.096078431372549,-0.172853702884663,-0.140522875816993,-0.0833336780922967,-0.0815553315317992,-0.0715103540205548,-0.14153879336991,-0.255453599207411,0.0779166666666667,-0.119417679095098,0.0997557471264368,0.109157456528146,-0.10974025974026,-0.189790310138036,0.0466666666666667,-0.248141368435486,-0.232816693110811,-0.213935574229692,-0.163968785988071,0.338489965021805,-0.365202223438955,-0.365202223438955,-0.400413597785153,0.405522356630624,-0.185657802660679,-0.169481332072444,-0.169481332072444,0.472917570649407,-0.0237427890313512,0.370255938148679,0.169481332072444,-0.369002423908574,-0.340742533358924,-0.35643663443489,-0.32234630694383,-0.340675280917526,-0.322580042822287,-0.304699248120301,-0.304699248120301,-0.286842105263158,-0.286842105263158,-0.379059283582291,-0.0466666666666667,0.0954545454545455,-0.25,-0.0244869889835311,0.128620133082828,0.154046216940954
"KLF4",-0.381797965539647,-0.367083518107908,-0.33830303030303,-0.307636363636364,-0.263636363636364,-0.360835768234192,-0.323948147759154,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.403359477124183,0.26,-0.266666666666667,0.283809523809524,0.298624338624339,-0.233333333333333,-0.354196538094589,0.2,-0.374255413604301,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.262962962962963,-0.346646026831785,-0.346646026831785,-0.464010445057116,0.592081001654172,-0.390452488687783,-0.366923076923077,-0.366923076923077,0.671192408783525,0.323012479481885,0.355258445258445,0.366923076923077,-0.393981889190131,-0.353897196408636,-0.375675538007067,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,-0.1,0.2,-0.233333333333333,-0.34659980974303,0.297916666666667,0.319037311894455
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.16387755248478,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.127432952231849,-0.123611111111111,-0.122857142857143,-0.121388888888889,-0.118585150571132,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0500526944936086,-0.0415318495285875,-0.0223786812758975,-0.0161688311688312,-0.0161688311688312,0.00647944165395331,0.0115080833122748,0.0144245742824161,0.0161688311688312,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.127735191637631,0.178599033816425
