"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43872482709009,-0.459610977258036,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.34771520741651,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182156787235946,-0.187305068226121,-0.393933639630298,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.233329201905317,-0.0833333333333333,-0.244647967134155,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,0.568587183317325,-0.567018548377939,-0.379438176213271,-0.344426734565674,-0.344426734565674,-0.344426734565674,0.649907068500553,0.336001846675009,0.613088570299678,-0.448967353918237,-0.396167852581646,-0.425224337158461,-0.364148148148148,-0.397134449518011,-0.365134449518011,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.431801242236025,0.0333333333333333,0.0761904761904762,-0.2,-0.383419713484137,0.159543721909313,0.354596839624464
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.41662978124856,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.349496438944041,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287246764837126,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,0.469653541677922,-0.515393930012593,-0.438442891821487,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.523495358203531,0.37984592843183,0.575591090136125,-0.345527859316671,-0.406671769358337,-0.325589683118835,-0.379059829059829,-0.302638863446704,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435816205670715,0.15,0.253333333333333,-0.15,-0.351846991456045,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.412777777777778,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.39656862745098,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,0.62015567621683,-0.484677190871937,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604031094169532,0.364662501557927,0.39776370329443,-0.411986710371051,-0.377230529741969,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353596371326036,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,0.524247078191545,-0.484677190871937,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605105087411095,0.364662501557927,0.39776370329443,-0.411986710371051,-0.377230529741969,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353596371326036,0.324798387096774,0.359011578754757
"GSK3",-0.247794495378143,-0.275808471173013,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.15234997708519,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.146458736197505,-0.191993810786914,-0.280392913922326,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.195320346016527,-0.136666666666667,-0.256722704418911,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.385306971058471,-0.385306971058471,0.414193949092978,-0.403581355024046,-0.214590277938482,-0.195139960813747,-0.195139960813747,-0.195139960813747,0.484644910630861,0.0241927462842006,0.390483087404078,-0.377672589661689,-0.346999784228784,-0.364081650287938,-0.327475974704974,-0.346964533170821,-0.327733763940051,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.384677170950654,0.0866666666666667,0.0954545454545455,-0.25,-0.0142865340582852,0.13107412081289,0.180109189056557
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,0.40716827880568,-0.317007820565165,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440721624357629,0.226551407215886,0.303281447511538,-0.336742113197565,-0.306709178145798,-0.324280107118537,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315521191034763,0.0572257383966245,0.0821827674271767
"RKIP",-0.27525,-0.295470085470085,-0.246581196581197,-0.207692307692308,-0.2,-0.215993031358885,-0.203750389044507,-0.17,-0.184285714285714,-0.17,-0.159581881533101,-0.154807445442875,-0.153754813863928,-0.193892339544513,-0.145714285714286,-0.326936026936027,-0.105714285714286,-0.0857142857142857,-0.133333333333333,-0.1,-0.23724025974026,-0.1,-0.186842105263158,-0.136842105263158,-0.1,-0.0380952380952381,0.329411764705882,-0.364895635673624,-0.364895635673624,0.376816910126648,-0.3746534996535,-0.0692264257481649,-0.0279220779220779,-0.0279220779220779,-0.0279220779220779,0.437005954747436,0.136363636363636,0.373870639164757,-0.383932733932734,-0.327179487179487,-0.358608058608059,-0.273333333333333,-0.325274725274725,-0.271428571428571,-0.2,-0.2,-0.1,-0.1,-0.341016333938294,0.1,0.1,0,0.00853209514499837,0.172463768115942,0.214022209674384
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,0.592660505579354,-0.460873586148506,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.672793373147922,0.348106210167198,0.362568172568173,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.16387755248478,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.127188015821109,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112054163837252,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.042879820741106,-0.0415379979732694,-0.0221774148598183,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00429187245657584,0.0116867710629008,0.0144245742824161,0.0439166551002534,0.0466325072776686,0.0483552973979035,0.0517016317016317,0.053655650754794,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0865836940836941,0.1,0.1,0.1,0.113759190703837,0.127735191637631,0.178599033816425
