"","SNAI2","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","RAS","cateninmemb","RAF","PI3K","DELTA","miR200","GSK3","Ecadherin","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","AXIN2","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.591964705822203,-0.436578928006475,-0.456561526708586,-0.42360698125404,-0.378991596638655,-0.314285714285714,-0.344902683523373,-0.438057400602395,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.179174624289357,-0.387071590540978,-0.186647401213314,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.224867639536887,-0.10952380952381,-0.0833333333333333,-0.241423534798535,-0.21113782051282,-0.17051282051282,-0.225055555555556,0.55255945875618,-0.600949250305135,-0.600949250305135,-0.372974804719593,0.54955061378498,-0.341267487646423,-0.341267487646423,-0.341267487646423,0.612788145561255,0.329989673467934,0.633671204028906,-0.428835688525713,-0.383956043956044,-0.40830588720121,-0.357582417582418,-0.38476377057054,-0.358506787330317,-0.326153846153846,-0.326153846153846,-0.28,-0.423400431366699,-0.28,0.0333333333333333,0.0761904761904762,-0.2,-0.3726883334677,0.158556067588326,0.353868422080713
"SUFU",-0.473182753100128,-0.492308224158158,-0.58506471033098,-0.553521086169906,-0.514598930481283,-0.476363636363636,-0.405569389569005,-0.454309116809117,-0.353846153846154,-0.424679487179487,-0.391346153846154,-0.156829443457827,-0.153576129350548,-0.144352828379674,-0.359140411021023,-0.333382195595075,-0.288877061616013,-0.265136054421769,-0.23452380952381,-0.316078431372549,-0.269814618403605,-0.286666666666667,-0.192857142857143,-0.377449881199881,-0.34977130977131,-0.313873873873874,-0.28343023255814,0.50053210389795,-0.557724472600393,-0.557724472600393,-0.421488913953008,0.452068800203833,-0.397428763577068,-0.397428763577068,-0.397428763577068,0.569728116408976,0.364090070505533,0.538193579410128,-0.317821192224054,-0.383260273893643,-0.299478800919707,-0.355901783327605,-0.278012832333319,-0.250740105060592,-0.321018062397373,-0.216622458001768,-0.276190476190476,-0.413011695906433,-0.171794871794872,0.15,0.253333333333333,-0.133333333333333,-0.329073152536328,0.33999147485081,0.415761377014574
"Patched",-0.333928571428571,-0.386842105263158,-0.476363636363636,-0.44,-0.4,-0.3,-0.321264367816092,-0.353846153846154,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.286666666666667,-0.228857142857143,-0.192857142857143,-0.15,-0.1,-0.333333333333333,-0.189333333333333,-0.3,0,-0.273333333333333,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.337931034482759,0.338571428571429,-0.3,-0.3,-0.3,0.440476190476191,0.294871794871795,0.41046046046046,-0.250740105060592,-0.276190476190476,-0.216622458001768,-0.233333333333333,-0.171794871794872,-0.133333333333333,-0.2,-0.1,-0.2,-0.303508771929825,-0.1,0,0.2,-0.1,-0.280268987341772,0.253333333333333,0.302857142857143
"GSK3",-0.43253604840974,-0.242238846473458,-0.268647807040337,-0.25463420159816,-0.239110735894189,-0.203188405797101,-0.146797330709585,-0.212255247412566,-0.119607843137255,-0.191325014854427,-0.164052287581699,-0.0885482716696657,-0.0856268225785046,-0.0763983808235878,-0.141086654039078,-0.270299559017306,-0.18915727294269,-0.17562015503876,-0.161666666666667,-0.117936981051735,-0.184131211654974,-0.10974025974026,-0.136666666666667,-0.249399483257191,-0.235349896480331,-0.220857142857143,-0.165715635891074,0.355186863393602,-0.383404729662346,-0.383404729662346,-0.204384804615581,0.391089085545171,-0.187507651917533,-0.187507651917533,-0.187507651917533,0.388818589598881,0.0156176470953071,0.461866669527918,-0.356914349789288,-0.329954996382543,-0.344939980546196,-0.31342383107089,-0.329807705413921,-0.313643321852277,-0.298717948717949,-0.298717948717949,-0.283333333333333,-0.370701022521391,-0.283333333333333,0.0866666666666667,0.0954545454545455,-0.25,-0.00190373087614466,0.127370943315886,0.17710778583119
"Ecadherin",-0.453010291072951,-0.399687493522887,-0.378739815696999,-0.354276296383694,-0.328139932747331,-0.302766798418972,-0.341253599390781,-0.382401305632747,-0.281818181818182,-0.358383838383838,-0.327272727272727,-0.126799298464584,-0.112593185743445,-0.10430303030303,-0.325282616729133,-0.410730221264795,-0.356285714285714,-0.332,-0.3,-0.284743991640543,-0.339935336864146,-0.260606060606061,-0.26,-0.380806818605692,-0.357122608079376,-0.329411764705882,-0.275219298245614,0.29966504966505,-0.379097205315693,-0.379097205315693,-0.395508964577452,0.575106328682753,-0.378553947276414,-0.378553947276414,-0.378553947276414,0.388848758669166,0.342154541603802,0.616788711850305,-0.365281130539691,-0.334048296070768,-0.350432247491071,-0.312426674449146,-0.332825409884233,-0.311558441558442,-0.288831168831169,-0.288831168831169,-0.267619047619048,-0.392423561730783,-0.267619047619048,0.2,0.233333333333333,-0.253333333333333,-0.324276528368384,0.307635557905604,0.347363616775381
"cateninmemb",-0.453010291072951,-0.399687493522887,-0.378739815696999,-0.354276296383694,-0.328139932747331,-0.302766798418972,-0.341253599390781,-0.382401305632747,-0.281818181818182,-0.358383838383838,-0.327272727272727,-0.126799298464584,-0.112593185743445,-0.10430303030303,-0.325282616729133,-0.410730221264795,-0.356285714285714,-0.332,-0.3,-0.284743991640543,-0.339935336864146,-0.260606060606061,-0.26,-0.380806818605692,-0.357122608079376,-0.329411764705882,-0.275219298245614,0.29966504966505,-0.379097205315693,-0.379097205315693,-0.395508964577452,0.47977327732423,-0.378553947276414,-0.378553947276414,-0.378553947276414,0.388848758669166,0.342154541603802,0.618270801993674,-0.365281130539691,-0.334048296070768,-0.350432247491071,-0.312426674449146,-0.332825409884233,-0.311558441558442,-0.288831168831169,-0.288831168831169,-0.267619047619048,-0.392423561730783,-0.267619047619048,0.2,0.233333333333333,-0.253333333333333,-0.324276528368384,0.307635557905604,0.347363616775381
"RKIP",-0.567673760838318,-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.22073762506942,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.372963412168991,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.14,-0.256983805668016,-0.1,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.0935827216261999,0.463322764860756,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.380952950808151,0.163442579269917,0.525441733701341,-0.364695146958305,-0.318,-0.344240601503759,-0.27,-0.316421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.336219336219336,-0.1,0.1,0.1,0,-0.0189815755765207,0.184,0.226050420168067
"miR200",-0.137150147680203,-0.114703609040218,-0.139962384777215,-0.123195917711347,-0.100245098039216,-0.0708333333333333,-0.0994847241785488,-0.105306884895926,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0660897435897436,-0.221129144503144,-0.0719799498746867,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.105323633585666,-0.0325,-0.02,-0.126081161202927,-0.109802091435485,-0.0869950738916256,-0.113401759530792,0.34836093857833,-0.369704363736622,-0.369704363736622,-0.276820314456052,0.385725332840511,-0.260109439124487,-0.260109439124487,-0.260109439124487,0.30289485719865,0.220229654403567,0.415294427748002,-0.317837970482926,-0.294301346030583,-0.308009296001411,-0.281417910447761,-0.2968981848903,-0.283690637720488,-0.265,-0.267272727272727,-0.24,-0.331759802064062,-0.24,0,0.02,-0.2,-0.305362757448444,0.0560897435897436,0.0811767848794497
"KLF4",-0.420091036414566,-0.375019058509625,-0.354276296383694,-0.328139932747331,-0.302766798418972,-0.263636363636364,-0.322205980343162,-0.358383838383838,-0.2,-0.327272727272727,-0.281818181818182,-0.111306340718105,-0.10430303030303,-0.0906666666666667,-0.307635557905604,-0.387866479925303,-0.332,-0.3,-0.26,-0.260606060606061,-0.321521739130435,-0.233333333333333,-0.2,-0.357122608079376,-0.329411764705882,-0.3,-0.268452380952381,0.264529914529915,-0.348707594926082,-0.348707594926082,-0.378553947276414,0.54937588570443,-0.358730158730159,-0.358730158730159,-0.358730158730159,0.35740859639736,0.328524312184098,0.686313263681949,-0.350432247491071,-0.312426674449146,-0.332825409884233,-0.288831168831169,-0.311558441558442,-0.288831168831169,-0.267619047619048,-0.267619047619048,-0.253333333333333,-0.370565638233515,-0.253333333333333,0.1,0.2,-0.233333333333333,-0.314968652473396,0.284743991640543,0.320696950108715
"ZEB2",-0.286448889755663,-0.241175095308303,-0.229976575148989,-0.22063591580833,-0.207532467532468,-0.194805194805195,-0.166511928399669,-0.165498435877939,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.13463745899883,-0.132597342638894,-0.129606918238994,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.116823541936579,-0.114285714285714,-0.111111111111111,-0.10466987966988,-0.0978516978516979,-0.0897435897435897,-0.0700023116042534,-0.0523565158559132,-0.0517675980535292,-0.0517675980535292,-0.0277953337449905,-0.0277330900304465,-0.0202438463308028,-0.0202438463308028,-0.0202438463308028,0.0149636798572578,0.0160576413393451,0.0256367352386063,0.0343604690167064,0.0377081156391501,0.0388565930477142,0.0443747823058168,0.044594297965747,0.0513300492610837,0.0554858934169279,0.0627586206896552,0.0727272727272727,0.0786214796689681,0.08,0.1,0.1,0.1,0.108104806369747,0.129029982363316,0.179772566900071
