"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","SMO","FUS","NFB","Csn","Jagged","AKT","IKK","NOTCH","NOTCHic","Csl","EGR1","MEK","ERK","KLF4","cfos","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","RAS","RAF","PI3K","DELTA","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","SOSGRB2"
"TrCP",-0.431001689153374,-0.453656276221368,-0.421415839062898,-0.378991596638655,-0.314285714285714,-0.33381099248777,-0.0853918628920834,-0.092705239802014,-0.0785116914149172,-0.172622973203618,-0.389016845473367,-0.1321044546851,-0.10952380952381,-0.0833333333333333,-0.0583333333333333,-0.228035318677573,-0.142690058479532,-0.114912280701754,-0.216483516483517,-0.184615384615385,-0.146153846153846,0,-0.116865634979121,-0.0901989683124539,0.54928077023159,-0.0478260869565217,-0.594083837324419,-0.594083837324419,-0.562013484990478,0.56912168943203,0.647682115285863,0.321275974025974,0.606413277509127,-0.243544169577168,-0.214907805940804,-0.214907805940804,-0.214907805940804,-0.449195651780152,-0.397673180240574,-0.426437031090496,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.387415062552647,0.150622973203618,0.313197851871885,0.190415291529153
"SUFU",-0.499065741061819,-0.594843604148023,-0.564271612037569,-0.52490990990991,-0.481666666666667,-0.404687136555442,-0.13968631333744,-0.135924491130481,-0.126917562724014,-0.359217951717952,-0.34548773955646,-0.318611111111111,-0.290833333333333,-0.200285714285714,-0.164285714285714,-0.280756909930564,-0.241664134523195,-0.219516483516484,-0.357135642135642,-0.330151515151515,-0.300606060606061,-0.152307692307692,-0.217061021639158,-0.195358893979584,0.501549632974488,-0.173519813519814,-0.558633589170546,-0.558633589170546,-0.51566673095976,0.469655349576822,0.521799266271462,0.36759922868962,0.570636914421156,-0.342243098867394,-0.319458288740811,-0.319458288740811,-0.319458288740811,-0.345225820512678,-0.406940869952022,-0.325737329464085,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.354376102246627,0.341843434343434,0.385748883745938,0.279579192737087
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.105128205128205,-0.11,-0.1,-0.290833333333333,-0.240740740740741,-0.333333333333333,-0.3,-0.1,0,-0.203597883597884,-0.164285714285714,-0.15,-0.260606060606061,-0.233333333333333,-0.2,-0.1,-0.152307692307692,-0.16,0.355555555555556,-0.1,-0.433333333333333,-0.433333333333333,-0.413946360153257,0.354623655913978,0.397006472491909,0.3003663003663,0.440476190476191,-0.263461538461538,-0.238461538461538,-0.238461538461538,-0.238461538461538,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.288571428571429,0.233333333333333
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.357600275958597,-0.125400300449649,-0.110251184335193,-0.102260869565217,-0.34369602489205,-0.438126483368021,-0.297916666666667,-0.266666666666667,-0.302857142857143,-0.26,-0.373647339009921,-0.355863395863396,-0.332486772486772,-0.397100621131224,-0.372193557934198,-0.342296650717703,-0.245454545454545,-0.304941102964147,-0.286509730415128,0.30464135021097,-0.268983957219251,-0.388638186629104,-0.388638186629104,-0.488595518176691,0.620598378586183,0.605053084903219,0.362185260494507,0.39776370329443,-0.395678754097256,-0.377801659125189,-0.377801659125189,-0.377801659125189,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353823953622584,0.324798387096774,0.351933691420048,0.062700490505853
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.357600275958597,-0.125400300449649,-0.110251184335193,-0.102260869565217,-0.34369602489205,-0.438126483368021,-0.297916666666667,-0.266666666666667,-0.302857142857143,-0.26,-0.373647339009921,-0.355863395863396,-0.332486772486772,-0.397100621131224,-0.372193557934198,-0.342296650717703,-0.245454545454545,-0.304941102964147,-0.286509730415128,0.30464135021097,-0.268983957219251,-0.388638186629104,-0.388638186629104,-0.488595518176691,0.524689773268335,0.606127706859923,0.362185260494507,0.39776370329443,-0.395678754097256,-0.377801659125189,-0.377801659125189,-0.377801659125189,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353823953622584,0.324798387096774,0.351933691420048,0.062700490505853
"GSK3",-0.244415429531709,-0.273301869569102,-0.257404433671666,-0.240331262939959,-0.203188405797101,-0.146779174089589,-0.0818465250333259,-0.0790234864407423,-0.0698780591543855,-0.142410794180457,-0.2786996084292,-0.116191872643486,-0.10974025974026,-0.142916666666667,-0.124166666666667,-0.193676464158293,-0.172389109932213,-0.157859195402299,-0.244379639967875,-0.227496523084758,-0.210014005602241,-0.0329411764705882,-0.0992970915107138,-0.092478909692532,0.354253216887437,-0.073681917211329,-0.381949106987617,-0.381949106987617,-0.408592358099658,0.416050014179448,0.485706379488666,0.0194662978675364,0.387387842500867,-0.171040387296086,-0.156544588976758,-0.156544588976758,-0.156544588976758,-0.378900597526942,-0.348815133468151,-0.365808492263784,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0167160440086978,0.126621320496246,0.162900958690432,0.114512796713591
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.22073762506942,-0.159581881533101,-0.152764714854027,-0.153754813863928,-0.208590163934426,-0.374004753416518,-0.14,-0.1,-0.0857142857142857,-0.1,-0.258543536260005,-0.144047619047619,-0.110714285714286,-0.202719502719503,-0.156565656565657,-0.111111111111111,-0.17,-0.0984666177549523,-0.066551724137931,0.332663797226208,-0.07,-0.372663797226208,-0.372663797226208,-0.623057061257796,0.474936280818634,0.543314330360812,0.161544523246651,0.380952950808151,-0.0523559773559774,-0.00876623376623377,-0.00876623376623377,-0.00876623376623377,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.218207282913165,0.23231746031746
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102694157694158,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.228397471649005,-0.0458333333333333,-0.0325,-0.0357894736842105,-0.02,-0.113281131623112,-0.0727706057596822,-0.0557894736842105,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.0142857142857143,-0.08856524427953,-0.0715584415584416,0.34836093857833,-0.0442857142857143,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,0.440221966343664,0.226551407215886,0.303281447511538,-0.278024723877257,-0.261316494450823,-0.261316494450823,-0.261316494450823,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767,0.00398452611218568
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.33671420000923,-0.111306340718105,-0.102260869565217,-0.0906666666666667,-0.324798387096774,-0.412614379084967,-0.266666666666667,-0.233333333333333,-0.26,-0.2,-0.354196538094589,-0.332486772486772,-0.302857142857143,-0.372193557934198,-0.342296650717703,-0.305454545454545,-0.2,-0.286509730415128,-0.268983957219251,0.266666666666667,-0.245454545454545,-0.354514963880289,-0.354514963880289,-0.464333025702278,0.592777865765671,0.673504886266412,0.346953472415037,0.362568172568173,-0.377801659125189,-0.357948717948718,-0.357948717948718,-0.357948717948718,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.32459286745001,0.0495425957690109
"ZEB2",-0.237313131313131,-0.225446299732014,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.159603371262831,-0.141480938416422,-0.133067523338908,-0.131848011143786,-0.12893253088375,-0.126396682801797,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.111111111111111,-0.110200597690123,-0.109823468328141,-0.108888888888889,-0.0898764186633039,-0.0860512820512821,-0.0820512820512821,-0.0666666666666667,-0.0602005604096788,-0.054102999434069,-0.0523565158559132,-0.0508771929824561,-0.0499387256777987,-0.0499387256777987,-0.0473475701987944,-0.0417047103756056,0.00548756735929045,0.00681533085832831,0.0134607188607293,0.0205727819646449,0.0254978354978355,0.0254978354978355,0.0254978354978355,0.04316698703652,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.112541591132736,0.125296167247387,0.164959742351047,0.219047619047619
"Destcompl",0.0562985323476387,0.0251609318863662,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0938716725439499,0.00810471579702349,0.0125647451963241,0.0117460317460318,-0.120865077661842,-0.0403953808042906,-0.111877394636015,-0.111877394636015,0.0480331262939959,0.0523809523809524,-0.18624917045681,0.0419747188933066,0.0453304235912932,-0.0617741279660771,-0.058768115942029,-0.0576811594202899,0.0425641025641026,0.0468105512803583,0.0455447284955482,-0.203149190846705,0.0395337995337995,0.191661050174001,0.191661050174001,-0.234309601259472,0.215078099500929,0.0520278162378966,-0.0878599296730508,-0.203434245489915,0.00038285855947875,0.00116778791583668,0.00116778791583668,0.00116778791583668,-0.186724368079148,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0197203403014291,0.1175768765013,-0.119052959181929,-0.0847294120711323
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.154153480194687,0.017767796773882,0.0166609155739591,0.0210259949390384,-0.15409550831682,-0.0370946197518206,-0.152930402930403,-0.157692307692308,0.109178743961353,0.122222222222222,-0.220430891083065,0.097487922705314,0.101932367149758,-0.0561247713879293,-0.0540977443609023,-0.0505263157894737,0.14,0.100331543824623,0.101021198997037,-0.252988588338008,0.113170731707317,0.245175501457021,0.245175501457021,-0.277561539966977,0.249359406027404,0.0627797953797428,-0.169467425531499,-0.2593606087525,0.063682344988369,0.0644697465631722,0.0644697465631722,0.0644697465631722,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159807840778651,0.151144688644689,-0.176303024932057,-0.138530607618967
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.0656410256410257,0.0519976147883125,0.058974358974359,0.10974025974026,0.222941176470588,0.05,0,0.0666666666666667,0.1,0.153259803921569,0.124166666666667,0.0866666666666667,0.18452380952381,0.142857142857143,0.1,0.1,0.0329411764705882,-0.02,-0.262745098039216,0,0.304208512673362,0.304208512673362,0.338534482758621,-0.334703389830508,-0.402475553557379,-0.0695141065830721,-0.306262626262626,0.116062884483937,0.0796992481203007,0.0796992481203007,0.0796992481203007,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.111666666666667,-0.0545454545454545
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.115769496204279,0.0592580469176214,0.0566705119845741,0.0519976147883125,0.116191872643486,0.24484593837535,0.0954545454545455,0.05,0.0866666666666667,0.0666666666666667,0.162350713012478,0.142916666666667,0.124166666666667,0.210014005602241,0.18452380952381,0.142857142857143,0,0.073681917211329,0.0329411764705882,-0.300840336134454,-0.02,0.338861978019897,0.338861978019897,0.365348362884804,-0.366766881894001,-0.437207488289314,-0.0870898641588297,-0.342200126262626,0.138897530153228,0.116062884483937,0.116062884483937,0.116062884483937,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00766774342317397,-0.10974025974026,-0.12952380952381,-0.0575757575757576
