"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","SMO","NFB","FUS","Jagged","NOTCH","Csn","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","RAS","TCFLEF","Wnt","RAF","PI3K","DELTA","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.34771520741651,-0.429255952380952,-0.382380952380952,-0.28,-0.332380952380952,-0.100476967398654,-0.107637822153951,-0.0933521078682369,-0.182543721909313,-0.161867252527418,-0.394764539808018,-0.140937019969278,-0.138556067588326,-0.111904761904762,-0.10952380952381,-0.234377982276755,-0.233347701149425,-0.0833333333333333,-0.204597701149425,-0.166666666666667,-0.228409090909091,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571036481238005,0.570888002215292,0.652517701354814,0.335194186103808,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.368745424388012,-0.427177771831237,-0.364990253411306,-0.33084219858156,-0.33084219858156,-0.33084219858156,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384859064686663,0.159543721909313,0.353868422080713
"SUFU",-0.503262807433923,-0.598222109041059,-0.566086380498145,-0.52490990990991,-0.481666666666667,-0.414113941290389,-0.463313840155945,-0.42962962962963,-0.35,-0.390740740740741,-0.154565686709844,-0.153410483254886,-0.143292836196062,-0.368811501344724,-0.270009930486594,-0.348224789915966,-0.247368421052632,-0.324166666666667,-0.214035087719298,-0.290833333333333,-0.286801346801347,-0.373955155267849,-0.166666666666667,-0.345725490196078,-0.307058823529412,-0.309687037832165,0.503598547194241,-0.562871640444058,-0.562871640444058,-0.523350190411774,0.470845690189241,0.525210536175774,0.376878586246976,0.57462345643061,-0.346381676835141,-0.406940869952022,-0.347404805551667,-0.326176548630012,-0.379059829059829,-0.319693962178173,-0.319693962178173,-0.319693962178173,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.133333333333333,0.253333333333333,-0.15,-0.353493395029084,0.348656462585034,0.419737641977284
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.35,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.166666666666667,-0.240740740740741,-0.133333333333333,-0.333333333333333,-0.1,-0.3,-0.203597883597884,-0.26,0,-0.22,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,0.397006472491909,0.303502188868043,0.440476190476191,-0.275091693635383,-0.3,-0.252130325814536,-0.241111111111111,-0.25,-0.204761904761905,-0.204761904761905,-0.204761904761905,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.417677411075892,-0.401161465984995,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.355589566588952,-0.394588263588264,-0.363588263588264,-0.277777777777778,-0.325925925925926,-0.12304467395286,-0.11175688097021,-0.10235094037615,-0.343844893029676,-0.34323470488519,-0.436453494406044,-0.315079365079365,-0.297916666666667,-0.276190476190476,-0.266666666666667,-0.373745688131544,-0.380517355270765,-0.233333333333333,-0.352994419490949,-0.318817204301075,-0.308697961943398,0.304246284501062,-0.387295918112533,-0.387295918112533,-0.488986927888558,0.620459304429768,0.604612127224157,0.360669500649873,0.396598215112868,-0.41202583008967,-0.377230529741969,-0.408900176718805,-0.395546429340606,-0.353897196408636,-0.386284372904091,-0.386284372904091,-0.386284372904091,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354985124344872,0.324003623188406,0.353781244555238
"cateninmemb",-0.417677411075892,-0.401161465984995,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.355589566588952,-0.394588263588264,-0.363588263588264,-0.277777777777778,-0.325925925925926,-0.12304467395286,-0.11175688097021,-0.10235094037615,-0.343844893029676,-0.34323470488519,-0.436453494406044,-0.315079365079365,-0.297916666666667,-0.276190476190476,-0.266666666666667,-0.373745688131544,-0.380517355270765,-0.233333333333333,-0.352994419490949,-0.318817204301075,-0.308697961943398,0.304246284501062,-0.387295918112533,-0.387295918112533,-0.488986927888558,0.524550877412267,0.60568682765624,0.360669500649873,0.396598215112868,-0.41202583008967,-0.377230529741969,-0.408900176718805,-0.395546429340606,-0.353897196408636,-0.386284372904091,-0.386284372904091,-0.386284372904091,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354985124344872,0.324003623188406,0.353781244555238
"GSK3",-0.241453000322863,-0.270355362648965,-0.252483602758106,-0.231450392426002,-0.194076655052265,-0.146824021491984,-0.259323352881034,-0.234978783592645,-0.164285714285714,-0.204285714285714,-0.0778111845173784,-0.0780668484018767,-0.0693065178233643,-0.142067646838571,-0.134981496435447,-0.2735219553862,-0.121401249521867,-0.116150121065375,-0.108498023715415,-0.104285714285714,-0.190656485263325,-0.203274866279465,-0.0954545454545455,-0.187417261101472,-0.171177944862155,-0.198084883675001,0.344090048773386,-0.375114531041126,-0.375114531041126,-0.403058380508505,0.408603103538474,0.478775391562949,0.0208084440699348,0.379731757141452,-0.372183999615462,-0.343189511617507,-0.340977641915733,-0.359086286517749,-0.324962910632285,-0.320490826499912,-0.320490826499912,-0.320490826499912,-0.343119899963127,-0.325209452201933,-0.306842105263158,-0.306842105263158,-0.286842105263158,-0.286842105263158,-0.381686947733812,0.05,0.09,-0.25,-0.0247793333783003,0.128150121065375,0.16205987394958
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102558707958708,-0.0995983444518641,-0.0754047960647674,-0.0142857142857143,-0.0436974789915966,-0.0134180790960452,-0.0162275078932411,-0.00989839396919043,-0.0691822601357549,-0.0582530120481928,-0.228397471649005,-0.045,-0.0458333333333333,-0.0325,-0.0325,-0.113281131623112,-0.122817182817183,-0.02,-0.105934065934066,-0.0859340659340659,-0.115954045954046,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314789831961782,0.406960753020097,0.440221966343664,0.225661438952145,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.310655732968106,-0.324221610944503,-0.28912676056338,-0.29029374201788,-0.29029374201788,-0.29029374201788,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315612805252632,0.0572257383966245,0.0819143625192012
"RKIP",-0.291176628249799,-0.317321855571497,-0.266341463414634,-0.22,-0.2,-0.215454545454545,-0.248405797101449,-0.208405797101449,-0.153333333333333,-0.186666666666667,-0.151561831407788,-0.153742879265527,-0.149661246612466,-0.206256830601093,-0.0794871794871795,-0.369794891640867,-0.0333333333333333,-0.14,0,-0.1,-0.257121061153319,-0.136111111111111,0,-0.0805555555555556,-0.025,-0.0777777777777778,0.331078431372549,-0.368578431372549,-0.368578431372549,-0.62292349482615,0.474379754577774,0.541488350534437,0.157440887286089,0.377271115980793,-0.376265290294058,-0.32,-0.156031746031746,-0.350815418828762,-0.27,-0.11,-0.11,-0.11,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0,0.1,0,-0.0289410162487086,0.181666666666667,0.216141274698166
"KLF4",-0.389770434331706,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.33435779997631,-0.363588263588264,-0.325925925925926,-0.2,-0.277777777777778,-0.108561915332171,-0.10235094037615,-0.0891156462585034,-0.324003623188406,-0.315079365079365,-0.411925192519252,-0.276190476190476,-0.266666666666667,-0.233333333333333,-0.233333333333333,-0.353745688131544,-0.352994419490949,-0.2,-0.318817204301075,-0.283333333333333,-0.291456582633053,0.266666666666667,-0.354122841189456,-0.354122841189456,-0.464351005558461,0.592777865765671,0.673337617420235,0.34423114448549,0.362258592471358,-0.395546429340606,-0.353897196408636,-0.386284372904091,-0.376344434328137,-0.326310989512084,-0.35952380952381,-0.35952380952381,-0.35952380952381,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342925058648016,0.297916666666667,0.325153793574846
"ZEB2",-0.238336542684369,-0.226258897096336,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.162882482823274,-0.162499283133567,-0.153279424977538,-0.147619047619048,-0.147619047619048,-0.145142602495544,-0.138554046643057,-0.136413373860182,-0.131844780678727,-0.127881136950904,-0.126941803699897,-0.125555555555556,-0.122857142857143,-0.12,-0.114285714285714,-0.112054163837252,-0.100695847362514,-0.1,-0.0957575757575758,-0.0866666666666667,-0.0707528717237455,-0.0523565158559132,-0.0508504158110457,-0.0508504158110457,-0.0498547538459743,-0.0415318495285875,0.00635980073011064,0.0112581241485458,0.0142103841887079,0.0429691861369647,0.0461970445456684,0.0467805669035981,0.0475825714521044,0.0517016317016317,0.0531956612432207,0.0531956612432207,0.0531956612432207,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113078956965146,0.127735191637631,0.177370199015936
