"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","TWIST1","SHH","SMAD","ILK","AKT","IKK","NFB","Csn","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","EGR1","ERK","cfos","GLI","MEK","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","RKIP","Patched"
"TrCP",-0.401475241063625,-0.428606494758857,-0.393633817163229,-0.348179271708683,-0.295238095238095,-0.311633663366337,-0.300881902706017,-0.0647095569862128,-0.366531996988519,-0.151441429140354,-0.0685611879160266,-0.0588837685611879,-0.166008771929825,-0.132675438596491,-0.0958333333333333,-0.0583333333333333,-0.109984639016897,-0.207294009884117,-0.080952380952381,-0.228351648351648,-0.195384615384615,-0.153846153846154,0.514954462659381,0.547065920874822,-0.561330750259302,-0.561330750259302,-0.512305959770618,-0.376959624943843,-0.346050534034752,-0.346050534034752,-0.346050534034752,0.240491341991342,0.617563720026742,0.573348207149342,-0.08,-0.101518054532056,-0.0930434782608696,-0.386556363809252,-0.116184721198723,-0.431706612724025,-0.411016957551611,-0.359727095516569,-0.387313253847907,-0.360580580580581,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.424379279363014,0.0333333333333333,0.0476190476190476,-0.2,-0.39002561729358,0.248251619467089,0.133441429140354
"SUFU",-0.491845955695262,-0.589163323590492,-0.55780237684493,-0.519504504504505,-0.481666666666667,-0.379462642620537,-0.39715255237169,-0.13574623386043,-0.340652507034131,-0.352569907569908,-0.127644720208976,-0.12094726062468,-0.286962460358434,-0.263472527472527,-0.228857142857143,-0.192857142857143,-0.311666666666667,-0.2761911711999,-0.278333333333333,-0.38520202020202,-0.357424242424242,-0.318787878787879,0.493794651134889,0.465458021917272,-0.549660750713687,-0.549660750713687,-0.506044952178828,-0.438800697284816,-0.413484241588614,-0.413484241588614,-0.413484241588614,0.360410815785455,0.514969794824582,0.562231579040316,-0.0584615384615385,-0.0718366690780484,-0.0614918414918415,-0.405453881104439,-0.0748153924823037,-0.341816690270193,-0.32314661354385,-0.379059829059829,-0.301407483109067,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435039963518347,0.15,0.253333333333333,-0.15,-0.354634727814511,0.349982700984174,0.332878787878788
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.3,-0.312365591397849,-0.0897435897435897,-0.240740740740741,-0.278333333333333,-0.103333333333333,-0.0833333333333333,-0.192857142857143,-0.15,-0.1,0,-0.333333333333333,-0.196190476190476,-0.3,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.407049808429119,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.28974358974359,0.395064724919094,0.440476190476191,0.1,-0.02,0,-0.3,-0.0584615384615385,-0.275091693635383,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.30045954045954,0.262857142857143,0.253333333333333
"Ecadherin",-0.417415634288119,-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.331944569829376,-0.352900976778937,-0.116785291297727,-0.436636725453682,-0.338607548048429,-0.100317647471664,-0.0928115942028986,-0.365868205868206,-0.33989417989418,-0.302857142857143,-0.26,-0.297916666666667,-0.370765430681788,-0.266666666666667,-0.402711321319014,-0.376317269274404,-0.342296650717703,0.30464135021097,0.620341968329773,-0.386742452031948,-0.386742452031948,-0.485444011013902,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.359170368080257,0.603648344466991,0.396273945380091,-0.147272727272727,-0.176259992281824,-0.164919786096257,-0.377230529741969,-0.18135803149751,-0.411986918802209,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.35459737071784,0.335036445630346,0.320497311827957
"cateninmemb",-0.417415634288119,-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.331944569829376,-0.352900976778937,-0.116785291297727,-0.436636725453682,-0.338607548048429,-0.100317647471664,-0.0928115942028986,-0.365868205868206,-0.33989417989418,-0.302857142857143,-0.26,-0.297916666666667,-0.370765430681788,-0.266666666666667,-0.402711321319014,-0.376317269274404,-0.342296650717703,0.30464135021097,0.524433527272179,-0.386742452031948,-0.386742452031948,-0.485444011013902,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.359170368080257,0.604723236665716,0.396273945380091,-0.147272727272727,-0.176259992281824,-0.164919786096257,-0.377230529741969,-0.18135803149751,-0.411986918802209,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.35459737071784,0.335036445630346,0.320497311827957
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.118549323017408,-0.102694157694158,-0.0134180790960452,-0.228397471649005,-0.0691822601357549,-0.0152275475742061,-0.00989839396919043,-0.0727706057596822,-0.0557894736842105,-0.0357894736842105,-0.02,-0.0458333333333333,-0.113281131623112,-0.0325,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.34836093857833,0.406960753020097,-0.370282258064516,-0.370282258064516,-0.314441739160126,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.225719806384285,0.440221966343664,0.303281447511538,-0.0142857142857143,-0.0379220779220779,-0.0242857142857143,-0.306709178145798,-0.0467656153370439,-0.336645853368746,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0797287796971153,0.0572257383966245
"GSK3",-0.233565365682869,-0.263730670178178,-0.24578195222946,-0.22592132505176,-0.194492753623188,-0.224773543718524,-0.132498916654629,-0.0697136861260747,-0.269178588045129,-0.129306825435754,-0.061115704620657,-0.0561681783837755,-0.183502063071029,-0.166408045977012,-0.149166666666667,-0.124166666666667,-0.104461667364893,-0.182448512681308,-0.0915584415584415,-0.250219290513408,-0.232816693110811,-0.213935574229692,0.338904164645181,0.405891636795366,-0.368035476288483,-0.368035476288483,-0.38688947772291,-0.213680085303156,-0.196033026479627,-0.196033026479627,-0.196033026479627,0.00137227415444282,0.471968533827497,0.373334125250157,-0.0592156862745098,-0.0674863629662391,-0.0592156862745098,-0.343370565703938,-0.07714545387533,-0.371199493273884,-0.358699493273884,-0.325917735515259,-0.343294328536573,-0.326151471393716,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.381924332831136,0.0866666666666667,0.0772727272727273,-0.25,-0.016446415288005,0.125865976129134,0.117345102947715
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.310891938250429,-0.33328072361438,-0.104033613445378,-0.412614379084967,-0.320497311827957,-0.0928115942028986,-0.0826666666666667,-0.33989417989418,-0.302857142857143,-0.26,-0.2,-0.266666666666667,-0.351772295670347,-0.233333333333333,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.266666666666667,0.592777865765671,-0.354514963880289,-0.354514963880289,-0.461663156107219,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.343276328345158,0.672976484681208,0.362568172568173,-0.12,-0.164919786096257,-0.147272727272727,-0.353897196408636,-0.176259992281824,-0.395647049521164,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342481806878138,0.311440940012369,0.297916666666667
"ZEB2",-0.22442735042735,-0.215150140864427,-0.207742733457019,-0.20025974025974,-0.194805194805195,-0.16507326007326,-0.145174433318367,-0.126407624633431,-0.118333111453103,-0.117994931897371,-0.117712371791726,-0.117102615694165,-0.11613707165109,-0.113333333333333,-0.111111111111111,-0.111111111111111,-0.108571428571429,-0.101204438472246,-0.1,-0.093635981504834,-0.0887179487179487,-0.0820512820512821,-0.063954212387318,-0.0480425111516086,-0.0368738542957035,-0.0368738542957035,-0.0309785752149088,-0.0227126264171232,-0.0173593073593074,-0.0173593073593074,-0.0173593073593074,-0.00835685935059533,-0.00480072686471314,0.000173982846783885,0.0416666666666667,0.0469298245614035,0.0469298245614035,0.0480319069309895,0.0481493367565255,0.0485600863732813,0.0515470993602943,0.0517016317016317,0.0550682261208577,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0874933309354674,0.1,0.1,0.1,0.110917693141842,0.111996779388084,0.113449477351916
"Destcompl",0.0503604073186811,0.0203618652542687,0.0234160524463869,0.0244686840253343,0.0210204081632653,-0.0395459137698985,0.0890562994102703,0.00155161078238001,-0.0440479038596567,-0.125962575171536,0.00487468671679198,0.00452380952380953,0.0401729170915048,0.0435286217894914,0.0480331262939959,0.0523809523809524,-0.121631089217296,-0.18981577342711,-0.118773946360153,-0.0628610844878162,-0.0598550724637681,-0.0576811594202899,-0.196902236358838,0.218130755696545,0.184985720159171,0.184985720159171,-0.240484756074524,0.00211925721625518,0.00337514418642786,0.00337514418642786,0.00337514418642786,-0.0844226632823556,0.0569270367550554,-0.19667510806149,-0.0333333333333333,-0.0401887729756582,-0.0363636363636364,-0.186500454630311,-0.0397668320473882,-0.189229454224844,-0.187903600068801,-0.183346465762036,-0.185848805548254,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.23912408550422,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0194736094066705,-0.0974398252101017,0.124221762792426
