"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Destcompl","Patched","RKIP"
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.416370022079091,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.349643836064259,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.524106467125905,-0.563986127625245,-0.563986127625245,0.47098276859156,-0.438442891821487,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525760895676563,0.379541405092039,0.575591090136125,-0.34669001488608,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.253333333333333,-0.15,-0.352254558178163,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.416613026819923,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358618961913992,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.489963135818609,-0.388638186629104,-0.388638186629104,0.620598378586183,-0.421736596736597,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364246344549095,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358618961913992,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.489963135818609,-0.388638186629104,-0.388638186629104,0.524689773268335,-0.421736596736597,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364246344549095,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.359011578754757
"GSK3",-0.247076145314815,-0.275449650167668,-0.258225999782064,-0.240331262939959,-0.203188405797101,-0.213934873703163,-0.151807211313698,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0859006432670267,-0.0763983808235878,-0.1468635944971,-0.191630654629767,-0.280810818565582,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.256938925045543,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355186863393602,-0.412544862077994,-0.384478565439763,-0.384478565439763,0.41680152932704,-0.215219412619185,-0.194966248062223,-0.194966248062223,-0.194966248062223,0.487692158122335,0.0243194788355534,0.389664122158195,-0.379689976929517,-0.348815133468151,-0.366091030600903,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0954545454545455,-0.25,-0.0159090694746254,0.13107412081289,0.178958566629339
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.219662572996585,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.624385964912281,-0.372663797226208,-0.372663797226208,0.474936280818634,-0.094077474249888,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.163763328959474,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0,-0.0230780801837209,0.184,0.226050420168067
"miR200",-0.117592127903126,-0.143850411132195,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.103197251722432,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228618482966309,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.314833511931918,-0.370526780756222,-0.370526780756222,0.406960753020097,-0.284409372838301,-0.264708624708625,-0.264708624708625,-0.264708624708625,0.440286932192697,0.227858243221011,0.30353786285152,-0.336664706543896,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0.02,-0.2,-0.315589543734694,0.0572257383966245,0.0826612178651132
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.4649781869926,-0.354514963880289,-0.354514963880289,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.347874663133166,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.236478646989298,-0.224792188735696,-0.217877295118674,-0.207532467532468,-0.194805194805195,-0.163128280026855,-0.161161169303048,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138954467546017,-0.137102615694165,-0.132280646183085,-0.127720125786164,-0.126109631326529,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.100805860805861,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0536820380761629,-0.0498120860789853,-0.0492021488551609,-0.0492021488551609,-0.0417722669111387,-0.0208835066593687,-0.0144179894179894,-0.0144179894179894,-0.0144179894179894,0.00581067871543407,0.00788714851214851,0.0124392940158403,0.0432597373334056,0.0461970445456684,0.0477490021349671,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.112605829691912,0.127735191637631,0.176003316749585
"Destcompl",0.0565357381722247,0.0253511681742298,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0946322991785824,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.0402003274155965,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185626117497308,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203149190846705,-0.23371230255266,0.191891294535535,0.191891294535535,0.215009252685094,0.00163489078863064,0.00273551971944825,0.00273551971944825,0.00273551971944825,0.0517357523664411,-0.0884241317081484,-0.20361464683165,-0.186648026055959,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,0.122222222222222,-0.188888888888889,-0.0198712463622236,0.116540607071248,-0.121302327657544
