"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","AXIN2","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.438259488824967,-0.459418819688829,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.344403861145953,-0.438397445345124,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234991479209271,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.600689101916495,-0.600689101916495,-0.57272536881333,0.572288014632253,-0.377202706162534,-0.34356634252617,-0.34356634252617,-0.34356634252617,0.652656109659312,0.324330086580087,0.61258095608648,-0.455812826141266,-0.398648789996672,-0.43001972269299,-0.364990253411306,-0.39964935232262,-0.365985985985986,-0.328148148148148,-0.244716671313939,-0.328148148148148,-0.28,-0.28,0.0333333333333333,0.0761904761904762,-0.2,-0.367381472353082,0.159543721909313,0.353491867248773
"SUFU",-0.500407200082863,-0.597424379560223,-0.563696568909335,-0.522207207207207,-0.481666666666667,-0.409081327693353,-0.459339384020235,-0.353846153846154,-0.426573426573427,-0.393240093240093,-0.158132769971429,-0.155184172156533,-0.145253456221198,-0.372674915174915,-0.293800870270669,-0.3504685783323,-0.267626373626374,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.292684702539752,-0.192857142857143,-0.392582972582973,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.498270944449898,-0.55717612581183,-0.55717612581183,-0.530414290760348,0.475749150408958,-0.433500064373424,-0.407234241588614,-0.407234241588614,-0.407234241588614,0.526704876280117,0.358002485508695,0.568973905901114,-0.356301090296819,-0.415162996854447,-0.335073468813443,-0.386538461538462,-0.311160425335183,-0.282588996763754,-0.35,-0.123053174285755,-0.246666666666667,-0.3,-0.196666666666667,0.15,0.253333333333333,-0.15,-0.324206253928667,0.351439393939394,0.416874488627066
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.318817204301075,-0.353846153846154,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.41927969348659,0.357401433691756,-0.341346153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.284981684981685,0.440476190476191,-0.282588996763754,-0.3,-0.246666666666667,-0.25,-0.196666666666667,-0.15,-0.2,-0.0748917748917749,-0.1,-0.2,-0.1,0,0.2,-0.1,-0.274365634365634,0.253333333333333,0.302857142857143
"GSK3",-0.246238168196553,-0.275024374706241,-0.258101297783164,-0.240331262939959,-0.203188405797101,-0.148281733994575,-0.213462745544789,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.147342063396622,-0.191139109932213,-0.281398457876626,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.198122966184154,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355016575666063,-0.383330862202836,-0.383330862202836,-0.4151592767202,0.418953479802543,-0.212211151272851,-0.192883420180414,-0.192883420180414,-0.192883420180414,0.488279807091761,0.0136396710556993,0.388700998363962,-0.384703890198065,-0.351537417350257,-0.370164416513854,-0.32983930414271,-0.351553552756062,-0.330124981327491,-0.308270676691729,-0.203683697826475,-0.308270676691729,-0.286842105263158,-0.286842105263158,0.0866666666666667,0.0954545454545455,-0.25,-0.00136716565337571,0.13107412081289,0.17720682825946
"Ecadherin",-0.412871220335251,-0.399124271426834,-0.370010347376201,-0.33830303030303,-0.307636363636364,-0.347274871288246,-0.388678905489093,-0.281818181818182,-0.360835768234192,-0.328877005347594,-0.128084864208038,-0.114602519563463,-0.105159420289855,-0.348996168825671,-0.363463203463203,-0.438871362325191,-0.336190476190476,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.381808186815683,-0.26,-0.40494180459039,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.297140178152836,-0.378399581334155,-0.378399581334155,-0.497928632370991,0.626984984302058,-0.415354533734422,-0.393846153846154,-0.393846153846154,-0.393846153846154,0.606531413340328,0.341211994721307,0.387846899634609,-0.424146372933311,-0.387329968394736,-0.4067794261546,-0.361996635061402,-0.386480546951611,-0.361396934911477,-0.330962152302782,-0.18228827084708,-0.330962152302782,-0.296078431372549,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.327532098051738,0.326948924731183,0.348625326875728
"cateninmemb",-0.412871220335251,-0.399124271426834,-0.370010347376201,-0.33830303030303,-0.307636363636364,-0.347274871288246,-0.388678905489093,-0.281818181818182,-0.360835768234192,-0.328877005347594,-0.128084864208038,-0.114602519563463,-0.105159420289855,-0.348996168825671,-0.363463203463203,-0.438871362325191,-0.336190476190476,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.381808186815683,-0.26,-0.40494180459039,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.297140178152836,-0.378399581334155,-0.378399581334155,-0.497928632370991,0.531101512359161,-0.415354533734422,-0.393846153846154,-0.393846153846154,-0.393846153846154,0.607608578170366,0.341211994721307,0.387846899634609,-0.424146372933311,-0.387329968394736,-0.4067794261546,-0.361996635061402,-0.386480546951611,-0.361396934911477,-0.330962152302782,-0.18228827084708,-0.330962152302782,-0.296078431372549,-0.296078431372549,0.2,0.233333333333333,-0.266666666666667,-0.327532098051738,0.326948924731183,0.348625326875728
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.22073762506942,-0.227666911225238,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.161544523246651,0.380952950808151,-0.378514648603038,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.204852320675105,-0.2,-0.1,-0.1,0.1,0.1,0,-0.0146820400634121,0.184,0.226050420168067
"miR200",-0.116581738045153,-0.143043297589103,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0997082547082547,-0.105819418676562,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.11396841684648,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.369587813620072,-0.369587813620072,-0.316162016603568,0.408072137534532,-0.281512273659518,-0.262809031764256,-0.262809031764256,-0.262809031764256,0.440369895337747,0.21694968648209,0.302769938560132,-0.340020531125446,-0.307808079244699,-0.326535682640597,-0.28912676056338,-0.310662666767582,-0.291561543172076,-0.268,-0.18587191679174,-0.270434782608696,-0.24,-0.24,0,0.02,-0.2,-0.302890656807248,0.0572257383966245,0.080955773562146
"KLF4",-0.384267101342117,-0.370010347376201,-0.33830303030303,-0.307636363636364,-0.263636363636364,-0.324806516857866,-0.360835768234192,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.326948924731183,-0.336190476190476,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.3600690563809,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.262962962962963,-0.346646026831785,-0.346646026831785,-0.471739589625657,0.598523445840519,-0.393846153846154,-0.368846153846154,-0.368846153846154,-0.368846153846154,0.674496359786288,0.325317954986208,0.355258445258445,-0.4067794261546,-0.361996635061402,-0.386480546951611,-0.330962152302782,-0.361396934911477,-0.330962152302782,-0.296078431372549,-0.171772806929554,-0.296078431372549,-0.266666666666667,-0.266666666666667,0.1,0.2,-0.233333333333333,-0.31700087717569,0.297916666666667,0.319037311894455
"ZEB2",-0.239313131313131,-0.227033601319316,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.165567215802689,-0.164832567256063,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111763097690123,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0517351328634275,-0.0517351328634275,-0.0492510904985749,-0.0421592558301511,-0.0235691574663737,-0.0173593073593074,-0.0173593073593074,-0.0173593073593074,0.00634897850979154,0.0148603877472488,0.0149065019932594,0.0440554152488919,0.047114475738329,0.0488606100540867,0.0517016317016317,0.0541423001949318,0.0587719298245614,0.0593939393939394,0.0621101764883799,0.0666666666666667,0.0727272727272727,0.08,0.1,0.1,0.1,0.110917693141842,0.127735191637631,0.179710144927536
"AXIN2",0.0695334174022699,0.0561626469923295,0.0564926799956298,0.0520679012345679,0.0508333333333333,0.0575908793834941,0.0482496089543557,0.06,0.0468702986095282,0.0478048780487805,0.00840701611492687,0.00914423740510697,0.00993788819875776,-0.092282321503633,0.0515458937198068,-0.0169025122574818,0.0526570048309179,0.051207729468599,-0.0875457875457875,-0.0923076923076923,-0.0935214491736231,0.0555555555555556,-0.0262323037323037,-0.0248809523809524,-0.0266666666666667,-0.0334387351778656,-0.129782609255525,0.125998187338952,0.125998187338952,-0.145268903159874,0.109363867337658,0.038431455040111,0.0397437909981163,0.0397437909981163,0.0397437909981163,0.0346170917844403,-0.0628428680396644,-0.142847034297352,-0.0962113608869334,-0.0952476131394592,-0.0959951914100636,-0.092731889869019,-0.0949400917617635,-0.092731889869019,-0.0910077519379845,-0.0980849605137551,-0.0910077519379845,-0.0933333333333333,-0.0933333333333333,-0.0666666666666667,0.1,-0.1,0.0599200960536979,0.0893315018315018,-0.0666501240694789
"Destcompl",0.0598028705731808,0.0270665580206674,0.0307118782177118,0.028606615059817,0.0210204081632653,0.0997477818103489,0.0551125377354885,0.0625641025641026,0.0551125377354885,0.0534731934731935,0.00964317733548503,0.0139974937343358,0.0134126984126984,-0.121638772052558,0.0474532058424676,-0.0403953808042906,0.0514800514800515,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.189081389103738,0.0523809523809524,-0.0602738300729936,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.206574782894264,0.196609510594247,0.196609510594247,-0.237726956334713,0.218055379097242,0.00466779399947946,0.00655162445473849,0.00655162445473849,0.00655162445473849,0.0522999579759674,-0.098392624432814,-0.208167547690825,-0.191894446170803,-0.19122037867751,-0.191537485436484,-0.188066389809235,-0.190578581326895,-0.187593506700029,-0.18311589475973,-0.0959951914100636,-0.18311589475973,-0.181746031746032,-0.181746031746032,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.00950929604578849,0.1175768765013,-0.126458831375366
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.119607843137255,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0695141065830721,-0.306262626262626,0.330124981327491,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.173939393939394,0.2,0.2,0.1,-0.1,0,0,-0.031747069537197,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.11735679779158,0.164052287581699,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368965245295333,-0.367401802528921,0.17187501681907,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0858777429467085,-0.342200126262626,0.351553552756062,0.308270676691729,0.330124981327491,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.183241719520789,0.25,0.3,0.2,-0.1,0,0.1,-0.0198107300146506,-0.10974025974026,-0.141428571428571
"HEY1",0.384267101342117,0.370010347376201,0.33830303030303,0.307636363636364,0.263636363636364,0.324806516857866,0.360835768234192,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.326948924731183,0.336190476190476,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.3600690563809,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.262962962962963,0.346646026831785,0.346646026831785,0.471739589625657,-0.598523445840519,0.393846153846154,0.368846153846154,0.368846153846154,0.368846153846154,-0.674496359786288,-0.325317954986208,-0.355258445258445,0.4067794261546,0.361996635061402,0.386480546951611,0.330962152302782,0.361396934911477,0.330962152302782,0.296078431372549,0.171772806929554,0.296078431372549,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.31700087717569,-0.297916666666667,-0.319037311894455
"FOXC2",0.384267101342117,0.370010347376201,0.33830303030303,0.307636363636364,0.263636363636364,0.324806516857866,0.360835768234192,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.326948924731183,0.336190476190476,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.3600690563809,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.262962962962963,0.346646026831785,0.346646026831785,0.471739589625657,-0.598523445840519,0.393846153846154,0.368846153846154,0.368846153846154,0.368846153846154,-0.674496359786288,-0.325317954986208,-0.355258445258445,0.4067794261546,0.361996635061402,0.386480546951611,0.330962152302782,0.361396934911477,0.330962152302782,0.296078431372549,0.171772806929554,0.296078431372549,0.266666666666667,0.266666666666667,-0.1,-0.2,0.233333333333333,0.31700087717569,-0.297916666666667,-0.319037311894455
"DSH",0.230448694512342,0.258101297783164,0.240331262939959,0.203188405797101,0.146666666666667,0.131559696342305,0.19187183645388,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.262576434829251,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179874791001672,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.363271426838794,0.363271426838794,0.393761520033401,-0.395788139395823,0.192883420180414,0.17187501681907,0.17187501681907,0.17187501681907,-0.465329527210299,-0.100494912320258,-0.368419638457748,0.370164416513854,0.32983930414271,0.351553552756062,0.308270676691729,0.330124981327491,0.308270676691729,0.286842105263158,0.19379024272754,0.286842105263158,0.25,0.25,-0.0666666666666667,-0.05,0.2,-0.00874202772457427,-0.119417679095098,-0.158911088911089
"cateninnuc",0.38997630784516,0.376938191156833,0.355322470632815,0.327736263736264,0.295428571428571,0.32699309494696,0.368704493001272,0.297101449275362,0.346227428781089,0.320910973084886,0.123819595487239,0.110442928603911,0.102666666666667,0.222068638653688,0.340074810606061,0.326786259397541,0.322106060606061,0.298106060606061,0.19120218579235,0.163333333333333,0.256504217273631,0.270833333333333,0.3773302397248,0.357784785179346,0.332203389830509,0.262564783562958,-0.290792955561639,0.371354265830552,0.371354265830552,0.473235800684553,-0.417558229866254,0.382468862468862,0.366475596475596,0.366475596475596,0.366475596475596,-0.495295599936505,-0.312256415864698,-0.378793677679483,0.195599911561834,0.266965157137879,0.281653487921956,0.249573852790053,0.266044824740477,0.248584507280159,0.22783472235527,0.0951904231608049,0.226845376845377,0.199067599067599,0.199067599067599,-0.233333333333333,-0.133333333333333,0.160606060606061,0.290740055623755,-0.209214608152598,-0.340231603797361
"SNAI2",0.420858044203517,0.408566994244744,0.373784385549091,0.333613445378151,0.276470588235294,0.360423010484158,0.390911499735029,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.366856263632213,0.366483174075613,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.406270571408151,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.284038461538462,0.372397944199706,0.372397944199706,0.71624508908473,-0.64229748127721,0.435502665043544,0.407192162760439,0.407192162760439,0.407192162760439,-0.809588115674251,-0.364638242693493,-0.380926764645645,0.459609860799719,0.40900041963008,0.436473214836986,0.376380098774465,0.408638163290594,0.376380098774465,0.341168831168831,0.21808645080064,0.341168831168831,0.305454545454545,0.305454545454545,-0.1,-0.2,0.26,0.36127184969818,-0.335870348139256,-0.347320512820513
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.22073762506942,0.227666911225238,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.161544523246651,-0.380952950808151,0.378514648603038,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.204852320675105,0.2,0.1,0.1,-0.1,-0.1,0,0.0146820400634121,-0.184,-0.226050420168067
