"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","DSH","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.347886171124013,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380093371805575,-0.344785854721292,-0.344785854721292,-0.344785854721292,0,0.652517701354814,0.335866576704273,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384768975209114,0.159543721909313,0.354596839624464
"SUFU",-0.501523796897786,-0.596731672078234,-0.563531672078234,-0.521596188207266,-0.479130434782609,-0.461174102774915,-0.412334475390787,-0.353846153846154,-0.427261059296654,-0.389330024813896,-0.158239074968312,-0.155233020785201,-0.145280414150129,-0.369939862542955,-0.296035745863332,-0.347499398286319,-0.269139194139194,-0.23452380952381,-0.324166666666667,-0.290833333333333,-0.286846383564175,-0.192857142857143,-0.390568641884431,-0.361013986013986,-0.322377622377622,-0.298624502432552,0.501075249696215,-0.561552426350452,-0.561552426350452,-0.522640999889743,0.469446034414666,-0.435584234154021,-0.409860761485211,-0.409860761485211,-0.409860761485211,0,0.524152190849252,0.369230183819225,0.572882114722722,-0.344853746071127,-0.405765850938754,-0.324688285884985,-0.301717171717172,-0.274444444444444,-0.241111111111111,-0.196666666666667,-0.435104683323616,0.15,0.253333333333333,-0.15,-0.357118947657782,0.349939862542955,0.420347503373819
"Patched",-0.386842105263158,-0.479130434782609,-0.44,-0.4,-0.3,-0.353846153846154,-0.319208211143695,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.238461538461538,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.431521739130435,-0.431521739130435,-0.416613026819923,0.354623655913978,-0.34375,-0.3,-0.3,-0.3,0,0.39656862745098,0.293461538461538,0.438888888888889,-0.274444444444444,-0.3,-0.241111111111111,-0.196666666666667,-0.15,-0.1,-0.1,-0.321645021645022,0,0.2,-0.1,-0.303351158645276,0.253333333333333,0.298461538461538
"Ecadherin",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.394603748349101,-0.357921211029751,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115135089389612,-0.105159420289855,-0.345270828041656,-0.367998755057579,-0.437644617634324,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.403929209572912,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.304246284501062,-0.38793236499898,-0.38793236499898,-0.489872701760533,0.620505721991601,-0.421015955469655,-0.399948539739318,-0.399948539739318,-0.399948539739318,0,0.605031118568429,0.362978992702713,0.397090053145516,-0.412142969780064,-0.377230529741969,-0.395546429340606,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354376979544065,0.324798387096774,0.358118507765822
"cateninmemb",-0.418506066515614,-0.401816286059053,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.394603748349101,-0.357921211029751,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115135089389612,-0.105159420289855,-0.345270828041656,-0.367998755057579,-0.437644617634324,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.403929209572912,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.304246284501062,-0.38793236499898,-0.38793236499898,-0.489872701760533,0.524597235426234,-0.421015955469655,-0.399948539739318,-0.399948539739318,-0.399948539739318,0,0.606105925857271,0.362978992702713,0.397090053145516,-0.412142969780064,-0.377230529741969,-0.395546429340606,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354376979544065,0.324798387096774,0.358118507765822
"GSK3",-0.247927913908494,-0.276128072035869,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.152288832621016,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.2812943835472,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.38518978079455,-0.38518978079455,-0.41264795236399,0.416904506748331,-0.215149406012437,-0.195359932328227,-0.195359932328227,-0.195359932328227,0,0.487947083465295,0.0239921519178603,0.390390896902727,-0.379820488875361,-0.348815133468151,-0.366164681043837,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0157676677050818,0.13107412081289,0.179907680259439
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.318421052631579,-0.268421052631579,-0.2,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102472412644826,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.283801569077688,-0.264301569077689,-0.264301569077689,-0.264301569077689,0,0.440221966343664,0.225745840431733,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.309539071261964,-0.291561543172076,-0.270434782608696,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315595017501551,0.0572257383966245,0.0821827674271767
"KLF4",-0.389770434331706,-0.373322638146168,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.335628217399177,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412271483305966,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354122841189456,-0.354122841189456,-0.4649781869926,0.592777865765671,-0.399948539739318,-0.375225292506846,-0.375225292506846,-0.375225292506846,0,0.673421362470867,0.346275206511176,0.362258592471358,-0.395546429340606,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342642524191096,0.297916666666667,0.328043319795897
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.164113304533816,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0500526944936086,-0.0415318495285875,-0.0226065994091745,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0,0.00647944165395331,0.0124110756719452,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0532163742690058,0.0587719298245614,0.0666666666666667,0.08,0.0863063873152894,0.1,0.1,0.1,0.113432319343321,0.127735191637631,0.178599033816425
