"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","TWIST1","HEY1","AKT","SHH","IKK","ILK","SMAD","NFB","Csn","Jagged","SMO","NOTCH","FUS","KLF4","NOTCHic","Csl","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","miR200","Ecadherin","GSK3","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","RKIP"
"TrCP",-0.369786346834781,-0.401445019140294,-0.371390374331551,-0.327450980392157,-0.266666666666667,-0.24,-0.380978629329403,-0.336978629329403,-0.287826086956522,-0.243143457953887,-0.343610766045549,0.031926683716965,-0.0900828460038986,-0.0663673550662798,-0.0660087719298246,0.0366359447004608,0.0430875576036866,-0.0291666666666667,0.00833333333333333,-0.145244546693933,-0.0433179723502304,-0.172857142857143,-0.0142857142857143,0.491092896174863,-0.145384615384615,-0.103846153846154,-0.207673267326733,0.541624164038758,-0.550696556515645,-0.532268918249081,-0.532268918249081,-0.367113193146192,-0.336204102237101,-0.336204102237101,-0.336204102237101,0.544522842208719,0.606935639917693,0.319455086580087,-0.384605144297057,-0.429424048835452,-0.359727095516569,-0.409286117800969,-0.386323154838006,-0.360580580580581,-0.328148148148148,-0.328148148148148,-0.28,-0.019047619047619,-0.28,-0.423750348545404,0.0593673550662798,-0.0333333333333333,-0.2,-0.377275710021943,0.257556826230859
"SUFU",-0.432528090140642,-0.54034946629873,-0.512538815411156,-0.477432432432432,-0.445,-0.338461538461538,-0.429041142276652,-0.40053050397878,-0.371794871794872,-0.312615558551287,-0.29676935198973,0.0640444242330046,-0.182014160336308,-0.20004992004992,-0.161208791208791,0.0792165898617511,0.0822188993305733,-0.134285714285714,-0.114285714285714,-0.175871840867977,-0.168888888888889,-0.315966810966811,-0.146666666666667,0.433407774614705,-0.291363636363636,-0.257272727272727,-0.280401177769599,0.443343294305151,-0.506575196522514,-0.480048703508632,-0.480048703508632,-0.428627291004165,-0.40679184796619,-0.40679184796619,-0.40679184796619,0.495629167607632,0.47775677604654,0.367072594080182,-0.397146760715534,-0.327028655963359,-0.375213675213675,-0.311427632945456,-0.293764589467196,-0.271208198489752,-0.344444444444444,-0.241111111111111,-0.3,0.146666666666667,-0.196666666666667,-0.429276802944068,0.188080808080808,0.1,-0.15,-0.346716213957054,0.339577810505646
"Patched",-0.345,-0.445,-0.42,-0.4,-0.3,-0.1,-0.338461538461538,-0.3,-0.2,-0.239247311827957,-0.208333333333333,0.0743589743589744,-0.114285714285714,-0.146666666666667,-0.1,0.0833333333333333,0.0833333333333333,-0.1,0,-0.112804232804233,-0.266666666666667,-0.227272727272727,-0.3,0.333333333333333,-0.2,-0.2,-0.25,0.349068100358423,-0.413946360153257,-0.391666666666667,-0.391666666666667,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.402380952380952,0.376186623516721,0.3003663003663,-0.3,-0.271208198489752,-0.25,-0.241111111111111,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,0.2,-0.1,-0.321645021645022,0.146666666666667,0,-0.1,-0.298261738261738,0.248571428571429
"miR200",-0.115849137312552,-0.142461902240266,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0142857142857143,-0.105819418676562,-0.0806493506493507,-0.0442857142857143,-0.0967223517223517,-0.227170477783975,0.00336158192090395,-0.0689970208540218,-0.0575972298660796,-0.0557894736842105,0.00812848246476565,0.0109497990791857,-0.0357894736842105,-0.02,-0.105957420282906,-0.0458333333333333,-0.127517185717069,-0.0325,0.34836093857833,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.406960753020097,-0.314833511931918,-0.368893369175627,-0.368893369175627,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.302258429608725,0.439630250367333,0.226551407215886,-0.306709178145798,-0.336645853368746,-0.28912676056338,-0.324221610944503,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,0.02,-0.24,-0.34124135524529,0.052162447257384,0,-0.2,-0.315503569275578,0.0797287796971153
"Ecadherin",-0.399908013829343,-0.387239592146045,-0.362465631929047,-0.335636363636364,-0.307636363636364,-0.281818181818182,-0.387894591763603,-0.360835768234192,-0.328877005347594,-0.326644962896485,-0.426264505057144,0.016336462589917,-0.325512265512266,-0.263222313944628,-0.306031746031746,0.0587826086956522,0.0599932624486788,-0.283809523809524,-0.26,-0.329859089593959,-0.239583333333333,-0.380220110730169,-0.233333333333333,0.289639006094702,-0.357543530804518,-0.33177033492823,-0.293231470614787,0.616896958055495,-0.48811388060896,-0.36579130779276,-0.36579130779276,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.376067898581865,0.594939827493605,0.36262676159826,-0.377230529741969,-0.409683465249763,-0.353897196408636,-0.394650785511201,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,0.233333333333333,-0.296078431372549,-0.427956280172798,0.251411290322581,0.2,-0.266666666666667,-0.353451167042901,0.334493756644639
"cateninmemb",-0.399908013829343,-0.387239592146045,-0.362465631929047,-0.335636363636364,-0.307636363636364,-0.281818181818182,-0.387894591763603,-0.360835768234192,-0.328877005347594,-0.326644962896485,-0.426264505057144,0.016336462589917,-0.325512265512266,-0.263222313944628,-0.306031746031746,0.0587826086956522,0.0599932624486788,-0.283809523809524,-0.26,-0.329859089593959,-0.239583333333333,-0.380220110730169,-0.233333333333333,0.289639006094702,-0.357543530804518,-0.33177033492823,-0.293231470614787,0.520987398744464,-0.48811388060896,-0.36579130779276,-0.36579130779276,-0.42128849734995,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.376067898581865,0.596007004597433,0.36262676159826,-0.377230529741969,-0.409683465249763,-0.353897196408636,-0.394650785511201,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,0.233333333333333,-0.296078431372549,-0.427956280172798,0.251411290322581,0.2,-0.266666666666667,-0.353451167042901,0.334493756644639
"RKIP",-0.273401119952844,-0.302020471740098,-0.258095238095238,-0.22,-0.2,-0.17,-0.219156272927366,-0.187241379310345,-0.17,-0.186919036043664,-0.357944147355912,-0.086566008517228,-0.112987012987013,-0.144590163934426,-0.0857142857142857,-0.0721758664955071,-0.0692055694658041,-0.0857142857142857,-0.1,-0.214182634004366,-0.1,-0.180691530691531,-0.1,0.322907699665232,-0.138383838383838,-0.111111111111111,-0.0613968253968254,0.472321901733667,-0.623057061257796,-0.352907699665232,-0.352907699665232,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.362553067818535,0.532785746001392,0.161544523246651,-0.32,-0.375461213488534,-0.27,-0.351288185498712,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,0.1,-0.1,-0.337271448663854,0.12,0.1,0,-0.0227081076332972,0.197619047619048
"GSK3",-0.218322224491135,-0.25061533023357,-0.236769176387416,-0.218302277432712,-0.181159420289855,-0.107843137254902,-0.196857972322369,-0.176403426867823,-0.148583877995643,-0.10967010127273,-0.259604323326846,0.0130075609515467,-0.139760904804008,-0.0679249623618264,-0.130359195402299,0.0271887704800156,0.029737496117197,-0.115416666666667,-0.0841666666666667,-0.135412538013565,-0.0607596704370898,-0.219495504495505,-0.0510822510822511,0.327554488778391,-0.206768231768232,-0.189285714285714,-0.161529761597827,0.403296548916818,-0.403336880516458,-0.352812866613622,-0.352812866613622,-0.209830198891899,-0.191762972001143,-0.191762972001143,-0.191762972001143,0.358086250591004,0.466233315942498,0.0183840990947909,-0.342427169477523,-0.370038166649219,-0.325917735515259,-0.35786711401764,-0.342818138060383,-0.326151471393716,-0.308270676691729,-0.308270676691729,-0.286842105263158,0.0272727272727273,-0.286842105263158,-0.381619918828092,0.0650541489646972,0.0466666666666667,-0.25,-0.0121967976110896,0.143038803301961
"KLF4",-0.375880553875109,-0.362465631929047,-0.335636363636364,-0.307636363636364,-0.263636363636364,-0.2,-0.360835768234192,-0.328877005347594,-0.281818181818182,-0.30860698821294,-0.403359477124183,0.0183498854087089,-0.306031746031746,-0.251411290322581,-0.283809523809524,0.0573333333333333,0.0587826086956522,-0.26,-0.2,-0.314527281813639,-0.233333333333333,-0.357543530804518,-0.233333333333333,0.259259259259259,-0.33177033492823,-0.305454545454545,-0.28138936535163,0.591384137542674,-0.464333025702278,-0.338777089783282,-0.338777089783282,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.347948717948718,0.666896984260888,0.346953472415037,-0.353897196408636,-0.394650785511201,-0.326310989512084,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,0.2,-0.266666666666667,-0.40259545543053,0.239583333333333,0.1,-0.233333333333333,-0.341987979717644,0.309400123685838
"TGFR",-0.0278152377335973,-0.0469875042215468,-0.0363492063492063,0.0850793650793651,0.108888888888889,0.0333333333333333,-0.0050260354081551,0.0141520467836257,0.0385964912280702,-0.0144254444938274,-0.0713911954659286,-0.0597034171502257,-0.0106953430086845,-0.0905146843950906,0.00325814536340852,-0.0495992179863148,-0.0456846272389838,0.019047619047619,0.0333333333333333,-0.122080105013767,-0.0805747126436782,-0.0446994128834863,-0.0633333333333333,0.127673350041771,-0.0339080459770115,-0.0166666666666667,-0.134307992202729,0.246102034843347,-0.110498501007351,-0.139120299318909,-0.139120299318909,-0.0682852965747703,-0.0589285714285714,-0.0589285714285714,-0.0589285714285714,0.150844696645586,0.228808299923854,0.00618701980574524,-0.200314755238675,-0.205629348219494,-0.197088948787062,-0.200580632541904,-0.19627441244621,-0.192327044025157,-0.191428571428571,-0.186666666666667,-0.171428571428571,0.0466666666666667,-0.166666666666667,-0.234918174868103,0.0899497126436782,-0.0333333333333333,-0.1,-0.162608822298758,0.00900432900432901
