"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.348194823723464,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380402293077457,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.337061883560488,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384708462277024,0.159543721909313,0.354596839624464
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.416500123301342,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.349643836064259,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,-0.524106467125905,0.47098276859156,-0.438442891821487,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.525760895676563,0.379541405092039,0.575591090136125,-0.34669001488608,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352254558178163,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.3587427261582,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489963135818609,0.620598378586183,-0.421736596736597,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605247826870112,0.364246344549095,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.3587427261582,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489963135818609,0.524689773268335,-0.421736596736597,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.606322543684083,0.364246344549095,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.359011578754757
"GSK3",-0.247570300507403,-0.275842991262983,-0.258513081121777,-0.240331262939959,-0.203188405797101,-0.214157550739594,-0.152331671030844,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858720650341141,-0.0763983808235878,-0.1468635944971,-0.191630654629767,-0.281105683842654,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.136666666666667,-0.256938925045543,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355484535070584,-0.3848941161716,-0.3848941161716,-0.412579255181468,0.416835885510958,-0.215219412619185,-0.194966248062223,-0.194966248062223,-0.194966248062223,0.487832463415982,0.0243194788355534,0.390074726031921,-0.379718417039349,-0.348815133468151,-0.366091030600903,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0159090694746254,0.13107412081289,0.179537929330368
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.220204504984121,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.094077474249888,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.163763328959474,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0230780801837209,0.184,0.226050420168067
"miR200",-0.117452208288317,-0.143736892040348,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102942136665541,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228507295173962,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370403664435922,-0.370403664435922,-0.314833511931918,0.406960753020097,-0.284409372838301,-0.264708624708625,-0.264708624708625,-0.264708624708625,0.440254401145329,0.227858243221011,0.303408996016131,-0.336664706543896,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315589543734694,0.0572257383966245,0.0824190209042944
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.673504886266412,0.347874663133166,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.237570259159465,-0.225653175355584,-0.218491371642057,-0.207532467532468,-0.194805194805195,-0.163703389297617,-0.162662134183873,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138943106491711,-0.137102615694165,-0.132280646183085,-0.127720125786164,-0.12677608642015,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.100805860805861,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0530141788036525,-0.0501755001755002,-0.0501755001755002,-0.049892427045453,-0.0416919890145696,-0.0208835066593687,-0.0144179894179894,-0.0144179894179894,-0.0144179894179894,0.00614567566156897,0.00788714851214851,0.0134372861732933,0.0431976367253442,0.0461970445456684,0.0477490021349671,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.112605829691912,0.127735191637631,0.177320261437909
"Destcompl",0.056663294615951,0.0254531948841994,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0516609226009516,0.0948771829663423,0.0625641025641026,0.0529267453857618,0.0534731934731935,0.00964317733548503,0.0137635756056809,0.0134126984126984,-0.11982880823179,0.0449802631010685,-0.0400955236713751,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615627546709182,-0.203149190846705,0.192012722506034,0.192012722506034,-0.23371230255266,0.215009252685094,0.00163489078863064,0.00273551971944825,0.00273551971944825,0.00273551971944825,0.0517094805953395,-0.0884241317081484,-0.203709205679571,-0.186648026055959,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0198712463622236,0.116540607071248,-0.12151139073937
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.111846180853043,0.154573013673459,0.153333333333333,0.117363422232353,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,0.101497584541063,-0.0370946197518206,0.104830917874396,0.109178743961353,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,-0.2770272187641,0.249359406027404,0.0666270310543008,0.069649370081896,0.069649370081896,0.069649370081896,0.0626921145380067,-0.170031747970862,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159763338580939,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.222941176470588,0.0866666666666667,0.0666666666666667,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0715709728867624,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.118258385093168,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.161666666666667,0.24484593837535,0.136666666666667,0.0866666666666667,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.172837396521607,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0915709728867623,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00789207888228566,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.364959479574398,0.33671420000923,0.2,0.328877005347594,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.33989417989418,0.412614379084967,0.302857142857143,0.26,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.673504886266412,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"DSH",0.230956881977051,0.258513081121777,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.134200414078675,0.0666666666666667,0.164052287581699,0.119607843137255,0.072285295891119,0.0763983808235878,0.0631908336537765,0.13107412081289,0.176609195402299,0.262283660795279,0.161666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.179099597203222,0.0866666666666667,0.239751425045543,0.222268907563025,0.192857142857143,0.156541019955654,-0.33287917108591,0.363763163790648,0.363763163790648,0.392199289723783,-0.394446504979984,0.194966248062223,0.172837396521607,0.172837396521607,0.172837396521607,-0.46509020896641,-0.109603759772008,-0.368805630849782,0.366091030600903,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00500190392573726,-0.119417679095098,-0.159738430583501
"PI3K",0.24390977443609,0.265349729635444,0.223469387755102,0.164285714285714,0.114285714285714,0.184550371872887,0.161566646860764,0.0666666666666667,0.136274509803922,0.0833333333333333,0.0721212121212121,0.0752873563218391,0.0666666666666667,0.131372549019608,0.267385620915033,0.26993006993007,0.239607843137255,0.186666666666667,0.1,0.05,0.180622408985519,0.166666666666667,0.231186055323986,0.196703296703297,0.142857142857143,0.163063063063063,-0.323174603174603,0.364021605306009,0.364021605306009,0.390259864650557,-0.391345141001892,0.188845755693582,0.161309523809524,0.161309523809524,0.161309523809524,-0.466712550607287,-0.104886824996161,-0.365001992136698,0.375001364139694,0.327994227994228,0.352254583023814,0.301010101010101,0.327994227994228,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.2,0.355690317364059,-0.2,0,0.1,0.0087104082956843,-0.116666666666667,-0.16231746031746
"ILK",0.24390977443609,0.265349729635444,0.223469387755102,0.164285714285714,0.114285714285714,0.184550371872887,0.161566646860764,0.0666666666666667,0.136274509803922,0.0833333333333333,0.0721212121212121,0.0752873563218391,0.0666666666666667,0.131372549019608,0.267385620915033,0.26993006993007,0.239607843137255,0.186666666666667,0.1,0.05,0.180622408985519,0.166666666666667,0.231186055323986,0.196703296703297,0.142857142857143,0.163063063063063,-0.323174603174603,0.364021605306009,0.364021605306009,0.390259864650557,-0.391345141001892,0.188845755693582,0.161309523809524,0.161309523809524,0.161309523809524,-0.466712550607287,-0.104886824996161,-0.365001992136698,0.375001364139694,0.327994227994228,0.352254583023814,0.301010101010101,0.327994227994228,0.301010101010101,0.255555555555556,0.255555555555556,0.2,0.2,0.355690317364059,-0.2,0,0.1,0.0087104082956843,-0.116666666666667,-0.16231746031746
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.227666911225238,0.220204504984121,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.208590163934426,0.156168831168831,0.374004753416518,0.110714285714286,0.0857142857142857,0.14,0.1,0.258543536260005,0.1,0.21041181041181,0.156565656565657,0.111111111111111,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.094077474249888,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.163763328959474,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0230780801837209,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.393614202437732,0.37146790711633,0.2,0.349019607843137,0.288235294117647,0.116169379144063,0.112087517128288,0.0934272300469483,0.365447812927988,0.36889281262983,0.448322008191805,0.326724137931034,0.275,0.301176470588235,0.26,0.401762028014479,0.2,0.41441672362725,0.376754385964912,0.332894736842105,0.323799864773496,-0.286538461538462,0.378588839941263,0.378588839941263,0.710777486540221,-0.63753975365315,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808795441395151,-0.386330686374715,-0.386587993124707,0.449540131104475,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.355166666666667
"cateninnuc",0.395098654651322,0.378610203815404,0.358173045345459,0.331736263736264,0.299428571428571,0.375402090942628,0.337806411323237,0.297101449275362,0.353842457915105,0.327260179434092,0.124481847142868,0.111715903923271,0.103393939393939,0.217547714104253,0.345354166666667,0.324843037291738,0.328166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.248185478563194,0.270833333333333,0.375258358118035,0.356621994481671,0.332203389830509,0.260300632619561,-0.301618152507832,0.382845383681511,0.382845383681511,0.463909871183732,-0.410140467636894,0.388456002309867,0.372533508628317,0.372533508628317,0.372533508628317,-0.493466543961703,-0.33757163621139,-0.390147479992581,0.182455944829082,0.255050909979439,0.269251524939579,0.238054862548609,0.254090957351827,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395647049521164,-0.233333333333333,-0.133333333333333,0.160606060606061,0.320114686093044,-0.204693683603163,-0.350101193741748
"AKT",0.266131996658312,0.288524332810047,0.265349729635444,0.223469387755102,0.164285714285714,0.215631452953968,0.181672466966585,0.0833333333333333,0.184550371872887,0.136274509803922,0.082690317812269,0.0886676380119799,0.0752873563218391,0.146456347902289,0.186534557085245,0.29161291782651,0.267385620915033,0.239607843137255,0.116666666666667,0.1,0.198517145827624,0.186666666666667,0.25347904895456,0.231186055323986,0.196703296703297,0.197153972153972,-0.358309738309738,0.39321868559798,0.39321868559798,0.417799131666263,-0.422694769057152,0.214603331451158,0.188845755693582,0.188845755693582,0.188845755693582,-0.4986139030337,-0.125737888825948,-0.395313606867576,0.394389940165438,0.351970836181362,0.375001364139694,0.327994227994228,0.352254583023814,0.327994227994228,0.301010101010101,0.301010101010101,0.255555555555556,0.255555555555556,0.384261745935488,-0.166666666666667,-0.05,0.2,0.0236370692102658,-0.131372549019608,-0.184685881370092
