"","Ecadherin","KLF4","miR200","cateninmemb","Patched","RKIP","GSK3","SUFU","TrCP","LIV1","EGR1","Csn","STAT","DSH","SOSGRB2","PAK1","NFB","FUS","cfos","SRC","Frizzled","cMet","Wnt","Csl","CDC42","SMO","ERK","IKK","Destcompl","RAF","PI3K","DELTA","CD44","GLI","RAS","AXIN2","TCFLEF","TGFR","NOTCHic","MEK","AKT","TWIST1","cateninnuc","SNAI1","TGF","SNAI2","NOTCH","FOXC2","SHH","Jagged","ILK","HEY1","SMAD","ZEB2","ZEB1"
"miR200",0.826750971263688,0.776615384615385,0.773193277310924,0.672900770870625,0.57032967032967,0.55124716553288,0.405882298345252,0.3,0.2,-0.2,-0.2,-0.3,-0.275,-0.275,-0.337085137085137,-0.4,-0.4,-0.4,-0.283333333333333,-0.341666666666667,-0.343421052631579,-0.396383647798742,-0.398138033763654,-0.388888888888889,-0.487878787878788,-0.485714285714286,-0.376666666666667,-0.488888888888889,-0.410105619035727,-0.406259426847662,-0.406259426847662,-0.406259426847662,-0.44407595549105,-0.446622882248503,-0.454558746575553,-0.468037773356973,-0.48558013376403,-0.563187429854097,-0.466666666666667,-0.443676975945017,-0.565160075329567,-0.585631940557597,-0.522081213677637,-0.606067382230173,-0.627789199765601,-0.539839540770044,-0.532738095238095,-0.637049412642178,-0.643956043956044,-0.587361382909328,-0.7,-0.7,-0.788429752066116,-0.870196575776791,-0.870196575776791
"TrCP",0.825891723893341,0.777345537757437,0.873382461311717,0.671746591426006,0.565473684210526,0.638602381252892,0.404353182824503,0.3,0.2,-0.2,-0.35,-0.3,-0.28,-0.28,-0.299111305361305,-0.5,-0.381818181818182,-0.4,-0.43,-0.34,-0.34,-0.392238805970149,-0.392941176470588,-0.380952380952381,-0.590697674418605,-0.489473684210526,-0.509166666666667,-0.473818181818182,-0.410954721732511,-0.380554054054054,-0.380554054054054,-0.380554054054054,-0.439724839489702,-0.44100747481313,-0.428402155319877,-0.467293423087816,-0.481496991388436,-0.664529450119539,-0.456952380952381,-0.580820209973753,-0.547151515151515,-0.58339816651755,-0.517751971468118,-0.703578780398692,-0.726145611735701,-0.641139985823352,-0.520332662642522,-0.73618031416519,-0.640276833816825,-0.578751299851044,-0.692,-0.692857142857143,-0.781403973509934,-0.86954156954157,-0.86954156954157
"SUFU",0.572853675512435,0.572783201138906,0.66269230385759,0.49360165537437,0.562037037037037,0.522596153846154,0.389916426007035,0.35,0.2,-0.15,-0.366666666666667,-0.266666666666667,-0.196666666666667,-0.3,-0.312027243987619,-0.51010101010101,-0.338095238095238,-0.433333333333333,-0.410416666666667,-0.241111111111111,-0.344444444444444,-0.277744774477448,-0.381699346405229,-0.381111111111111,-0.563724198506807,-0.503703703703704,-0.456758130081301,-0.396234772978959,-0.355975810015244,-0.416511186525892,-0.416511186525892,-0.416511186525892,-0.309018905751579,-0.413500112688754,-0.445501414538922,-0.440545010126902,-0.336522431844668,-0.615448336437842,-0.433009845288326,-0.497667220990392,-0.443342210995488,-0.402704809235708,-0.361161662202765,-0.544283264668154,-0.658428897992917,-0.537553006920936,-0.475352187630669,-0.579922634472138,-0.612037037037037,-0.425026412869043,-0.53733850129199,-0.535315040650406,-0.594249070397681,-0.656799956180986,-0.656799956180986
"GSK3",0.557023264136432,0.437373737373737,0.486150405466371,0.455795787079636,0.377445302445302,0.280447827748758,0.043262482797679,0.275,0.15,-0.25,-0.140277777777778,-0.219230769230769,-0.286842105263158,-0.286842105263158,-0.194285714285714,-0.255897435897436,-0.255230769230769,-0.303571428571429,-0.192277777777778,-0.312768031189084,-0.312768031189084,-0.339156920077973,-0.339664582913222,-0.298268398268398,-0.300578286961266,-0.336904761904762,-0.227277777777778,-0.288564102564103,-0.0246292804464648,-0.206980569939413,-0.206980569939413,-0.206980569939413,-0.364726540331137,-0.365795236179553,-0.231149084351829,-0.399389510548588,-0.386673105216633,-0.328356064739043,-0.328268398268398,-0.257277777777778,-0.324119658119658,-0.354351817205402,-0.40460536903125,-0.27390917869541,-0.356696740216283,-0.438550263512064,-0.35974987974988,-0.337905437163558,-0.418621773033538,-0.380324647633816,-0.407042969743199,-0.414116994116994,-0.449739598956682,-0.483816993668902,-0.483816993668902
"Patched",0.414735894357743,0.375,0.476,0.359068100358423,0.35,0.353846153846154,0.30838023764853,0.2,0,-0.1,-0.1,0,-0.1,-0.2,-0.25,-0.3,-0.1,-0.3,-0.2,-0.1,-0.2,-0.15,-0.25,-0.2,-0.4,-0.4,-0.3,-0.2,-0.298261738261738,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.196666666666667,-0.3,-0.347596153846154,-0.321645021645022,-0.241111111111111,-0.455555555555556,-0.26,-0.366666666666667,-0.266666666666667,-0.267582417582418,-0.277744774477448,-0.408417508417508,-0.51010101010101,-0.418631044837941,-0.32,-0.426984126984127,-0.433333333333333,-0.281884057971014,-0.3,-0.3,-0.4,-0.472727272727273,-0.472727272727273
"RKIP",0.578471563412712,0.368888888888889,0.43289451987028,0.488662277672913,0.328947368421053,0.279047619047619,0.172723894463025,0.1,0.1,0,-0.17,-0.1,-0.1,-0.1,-0.0732229123533471,-0.2,-0.12,-0.15,-0.17,-0.2,-0.2,-0.268421052631579,-0.27,-0.142857142857143,-0.238461538461538,-0.25,-0.195925925925926,-0.173846153846154,-0.0237739345575387,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.318421052631579,-0.32,-0.0970609824957651,-0.337271448663854,-0.355111700113593,-0.306029106029106,-0.211278195488722,-0.245925925925926,-0.244216524216524,-0.412484742807323,-0.386676686850994,-0.304334050693448,-0.371335228478086,-0.631545988258317,-0.280843412880026,-0.352665613955936,-0.381328320802005,-0.381362612612613,-0.355594405594406,-0.346363636363636,-0.40276421691516,-0.427509578544061,-0.427509578544061
"Ecadherin",0.613747774297595,0.316593083149375,0.416736934563022,0.623189982532088,0.39625730994152,0.381432281064919,0.366004301745499,0.233333333333333,0.2,-0.266666666666667,-0.281818181818182,-0.26,-0.296078431372549,-0.296078431372549,-0.29738936535163,-0.307636363636364,-0.317894736842105,-0.293333333333333,-0.328877005347594,-0.326310989512084,-0.326310989512084,-0.353267511251214,-0.353897196408636,-0.34989898989899,-0.344622665006227,-0.348888888888889,-0.367824373768646,-0.368915145005371,-0.353763680652224,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.376344434328137,-0.377230529741969,-0.422185951303598,-0.427956280172798,-0.396244309171692,-0.381996402379964,-0.391203337725077,-0.400624373768646,-0.40906113040683,-0.448005070428833,-0.414057692772069,-0.390765614102485,-0.414953087879022,-0.491214992884276,-0.425330321852061,-0.435466805373324,-0.435560792528585,-0.419614855758724,-0.324991087344029,-0.322587719298246,-0.369435531788473,-0.408808271479961,-0.408808271479961
"cateninmemb",0.614825773859846,0.316593083149375,0.416736934563022,0.527281712333442,0.39625730994152,0.381432281064919,0.366004301745499,0.233333333333333,0.2,-0.266666666666667,-0.281818181818182,-0.26,-0.296078431372549,-0.296078431372549,-0.29738936535163,-0.307636363636364,-0.317894736842105,-0.293333333333333,-0.328877005347594,-0.326310989512084,-0.326310989512084,-0.353267511251214,-0.353897196408636,-0.34989898989899,-0.344622665006227,-0.348888888888889,-0.367824373768646,-0.368915145005371,-0.353763680652224,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.376344434328137,-0.377230529741969,-0.422185951303598,-0.427956280172798,-0.396244309171692,-0.381996402379964,-0.391203337725077,-0.400624373768646,-0.40906113040683,-0.448005070428833,-0.414057692772069,-0.390765614102485,-0.414953087879022,-0.491214992884276,-0.425330321852061,-0.435466805373324,-0.435560792528585,-0.419614855758724,-0.324991087344029,-0.322587719298246,-0.369435531788473,-0.408808271479961,-0.408808271479961
"KLF4",0.678574668427048,0.272222222222222,0.374444444444444,0.593709463051568,0.348888888888889,0.344632281064919,0.348801194087342,0.2,0.1,-0.233333333333333,-0.2,-0.2,-0.266666666666667,-0.266666666666667,-0.28138936535163,-0.263636363636364,-0.26,-0.233333333333333,-0.281818181818182,-0.296078431372549,-0.296078431372549,-0.326310989512084,-0.326310989512084,-0.305454545454545,-0.307636363636364,-0.293333333333333,-0.328877005347594,-0.317894736842105,-0.341987979717644,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.353267511251214,-0.353897196408636,-0.400897435897436,-0.40259545543053,-0.376344434328137,-0.344622665006227,-0.34989898989899,-0.367824373768646,-0.368915145005371,-0.419543531967295,-0.396244309171692,-0.361476186026228,-0.381996402379964,-0.465396811066094,-0.391203337725077,-0.401008974048023,-0.39625730994152,-0.38940652242539,-0.26969696969697,-0.268421052631579,-0.324991087344029,-0.367394130065819,-0.367394130065819
"Destcompl",0.039298427025451,-0.222369407775458,-0.224438983241307,0.207553624284486,0.0464033869694247,-0.141352837232964,-0.0918193150443985,0.0571428571428571,-0.08,-0.188888888888889,0.0653333333333333,0.08,-0.181746031746032,-0.181746031746032,-0.0561105561105561,0.0308270676691729,0.0825641025641026,-0.038961038961039,0.0590833333333333,-0.180376168732333,-0.180376168732333,-0.181883706420775,-0.182376168732333,-0.0352049277422412,0.0396505970809376,-0.0408478314138691,0.0596547619047619,0.0783087834151664,-0.0184385228419824,0.00454811707575157,0.00454811707575157,0.00454811707575157,-0.182452966382825,-0.182943276482806,0.00454811707575157,-0.2367428003735,-0.181890378478465,0.0416224280668531,-0.0370013349278699,0.0592103174603174,0.0734700737377471,-0.0275971171926046,-0.181389455726026,0.115570696613387,0.0390692365774914,-0.22898992208232,-0.0403570396258565,0.0726481800949886,-0.0479823343378458,-0.141664019064923,0.197289755627784,0.192716773276475,0.199937413468924,0.2131286606726,0.2131286606726
