"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.347101664837685,-0.28,-0.389064112011791,-0.336521739130435,-0.0975357909280654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.0947619047619047,-0.0925641025641026,-0.091025641025641,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.380240400175838,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.336759199134199,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384679021204463,0.159543721909313,0.354596839624464
"SUFU",-0.502366642198034,-0.597485343205474,-0.565335441824804,-0.52490990990991,-0.481666666666667,-0.46393708516966,-0.412624001636082,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.143300771168765,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.34818434451139,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287433395308792,-0.192857142857143,-0.0314646464646465,-0.0259090909090909,-0.0190909090909091,-0.298969451601031,0.502747237764907,-0.561792950185335,-0.561792950185335,-0.523974627969675,0.470709917295516,-0.438560246231806,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.524698017412381,0.379948491516398,0.573485749490536,-0.346485411305517,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352193363928839,0.349419191919192,0.420797391121397
"DELTA",-0.312857142857143,-0.331555555555555,-0.255555555555556,-0.2,-0.2,-0.286666666666667,-0.258333333333333,-0.1,-0.22,-0.2,-0.166666666666667,-0.0714285714285714,-0.0666666666666667,-0.121794871794872,-0.0888888888888889,-0.293,-0.0333333333333333,0,-0.0333333333333333,0,-0.166493506493506,0,-0.188571428571429,-0.16,-0.1,-0.12,0.405555555555556,-0.46207729468599,-0.46207729468599,-0.43868778280543,0.431991951710262,-0.252727272727273,-0.18,-0.18,-0.18,0.513017543859649,0.23639846743295,0.472121212121212,-0.350949050949051,-0.269230769230769,-0.314685314685315,-0.2,-0.269230769230769,-0.2,-0.1,-0.1,0,0,-0.28,0,0,0,-0.300540540540541,0.0833333333333333,0.235897435897436
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.00909090909090909,0,0,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.416638732290775,-0.400344283482289,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39437124428028,-0.353901142882662,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.105020585415374,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.436401212253989,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.0780910937451006,-0.0740018744142455,-0.0709090909090909,-0.295863049562156,0.30337552742616,-0.385900596207553,-0.385900596207553,-0.489842726426676,0.620341968329773,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.604037828400779,0.364662501557927,0.39521574432189,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.355472635087402
"cateninmemb",-0.416638732290775,-0.400344283482289,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39437124428028,-0.353901142882662,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.105020585415374,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.436401212253989,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.0780910937451006,-0.0740018744142455,-0.0709090909090909,-0.295863049562156,0.30337552742616,-0.385900596207553,-0.385900596207553,-0.489842726426676,0.524433527272179,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.605112910314035,0.364662501557927,0.39521574432189,-0.412173660165421,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.355472635087402
"GSK3",-0.241656947703459,-0.27093474570675,-0.253242438014442,-0.23407867494824,-0.198840579710145,-0.210895405477449,-0.143450174137737,-0.119607843137255,-0.188168132750176,-0.160348583877996,-0.0686513416836537,-0.08448924105385,-0.0756436638424557,-0.146385125597579,-0.191993810786914,-0.276595513842336,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.195595947568186,-0.136666666666667,0.00445211651094004,0.00678977884860238,0.00469187675070028,-0.166660135100294,0.348312923331342,-0.37736414586317,-0.37736414586317,-0.410628300709448,0.413661053208788,-0.214906402601729,-0.195578671509292,-0.195578671509292,-0.195578671509292,0.482905673560969,0.0245068693984401,0.382643034493131,-0.377545512351849,-0.347871737241736,-0.364321828141323,-0.328532114600226,-0.347848097063852,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385438580562481,0.0866666666666667,0.0954545454545455,-0.25,-0.0146677628317324,0.13107412081289,0.172673203988993
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.175990675990676,-0.160606060606061,-0.133333333333333,-0.0613968253968254,0.332663797226208,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102165057165057,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0117514124293785,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.0382989618991957,-0.0377339901477833,-0.0377339901477833,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.38894994510542,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.332698611237092,-0.2,-0.328877005347594,-0.281818181818182,-0.0922689075630252,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.411633986928105,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.0740018744142455,-0.0709090909090909,-0.0709090909090909,-0.28138936535163,0.266666666666667,-0.353199174406605,-0.353199174406605,-0.4649781869926,0.592777865765671,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.672976484681208,0.348106210167198,0.361509971509972,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.326633683776541
