"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.438259488824967,-0.458872371601398,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.347101664837685,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.181543721909313,-0.187305068226121,-0.392162431771127,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.231588488411725,-0.0833333333333333,-0.243919413919414,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.601332188733215,-0.601332188733215,0.560786136273963,-0.510852777454459,-0.377657251617079,-0.34356634252617,-0.34356634252617,-0.34356634252617,0.63701051461105,0.334626623376623,0.613088570299678,-0.443909941351389,-0.393090381781011,-0.421013389627251,-0.362358674463938,-0.393976352590214,-0.363283283283283,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.429248071382099,0.0333333333333333,0.0761904761904762,-0.2,-0.381191100157032,0.159543721909313,0.354596839624464
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.464788148999448,-0.41662978124856,-0.353846153846154,-0.431171127722852,-0.393240093240093,-0.158132769971429,-0.155646065920967,-0.145253456221198,-0.369882512382512,-0.297647024116823,-0.349231464930238,-0.271472527472527,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.28695833592637,-0.192857142857143,-0.391789321789322,-0.362424242424242,-0.323787878787879,-0.298969451601031,0.503944842555326,-0.563986127625245,-0.563986127625245,0.466748603466529,-0.491495112790524,-0.438243790535604,-0.412610879143199,-0.412610879143199,-0.412610879143199,0.517079640304059,0.379691422107658,0.575591090136125,-0.343623557181717,-0.406197375528231,-0.324441971503967,-0.379059829059829,-0.302159362808315,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435508347593289,0.15,0.253333333333333,-0.15,-0.35136976101534,0.349419191919192,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.240740740740741,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,0.354623655913978,-0.401716475095785,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.395064724919094,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,0.619352510632998,-0.473892215347896,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.601377413652075,0.364662501557927,0.39776370329443,-0.411457740754901,-0.377230529741969,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353544363687822,0.324798387096774,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.358866098743407,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.368465608465608,-0.438126483368021,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.295863049562156,0.30464135021097,-0.388638186629104,-0.388638186629104,0.523443872142172,-0.473892215347896,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,0.602450808627041,0.364662501557927,0.39776370329443,-0.411457740754901,-0.377230529741969,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353544363687822,0.324798387096774,0.359011578754757
"GSK3",-0.247422948328701,-0.275208418304919,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.151829649959074,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.145906656698057,-0.191993810786914,-0.278955690375423,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.193753589168367,-0.136666666666667,-0.256115061409179,-0.239751425045543,-0.222268907563025,-0.169099159490538,0.355779934444689,-0.385306971058471,-0.385306971058471,0.40826498692047,-0.366250588003724,-0.213155702321617,-0.194458223330021,-0.194458223330021,-0.194458223330021,0.474807756934538,0.0230796270992558,0.390483087404078,-0.373878335303267,-0.344313961930353,-0.360720440566425,-0.325917735515259,-0.344246709488954,-0.326151471393716,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.382533160837224,0.0866666666666667,0.0954545454545455,-0.25,-0.0125616067330952,0.13107412081289,0.180109189056557
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102694157694158,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,0.406960753020097,-0.31291734810258,-0.284002317207364,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440074037349581,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.412614379084967,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,0.592429433709922,-0.45276036706373,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.671192408783525,0.348106210167198,0.362568172568173,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"RKIP",-0.235411140583554,-0.241352914997775,-0.212380952380952,-0.193333333333333,-0.2,-0.195238444607483,-0.163774251404328,-0.17,-0.180344827586207,-0.17,-0.159581881533101,-0.152764714854027,-0.153754813863928,-0.162754098360656,-0.125487012987013,-0.238606654783125,-0.0982142857142857,-0.0857142857142857,-0.12,-0.1,-0.178429945832323,-0.1,-0.137839937839938,-0.107070707070707,-0.0888888888888889,-0.00717460317460318,0.322907699665232,-0.348907699665232,-0.348907699665232,0.0754626895803366,0.193405607040858,0.0227883227883228,0.0441558441558442,0.0441558441558442,0.0441558441558442,0.13410250201658,0.0584712371946414,0.359452292624737,-0.133311793335899,-0.104102564102564,-0.119825788246841,-0.0733333333333333,-0.100944669365722,-0.0701754385964912,-0.0333333333333333,-0.0333333333333333,0,0,-0.0899789029535865,0.1,0.1,0,0.130149620823939,0.148,0.189775910364146
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.16387755248478,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.126914817516823,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111763097690123,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0444957208632453,-0.0307365041380211,-0.0219504157512723,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00148075373692352,0.0115080833122748,0.0144245742824161,0.0450568785742989,0.047114475738329,0.0492127227301431,0.0517016317016317,0.0541423001949318,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0868998591253784,0.1,0.1,0.1,0.114185201289304,0.127735191637631,0.178599033816425
