"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","DSH","SOSGRB2","Frizzled","KLF4","Wnt","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43894914399738,-0.459965267776261,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.347578991806659,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.182543721909313,-0.187305068226121,-0.394764539808018,-0.157675438596491,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.234377982276755,-0.0833333333333333,-0.245018315018315,-0.212051282051282,-0.17051282051282,0.28,-0.225728822882288,0.328148148148148,0.55255945875618,0.364990253411306,-0.601332188733215,-0.601332188733215,-0.571153759850055,0.570888002215292,-0.379785854721292,-0.344785854721292,-0.344785854721292,-0.344785854721292,0.652517701354814,0.334262987012987,0.613088570299678,-0.451177771831237,-0.397673180240574,-0.427177771831237,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.384829397144313,0.159543721909313,0.354596839624464
"SUFU",-0.491226711640915,-0.587907614274226,-0.555363235576002,-0.513873873873874,-0.473333333333333,-0.451815873048448,-0.399884364300643,-0.353846153846154,-0.41904991560164,-0.381118881118881,-0.156927950694321,-0.152970062047019,-0.143963133640553,-0.368338110838111,-0.289647024116823,-0.340776937103983,-0.263472527472527,-0.228857142857143,-0.324166666666667,-0.290833333333333,-0.284803397884416,-0.192857142857143,-0.385995670995671,-0.357424242424242,-0.318787878787879,0.3,-0.296521899153478,0.344444444444444,0.489937611116565,0.377136752136752,-0.549325884265936,-0.549325884265936,-0.519183369637234,0.465541715849558,-0.421909808062381,-0.397226263758583,-0.397226263758583,-0.397226263758583,0.518451478403462,0.346088523573627,0.560289502198538,-0.340965096150062,-0.403530804181362,-0.321476605101469,-0.299465735536252,-0.273149946062567,-0.241111111111111,-0.196666666666667,-0.433329343418561,0.15,0.253333333333333,-0.15,-0.358378928055241,0.349419191919192,0.408573532505786
"Patched",-0.38,-0.473333333333333,-0.44,-0.4,-0.3,-0.353846153846154,-0.308602150537634,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.233333333333333,-0.15,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,0.2,-0.25,0.2,0.355555555555556,0.25,-0.425,-0.425,-0.416613026819923,0.354623655913978,-0.332211538461538,-0.288461538461538,-0.288461538461538,-0.288461538461538,0.395064724919094,0.271794871794872,0.433333333333333,-0.273149946062567,-0.3,-0.241111111111111,-0.196666666666667,-0.15,-0.1,-0.1,-0.321645021645022,0,0.2,-0.1,-0.306173826173826,0.253333333333333,0.288571428571429
"Ecadherin",-0.417096398194665,-0.400705947135092,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39358693055479,-0.355708879069982,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.367166907166907,-0.436773651732574,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.403454815742806,-0.376317269274404,-0.342296650717703,0.296078431372549,-0.295863049562156,0.326310989512084,0.30337552742616,0.353897196408636,-0.386374529856842,-0.386374529856842,-0.489722317034744,0.620341968329773,-0.419188785527103,-0.398239064856712,-0.398239064856712,-0.398239064856712,0.604594142143722,0.359112113961027,0.395588183800474,-0.411831223481325,-0.377230529741969,-0.395397983518673,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354867670954877,0.324798387096774,0.356221698757814
"cateninmemb",-0.417096398194665,-0.400705947135092,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.39358693055479,-0.355708879069982,-0.281818181818182,-0.364959479574398,-0.328877005347594,-0.128084864208038,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.367166907166907,-0.436773651732574,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.403454815742806,-0.376317269274404,-0.342296650717703,0.296078431372549,-0.295863049562156,0.326310989512084,0.30337552742616,0.353897196408636,-0.386374529856842,-0.386374529856842,-0.489722317034744,0.524433527272179,-0.419188785527103,-0.398239064856712,-0.398239064856712,-0.398239064856712,0.605669017793019,0.359112113961027,0.395588183800474,-0.411831223481325,-0.377230529741969,-0.395397983518673,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354867670954877,0.324798387096774,0.356221698757814
"GSK3",-0.247741927595049,-0.27597764907415,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.214599109181153,-0.151692907698974,-0.119607843137255,-0.19187183645388,-0.164052287581699,-0.0885482716696657,-0.0858436581849071,-0.0763983808235878,-0.1468635944971,-0.191993810786914,-0.281142375930403,-0.176609195402299,-0.161666666666667,-0.119417679095098,-0.10974025974026,-0.196471859976945,-0.136666666666667,-0.25715402244814,-0.239751425045543,-0.222268907563025,0.286842105263158,-0.169099159490538,0.308270676691729,0.355779934444689,0.328532114600226,-0.385009794238263,-0.385009794238263,-0.41264795236399,0.416904506748331,-0.214556262545707,-0.195018447419657,-0.195018447419657,-0.195018447419657,0.487906651081732,0.0223666739403792,0.390248620815567,-0.379783102096469,-0.348815133468151,-0.366164681043837,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0159447553218308,0.13107412081289,0.179607935923725
"RKIP",-0.296006483937518,-0.320890075656431,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.22073762506942,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.208590163934426,-0.156168831168831,-0.374004753416518,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,-0.111111111111111,0.1,-0.0613968253968254,0.2,0.332663797226208,0.27,-0.372663797226208,-0.372663797226208,-0.624385964912281,0.474936280818634,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.543314330360812,0.164381402679275,0.380952950808151,-0.377496836898203,-0.32,-0.351288185498712,-0.318421052631579,-0.268421052631579,-0.2,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.184,0.226050420168067
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.102165057165057,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.228397471649005,-0.0557894736842105,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.24,-0.114294003868472,0.268,0.34836093857833,0.28912676056338,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.283503564090157,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.224608695273174,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.309539071261964,-0.291561543172076,-0.270434782608696,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315668722041887,0.0572257383966245,0.0821827674271767
"KLF4",-0.38894994510542,-0.372677014042868,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.333556980335805,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.411633986928105,-0.302857142857143,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.266666666666667,-0.28138936535163,0.296078431372549,0.266666666666667,0.326310989512084,-0.353199174406605,-0.353199174406605,-0.4649781869926,0.592777865765671,-0.398239064856712,-0.373974358974359,-0.373974358974359,-0.373974358974359,0.67324068547381,0.342555822570299,0.361509971509972,-0.395397983518673,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.343124893694859,0.297916666666667,0.326633683776541
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.164324979777844,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.132280646183085,-0.12863707165109,-0.127432952231849,-0.125833333333333,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0727272727272727,-0.0689194139194139,-0.0593939393939394,-0.0523565158559132,-0.0517016317016317,-0.0511363304682179,-0.0511363304682179,-0.0500526944936086,-0.0415318495285875,-0.0228069468005228,-0.0161688311688312,-0.0161688311688312,-0.0161688311688312,0.00647944165395331,0.0128485313312473,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0532163742690058,0.0587719298245614,0.0666666666666667,0.08,0.0863063873152894,0.1,0.1,0.1,0.113506355467632,0.127735191637631,0.178599033816425
