"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","SMO","IKK","NFB","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.43872482709009,-0.459788607846625,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.347245074074207,-0.435836023675007,-0.27,-0.384447134786118,-0.331904761904762,-0.0992697681010241,-0.107592181982426,-0.0926571170473609,-0.182156787235946,-0.394396281314314,-0.186658955080008,-0.138556067588326,-0.155889724310777,-0.119047619047619,-0.10952380952381,-0.234149572649573,-0.0761904761904762,-0.247216023676698,-0.213508158508158,-0.171969696969697,-0.230833333333333,0.55255945875618,-0.601141337161801,-0.601141337161801,-0.571016581322399,0.570888002215292,-0.407633022286221,-0.37396718687475,-0.37396718687475,-0.37396718687475,0.652436363695621,0.336242910251336,0.612938740150235,-0.451125321865744,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.385145893350228,0.159543721909313,0.353661218486966
"SUFU",-0.50450709248675,-0.59920559572271,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.415641705500676,-0.457635030672641,-0.35,-0.422833268558103,-0.385483870967742,-0.157074879874456,-0.154652122819176,-0.144675324675325,-0.369574230678882,-0.349348431483781,-0.283069828722003,-0.324166666666667,-0.255797101449275,-0.222463768115942,-0.290833333333333,-0.287246764837126,-0.183333333333333,-0.383615135399474,-0.353533834586466,-0.315438596491228,-0.30307292009749,0.503944842555326,-0.563832895121239,-0.563832895121239,-0.52385188868382,0.47098276859156,-0.417372281933761,-0.391202437912964,-0.391202437912964,-0.391202437912964,0.525695600041284,0.378292379831634,0.57547686613247,-0.346649282648189,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352610982743222,0.349419191919192,0.422192542306179
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.325268817204301,-0.35,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.240740740740741,-0.183333333333333,-0.333333333333333,-0.15,-0.1,-0.3,-0.203597883597884,0,-0.273333333333333,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.321645021645022,-0.278787878787879,-0.278787878787879,-0.278787878787879,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.3587427261582,-0.390869936334662,-0.281818181818182,-0.361315280464217,-0.327272727272727,-0.128084864208038,-0.114868158153933,-0.105159420289855,-0.345270828041656,-0.438126483368021,-0.360730593607306,-0.297916666666667,-0.333333333333333,-0.3,-0.266666666666667,-0.374562670817701,-0.26,-0.399707639340802,-0.372504574206702,-0.340589680589681,-0.2966211534311,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489917946028745,0.620598378586183,-0.412407293914545,-0.390957142857143,-0.390957142857143,-0.390957142857143,0.605247826870112,0.364060915904784,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.358749688072996
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.3587427261582,-0.390869936334662,-0.281818181818182,-0.361315280464217,-0.327272727272727,-0.128084864208038,-0.114868158153933,-0.105159420289855,-0.345270828041656,-0.438126483368021,-0.360730593607306,-0.297916666666667,-0.333333333333333,-0.3,-0.266666666666667,-0.374562670817701,-0.26,-0.399707639340802,-0.372504574206702,-0.340589680589681,-0.2966211534311,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.489917946028745,0.524689773268335,-0.412407293914545,-0.390957142857143,-0.390957142857143,-0.390957142857143,0.606322543684083,0.364060915904784,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353689611419276,0.324798387096774,0.358749688072996
"GSK3",-0.247927913908494,-0.276128072035869,-0.258798161894662,-0.240331262939959,-0.203188405797101,-0.152367526305848,-0.216644413625749,-0.116666666666667,-0.193930549318964,-0.165686274509804,-0.0879647383998298,-0.0857081757494318,-0.0760696215325644,-0.146661650788909,-0.281190042017954,-0.19446014001704,-0.119417679095098,-0.179661933739013,-0.164367816091954,-0.10974025974026,-0.196351059191526,-0.133333333333333,-0.258859359066139,-0.241747059600899,-0.224016563146998,-0.170401075746988,0.355779934444689,-0.38518978079455,-0.38518978079455,-0.41259456461671,0.416904506748331,-0.224825418383194,-0.205656827159176,-0.205656827159176,-0.205656827159176,0.487921644634613,0.0249219235212094,0.390390896902727,-0.379820488875361,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0157049097179957,0.13107412081289,0.179738430583501
"RKIP",-0.309086035915304,-0.332003825920612,-0.271219512195122,-0.22,-0.2,-0.239072543617998,-0.284186046511628,-0.22,-0.24,-0.22,-0.172614462986735,-0.16380266075388,-0.160772357723577,-0.214590163934426,-0.386571207430341,-0.266009852216749,-0.14,-0.214285714285714,-0.185714285714286,-0.1,-0.262526466558725,-0.2,-0.319444444444444,-0.261111111111111,-0.211111111111111,-0.0471111111111111,0.336078431372549,-0.381911764705882,-0.381911764705882,-0.632035188672357,0.476359952597576,-0.227612574341546,-0.181818181818182,-0.181818181818182,-0.181818181818182,0.548768985653671,0.199622641509434,0.38918178595598,-0.379730296268206,-0.32,-0.352223869532987,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.2,0.1,0,-0.020738651712103,0.19,0.249707357859532
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.102694157694158,-0.107733065057009,-0.0142857142857143,-0.0823809523809524,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.228397471649005,-0.0738332780646486,-0.0458333333333333,-0.0570015948963317,-0.0357894736842105,-0.0325,-0.113281131623112,-0.02,-0.130599725054416,-0.111995073891626,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.290179611990435,-0.27115787286,-0.27115787286,-0.27115787286,0.440221966343664,0.226616511665124,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.33671420000923,-0.361315280464217,-0.2,-0.327272727272727,-0.281818181818182,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.412614379084967,-0.333333333333333,-0.266666666666667,-0.3,-0.26,-0.233333333333333,-0.354196538094589,-0.2,-0.372504574206702,-0.340589680589681,-0.305454545454545,-0.28138936535163,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.390957142857143,-0.365357142857143,-0.365357142857143,-0.365357142857143,0.673504886266412,0.347874663133166,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.163664874040542,-0.159872325741891,-0.158333333333333,-0.150555555555556,-0.147222222222222,-0.146407624633431,-0.138631667681933,-0.137102615694165,-0.132280646183085,-0.127432952231849,-0.12394951301928,-0.122857142857143,-0.120103359173127,-0.117777777777778,-0.114285714285714,-0.112321756908,-0.111111111111111,-0.0987638449830231,-0.0932082894274675,-0.0863589743589744,-0.0700023116042534,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0499726297314276,-0.0415318495285875,-0.00685095976422885,-0.000747673379252325,-0.000747673379252325,-0.000747673379252325,0.00647944165395331,0.011231123981124,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113289257826869,0.127735191637631,0.17806520389712
"Destcompl",0.0567905372676879,0.0255550205563169,0.0288062520834105,0.0272273047149894,0.0210204081632653,0.0951153747887698,0.0538906835917705,0.0625641025641026,0.0543254662004662,0.0531891025641026,0.00964317733548503,0.0137643982954651,0.0134126984126984,-0.11982880823179,-0.039990931865969,0.048859825620389,-0.111877394636015,0.0523809523809524,0.0523809523809524,-0.111877394636015,-0.185626117497308,0.0523809523809524,-0.0574311933962543,-0.0543384098910996,-0.0549033816425121,-0.0615227986225714,-0.203149190846705,0.192133863412772,0.192133863412772,-0.233713381349405,0.215009252685094,0.00745858513387971,0.00925499231950845,0.00925499231950845,0.00925499231950845,0.051683222366388,-0.0888834647864658,-0.203803589903581,-0.186622379297913,-0.185758339602481,-0.186061441001126,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199684390055427,0.116540607071248,-0.121699941971659
"AXIN2",0.110540380774573,0.0645281966741413,0.0638681306675407,0.0647530864197531,0.0783333333333333,0.1547184519461,0.112470065015851,0.153333333333333,0.117096399535424,0.131382113821138,0.0187481889307447,0.0181159420289855,0.0220841959972395,-0.153439770611902,-0.0370946197518206,0.102946746056142,-0.152930402930403,0.104701132021054,0.109178743961353,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0526929296634046,-0.0523444976076555,-0.0505263157894737,-0.0772774023545412,-0.252988588338008,0.245175501457021,0.245175501457021,-0.2770272187641,0.249359406027404,0.0716222910216718,0.0736222910216718,0.0736222910216718,0.0736222910216718,0.0626921145380067,-0.170416732975176,-0.2593606087525,-0.239908935293043,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178657587931781
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.104658385093168,0.116666666666667,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.222941176470588,0.133333333333333,0.05,0.0866666666666667,0.0666666666666667,0,0.153259803921569,0.1,0.190683229813665,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.1625,0.129166666666667,0.129166666666667,0.129166666666667,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.118944099378882,0.165686274509804,0.0666666666666667,0.116666666666667,0.0666666666666667,0.0635133660665576,0.0631908336537765,0.0566487775790101,0.119417679095098,0.24484593837535,0.164367816091954,0.0954545454545455,0.133333333333333,0.0866666666666667,0.05,0.16437091503268,0.0666666666666667,0.224016563146998,0.190683229813665,0.142857142857143,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.184913793103448,0.1625,0.1625,0.1625,-0.437673688755514,-0.0924745775670923,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.361315280464217,0.2,0.327272727272727,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.412614379084967,0.333333333333333,0.266666666666667,0.3,0.26,0.233333333333333,0.354196538094589,0.2,0.372504574206702,0.340589680589681,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.390957142857143,0.365357142857143,0.365357142857143,0.365357142857143,-0.673504886266412,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
"FOXC2",0.390184513006655,0.373652623798965,0.340969696969697,0.307636363636364,0.263636363636364,0.33671420000923,0.361315280464217,0.2,0.327272727272727,0.281818181818182,0.111306340718105,0.105159420289855,0.0906666666666667,0.324798387096774,0.412614379084967,0.333333333333333,0.266666666666667,0.3,0.26,0.233333333333333,0.354196538094589,0.2,0.372504574206702,0.340589680589681,0.305454545454545,0.28138936535163,-0.266666666666667,0.354514963880289,0.354514963880289,0.4649781869926,-0.592777865765671,0.390957142857143,0.365357142857143,0.365357142857143,0.365357142857143,-0.673504886266412,-0.347874663133166,-0.362568172568173,0.395647049521164,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.328674500103071
