"","cateninmemb","EGR1","SNAI1","cfos","HEY1","ERK","MEK","Ecadherin","SMAD","ILK","NFB","Csn","IKK","SMO","FUS","AKT","SHH","Csl","Jagged","NOTCHic","NOTCH","KLF4","ZEB2","ZEB1","GSK3","miR200","FOXC2","CDC42","PAK1","TGFR","TGF","RAF","PI3K","DELTA","RAS","SOSGRB2","DSH","Frizzled","TrCP","SUFU","STAT","LIV1","Wnt","Patched","GLI","SRC","cMet","CD44","TCFLEF","cateninnuc","TWIST1","AXIN2","RKIP","Destcompl","SNAI2"
"SUFU",0.366107258267427,-0.338461538461538,-0.386708288605968,-0.377855477855478,-0.133336595306213,-0.404292259464673,-0.429398642443397,0.365471079626667,-0.125525968812119,-0.11836661546339,-0.228857142857143,-0.192857142857143,-0.25578021978022,-0.306111111111111,-0.278333333333333,-0.273901025149347,-0.33477613977614,-0.313787878787879,-0.244189731061637,-0.341060606060606,-0.360901875901876,0.49587573486906,-0.548925036632493,-0.548925036632493,0.352709035983139,0.561789246914769,-0.268464893516413,-0.382657657657658,-0.358333333333333,-0.40180659382787,-0.415021583965938,-0.380328204216825,-0.380328204216825,-0.380328204216825,-0.397100356115559,-0.206238498343762,-0.2875,-0.315277777777778,0.15,0.253333333333333,-0.183333333333333,-0.15,-0.338354700854701,0.321262626262626,-0.355826819813809,-0.211111111111111,-0.23344120819849,-0.250734441281197,-0.265408354324675,-0.277940323634138,0.0457889286706688,-0.389429141082003,0.402525656310634,-0.317187005374517,-0.35787191631622
"TrCP",0.309028444569802,-0.24,-0.241200520877268,-0.270434782608696,-0.0548718287914866,-0.295858511422255,-0.315858511422255,0.324954554016408,-0.0537344256699095,-0.0498634579279741,-0.0708333333333333,-0.0583333333333333,-0.0866228070175439,-0.073963133640553,-0.0642857142857143,-0.0995857699805068,-0.095605108949195,-0.0987179487179487,-0.121784040558964,-0.115641025641026,-0.132124542124542,0.509002862347125,-0.535850261044705,-0.535850261044705,0.213858766233766,0.550667899831829,-0.0882887721951691,-0.0859943977591036,-0.0761904761904762,-0.0966004583651642,-0.108622316288662,-0.197365694245178,-0.197365694245178,-0.197365694245178,-0.21418387606336,-0.0571369636963696,-0.17,-0.188518518518519,0.0333333333333333,0.0476190476190476,-0.17,-0.15,-0.209571150097466,0.082605108949195,-0.227619930585271,-0.188518518518519,-0.21014014014014,-0.227961922318358,-0.241295255651691,-0.250950428065484,0.0514290419725202,-0.259053505592217,0.262422954577651,-0.234369603122606,-0.0429349273412842
"Patched",0.293602150537634,-0.1,-0.318817204301075,-0.2,-0.0897435897435897,-0.3,-0.338461538461538,0.288425026968716,-0.103333333333333,-0.0833333333333333,-0.1,0,-0.15,-0.333333333333333,-0.3,-0.192857142857143,-0.278333333333333,-0.2,-0.188783068783069,-0.233333333333333,-0.278787878787879,0.355555555555556,-0.433333333333333,-0.433333333333333,0.3003663003663,0.440476190476191,-0.22,-0.333333333333333,-0.233333333333333,-0.333333333333333,-0.358333333333333,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.335096153846154,-0.2,-0.2,-0.2,0,0.2,-0.1,-0.1,-0.25,0.253333333333333,-0.2875,-0.1,-0.15,-0.183333333333333,-0.211111111111111,-0.23344120819849,0.0462962962962963,-0.312554112554113,0.302857142857143,-0.283756243756244,-0.302804597701149
"Ecadherin",0.592071620791133,-0.281818181818182,-0.354301259280159,-0.328877005347594,-0.116785291297727,-0.360835768234192,-0.388678905489093,0.551409685653093,-0.100801908972874,-0.0928115942028986,-0.302857142857143,-0.26,-0.33989417989418,-0.297916666666667,-0.266666666666667,-0.365868205868206,-0.337032744898823,-0.342296650717703,-0.364222195122534,-0.376317269274404,-0.40122433247143,0.30464135021097,-0.387690319330526,-0.387690319330526,0.361081507735125,0.39701882433726,-0.295191025345027,-0.269939393939394,-0.247272727272727,-0.291890613451589,-0.307984646001318,-0.397956259426848,-0.397956259426848,-0.397956259426848,-0.414995365572099,-0.26109731876862,-0.296078431372549,-0.326310989512084,0.2,0.233333333333333,-0.296078431372549,-0.266666666666667,-0.350448920546567,0.320497311827957,-0.3677822538799,-0.326310989512084,-0.349789250381649,-0.36684610656894,-0.380918335709662,-0.393243265681651,-0.175289054417546,-0.421269660064163,0.357513451413933,-0.346653044679121,-0.437815246368338
"cateninmemb",0.496128740149973,-0.281818181818182,-0.354301259280159,-0.328877005347594,-0.116785291297727,-0.360835768234192,-0.388678905489093,0.552290294570673,-0.100801908972874,-0.0928115942028986,-0.302857142857143,-0.26,-0.33989417989418,-0.297916666666667,-0.266666666666667,-0.365868205868206,-0.337032744898823,-0.342296650717703,-0.364222195122534,-0.376317269274404,-0.40122433247143,0.30464135021097,-0.387690319330526,-0.387690319330526,0.361081507735125,0.39701882433726,-0.295191025345027,-0.269939393939394,-0.247272727272727,-0.291890613451589,-0.307984646001318,-0.397956259426848,-0.397956259426848,-0.397956259426848,-0.414995365572099,-0.26109731876862,-0.296078431372549,-0.326310989512084,0.2,0.233333333333333,-0.296078431372549,-0.266666666666667,-0.350448920546567,0.320497311827957,-0.3677822538799,-0.326310989512084,-0.349789250381649,-0.36684610656894,-0.380918335709662,-0.393243265681651,-0.175289054417546,-0.421269660064163,0.357513451413933,-0.346653044679121,-0.437815246368338
"miR200",0.403753732022721,-0.0142857142857143,-0.102694157694158,-0.0442857142857143,-0.0134180790960452,-0.0806493506493507,-0.105819418676562,0.431066368918777,-0.0152275475742061,-0.00989839396919043,-0.0357894736842105,-0.02,-0.0557894736842105,-0.0458333333333333,-0.0325,-0.0727706057596822,-0.0691822601357549,-0.0869950738916256,-0.113281131623112,-0.111133004926108,-0.129777072722719,0.34836093857833,-0.370282258064516,-0.370282258064516,0.226551407215886,0.303281447511538,-0.0893986230571596,-0.0924019607843137,-0.0708333333333333,-0.108530993042378,-0.121321690716797,-0.264301569077689,-0.264301569077689,-0.264301569077689,-0.284002317207364,-0.110038684719536,-0.24,-0.268,0,0.02,-0.24,-0.2,-0.28912676056338,0.0572257383966245,-0.306709178145798,-0.270434782608696,-0.291561543172076,-0.309539071261964,-0.323427960150852,-0.334185535908428,-0.153409698685772,-0.34124135524529,0.0821827674271767,-0.315173263742961,-0.304202519592899
"RKIP",0.380242763772176,-0.17,-0.200844872950409,-0.17,-0.135656213704994,-0.173448275862069,-0.209618488628026,0.409310707156231,-0.132774628553998,-0.127824133504493,-0.0857142857142857,-0.1,-0.110714285714286,-0.14,-0.1,-0.144047619047619,-0.182754098360656,-0.111111111111111,-0.220286603605789,-0.156565656565657,-0.195027195027195,0.332663797226208,-0.368663797226208,-0.368663797226208,0.144208037825059,0.377852175614352,-0.0527704096669614,-5.55111512312578e-18,0.0333333333333333,-0.0476190476190476,-0.07659101023587,-0.0327922077922078,-0.0327922077922078,-0.0327922077922078,-0.0592879342879343,0.00996825396825396,-0.1,-0.2,0.1,0.1,-0.1,0,-0.25,0.168,-0.273076923076923,-0.2,-0.247368421052632,-0.270445344129555,-0.289326463010674,-0.30891933832874,0.0608942364824718,-0.299671823722457,0.218207282913165,0.0132527575490127,-0.46515416448097
"GSK3",0.27757374521405,-0.0996078431372549,-0.109375030092927,-0.136644880174292,-0.0665752171161797,-0.153938113256999,-0.164165385984271,0.294944335504003,-0.0560930281613201,-0.0535443025241387,-0.136666666666667,-0.124166666666667,-0.144712643678161,-0.0852604384862449,-0.082034632034632,-0.154969053934571,-0.104719152197461,-0.185994397759104,-0.143346182122381,-0.195085306850013,-0.208332060096766,0.335617451605262,-0.35641729237074,-0.35641729237074,-0.0178848187752161,0.362760240980993,-0.00644721251820394,-0.0165631469979296,-0.0194202898550725,-0.02039589961117,-0.0309087201239905,-0.140732937864895,-0.140732937864895,-0.140732937864895,-0.153337979881701,-0.0818195568847866,-0.230263157894737,-0.240977443609023,0.0866666666666667,0.0772727272727273,-0.230263157894737,-0.225,-0.258624502432552,0.0932358986089443,-0.273718842055193,-0.240977443609023,-0.258858238311009,-0.273620143072914,-0.282613909769263,-0.288534962400842,-0.0404481186050577,-0.311236637182899,0.142582242319084,0.0341030331040624,-0.175856457022864
"KLF4",0.571430595150107,-0.2,-0.334997461811805,-0.281818181818182,-0.104033613445378,-0.328877005347594,-0.360835768234192,0.629403843394086,-0.0928115942028986,-0.0826666666666667,-0.26,-0.2,-0.302857142857143,-0.266666666666667,-0.233333333333333,-0.33989417989418,-0.320497311827957,-0.305454545454545,-0.349348053246104,-0.342296650717703,-0.376317269274404,0.266666666666667,-0.354514963880289,-0.354514963880289,0.346953472415037,0.362568172568173,-0.281232215276377,-0.247272727272727,-0.227272727272727,-0.269939393939394,-0.291890613451589,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.397956259426848,-0.25188679245283,-0.266666666666667,-0.296078431372549,0.1,0.2,-0.266666666666667,-0.233333333333333,-0.326310989512084,0.297916666666667,-0.350448920546567,-0.296078431372549,-0.326310989512084,-0.349789250381649,-0.36684610656894,-0.380918335709662,-0.176592592592593,-0.400444917796122,0.328674500103071,-0.337985756701488,-0.422824277072733
"ZEB2",-0.134085186570507,-0.133333333333333,-0.129853664714725,-0.128070175438597,-0.123826979472141,-0.121618562535371,-0.119179538145127,-0.119043222585561,-0.114285714285714,-0.114285714285714,-0.111111111111111,-0.111111111111111,-0.104444444444444,-0.102857142857143,-0.1,-0.0997715472481828,-0.099509027557808,-0.0743589743589744,-0.069932712835995,-0.0676923076923077,-0.0638671710802858,-0.0619721580147454,-0.0340800605558491,-0.0340800605558491,-0.0243035560721741,-0.00161499123134682,0.00352136752136752,0.0124675324675325,0.0142857142857143,0.0145083487940631,0.0171538514395657,0.026948051948052,0.026948051948052,0.026948051948052,0.0288752468088657,0.0476190476190476,0.0909090909090909,0.0975757575757576,0.1,0.1,0.1,0.1,0.10013986013986,0.100418118466899,0.101057291332521,0.106666666666667,0.109298245614035,0.110224171539961,0.110576284216017,0.110836024475758,0.138026765856005,0.139542716073604,0.151819645732689,0.156755822752508,0.156763862842562
