"","KLF4","miR200","Ecadherin","cateninmemb","Patched","RKIP","GSK3","SUFU","TrCP","LIV1","EGR1","STAT","DSH","SRC","Frizzled","SOSGRB2","cfos","Destcompl","Csn","RAF","PI3K","DELTA","cMet","Wnt","RAS","ERK","CD44","GLI","AXIN2","Csl","PAK1","NFB","FUS","TCFLEF","MEK","cateninnuc","SNAI2","NOTCHic","IKK","CDC42","SMO","TWIST1","NOTCH","TGFR","AKT","Jagged","SNAI1","TGF","FOXC2","SHH","ILK","HEY1","ZEB2","ZEB1","SMAD"
"miR200",0.784541062801932,0.781338742393509,0.846267323238244,0.697329586226291,0.585738396624473,0.565466059766475,0.422459597225799,0.3,0.2,-0.2,-0.2,-0.28,-0.28,-0.353913043478261,-0.356,-0.322578981302386,-0.28,-0.419890423791197,-0.3,-0.416230386528894,-0.416230386528894,-0.416230386528894,-0.414476423759951,-0.41656338028169,-0.469347593511438,-0.375454545454545,-0.468409008029614,-0.471508435226745,-0.487344793808148,-0.393103448275862,-0.4,-0.4,-0.4,-0.515631230251836,-0.44552257266543,-0.557903957524563,-0.566102720712606,-0.479310344827586,-0.494285714285714,-0.492156862745098,-0.493333333333333,-0.614004032777039,-0.553321644262615,-0.574414927261227,-0.577304582210243,-0.627134484136498,-0.632948532948533,-0.647670741214715,-0.655517111614673,-0.670521005320125,-0.7,-0.7,-0.879435483870968,-0.879435483870968,-0.791222570532915
"TrCP",0.782885245901639,0.879542815434126,0.837951102672315,0.686009333704722,0.578733572281959,0.652455021957784,0.413573593073593,0.3,0.2,-0.2,-0.36,-0.28,-0.28,-0.342962962962963,-0.342962962962963,-0.311221122112211,-0.442608695652174,-0.416404444721763,-0.3,-0.385999521759923,-0.385999521759923,-0.385999521759923,-0.39971971971972,-0.400857699805068,-0.436908612669014,-0.522269712601326,-0.451204868234571,-0.453052821756288,-0.475510115562165,-0.384615384615385,-0.5,-0.3875,-0.4,-0.496760423790127,-0.596936379267993,-0.536760423790127,-0.654391321512268,-0.466153846153846,-0.482236842105263,-0.592156862745098,-0.493548387096774,-0.601110013175231,-0.537582417582418,-0.670944741532977,-0.563718323586745,-0.611431705862304,-0.724670883329534,-0.739250752461939,-0.749013576835276,-0.662733572281959,-0.696296296296296,-0.696551724137931,-0.876500081748324,-0.876500081748324,-0.788554360812425
"SUFU",0.586143832553472,0.677157866670323,0.585117869365295,0.501686357851509,0.588914141414141,0.538761250204549,0.395035701726126,0.36,0.2,-0.15,-0.369230769230769,-0.196666666666667,-0.3,-0.241111111111111,-0.344444444444444,-0.318936326831064,-0.414685314685315,-0.35777684032274,-0.271428571428571,-0.418429910320207,-0.418429910320207,-0.418429910320207,-0.278975188781014,-0.382905982905983,-0.44880965715565,-0.464110602041637,-0.312057895547931,-0.416734979188511,-0.442676660392393,-0.39530303030303,-0.518333333333333,-0.347428571428571,-0.4475,-0.341677460765323,-0.507940389275679,-0.368633982504453,-0.543183356562649,-0.452121212121212,-0.412813186813187,-0.57509009009009,-0.525277777777778,-0.418340157266795,-0.498946608946609,-0.63040923902626,-0.465833321041375,-0.464685234168965,-0.569422859854519,-0.677154801156438,-0.600398801187104,-0.646443098943099,-0.544925755248336,-0.54379256155055,-0.671496542204098,-0.671496542204098,-0.607512360329167
"GSK3",0.464781531081268,0.514139592209228,0.575524988026382,0.470082636156446,0.387371438509376,0.30445642077221,0.0524424003837112,0.263636363636364,0.193333333333333,-0.25,-0.151372549019608,-0.286842105263158,-0.286842105263158,-0.315413533834586,-0.315413533834586,-0.199501538355764,-0.20322440087146,-0.0291806355517603,-0.255833333333333,-0.212585803639167,-0.212585803639167,-0.212585803639167,-0.345214858337898,-0.346132488082952,-0.238636223807234,-0.240066506134618,-0.373310096433136,-0.374906072988613,-0.406208272147276,-0.317016806722689,-0.271884057971015,-0.293333333333333,-0.296969696969697,-0.397263791891729,-0.273021051589163,-0.417263791891729,-0.449644067639905,-0.352681142387025,-0.333563218390805,-0.316645962732919,-0.338905180840665,-0.377348475500479,-0.390343480049362,-0.349050143917588,-0.376298261125847,-0.399507366721425,-0.323562761808465,-0.382639887507332,-0.371787054235035,-0.432825983963922,-0.435659293967947,-0.441732156463341,-0.514355871330455,-0.514355871330455,-0.479887180024919
"Patched",0.377777777777778,0.478571428571429,0.417826321467098,0.360179211469534,0.36,0.357142857142857,0.30989010989011,0.2,0,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.25,-0.2,-0.298261738261738,0,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.15,-0.25,-0.347596153846154,-0.3,-0.196666666666667,-0.3,-0.321645021645022,-0.2,-0.3,-0.1,-0.3,-0.241111111111111,-0.369230769230769,-0.278975188781014,-0.41927969348659,-0.266666666666667,-0.2,-0.4,-0.4,-0.273148148148148,-0.33030303030303,-0.46,-0.271428571428571,-0.301798941798942,-0.417741935483871,-0.518333333333333,-0.435,-0.4475,-0.3,-0.3,-0.475,-0.475,-0.4
"RKIP",0.380583452893352,0.44725528968618,0.585180716948381,0.49260100436571,0.342666666666667,0.2953081232493,0.176044129235619,0.1,0.1,0,-0.17,-0.1,-0.1,-0.2,-0.2,-0.0773968253968254,-0.17,-0.0238742883913147,-0.1,-0.050974025974026,-0.050974025974026,-0.050974025974026,-0.268421052631579,-0.27,-0.097982572982573,-0.201034482758621,-0.318421052631579,-0.32,-0.337271448663854,-0.155555555555556,-0.2,-0.142857142857143,-0.166666666666667,-0.356882591093117,-0.254225972120323,-0.391233736131285,-0.633874803287288,-0.228282828282828,-0.205357142857143,-0.246666666666667,-0.266666666666667,-0.420614973262032,-0.297513597513598,-0.318095238095238,-0.275054112554113,-0.391808149405772,-0.327224027895374,-0.384450378282154,-0.370645446507515,-0.396765027322404,-0.38142918271288,-0.374912891986063,-0.442583452893352,-0.442583452893352,-0.437864826277236
"Ecadherin",0.320909517112049,0.422752345936703,0.617155308649741,0.624556209373283,0.413037634408602,0.388566471873053,0.36691899206947,0.233333333333333,0.2,-0.266666666666667,-0.281818181818182,-0.296078431372549,-0.296078431372549,-0.326310989512084,-0.326310989512084,-0.298494628509524,-0.328877005347594,-0.353823953622584,-0.26,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.353267511251214,-0.353897196408636,-0.422405815785704,-0.369083190914604,-0.376344434328137,-0.377230529741969,-0.427956280172798,-0.352822966507177,-0.307636363636364,-0.321904761904762,-0.3,-0.396643313531126,-0.403200837973427,-0.415224079170715,-0.491932800420189,-0.397152863414394,-0.377460317460317,-0.34630303030303,-0.3625,-0.4524586117501,-0.433212342968297,-0.385815225424981,-0.42031746031746,-0.43580099902202,-0.402515764091537,-0.420354104267658,-0.442107479398702,-0.456344721022775,-0.324521739130435,-0.322977425259304,-0.415170523185578,-0.415170523185578,-0.372221496999684
"cateninmemb",0.320909517112049,0.422752345936703,0.618237389789099,0.528648393788363,0.413037634408602,0.388566471873053,0.36691899206947,0.233333333333333,0.2,-0.266666666666667,-0.281818181818182,-0.296078431372549,-0.296078431372549,-0.326310989512084,-0.326310989512084,-0.298494628509524,-0.328877005347594,-0.353823953622584,-0.26,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.353267511251214,-0.353897196408636,-0.422405815785704,-0.369083190914604,-0.376344434328137,-0.377230529741969,-0.427956280172798,-0.352822966507177,-0.307636363636364,-0.321904761904762,-0.3,-0.396643313531126,-0.403200837973427,-0.415224079170715,-0.491932800420189,-0.397152863414394,-0.377460317460317,-0.34630303030303,-0.3625,-0.4524586117501,-0.433212342968297,-0.385815225424981,-0.42031746031746,-0.43580099902202,-0.402515764091537,-0.420354104267658,-0.442107479398702,-0.456344721022775,-0.324521739130435,-0.322977425259304,-0.415170523185578,-0.415170523185578,-0.372221496999684
"KLF4",0.274074074074074,0.378245828245828,0.680641189857141,0.594171593988667,0.3625,0.349989692846836,0.349258947919359,0.2,0.1,-0.233333333333333,-0.2,-0.266666666666667,-0.266666666666667,-0.296078431372549,-0.296078431372549,-0.28138936535163,-0.281818181818182,-0.341987979717644,-0.2,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.326310989512084,-0.326310989512084,-0.400897435897436,-0.328877005347594,-0.353267511251214,-0.353897196408636,-0.40259545543053,-0.305454545454545,-0.263636363636364,-0.26,-0.233333333333333,-0.376344434328137,-0.369083190914604,-0.396643313531126,-0.465623348282923,-0.352822966507177,-0.321904761904762,-0.307636363636364,-0.3,-0.422849673202614,-0.397152863414394,-0.34630303030303,-0.377460317460317,-0.402162555086093,-0.370553738775082,-0.385815225424981,-0.405723040039434,-0.413037634408602,-0.268,-0.267272727272727,-0.37156862745098,-0.37156862745098,-0.324521739130435
"Destcompl",-0.240855727976966,-0.246125077767022,0.026144708828058,0.199981765265763,-0.00561213348420781,-0.165407803195624,-0.0951571873649562,0.0111111111111111,-0.1,-0.188888888888889,0.0702564102564102,-0.181746031746032,-0.181746031746032,-0.180376168732333,-0.180376168732333,-0.0518468290449693,0.0672261072261072,-0.0169206490393735,0.114285714285714,0.0061900716159359,0.0061900716159359,0.0061900716159359,-0.180873681170144,-0.181366267742234,0.007288972714837,0.0688654514884023,-0.179754278185069,-0.180067566443533,-0.234814190200579,-0.0148844496670584,0.043265306122449,0.118633540372671,0.00613026819923371,-0.177699483664521,0.0697093333449424,-0.176067663164776,-0.224168966921165,-0.0159714061887975,0.115930837669968,0.0536101337086559,0.00613026819923371,-0.0133262689846881,-0.0169734101968135,0.0562417126560243,0.114588555790773,-0.110410965763465,0.148695213530109,0.0555520574836105,0.0934277010522548,0.00851348744939156,0.218968253968254,0.215893849740004,0.235524793327754,0.235524793327754,0.223763575605681
"AXIN2",-0.280491955692568,-0.293381034550969,0.0431267682902898,0.239991246039832,0.0288003663003663,-0.216151876797038,-0.174671253104892,0.1,-0.133333333333333,-0.233333333333333,0.153333333333333,-0.24,-0.24,-0.237674418604651,-0.237674418604651,-0.0704152322665647,0.136260162601626,0.160749137120109,0.144444444444444,0.0703414116043874,0.0703414116043874,0.0703414116043874,-0.235950280673617,-0.235950280673617,0.0690290756463821,0.127848947648355,-0.235634823260367,-0.235950280673617,0.182831089738681,-0.0214035087719298,0.0845833333333333,0.157487922705314,-0.0615384615384615,-0.234814190200579,0.125779982131114,-0.233214536071742,-0.271844265214381,-0.016046365914787,0.164734299516908,0.0808796296296296,-0.0377289377289377,-0.0164816754877607,-0.0146950145634356,0.086189364142904,0.165845410628019,-0.148057441970485,0.200170822330366,0.0898197271792076,0.141677643199891,-0.0258495466282352,0.257487922705314,0.251683021764158,0.280187178864656,0.280187178864656,0.262249827467219
"HEY1",-0.274074074074074,-0.378245828245828,-0.680641189857141,-0.594171593988667,-0.3625,-0.349989692846836,-0.349258947919359,-0.2,-0.1,0.233333333333333,0.2,0.266666666666667,0.266666666666667,0.296078431372549,0.296078431372549,0.28138936535163,0.281818181818182,0.341987979717644,0.2,0.375897435897436,0.375897435897436,0.375897435897436,0.326310989512084,0.326310989512084,0.400897435897436,0.328877005347594,0.353267511251214,0.353897196408636,0.40259545543053,0.305454545454545,0.263636363636364,0.26,0.233333333333333,0.376344434328137,0.369083190914604,0.396643313531126,0.465623348282923,0.352822966507177,0.321904761904762,0.307636363636364,0.3,0.422849673202614,0.397152863414394,0.34630303030303,0.377460317460317,0.402162555086093,0.370553738775082,0.385815225424981,0.405723040039434,0.413037634408602,0.268,0.267272727272727,0.37156862745098,0.37156862745098,0.324521739130435
"FOXC2",-0.274074074074074,-0.378245828245828,-0.680641189857141,-0.594171593988667,-0.3625,-0.349989692846836,-0.349258947919359,-0.2,-0.1,0.233333333333333,0.2,0.266666666666667,0.266666666666667,0.296078431372549,0.296078431372549,0.28138936535163,0.281818181818182,0.341987979717644,0.2,0.375897435897436,0.375897435897436,0.375897435897436,0.326310989512084,0.326310989512084,0.400897435897436,0.328877005347594,0.353267511251214,0.353897196408636,0.40259545543053,0.305454545454545,0.263636363636364,0.26,0.233333333333333,0.376344434328137,0.369083190914604,0.396643313531126,0.465623348282923,0.352822966507177,0.321904761904762,0.307636363636364,0.3,0.422849673202614,0.397152863414394,0.34630303030303,0.377460317460317,0.402162555086093,0.370553738775082,0.385815225424981,0.405723040039434,0.413037634408602,0.268,0.267272727272727,0.37156862745098,0.37156862745098,0.324521739130435
"Wnt",-0.319607843137255,-0.376666666666667,-0.451066839009404,-0.35656779661017,-0.263636363636364,-0.193333333333333,-0.0855015673981191,0,-0.1,0,0.1,0.1,0.2,0.2,0.3,0.112121212121212,0.0666666666666667,-0.0218683354348604,0.1,0.118796992481203,0.118796992481203,0.118796992481203,0.25,0.25,0.155160628844839,0.0866666666666667,0.286842105263158,0.286842105263158,0.31030303030303,0.15,0.1,0.133333333333333,0.1,0.315413533834586,0.151372549019608,0.345214858337898,0.352155172413793,0.221428571428571,0.193333333333333,0.133333333333333,0.2,0.279705882352941,0.279761904761905,0.206666666666667,0.255833333333333,0.284191176470588,0.218892339544513,0.271884057971015,0.257651821862348,0.296969696969697,0.278632478632479,0.283076923076923,0.380583452893352,0.380583452893352,0.322818525144107
"SNAI2",-0.291538461538462,-0.398617163863749,-0.813976188762806,-0.638407432611936,-0.38797118847539,-0.372192307692308,-0.387192412045653,-0.2,-0.1,0.26,0.2,0.305454545454545,0.305454545454545,0.341168831168831,0.341168831168831,0.323799864773496,0.288235294117647,0.385743987724154,0.2,0.412827607766268,0.412827607766268,0.412827607766268,0.373563197366014,0.373563197366014,0.442051352058506,0.349019607843137,0.40259545543053,0.402974962071897,0.447100565604419,0.332894736842105,0.276470588235294,0.275,0.26,0.427956280172798,0.396316905140435,0.450161249116898,0.711177086939822,0.383771929824561,0.34051724137931,0.333613445378151,0.324705882352941,0.456059664787236,0.430525176577808,0.378912590677297,0.399553385957624,0.442751907302347,0.400525940653487,0.420527497509595,0.437161370225273,0.442900765940179,0.277464788732394,0.277215189873418,0.391851688693098,0.391851688693098,0.341101152368758
"SHH",-0.3,-0.4,-0.352777777777778,-0.299068100358423,-0.4,-0.3,-0.271794871794872,-0.2,0,0,0,0.1,0.2,0.1,0.2,0.25,0.1,0.272987012987013,0,0.25,0.25,0.25,0.1,0.2,0.303846153846154,0.2,0.15,0.25,0.276190476190476,0.1,0.2,0,0.2,0.196666666666667,0.3,0.241111111111111,0.36727969348659,0.2,0.1,0.3,0.3,0.225,0.266666666666667,0.4,0.2,0.231428571428571,0.35,0.46,0.375,0.36,0.2,0.2,0.4,0.4,0.3
"cateninnuc",-0.331597317273474,-0.429399225673289,-0.513655155500435,-0.419342677003825,-0.321170507642354,-0.392575798890935,-0.342302703548782,-0.177777777777778,-0.233333333333333,0.160606060606061,0.297101449275362,0.191375291375291,0.191375291375291,0.216375291375291,0.217402688635565,0.266605187603362,0.333609385783299,0.321118520383438,0.295833333333333,0.373618453618454,0.373618453618454,0.373618453618454,0.237027465288335,0.238054862548609,0.391126871126871,0.363989132618742,0.255678258939129,0.256631937647423,0.396643313531126,0.357187696170747,0.307428571428571,0.347348484848485,0.237777777777778,0.273228669693423,0.389218490416907,0.189053027605602,0.469055460464768,0.388583045007956,0.383348484848485,0.347428571428571,0.282040072859745,0.347178598620383,0.415401226826138,0.37903776683087,0.414598484848485,0.326915183562898,0.396199190648045,0.405238640193316,0.428728495548168,0.355375300670676,0.347558441558442,0.345276358431658,0.423880113737809,0.423880113737809,0.387258305132794
