"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","CD44","Wnt","Frizzled","cMet","DSH","SRC","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"TrCP",-0.423003771735776,-0.450951796515924,-0.415979118920295,-0.375070028011204,-0.314285714285714,-0.422284450994842,-0.314316651999501,-0.382284450994842,-0.28,-0.336521739130435,-0.100476967398654,-0.107545656255334,-0.0933521078682369,-0.176486354775828,-0.152412280701754,-0.189012857711782,-0.395851496329757,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.249089127471029,-0.246117216117216,-0.212051282051282,-0.17051282051282,-0.225728822882288,-0.581702024825044,-0.581702024825044,0.540362737444705,0.586606727579045,-0.59218633717756,-0.353107376973948,-0.319471013337584,-0.319471013337584,-0.319471013337584,0.655244566697622,0.594456616672203,0.233041125541126,-0.487493988355033,-0.422436171730138,-0.458252609044688,-0.423808164600244,-0.382923976608187,-0.335555555555555,-0.384204204204204,-0.28,-0.335555555555555,-0.28,-0.24661271089203,-0.453788765994361,0.0333333333333333,0.0761904761904762,-0.2,0.162012857711782,0.32804633672037
"SUFU",-0.480962292785957,-0.590554729474533,-0.558010350776308,-0.518648648648649,-0.47,-0.44101862920645,-0.361361130930965,-0.413359054738365,-0.323076923076923,-0.368531468531469,-0.154029399969683,-0.152566821459021,-0.14078853046595,-0.274210339995575,-0.254747252747253,-0.383451113451113,-0.355336196022222,-0.216285714285714,-0.336666666666667,-0.303333333333333,-0.164285714285714,-0.322724338518346,-0.399062049062049,-0.36969696969697,-0.328787878787879,-0.311906514538094,-0.520430809169953,-0.520430809169953,0.467401263047675,0.505611129991786,-0.569115581371591,-0.400576080338824,-0.374943168946419,-0.374943168946419,-0.374943168946419,0.53383140490281,0.535102104965701,0.150645783855918,-0.419077588586552,-0.470273726686366,-0.39355329191136,-0.366379378867882,-0.438675213675214,-0.394444444444444,-0.334800431499461,-0.35,-0.291111111111111,-0.246666666666667,-0.114020885250683,-0.489692986166061,0.15,0.253333333333333,-0.2,0.35989898989899,0.377517591228931
"GSK3",-0.261216311228551,-0.278916908471521,-0.260198959753573,-0.241035196687371,-0.205797101449275,-0.214268354338014,-0.173091787439614,-0.192677445247105,-0.147843137254902,-0.16636165577342,-0.090405727648566,-0.086191594348749,-0.0791451175871298,-0.204486811081639,-0.189956896551724,-0.13910772063563,-0.275226480817625,-0.170416666666667,-0.110913280268119,-0.0915584415584415,-0.164166666666667,-0.176327885003994,-0.249254764843,-0.230293725881961,-0.210014005602241,-0.154059712267313,-0.409374345727286,-0.409374345727286,0.385180592655057,0.387965562881442,-0.364779065286914,-0.252230306280671,-0.232902575188234,-0.232902575188234,-0.232902575188234,0.480391894473898,0.412367458901196,0.115782514494469,-0.314576522938857,-0.279813504349108,-0.29852389135991,-0.279913027602118,-0.254813504349108,-0.229323308270677,-0.255151122840213,-0.207894736842105,-0.229323308270677,-0.207894736842105,-0.0679352873863947,-0.318976791110463,0.126666666666667,0.0772727272727273,-0.15,0.123796715850941,0.185229594966437
"Patched",-0.365,-0.47,-0.42,-0.4,-0.3,-0.323076923076923,-0.288172043010753,-0.3,-0.1,-0.2,-0.105128205128205,-0.12,-0.1,-0.164285714285714,-0.15,-0.303333333333333,-0.240740740740741,-0.1,-0.333333333333333,-0.3,0,-0.232169312169312,-0.278787878787879,-0.233333333333333,-0.2,-0.25,-0.4,-0.4,0.333333333333333,0.379623655913979,-0.44839846743295,-0.319230769230769,-0.269230769230769,-0.269230769230769,-0.269230769230769,0.400620280474649,0.40952380952381,0.101465201465201,-0.334800431499461,-0.35,-0.291111111111111,-0.246666666666667,-0.3,-0.2,-0.2,-0.2,-0.1,-0.1,-0.0825974025974026,-0.359307359307359,0,0.2,-0.1,0.253333333333333,0.262857142857143
"RKIP",-0.299896846448571,-0.320115709835336,-0.276190476190476,-0.233333333333333,-0.2,-0.237204695524578,-0.212956964284089,-0.201034482758621,-0.17,-0.17,-0.159581881533101,-0.158705308913433,-0.153754813863928,-0.162608225108225,-0.123214285714286,-0.200590163934426,-0.369964349376114,-0.0857142857142857,-0.14,-0.1,-0.1,-0.250709434877516,-0.206565656565657,-0.156565656565657,-0.111111111111111,-0.0613968253968254,-0.383306551889048,-0.383306551889048,0.349306551889048,0.467820930173871,-0.611931281692604,-0.0853868353868354,-0.0435064935064935,-0.0435064935064935,-0.0435064935064935,0.54161987779231,0.392939866919683,0.140937746256895,-0.367022451232978,-0.298205128205128,-0.333689117899644,-0.296626180836707,-0.236666666666667,-0.166666666666667,-0.235087719298246,-0.1,-0.166666666666667,-0.1,-0.111239129798261,-0.309927332395687,0.1,0.1,0,0.176,0.220728291316527
"miR200",-0.10693068449166,-0.138090221084683,-0.118904174573055,-0.0963235294117647,-0.0708333333333333,-0.0926468769325912,-0.0804549154549155,-0.0715584415584416,-0.0142857142857143,-0.0442857142857143,-0.0134180790960452,-0.015854506821855,-0.00989839396919043,-0.0651695275925663,-0.0500751879699248,-0.0738878187488534,-0.229624465514036,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.12388143530728,-0.130907016225543,-0.111133004926108,-0.0869950738916256,-0.114294003868472,-0.356832437275986,-0.356832437275986,0.339251207729469,0.418060323278556,-0.330581439624504,-0.263834033362823,-0.245629544584768,-0.245629544584768,-0.245629544584768,0.442175181106403,0.290773583796337,0.117157897469628,-0.362468247380589,-0.324738585358304,-0.347013701926044,-0.32836290827525,-0.302760563380282,-0.276,-0.30589099816289,-0.24,-0.279130434782609,-0.24,-0.192153047195254,-0.357316668138114,0,0.02,-0.2,0.0597573839662447,0.06375335727008
"Ecadherin",-0.385795260264605,-0.391255336410014,-0.361779748706578,-0.328121212121212,-0.289454545454545,-0.354680338864693,-0.266687939364848,-0.326837201609791,-0.245454545454545,-0.286631016042781,-0.121763936813285,-0.108672491841246,-0.0982608695652174,-0.328273208273208,-0.303597883597884,-0.370549699432732,-0.446400993171943,-0.262857142857143,-0.320833333333333,-0.283333333333333,-0.22,-0.427176746554952,-0.415072168249124,-0.385704138509347,-0.34755980861244,-0.312446962173874,-0.304999486449606,-0.304999486449606,0.234083450539147,0.660872637976296,-0.538974415915604,-0.383687867067755,-0.362179487179487,-0.362179487179487,-0.362179487179487,0.616015608440897,0.31765326748567,0.204082663723467,-0.48317613466356,-0.440267088070192,-0.462261101983821,-0.439471562755926,-0.412267088070192,-0.376060191518468,-0.411712365431511,-0.341176470588235,-0.376060191518468,-0.341176470588235,-0.187687294244995,-0.483662234413627,0.2,0.233333333333333,-0.3,0.347715053763441,0.266311938462821
"cateninmemb",-0.385795260264605,-0.391255336410014,-0.361779748706578,-0.328121212121212,-0.289454545454545,-0.354680338864693,-0.266687939364848,-0.326837201609791,-0.245454545454545,-0.286631016042781,-0.121763936813285,-0.108672491841246,-0.0982608695652174,-0.328273208273208,-0.303597883597884,-0.370549699432732,-0.446400993171943,-0.262857142857143,-0.320833333333333,-0.283333333333333,-0.22,-0.427176746554952,-0.415072168249124,-0.385704138509347,-0.34755980861244,-0.312446962173874,-0.304999486449606,-0.304999486449606,0.234083450539147,0.566638278609478,-0.538974415915604,-0.383687867067755,-0.362179487179487,-0.362179487179487,-0.362179487179487,0.617242915038716,0.31765326748567,0.204082663723467,-0.48317613466356,-0.440267088070192,-0.462261101983821,-0.439471562755926,-0.412267088070192,-0.376060191518468,-0.411712365431511,-0.341176470588235,-0.376060191518468,-0.341176470588235,-0.187687294244995,-0.483662234413627,0.2,0.233333333333333,-0.3,0.347715053763441,0.266311938462821
"KLF4",-0.35810647307925,-0.361779748706578,-0.328121212121212,-0.289454545454545,-0.245454545454545,-0.326837201609791,-0.246751230504089,-0.286631016042781,-0.2,-0.245454545454545,-0.107669977081742,-0.0982608695652174,-0.0866666666666667,-0.303597883597884,-0.262857142857143,-0.347715053763441,-0.420888888888889,-0.22,-0.283333333333333,-0.233333333333333,-0.2,-0.404522284312389,-0.385704138509347,-0.34755980861244,-0.305454545454545,-0.292710120068611,-0.27656346749226,-0.27656346749226,0.203703703703704,0.629975202078861,-0.510256775939686,-0.362179487179487,-0.337179487179487,-0.337179487179487,-0.337179487179487,0.683006845052387,0.288416768416768,0.193045136129648,-0.462261101983821,-0.412267088070192,-0.439471562755926,-0.411712365431511,-0.376060191518468,-0.341176470588235,-0.376060191518468,-0.3,-0.341176470588235,-0.3,-0.180977135810698,-0.452115842661049,0.1,0.2,-0.233333333333333,0.320833333333333,0.24121830550402
"ZEB2",-0.242234654234654,-0.227495361781076,-0.222733457019171,-0.211168831168831,-0.194805194805195,-0.172503692354411,-0.168730921071065,-0.162747594793435,-0.158333333333333,-0.153070175438596,-0.146407624633431,-0.139541640084409,-0.137102615694165,-0.133081516095535,-0.130277777777778,-0.12893253088375,-0.126396682801797,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.10817287164005,-0.100235393022278,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0572585629436495,-0.0572585629436495,-0.0457943088115848,-0.0453207258691129,-0.0442286169764745,-0.026712320513177,-0.0209307359307359,-0.0209307359307359,-0.0209307359307359,0.00571704765525795,0.0209230854052046,0.0318155091799821,0.0494820473434261,0.0535929513911165,0.0546768525382313,0.0606627680311891,0.0609324009324009,0.0660606060606061,0.0680701754385965,0.0727272727272727,0.0733333333333333,0.08,0.0855107770146169,0.0940566168837008,0.1,0.1,0.1,0.125296167247387,0.184460547504026
"Destcompl",0.0410129446132848,0.0368306233564206,0.0400818548835142,0.0416608022519353,0.0395918367346939,-0.0107597210149607,-0.014068988417846,-0.0128694256563109,0.00307692307692308,-0.00904428904428905,0.0100723208415516,0.010843776106934,0.0114285714285714,0.0130368686248464,0.0110234458060545,-0.0685461774312564,-0.0193078606993435,0.015527950310559,-0.0659003831417625,-0.0659003831417625,0.0285714285714286,-0.0128224367050048,-0.0363518851255193,-0.0349490795142969,-0.0316882099490795,-0.0273405681788015,0.0975878081729145,0.0975878081729145,-0.102654785722885,0.0252132477640021,-0.119926408683542,0.00773817511073393,0.00773817511073393,0.00773817511073393,0.00773817511073393,0.0275215231871876,-0.119866578831372,-0.00531421833953763,-0.0267052907806043,-0.025307358804094,-0.0254304310151785,-0.0250194721110689,-0.0273481751306246,-0.0204174820613177,-0.02688514375286,-0.019047619047619,-0.0204174820613177,-0.019047619047619,-0.100674460301378,-0.122127064859658,0,0.0555555555555556,-0.0333333333333333,0.0664185178567884,0.0134210729163789
"AXIN2",0.0782290621166499,0.0586395306197286,0.0596296296296296,0.0596296296296296,0.0633333333333333,0.0585062449399873,0.0779493384372057,0.06264417597447,0.06,0.0673170731707317,0.0103678004286524,0.0120542903151599,0.0120542903151599,0.0598067632850242,0.0642512077294686,-0.0998389179126884,-0.0211946906673073,0.0685990338164251,-0.0970695970695971,-0.0923076923076923,0.0555555555555556,-0.111017443191356,-0.0311550836550837,-0.028452380952381,-0.0266666666666667,-0.0407114624505929,0.14596948512162,0.14596948512162,-0.149061647698738,0.125967924353981,-0.165387903177534,0.0485739871978735,0.051198659113884,0.051198659113884,0.051198659113884,0.0388051509783636,-0.162473612431443,-0.0937054411390796,-0.122516169918023,-0.122076934327922,-0.122127064859658,-0.121775364976891,-0.117674418604651,-0.117674418604651,-0.117674418604651,-0.12,-0.117674418604651,-0.12,0.0893914244599689,0.280977855031625,-0.0666666666666667,0.1,-0.1,0.0988553113553114,-0.0863289219740833
