"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","TWIST1","SMAD","IKK","AKT","SHH","ILK","SMO","NFB","FUS","Jagged","NOTCH","NOTCHic","Csl","Csn","SOSGRB2","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","KLF4","GLI","DSH","Wnt","cateninnuc","TCFLEF","miR200","CD44","Ecadherin","Frizzled","STAT","cMet","cateninmemb","GSK3","SRC","AXIN2","LIV1","Destcompl","TrCP","SUFU","Patched","RKIP"
"TrCP",-0.336733879422248,-0.33650077020376,-0.328304048892284,-0.320728291316527,-0.295238095238095,-0.366583149103414,-0.353249815770081,-0.254092369268346,-0.327826086956522,-0.28,-0.0960652026927713,-0.23434660267269,-0.097868236900495,-0.118859649122807,-0.126267056530214,-0.109786653012459,-0.090126301416624,-0.0960829493087557,-0.108333333333333,-0.0928571428571428,-0.105174463190184,-0.127692307692308,-0.12,-0.115384615384615,-0.0833333333333333,-0.148212321232123,-0.348925200580934,-0.553946077495434,-0.553946077495434,-0.193302803259762,-0.186030075987034,-0.186030075987034,-0.186030075987034,0.528166016133229,-0.159556886796938,-0.15,-0.154191033138402,-0.16350815615889,-0.161577121676132,0.568933717157067,-0.159354899453909,0.37947102976749,-0.146296296296296,-0.15,-0.154404404404404,-0.21566158679839,0.182356601731602,-0.146296296296296,-0.197318833844533,-0.15,-0.180279935662115,0.0333333333333333,0.0761904761904762,0.0997866530124595,0.287112776726036
"SUFU",-0.45655426857552,-0.538810358262077,-0.526778800076672,-0.508693693693694,-0.481666666666667,-0.440870320679565,-0.424274575998714,-0.3711316340613,-0.393240093240093,-0.353846153846154,-0.158132769971429,-0.262331236999337,-0.152874703334362,-0.259934065934066,-0.27134346190722,-0.326243418743419,-0.145253456221198,-0.3075,-0.236857142857143,-0.290833333333333,-0.205045433780517,-0.331948051948052,-0.322424242424242,-0.308787878787879,-0.192857142857143,-0.267850570482149,-0.40239693548465,-0.544546869749071,-0.544546869749071,-0.352774536583041,-0.34644542265899,-0.34644542265899,-0.34644542265899,0.496759213812812,-0.275025021446955,-0.2625,-0.270192307692308,-0.175000915586959,-0.171778409193097,0.558126332507946,-0.16797406136701,0.347783702523436,-0.2625,-0.156666666666667,-0.163462783171521,-0.051607994949239,0.312414050787276,-0.156666666666667,-0.313487561094905,-0.15,-0.261534690654579,0.15,0.253333333333333,0.316590909090909,0.395794235219861
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.3,-0.325268817204301,-0.2,-0.1,-0.105128205128205,-0.218518518518519,-0.12,-0.15,-0.192857142857143,-0.290833333333333,-0.1,-0.333333333333333,-0.1,-0.3,-0.181375661375661,-0.278787878787879,-0.233333333333333,-0.2,0,-0.25,-0.366590038314176,-0.433333333333333,-0.433333333333333,-0.328846153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.355555555555556,-0.2625,-0.2,-0.25,-0.163462783171521,-0.156666666666667,0.440476190476191,-0.156666666666667,0.302602481121899,-0.2,-0.1,-0.15,-0.0289068100358423,0.290842490842491,-0.1,-0.294372294372294,-0.1,-0.256943056943057,0,0.2,0.253333333333333,0.302857142857143
"RKIP",-0.274358974358974,-0.288936359590565,-0.258095238095238,-0.22,-0.2,-0.223411592076302,-0.187241379310345,-0.194340807909759,-0.17,-0.17,-0.159581881533101,-0.308957219251337,-0.156725110893631,-0.110714285714286,-0.150108225108225,-0.184196721311475,-0.153754813863928,-0.14,-0.0857142857142857,-0.1,-0.192135580887703,-0.178243978243978,-0.147474747474747,-0.111111111111111,-0.1,-0.0533968253968254,-0.514873229585592,-0.368663797226208,-0.368663797226208,-0.0222360972360972,-0.00941558441558441,-0.00941558441558441,-0.00941558441558441,0.332663797226208,-0.190512820512821,-0.1,-0.186666666666667,-0.188401975686026,-0.18560299349773,0.377852175614352,-0.186302294197031,0.389305779206111,-0.166666666666667,-0.1,-0.182456140350877,-0.195203775203775,0.105516154452325,-0.166666666666667,-0.222257383966245,0,0.0755877960940474,0.1,0.1,0.176,0.218207282913165
"GSK3",-0.198996914957747,-0.215829303252421,-0.212239559662677,-0.212587991718426,-0.194492753623188,-0.182956239380388,-0.176138057562206,-0.108479464586644,-0.160348583877996,-0.119607843137255,-0.0864721471021916,-0.202632336668015,-0.0810358733980553,-0.158864942528736,-0.16313844680224,-0.107922043653292,-0.0748889468613236,-0.0969906437648373,-0.155416666666667,-0.10021645021645,-0.12490014665815,-0.198044014808721,-0.193628430393136,-0.194327731092437,-0.136666666666667,-0.132590453600096,-0.300167644449671,-0.36258114580896,-0.36258114580896,-0.132819028602286,-0.126726591627496,-0.126726591627496,-0.126726591627496,0.344262851512798,-0.223301223832797,-0.219736842105263,-0.217169148361099,-0.224918360897112,-0.224457834581323,0.369349194829807,-0.222944032266096,0.330091035548362,-0.212593984962406,-0.219736842105263,-0.21722974655181,-0.0717623796548309,-0.0394649316714157,-0.212593984962406,-0.266459882332953,-0.225,0.0680652375428356,0.0866666666666667,0.0954545454545455,0.0988311345623833,0.149351350403982
"miR200",-0.0479297937834523,-0.0578484694703087,-0.0549414927261227,-0.0517156862745098,-0.0458333333333333,-0.0481385281385281,-0.0433766233766234,-0.0401788951788952,-0.0342857142857143,-0.0142857142857143,-0.0084180790960452,-0.118537903813977,-0.00855292832711203,-0.0281203007518797,-0.0337806781103703,-0.0259713813979086,-0.00635857096034087,-0.02,-0.0252631578947368,-0.02,-0.0257565092304004,-0.0451370682697392,-0.0411822660098522,-0.0377339901477833,-0.02,-0.048030303030303,-0.147739927938565,-0.337603046594982,-0.337603046594982,-0.140582222209497,-0.138836586299273,-0.138836586299273,-0.138836586299273,0.330141476880607,-0.105408450704225,-0.1,-0.105408450704225,-0.107249783284688,-0.106946752981658,0.273305847076462,-0.105756276791182,0.278035224222328,-0.104,-0.1,-0.105756276791182,-0.14101174449099,0.0814635049007485,-0.104347826086957,-0.150437566477901,-0.1,-0.146413369067154,0,0.02,0.0237974683544304,0.0347361774711864
"cateninmemb",-0.299554365117636,-0.267349058885953,-0.258849963045085,-0.248606060606061,-0.239272727272727,-0.307335575279784,-0.296747339985666,-0.250061884515046,-0.281283422459893,-0.263636363636364,-0.107779800144585,-0.279888389868673,-0.0930607432361301,-0.266031746031746,-0.275122655122655,-0.215122026077385,-0.0899130434782609,-0.202083333333333,-0.243809523809524,-0.183333333333333,-0.197163523501407,-0.262540291562917,-0.256220588960687,-0.24488038277512,-0.22,-0.2102487135506,-0.297342726150446,-0.310386189896263,-0.310386189896263,-0.268893762060045,-0.266659125188537,-0.266659125188537,-0.266659125188537,0.252414439756212,-0.17633838074123,-0.172549019607843,-0.173671714074563,-0.17869065967905,-0.176543134002113,0.321416929852684,-0.175173270988414,0.319346847715845,-0.170223438212494,-0.172549019607843,-0.172832133864668,-0.00556424539770702,0.24820071632318,-0.170223438212494,-0.242060795809514,-0.166666666666667,-0.224380743195329,0.2,0.166666666666667,0.209610215053763,0.271470842337616
"Ecadherin",-0.144433631137648,-0.106987421963649,-0.104274944567627,-0.0989090909090909,-0.0949090909090909,-0.16136391201279,-0.160187441424555,-0.0767804435888001,-0.150909090909091,-0.150909090909091,-0.0512288185560985,-0.03367663489977,-0.044726392251816,-0.107513227513228,-0.107513227513228,-0.00343747354161375,-0.044,0,-0.103809523809524,0,-0.00836141737743568,-0.102506888774914,-0.100648152715434,-0.0996172248803828,-0.08,-0.102445006168939,-0.119361911888491,-0.153083772296646,-0.153083772296646,-0.102670273094197,-0.10211161387632,-0.10211161387632,-0.10211161387632,0.133520862634787,0.00370218721008853,0.00588235294117647,0.00303552054342186,0.00217133117978762,0.00357189140387725,0.171784139717101,0.0041945564101039,0.0380632124076208,0.00820793433652531,0.00588235294117647,0.00386010824956879,-0.0601031060177402,0.101932626320902,0.00820793433652531,-0.0904515527221233,0,-0.0904096600994266,0.1,-0.0333333333333333,0.0010752688172043,0.0890606361713906
"KLF4",-0.142374134570142,-0.104274944567627,-0.0989090909090909,-0.0949090909090909,-0.0909090909090909,-0.160187441424555,-0.150909090909091,-0.0745652537153824,-0.150909090909091,-0.16,-0.0505576776165011,-0.0342352941176471,-0.044,-0.103809523809524,-0.107513227513228,-0.0010752688172043,-0.044,0,-0.08,0.0333333333333333,-0.00859025032938076,-0.100648152715434,-0.0996172248803828,-0.0890909090909091,-0.1,-0.101129216695254,-0.117736385097401,-0.148818369453044,-0.148818369453044,-0.10211161387632,-0.100641025641026,-0.100641025641026,-0.100641025641026,0.125925925925926,0.00303552054342186,0,0.00820793433652531,0.00357189140387725,0.0041945564101039,0.166756206756207,0.00386010824956879,0.135531566838001,0.00588235294117647,0,0.00820793433652531,-0.0581800290946632,0.101491125217149,0.00588235294117647,-0.0898329960210923,0.0333333333333333,-0.090223266809585,0.1,0,0,0.0894351680065966
"ZEB2",-0.255515151515152,-0.244702810417096,-0.240470006184292,-0.232987012987013,-0.212987012987013,-0.18948162104711,-0.179725523486135,-0.177611727551813,-0.16359649122807,-0.158333333333333,-0.150278592375367,-0.145752715370265,-0.143578053687982,-0.142777777777778,-0.141843198338525,-0.140158378207159,-0.139919517102616,-0.137142857142857,-0.136111111111111,-0.128571428571429,-0.118388623196584,-0.115793190416141,-0.114153846153846,-0.112820512820513,-0.111111111111111,-0.0893589743589744,-0.0828078129195266,-0.0630035970598939,-0.0630035970598939,-0.0563443551452117,-0.0505627705627706,-0.0505627705627706,-0.0505627705627706,-0.0422855368817603,0.0196785783024315,0.0227272727272727,0.0242657342657343,0.0250681904647805,0.0257175411141312,0.0267474548746747,0.0267738791423002,0.0274272506300815,0.0293939393939394,0.03,0.0314035087719298,0.0338785463258098,0.0358586599016574,0.0366666666666667,0.0491945077971515,0.05,0.0829638163846757,0.1,0.1,0.134703832752613,0.191867954911433
