"","TGF","FOXC2","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SHH","SMAD","ILK","SMO","FUS","TWIST1","AKT","IKK","NFB","Jagged","Csn","NOTCH","Wnt","GLI","Frizzled","DSH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","LIV1","Destcompl","SUFU","Patched","RKIP"
"TrCP",-0.421596459096459,-0.421850427350427,-0.389850427350427,-0.351388888888889,-0.295833333333333,-0.317743205005579,-0.427878787878788,-0.382693602693603,-0.28,-0.334545454545455,-0.0974607737453587,-0.0890226360814596,-0.10145127033235,-0.089237529874335,-0.0714285714285714,-0.0666666666666667,-0.383884062063214,-0.187199248120301,-0.157675438596491,-0.120833333333333,-0.233572401433692,-0.0833333333333333,-0.245012175906031,0,-0.0333333333333333,0,0,-0.212051282051282,-0.17051282051282,-0.206426312460468,-0.583130493576741,-0.583130493576741,-0.568653948016194,0.538071278825996,0.567683835774775,-0.37883782001602,-0.344426734565674,-0.344426734565674,-0.344426734565674,0.646222117433021,0.335594544814594,0.595550669298291,-0.448115852546876,-0.425767903466254,-0.398324294443697,-0.365985985985986,-0.328148148148148,-0.28,-0.432662584886016,0.0333333333333333,-0.2,-0.384062329325487,0.0666666666666667,0.0773109243697479,0.331030303030303
"SUFU",-0.599279557403869,-0.498136700261012,-0.570011264720942,-0.531301587301587,-0.487301587301587,-0.412968692390595,-0.459210386857446,-0.427837837837838,-0.35,-0.39,-0.158546975711786,-0.247058823529412,-0.152602707749767,-0.142483660130719,-0.222222222222222,-0.2,-0.329667149114094,-0.29701815597338,-0.271645021645022,-0.238311688311688,-0.285525159051475,-0.192857142857143,-0.389980218032341,-0.2,-0.233333333333333,-0.2,-0.2,-0.362083222324186,-0.324733824733825,-0.261739130434783,-0.559758010680908,-0.559758010680908,-0.51592319335163,0.498909090909091,0.462085430699709,-0.431870894797869,-0.407078881486721,-0.407078881486721,-0.407078881486721,0.516485388945584,0.37459486043728,0.571898980815348,-0.337999005113883,-0.318899114883367,-0.296821192805445,-0.270836940836941,-0.23952380952381,-0.196666666666667,-0.43115820422624,0.15,-0.15,-0.348251308263356,0.166666666666667,0.235947712418301,0.424590796362634
"Patched",-0.487301587301587,-0.387301587301587,-0.442857142857143,-0.4,-0.3,-0.331666666666667,-0.35,-0.3,-0.1,-0.2,-0.106666666666667,-0.2,-0.117647058823529,-0.1,-0.233333333333333,-0.2,-0.227333333333333,-0.192857142857143,-0.15,-0.1,-0.204523809523809,0,-0.278787878787879,-0.1,-0.2,-0.1,-0.1,-0.233333333333333,-0.2,-0.213333333333333,-0.431428571428571,-0.431428571428571,-0.413500761035008,0.35,0.350718954248366,-0.345781637717122,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.391136363636364,0.303502188868043,0.438333333333333,-0.270836940836941,-0.23952380952381,-0.196666666666667,-0.15,-0.1,-0.1,-0.321645021645022,0,-0.1,-0.297431457431457,0.2,0.166666666666667,0.31
"Ecadherin",-0.407085623604712,-0.407085623604712,-0.380399406595915,-0.348115942028986,-0.313333333333333,-0.356961271342894,-0.385907250777127,-0.357605363984674,-0.277777777777778,-0.322605363984674,-0.143279513279513,-0.106560283687943,-0.116664813304668,-0.106560283687943,-0.0666666666666667,-0.0333333333333333,-0.41569419289,-0.367887384483129,-0.340614657210402,-0.304444444444444,-0.368639114620976,-0.26,-0.400801506971068,0,0,0,0,-0.375181672260324,-0.342597402597403,-0.270848968105066,-0.384271905289133,-0.384271905289133,-0.47767586406135,0.27781954887218,0.60541807998203,-0.412739392084863,-0.393989392084863,-0.393989392084863,-0.393989392084863,0.588066493241723,0.357666762604921,0.393649094968356,-0.399315642802445,-0.384811046275377,-0.36814437960871,-0.348286223580341,-0.324649859943978,-0.296078431372549,-0.421774891774892,0.2,-0.266666666666667,-0.348558849484686,0,0.0916666666666667,0.362753443739359
"cateninmemb",-0.407085623604712,-0.407085623604712,-0.380399406595915,-0.348115942028986,-0.313333333333333,-0.356961271342894,-0.385907250777127,-0.357605363984674,-0.277777777777778,-0.322605363984674,-0.143279513279513,-0.106560283687943,-0.116664813304668,-0.106560283687943,-0.0666666666666667,-0.0333333333333333,-0.41569419289,-0.367887384483129,-0.340614657210402,-0.304444444444444,-0.368639114620976,-0.26,-0.400801506971068,0,0,0,0,-0.375181672260324,-0.342597402597403,-0.270848968105066,-0.384271905289133,-0.384271905289133,-0.47767586406135,0.27781954887218,0.509546285960398,-0.412739392084863,-0.393989392084863,-0.393989392084863,-0.393989392084863,0.589208795019565,0.357666762604921,0.393649094968356,-0.399315642802445,-0.384811046275377,-0.36814437960871,-0.348286223580341,-0.324649859943978,-0.296078431372549,-0.421774891774892,0.2,-0.266666666666667,-0.348558849484686,0,0.0916666666666667,0.362753443739359
"GSK3",-0.230914206430983,-0.230968794035451,-0.216257434631354,-0.201829573934837,-0.167619047619048,-0.127975655517193,-0.20268646574629,-0.182433301189328,-0.116666666666667,-0.157843137254902,-0.0831772575250836,-0.0697443033157319,-0.0781945196316396,-0.0698463846405206,-0.053974358974359,-0.058974358974359,-0.270300290042512,-0.190238095238095,-0.175952380952381,-0.161666666666667,-0.193715852517699,-0.136666666666667,-0.255989304812834,0,-0.0333333333333333,0,0,-0.239411764705882,-0.222268907563025,-0.148337236533958,-0.364827720393655,-0.364827720393655,-0.40845262544809,0.337723264935654,0.411503348621985,-0.212569801213689,-0.193860123794334,-0.193860123794334,-0.193860123794334,0.479333884890377,0.0228310257868359,0.369970085832019,-0.375317087888576,-0.363063854396405,-0.347111256401874,-0.328270676691729,-0.308270676691729,-0.286842105263158,-0.384879786617272,0.0866666666666667,-0.25,-0.0141694128175039,0.0666666666666667,0.0580559916274202,0.157911485677443
"RKIP",-0.287986425339367,-0.287290222807721,-0.242986425339367,-0.207692307692308,-0.2,-0.199721333186183,-0.225019157088123,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.156077694235589,-0.154807445442875,-0.153754813863928,-0.125,-0.1,-0.368114784113985,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.258543536260005,-0.1,-0.21041181041181,-0.1,-0.1,0,0,-0.156565656565657,-0.111111111111111,-0.055831608005521,-0.364194373401534,-0.364194373401534,-0.624003738443098,0.329411764705882,0.47456648377701,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.541231784702765,0.164381402679275,0.373338426279603,-0.377119387544748,-0.351288185498712,-0.318421052631579,-0.268421052631579,-0.2,-0.1,-0.337271448663854,0.1,0,-0.0227081076332972,0.1,0.151315789473684,0.212669552669553
"miR200",-0.0996863744539077,-0.10012548074346,-0.0832306782513761,-0.0641295546558704,-0.0430769230769231,-0.0743498472445841,-0.0946968805340618,-0.0723088208325692,-0.0142857142857143,-0.0406015037593985,-0.00987773487773488,-0.00573294629898403,-0.0105000789541032,-0.00580693815987934,0,0,-0.218179939816095,-0.0722943280531426,-0.0557894736842105,-0.0357894736842105,-0.111849339880037,-0.02,-0.12952380952381,0,0,0,0,-0.111133004926108,-0.0869950738916256,-0.0953571428571428,-0.353783586508931,-0.353783586508931,-0.312340597435479,0.335988131349608,0.403688724113395,-0.28243855559645,-0.263751686909582,-0.263751686909582,-0.263751686909582,0.433826192120785,0.225390452941197,0.286611813106309,-0.33387579677567,-0.322730285939757,-0.309075667465861,-0.291561543172076,-0.270434782608696,-0.24,-0.340964607036741,0,-0.2,-0.314871086050413,0,0.00188679245283019,0.0584616707681723
"KLF4",-0.380399406595915,-0.380399406595915,-0.348115942028986,-0.313333333333333,-0.266666666666667,-0.33722734673092,-0.357605363984674,-0.322605363984674,-0.2,-0.277777777777778,-0.125184275184275,-0.0916666666666667,-0.106560283687943,-0.0916666666666667,-0.0333333333333333,0,-0.393227232537577,-0.340614657210402,-0.304444444444444,-0.26,-0.35002209334438,-0.2,-0.375181672260324,0,0,0,0,-0.342597402597403,-0.305454545454545,-0.258028455284553,-0.351830433717226,-0.351830433717226,-0.455526453838546,0.242105263157895,0.580525376119369,-0.393989392084863,-0.371508771929825,-0.371508771929825,-0.371508771929825,0.659037921813151,0.343015599814223,0.36013986013986,-0.384811046275377,-0.36814437960871,-0.348286223580341,-0.324649859943978,-0.296078431372549,-0.266666666666667,-0.399264069264069,0.1,-0.233333333333333,-0.338450900515108,0,0.0666666666666667,0.334182015167931
"ZEB2",-0.249890377037721,-0.247761969286746,-0.243326670474015,-0.232647058823529,-0.217647058823529,-0.174585583527196,-0.172321323442835,-0.16359649122807,-0.158333333333333,-0.158333333333333,-0.149285714285714,-0.144202499604493,-0.142406395629118,-0.140263538486261,-0.138285714285714,-0.134285714285714,-0.133203551854103,-0.129679487179487,-0.125833333333333,-0.123611111111111,-0.11402814105972,-0.111111111111111,-0.101965811965812,-0.1,-0.1,-0.1,-0.1,-0.0964102564102564,-0.0897435897435897,-0.0789094239094239,-0.0612799935261731,-0.0612799935261731,-0.0519374066350886,-0.0420563494476538,-0.0389317099800743,-0.023759798302886,-0.0168032765637556,-0.0168032765637556,-0.0168032765637556,0.0110625858819003,0.0127728633644864,0.0243753309730539,0.041110676555317,0.046296846768083,0.0527254181966544,0.0587719298245614,0.0666666666666667,0.08,0.085988455988456,0.1,0.1,0.112844202106567,0.114285714285714,0.140326530612245,0.190128585192738
