"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","TWIST1","cfos","EGR1","SHH","HEY1","AKT","SMAD","IKK","ILK","SMO","Jagged","NFB","NOTCH","FUS","NOTCHic","SNAI2","Csl","Csn","SOSGRB2","RAS","RAF","PI3K","DELTA","ZEB2","ZEB1","KLF4","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","AXIN2","DSH","STAT","miR200","cateninmemb","LIV1","GSK3","Destcompl","Ecadherin","TrCP","SUFU","Patched","RKIP"
"TrCP",-0.370857793075178,-0.378267521613712,-0.359141838553603,-0.336414565826331,-0.295238095238095,-0.38802947678703,-0.28496965668894,-0.36002947678703,-0.289337380011293,-0.327826086956522,-0.28,-0.134097286226318,-0.0960652026927713,-0.146052631578947,-0.100448882061785,-0.129385964912281,-0.090126301416624,-0.108986175115207,-0.15350864860259,-0.108333333333333,-0.168351648351648,-0.0928571428571428,-0.150769230769231,-0.425798869891081,-0.130769230769231,-0.0833333333333333,-0.173184818481848,-0.25768997966272,-0.239053616026356,-0.239053616026356,-0.239053616026356,-0.568442780313026,-0.568442780313026,0.53472339318241,-0.26859351396463,-0.257972824309458,-0.244012741881805,-0.244269120605754,-0.226939571150097,-0.227437437437437,-0.208518518518518,-0.208518518518518,-0.276519812869845,-0.19,-0.19,0.58228430273817,0.331209667390616,-0.15,0.232562770562771,-0.247293545065984,0.352967854664183,0.0333333333333333,0.0761904761904762,0.120097286226318,0.309285889064895
"SUFU",-0.489511940842952,-0.580054674465477,-0.554610887483228,-0.519504504504505,-0.481666666666667,-0.457382915446012,-0.40204016281625,-0.428872277148139,-0.320554431952519,-0.393240093240093,-0.353846153846154,-0.355653348153348,-0.158132769971429,-0.289774024633085,-0.154722278392099,-0.267626373626374,-0.145253456221198,-0.318611111111111,-0.259478443124381,-0.236857142857143,-0.372828282828283,-0.290833333333333,-0.350606060606061,-0.482271739197049,-0.318787878787879,-0.192857142857143,-0.289528892160471,-0.409878303328165,-0.391523872948419,-0.391523872948419,-0.391523872948419,-0.558150497383106,-0.558150497383106,0.501549632974488,-0.284724101599939,-0.271987528709913,-0.362125869793156,-0.257041876536,-0.343910256410256,-0.238996763754045,-0.320833333333333,-0.216666666666667,-0.3950564211188,-0.2875,-0.183333333333333,0.57026516720926,0.37541876081414,-0.15,0.357428680745386,-0.320850269398724,0.377841843307145,0.15,0.253333333333333,0.339823232323232,0.415470229328845
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.325268817204301,-0.3,-0.233333333333333,-0.2,-0.1,-0.290833333333333,-0.105128205128205,-0.192857142857143,-0.12,-0.15,-0.1,-0.333333333333333,-0.196190476190476,-0.1,-0.278787878787879,-0.3,-0.233333333333333,-0.401716475095785,-0.2,0,-0.25,-0.341346153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.433333333333333,-0.433333333333333,0.355555555555556,-0.238996763754045,-0.216666666666667,-0.2875,-0.183333333333333,-0.25,-0.15,-0.2,-0.1,-0.312554112554113,-0.2,-0.1,0.440476190476191,0.30005376344086,-0.1,0.3003663003663,-0.285954045954046,0.299252966558792,0,0.2,0.253333333333333,0.302857142857143
"Ecadherin",-0.418330966095899,-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.357600275958597,-0.364959479574398,-0.433558622704203,-0.328877005347594,-0.281818181818182,-0.34369602489205,-0.128084864208038,-0.368465608465608,-0.115086781064673,-0.33989417989418,-0.105159420289855,-0.297916666666667,-0.368934767066228,-0.302857142857143,-0.402711321319014,-0.266666666666667,-0.376317269274404,-0.481865909986538,-0.342296650717703,-0.26,-0.295863049562156,-0.417862601852086,-0.399426847662142,-0.399426847662142,-0.399426847662142,-0.388638186629104,-0.388638186629104,0.30464135021097,-0.395514997694476,-0.383003326359275,-0.369115587213233,-0.368183899211081,-0.350448920546567,-0.349789250381649,-0.326310989512084,-0.326310989512084,-0.422094402332204,-0.296078431372549,-0.296078431372549,0.39776370329443,0.595481589323053,-0.266666666666667,0.361523008838878,-0.347612855064218,0.557043152096701,0.2,0.233333333333333,0.324798387096774,0.359011578754757
"cateninmemb",-0.418330966095899,-0.400958229585584,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.39515555800577,-0.357600275958597,-0.364959479574398,-0.433558622704203,-0.328877005347594,-0.281818181818182,-0.34369602489205,-0.128084864208038,-0.368465608465608,-0.115086781064673,-0.33989417989418,-0.105159420289855,-0.297916666666667,-0.368934767066228,-0.302857142857143,-0.402711321319014,-0.266666666666667,-0.376317269274404,-0.481865909986538,-0.342296650717703,-0.26,-0.295863049562156,-0.417862601852086,-0.399426847662142,-0.399426847662142,-0.399426847662142,-0.388638186629104,-0.388638186629104,0.30464135021097,-0.395514997694476,-0.383003326359275,-0.369115587213233,-0.368183899211081,-0.350448920546567,-0.349789250381649,-0.326310989512084,-0.326310989512084,-0.422094402332204,-0.296078431372549,-0.296078431372549,0.39776370329443,0.499531670533484,-0.266666666666667,0.361523008838878,-0.347612855064218,0.557887571332726,0.2,0.233333333333333,0.324798387096774,0.359011578754757
"RKIP",-0.291408782788093,-0.313413440142412,-0.267619047619048,-0.22,-0.2,-0.227666911225238,-0.214233560028769,-0.187241379310345,-0.353903743315508,-0.17,-0.17,-0.202032786885246,-0.159581881533101,-0.156168831168831,-0.156725110893631,-0.110714285714286,-0.153754813863928,-0.14,-0.237264532298488,-0.0857142857142857,-0.202719502719503,-0.1,-0.156565656565657,-0.590145130267529,-0.111111111111111,-0.1,-0.0613968253968254,-0.0735070485070485,-0.0418831168831169,-0.0418831168831169,-0.0418831168831169,-0.372663797226208,-0.372663797226208,0.332663797226208,-0.316483529862397,-0.298417372101583,-0.280769230769231,-0.278137651821862,-0.25,-0.247368421052632,-0.2,-0.2,-0.304735114861697,-0.1,-0.1,0.380952950808151,0.390914780326545,0,0.147044917257683,0.00814214187417128,0.421326577340462,0.1,0.1,0.184,0.226050420168067
"GSK3",-0.219095787932997,-0.241409576637572,-0.229614704842701,-0.220207039337474,-0.194492753623188,-0.193350121813744,-0.126879323350506,-0.179145576359199,-0.238093160930158,-0.160348583877996,-0.119607843137255,-0.124336377077844,-0.0864721471021916,-0.173719053934571,-0.0822352736979054,-0.163462643678161,-0.0748889468613236,-0.103442256668063,-0.158666210796392,-0.155416666666667,-0.22346956964604,-0.10021645021645,-0.211261777438248,-0.350498053120169,-0.202170868347339,-0.136666666666667,-0.14584059540384,-0.168899946295061,-0.155244484110187,-0.155244484110187,-0.155244484110187,-0.370485581231501,-0.370485581231501,0.347316286627302,-0.297402994144499,-0.290429309933973,-0.280687382533285,-0.28054507128749,-0.266536439137058,-0.266735547477966,-0.251503759398496,-0.251503759398496,-0.318471761379242,-0.240789473684211,-0.240789473684211,0.376477550990273,0.289112281688756,-0.225,-0.0114657366811096,0.0301272748813575,0.310957652854992,0.0866666666666667,0.0954545454545455,0.111417716790763,0.160960793592373
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.364959479574398,-0.33671420000923,-0.328877005347594,-0.410653594771242,-0.281818181818182,-0.2,-0.324798387096774,-0.111306340718105,-0.33989417989418,-0.105159420289855,-0.302857142857143,-0.0906666666666667,-0.266666666666667,-0.351772295670347,-0.26,-0.376317269274404,-0.233333333333333,-0.342296650717703,-0.460372833526574,-0.305454545454545,-0.2,-0.28138936535163,-0.399426847662142,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.354514963880289,-0.354514963880289,0.266666666666667,-0.383003326359275,-0.368183899211081,-0.350448920546567,-0.349789250381649,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.400444917796122,-0.266666666666667,-0.266666666666667,0.362568172568173,0.574327743169207,-0.233333333333333,0.346953472415037,-0.338479583861982,0.634355712953565,0.1,0.2,0.297916666666667,0.328674500103071
"miR200",0.0612438509999486,0.0741499713163585,0.0660104364326376,0.0595588235294118,0.0458333333333333,0.058126159554731,0.0525539275539275,0.0479220779220779,0.139911193101377,0.0342857142857143,0.0142857142857143,0.0358989176297927,0.0084180790960452,0.0413817562774862,0.00980684682240984,0.0338345864661654,0.00635857096034087,0.0266666666666667,0.0423262686805722,0.0252631578947368,0.0600016698672456,0.02,0.0515270935960591,0.18228426121305,0.0446305418719212,0.02,0.0583462282398453,0.169218142931993,0.161986222732491,0.161986222732491,0.161986222732491,-0.282894265232975,-0.282894265232975,0.292080745341615,0.149016877736543,0.145380514100179,0.139353660424083,0.139824958544624,0.133859154929577,0.134206981016534,0.124,0.124347826086957,0.185170162405775,0.12,0.12,0.217456418849399,-0.179143082599589,0.1,-0.102535190582771,0.175343428818289,-0.0937362111404657,0,-0.02,-0.030464135021097,-0.0424147842394429
"ZEB2",-0.268352758352758,-0.260878169449598,-0.251354359925789,-0.232987012987013,-0.212987012987013,-0.194359669827598,-0.19023417950896,-0.179725523486135,-0.167694895157153,-0.16359649122807,-0.158333333333333,-0.150823566677225,-0.150278592375367,-0.149319833852544,-0.143578053687982,-0.142777777777778,-0.139919517102616,-0.137142857142857,-0.137000574882907,-0.136111111111111,-0.131924337957125,-0.128571428571429,-0.124820512820513,-0.114251040282693,-0.112820512820513,-0.111111111111111,-0.0970512820512821,-0.0806965803646746,-0.0710606060606061,-0.0710606060606061,-0.0710606060606061,-0.0677940162215706,-0.0677940162215706,-0.0422855368817603,-0.0193742198004615,-0.0132703236965654,-0.0132219156989799,-0.0062280701754386,-0.00496503496503496,0.00210526315789474,0.00272727272727273,0.01,0.0178110209186551,0.0227272727272727,0.03,0.0306028765614217,0.0350044867942657,0.05,0.0547534033807331,0.0570601776935025,0.0695303633779447,0.1,0.1,0.144459930313589,0.200756843800322
