"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","cfos","EGR1","HEY1","SMAD","ILK","FUS","SMO","SHH","TWIST1","AKT","IKK","NFB","Jagged","Csn","NOTCH","NOTCHic","DSH","Csl","SOSGRB2","Frizzled","Wnt","GLI","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","LIV1","Destcompl","SUFU","Patched","RKIP"
"TrCP",-0.364764637562342,-0.26759320717855,-0.259396485867074,-0.251820728291317,-0.238095238095238,-0.395419307295505,-0.226442208688062,-0.363419307295505,-0.327826086956522,-0.28,-0.0896757503601141,-0.0873903396484041,-0.0815838880355009,-0.0142857142857143,0.00829493087557604,0.0318751777891563,-0.348491153773762,-0.185453216374269,-0.157675438596491,-0.120833333333333,-0.229134500681663,-0.0833333333333333,-0.243919413919414,-0.212051282051282,0.28,-0.17051282051282,-0.161688668866887,0.328148148148148,0.364990253411306,0.395721960728379,-0.527092624249729,-0.527092624249729,-0.562776218514923,0.500084829560239,0.55971209252643,-0.375839069798898,-0.34356634252617,-0.34356634252617,-0.34356634252617,0.625059953367921,0.333535714285714,0.542048885390181,-0.442810916754925,-0.423224709858373,-0.397669154302818,-0.365985985985986,-0.328148148148148,-0.28,-0.432230070948353,0.0333333333333333,-0.2,-0.38306107592633,0.0476190476190476,-0.0218751777891563,0.262404538371389
"SUFU",-0.334035658153684,-0.312091200479089,-0.30518784742189,-0.29454954954955,-0.278333333333333,-0.379082717233854,-0.239946727591177,-0.358231653404067,-0.331794871794872,-0.298461538461538,-0.123812785782403,-0.113678393754383,-0.10836661546339,-0.0533333333333333,-0.0422222222222222,-0.0265676065676066,-0.261673052565454,-0.275243307028542,-0.25578021978022,-0.228857142857143,-0.260428561889226,-0.192857142857143,-0.372828282828283,-0.350606060606061,0.0875,-0.318787878787879,-0.197803950435529,0.126388888888889,0.153311965811966,0.174501556890033,-0.415187741213099,-0.415187741213099,-0.490909272419598,0.378303229606361,0.428675412567964,-0.415346491930233,-0.394143960284663,-0.394143960284663,-0.394143960284663,0.454421031365857,0.363176603142595,0.420374193889337,-0.316971996662669,-0.301780180805891,-0.283573659066761,-0.261769147788565,-0.235555555555556,-0.196666666666667,-0.420228282707699,0.15,-0.15,-0.340599641463761,0.0533333333333333,0.0331313131313131,0.261630081585899
"RKIP",-0.266504568228706,-0.216875834445928,-0.202857142857143,-0.193333333333333,-0.2,-0.219156272927366,-0.153014867214742,-0.187241379310345,-0.17,-0.17,-0.159581881533101,-0.152764714854027,-0.153754813863928,-0.1,-0.1,-0.0779672131147541,-0.351883541295306,-0.156168831168831,-0.110714285714286,-0.0857142857142857,-0.258543536260005,-0.1,-0.21041181041181,-0.156565656565657,0.1,-0.111111111111111,-0.0453968253968254,0.2,0.26,0.31,-0.346907699665232,-0.346907699665232,-0.623057061257796,0.322907699665232,0.47362909127615,-0.0945637695637696,-0.050974025974026,-0.050974025974026,-0.050974025974026,0.535239733731453,0.164381402679275,0.357901905027837,-0.376479025193368,-0.351288185498712,-0.318421052631579,-0.268421052631579,-0.2,-0.1,-0.337271448663854,0.1,0,-0.0227081076332972,0.1,0.096,0.185854341736695
"Patched",-0.265,-0.278333333333333,-0.253333333333333,-0.233333333333333,-0.233333333333333,-0.298461538461538,-0.205913978494624,-0.26,-0.2,-0.1,-0.0897435897435897,-0.0933333333333333,-0.0833333333333333,-0.1,-0.133333333333333,-0.0533333333333333,-0.190740740740741,-0.192857142857143,-0.15,-0.1,-0.196190476190476,0,-0.278787878787879,-0.233333333333333,0,-0.2,-0.166666666666667,0,0.05,0.0875,-0.341666666666667,-0.341666666666667,-0.404383141762452,0.283333333333333,0.337060931899642,-0.341346153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.358131067961165,0.3003663003663,0.342857142857143,-0.261769147788565,-0.235555555555556,-0.196666666666667,-0.15,-0.1,-0.1,-0.321645021645022,0,-0.1,-0.296063936063936,0.2,0.0533333333333333,0.202857142857143
"miR200",-0.0674820572381548,-0.00867496285836165,-0.00518659076533839,-0.00196078431372549,0,-0.0726592455163884,-0.0223302623302623,-0.057012987012987,-0.0342857142857143,-0.0142857142857143,-0.00502824858757062,-0.00245235387133465,-0.000884955752212389,0.0325,0.0458333333333333,0.0623027884791781,-0.197631244011612,-0.070883813306852,-0.0557894736842105,-0.0357894736842105,-0.108931990729641,-0.02,-0.128647129219894,-0.111133004926108,0.24,-0.0869950738916256,-0.0583462282398453,0.268,0.28912676056338,0.305610277046897,-0.323212365591398,-0.323212365591398,-0.308266104268895,0.314285714285714,0.398322584407552,-0.280016014307897,-0.262809031764256,-0.262809031764256,-0.262809031764256,0.420888359945609,0.223777094441573,0.257284592997619,-0.330111002451872,-0.320717063057933,-0.308415475756346,-0.291561543172076,-0.270434782608696,-0.24,-0.340539600859325,0,-0.2,-0.314036462201535,-0.02,-0.0546940928270042,0.01918897778783
"GSK3",-0.184250258105827,-0.116620325591694,-0.113543402514771,-0.111801242236025,-0.0994202898550725,-0.172106067307306,-0.0587563997624665,-0.158469703670942,-0.141176470588235,-0.107843137254902,-0.0734934624460619,-0.0647496817102386,-0.0601020055483195,0.0147186147186147,0.0308476469766792,0.0399884577319556,-0.239741840888697,-0.186276156793398,-0.174310344827586,-0.161666666666667,-0.187263291522069,-0.136666666666667,-0.253158018452136,-0.238352823646941,0.286842105263158,-0.222268907563025,-0.108799051204043,0.308270676691729,0.327224925057742,0.344206057133214,-0.316709056701253,-0.316709056701253,-0.400852502048006,0.30045507567883,0.40114803143034,-0.207799386566969,-0.191202747911507,-0.191202747911507,-0.191202747911507,0.457849416569855,0.0196083168325427,0.32325175732607,-0.368421147074902,-0.358421147074902,-0.344618831847831,-0.327475974704974,-0.308270676691729,-0.286842105263158,-0.38307262869072,0.0866666666666667,-0.25,-0.0122467426245203,0.00909090909090909,-0.0375961132343479,0.101544332860122
"TCFLEF",0.0793100183154643,-0.031558993520977,-0.0352013776269373,-0.0361359570661896,-0.0384615384615385,0.189406006304961,0.0819427388046635,0.186004645760743,0.185052264808362,0.172857142857143,0.0526814476480477,0.0109281640278923,0.00958973190552138,-0.106666666666667,-0.101904761904762,-0.0901592641806376,0.0791616225464618,0.167251889765214,0.162904063678257,0.16612987012987,0.0985755415013678,0.17012987012987,0.243396235408514,0.23974175035868,-0.0941176470588235,0.243663318986131,-0.00730170428374021,-0.0891176470588235,-0.0916817496229261,-0.0978929297471497,-0.161027423356371,-0.161027423356371,0.22713064760296,0.168759549274255,-0.12173494870318,0.240035637499548,0.237276110561309,0.237276110561309,0.237276110561309,-0.144097171536465,-0.230948804743115,0.167836106330082,-0.00045644034799841,-0.00372104515899497,0.0913534107402032,0.0850641025641026,0.0825,0.0875,0.43982905982906,-0.142857142857143,0.1,0.225591372730901,0.1,0.0938402457757296,-0.0792101758736281
"Ecadherin",-0.235666206857585,-0.0450460392751223,-0.0387169253510717,-0.0304242424242424,-0.0210909090909091,-0.27337853979455,-0.0995722250963713,-0.25651579469651,-0.234866310160428,-0.205454545454545,-0.0533848780512815,-0.0245799908762326,-0.020463768115942,0.25,0.2625,0.275538692744052,-0.331441754603766,-0.337441077441077,-0.319259259259259,-0.293333333333333,-0.335917447974577,-0.26,-0.381022302082155,-0.362806688699255,0.296078431372549,-0.337033492822967,-0.144256868586561,0.321659826721386,0.340625343962766,0.355292010629432,-0.0820900767391017,-0.0820900767391017,-0.450293668099783,0.0385841537740272,0.566013084702109,-0.394969791956318,-0.380723981900453,-0.380723981900453,-0.380723981900453,0.50874326823817,0.345526005637469,0.079029429085295,-0.375687457874057,-0.365883536305429,-0.354301967189614,-0.339920696286604,-0.321659826721386,-0.296078431372549,-0.41085271431473,0.2,-0.266666666666667,-0.340675941334439,-0.233333333333333,-0.27002688172043,0.111514364002325
"cateninmemb",-0.235666206857585,-0.0450460392751223,-0.0387169253510717,-0.0304242424242424,-0.0210909090909091,-0.27337853979455,-0.0995722250963713,-0.25651579469651,-0.234866310160428,-0.205454545454545,-0.0533848780512815,-0.0245799908762326,-0.020463768115942,0.25,0.2625,0.275538692744052,-0.331441754603766,-0.337441077441077,-0.319259259259259,-0.293333333333333,-0.335917447974577,-0.26,-0.381022302082155,-0.362806688699255,0.296078431372549,-0.337033492822967,-0.144256868586561,0.321659826721386,0.340625343962766,0.355292010629432,-0.0820900767391017,-0.0820900767391017,-0.450293668099783,0.0385841537740272,0.470181770971509,-0.394969791956318,-0.380723981900453,-0.380723981900453,-0.380723981900453,0.5101820892067,0.345526005637469,0.079029429085295,-0.375687457874057,-0.365883536305429,-0.354301967189614,-0.339920696286604,-0.321659826721386,-0.296078431372549,-0.41085271431473,0.2,-0.266666666666667,-0.340675941334439,-0.233333333333333,-0.27002688172043,0.111514364002325
"KLF4",-0.222622728596715,-0.0387169253510717,-0.0304242424242424,-0.0210909090909091,-0.00909090909090909,-0.25651579469651,-0.0919772883875105,-0.234866310160428,-0.205454545454545,-0.16,-0.0446600458365164,-0.020463768115942,-0.0146666666666667,0.233333333333333,0.25,0.27002688172043,-0.318592592592593,-0.319259259259259,-0.293333333333333,-0.26,-0.324246967425378,-0.2,-0.362806688699255,-0.337033492822967,0.266666666666667,-0.305454545454545,-0.138993710691824,0.296078431372549,0.321659826721386,0.340625343962766,-0.0697678018575851,-0.0697678018575851,-0.434580242452583,0.0259259259259259,0.549218212907237,-0.380723981900453,-0.363076923076923,-0.363076923076923,-0.363076923076923,0.590924378267382,0.334267727491774,0.0665527065527066,-0.365883536305429,-0.354301967189614,-0.339920696286604,-0.321659826721386,-0.296078431372549,-0.266666666666667,-0.393326941118854,0.1,-0.233333333333333,-0.333127013095855,-0.2,-0.2625,0.0991548134405277
