"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","SMAD","ILK","HEY1","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0575737114886265,0.0261867691475904,0.0291807811236383,0.0273141144569716,0.0210204081632653,0.0518591361600828,0.0625641025641026,0.0963387806550135,0.0529207072853482,0.0534731934731935,0.0137236562989215,0.0133677844128005,0.0133677844128005,-0.119854447227194,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.111877394636015,-0.0395063677681726,-0.111877394636015,0.0523809523809524,-0.0615227986225714,-0.203442038325066,-0.233687286024118,0.214950442165628,0.192752926755859,0.192752926755859,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.0513929238866161,-0.204377192879489,-0.0887065716616701,-0.186576108123173,-0.185758339602481,-0.186064075353076,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199686203950491,0.116540607071248,-0.122512872051445
"AXIN2",0.110735221220448,0.0646949538177974,0.0638602292768959,0.0647530864197531,0.0783333333333333,0.111807866676798,0.153333333333333,0.155461955461955,0.117363422232353,0.131382113821138,0.0180841959972395,0.0220841959972395,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.152930402930403,-0.0369198527687115,-0.157692307692308,0.122222222222222,-0.0772774023545412,-0.25299379463763,-0.2770293397946,0.249364044172989,0.245359499541986,0.245359499541986,0.0667622309742845,0.069649370081896,0.069649370081896,0.0626237661825951,-0.259503137615992,-0.170421160202625,-0.239911107286055,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178917710348573
"Wnt",0.175218295218295,0.202222222222222,0.146666666666667,0.1,0.1,0.119607843137255,0.1,0.102753623188406,0.0666666666666667,0.0666666666666667,0.0566487775790101,0.058974358974359,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.05,0.221659125188537,0,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,-0.334703389830508,0.302745098039216,0.302745098039216,0.150615174299385,0.118796992481203,0.118796992481203,-0.401767935370086,-0.305185185185185,-0.0729623824451411,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.117826086956522
"Frizzled",0.211688883453589,0.238760683760684,0.202222222222222,0.146666666666667,0.1,0.163004069552349,0.0666666666666667,0.117507721549062,0.119607843137255,0.0666666666666667,0.0633154442456768,0.0566487775790101,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.0866666666666667,0.0954545454545455,0.243563887093299,0.05,0.0666666666666667,0.127272727272727,-0.299330463892874,0.368106721955478,-0.366332782801755,0.336745098039216,0.336745098039216,0.173449819968676,0.150615174299385,0.150615174299385,-0.436509719407645,-0.34010582010582,-0.0929623824451411,0.348417702896615,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.139254658385093
"HEY1",0.387777226084078,0.371751964385628,0.340068796068796,0.307636363636364,0.263636363636364,0.36429367201426,0.2,0.332291021671827,0.328877005347594,0.281818181818182,0.105372549019608,0.0906666666666667,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.411024291618351,0.233333333333333,0.2,0.28138936535163,-0.265618448637317,0.464864059106832,-0.592542735042735,0.352303197789183,0.352303197789183,0.400897435897436,0.375897435897436,0.375897435897436,-0.672499957949463,-0.360540540540541,-0.348106210167198,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.325811688311688
"FOXC2",0.387777226084078,0.371751964385628,0.340068796068796,0.307636363636364,0.263636363636364,0.36429367201426,0.2,0.332291021671827,0.328877005347594,0.281818181818182,0.105372549019608,0.0906666666666667,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.266666666666667,0.411024291618351,0.233333333333333,0.2,0.28138936535163,-0.265618448637317,0.464864059106832,-0.592542735042735,0.352303197789183,0.352303197789183,0.400897435897436,0.375897435897436,0.375897435897436,-0.672499957949463,-0.360540540540541,-0.348106210167198,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.325811688311688
"DSH",0.2297505574624,0.25748859895503,0.238760683760684,0.202222222222222,0.146666666666667,0.19082361842453,0.0666666666666667,0.132983912025252,0.163004069552349,0.119607843137255,0.076292543482318,0.0633154442456768,0.0633154442456768,0.131218921331123,0.176609195402299,0.161666666666667,0.136666666666667,0.10974025974026,0.26154949860409,0.0954545454545455,0.0866666666666667,0.155667789001122,-0.330703012912482,0.3917048527966,-0.393583967635878,0.361745098039216,0.361745098039216,0.195578671509292,0.173449819968676,0.173449819968676,-0.463798608296533,-0.366813894639982,-0.11036377455651,0.365412336170318,0.328532114600226,0.348417702896615,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00442125546611502,-0.119417679095098,-0.158679118816748
"RAF",0.294835164835165,0.320187617260788,0.266341463414634,0.22,0.2,0.226371814092954,0.17,0.21940379403794,0.187241379310345,0.17,0.156785116894231,0.153754813863928,0.153754813863928,0.208590163934426,0.156168831168831,0.110714285714286,0.0857142857142857,0.14,0.373743216557043,0.1,0.1,0.0613968253968254,-0.331078431372549,0.624195488721805,-0.47456648377701,0.371284616939559,0.371284616939559,0.0945637695637696,0.050974025974026,0.050974025974026,-0.542820998701618,-0.379361438561439,-0.164381402679275,0.377119387544748,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.224992605737947
"PI3K",0.253326118326118,0.272387479581997,0.233043217286915,0.177941176470588,0.125,0.191512605042017,0.0666666666666667,0.171899951899952,0.148179271708683,0.0952380952380952,0.0800609024097444,0.0694917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.275753317720531,0.05,0.166666666666667,0.163461538461538,-0.335600970511385,0.395185894850074,-0.396535009351849,0.373741418764302,0.373741418764302,0.21635343651782,0.18621645021645,0.18621645021645,-0.471174854255112,-0.37425902864259,-0.18481240981241,0.381017507016033,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.163327731092437
"ILK",0.253326118326118,0.272387479581997,0.233043217286915,0.177941176470588,0.125,0.191512605042017,0.0666666666666667,0.171899951899952,0.148179271708683,0.0952380952380952,0.0800609024097444,0.0694917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.252941176470588,0.2,0.1,0.275753317720531,0.05,0.166666666666667,0.163461538461538,-0.335600970511385,0.395185894850074,-0.396535009351849,0.373741418764302,0.373741418764302,0.21635343651782,0.18621645021645,0.18621645021645,-0.471174854255112,-0.37425902864259,-0.18481240981241,0.381017507016033,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.163327731092437
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0,0.283333333333333,0.2,0.1,0.1,0.0666666666666667,0.0666666666666667,0.253333333333333,0.15,0.1,0,0.3,0.2,0.2,0,0.25,-0.3,0.36727969348659,-0.299068100358423,0.375,0.375,0.303846153846154,0.25,0.25,-0.341666666666667,-0.383333333333333,-0.271794871794872,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"SNAI2",0.423837862759764,0.410212881509142,0.374992755722979,0.333613445378151,0.276470588235294,0.393237294917967,0.2,0.367774435372201,0.349019607843137,0.288235294117647,0.112267809757093,0.0934272300469483,0.0934272300469483,0.365447812927988,0.36889281262983,0.326724137931034,0.275,0.301176470588235,0.447155155946255,0.26,0.2,0.323799864773496,-0.285905550146056,0.710709954072689,-0.63740252833956,0.377048236577385,0.377048236577385,0.442051352058506,0.412827607766268,0.412827607766268,-0.80811998606693,-0.38521271970188,-0.386470390385003,0.449418177528942,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.353016206482593
"cateninnuc",0.391548677273202,0.37581396332142,0.355371974371144,0.329209183673469,0.297959183673469,0.373544653317703,0.297101449275362,0.332708776695612,0.352248357021407,0.326133707339878,0.111454394084439,0.103376399655469,0.103376399655469,0.217679959739707,0.345489501312336,0.328166666666667,0.304166666666667,0.18792349726776,0.322618151442804,0.163333333333333,0.270833333333333,0.259230309213072,-0.297748917748918,0.463052611857375,-0.408698960455983,0.37860986918364,0.37860986918364,0.388498143434852,0.372717552717553,0.372717552717553,-0.491132667608308,-0.386002613248057,-0.337898498740415,0.181347085374613,0.254721529215275,0.268475247732133,0.238054862548609,0.253760533017419,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395445557923643,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319604303694069,-0.204904629343231,-0.346482401214891
"RAS",0.336349206349206,0.358611111111111,0.3075,0.27,0.25,0.302657004830918,0.25,0.30459595959596,0.272222222222222,0.25,0.157777777777778,0.155555555555556,0.155555555555556,0.194866310160428,0.213752913752914,0.174358974358974,0.166666666666667,0.12,0.371904761904762,0.1,0.2,0.00505050505050504,-0.342857142857143,0.566471163245357,-0.391563115205922,0.382392026578073,0.382392026578073,0.146903073286052,0.202222222222222,0.202222222222222,-0.461402137800871,-0.391727053140097,-0.209761904761905,0.397687728937729,0.331472868217054,0.368937728937729,0.273333333333333,0.33047619047619,0.273333333333333,0.2,0.2,0.1,0.1,0.344516129032258,-0.2,-0.1,0,-0.0438338368638682,-0.165454545454545,-0.389772727272727
"SOSGRB2",0.360774764451235,0.384158926728586,0.334158926728586,0.292982456140351,0.266666666666667,0.34907898970399,0.276190476190476,0.338613789073912,0.31470398970399,0.301190476190476,0.258478163393418,0.253292978208232,0.253292978208232,0.300596672403901,0.339460971268752,0.304678362573099,0.288888888888889,0.233333333333333,0.396938775510204,0.2,0.3,-0.0305882352941177,-0.353945249597423,0.642777138049698,-0.490576527866918,0.392291114259078,0.392291114259078,0.332280934972859,0.285875706214689,0.285875706214689,-0.559381983263655,-0.40195184932027,-0.314813068455264,0.396255459933969,0.330223880597015,0.367515302453654,0.275,0.329136924075276,0.273913043478261,0.2,0.2,0.1,0.1,0.344886363636364,-0.2,-0.2,0,-0.0375036075036075,-0.27047619047619,-0.364321772931496
"AKT",0.276990240463523,0.297158121783832,0.272387479581997,0.233043217286915,0.177941176470588,0.22062652909265,0.0952380952380952,0.193750851642882,0.191512605042017,0.148179271708683,0.0923058003689281,0.0800609024097444,0.0800609024097444,0.149072558647027,0.195210018739431,0.276018099547511,0.252941176470588,0.115384615384615,0.299592327008457,0.1,0.2,0.19604580812446,-0.36835959120104,0.423210088398461,-0.427887468368242,0.403112048134931,0.403112048134931,0.243100424469627,0.21635343651782,0.21635343651782,-0.503487258543014,-0.404150332990416,-0.205376925941442,0.400245306243832,0.357752076547316,0.381017507016033,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.0042615656558265,-0.132051282051282,-0.188168495423647
"MEK",0.336653346653347,0.363569970201964,0.320187617260788,0.266341463414634,0.22,0.173829441211598,0.17,0.24564964121402,0.226371814092954,0.187241379310345,0.16587602598514,0.156785116894231,0.156785116894231,0.227795461947671,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.406343949157776,0.14,0.0857142857142857,0.0917339040485108,-0.368452168746286,0.658834411610421,-0.511927766144458,0.409187842746011,0.409187842746011,0.129801864801865,0.0945637695637696,0.0945637695637696,-0.5840733007274,-0.417531785564593,-0.192145530443403,0.399893520628159,0.352867132867133,0.377119387544748,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0426242501909492,-0.208590163934426,-0.256571553106368
"CD44",0.367179487179487,0.360504201680672,0.342857142857143,0.3,0.2,0.407222222222222,0.3,0.358524217520546,0.385,0.325,0.198888888888889,0.183333333333333,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.343549783549783,0.1,0.2,-0.00238095238095239,-0.275,0.438323326158378,-0.143142857142857,0.415,0.415,0.203809523809524,0.166666666666667,0.166666666666667,-0.279283121597096,-0.426050420168067,-0.223809523809524,0.130568475452196,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.413703703703704
"IKK",0.497414965986395,0.528869338546758,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.1,0.291915313734094,0.178857142857143,0.142857142857143,0.18578795379538,0.172916666666667,0.172916666666667,0.2557343550447,0.321042471042471,0.264285714285714,0.314285714285714,0.18,0.532549019607843,0.12,0.3,0.301890756302521,-0.363369963369963,0.660347091652491,-0.569256032607988,0.424994303941672,0.424994303941672,0.380598655453593,0.334119782214156,0.334119782214156,-0.682680755730418,-0.428530502190765,-0.224505494505495,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.276666666666667
"Csn",0.252926761347814,0.279227832491911,0.251867057673509,0.206060606060606,0.145454545454545,0.243997208931419,0.106666666666667,0.163619638357378,0.208580542264753,0.161212121212121,0.0822945034891462,0.0688230008984726,0.0688230008984726,0.139518773829624,0.205766666666667,0.184166666666667,0.155,0.108513708513709,0.294588117368325,0.0873015873015873,0.105,0.171446014303157,-0.398554917069348,0.438028538712958,-0.441846641456049,0.436081013276524,0.436081013276524,0.237302312331696,0.209087341122483,0.209087341122483,-0.516084738165759,-0.443908683502484,-0.149229914302437,0.419352365512489,0.37427547866515,0.39860447648957,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0503179445388557,-0.124642740771773,-0.179567567907553
"ERK",0.365921639336273,0.39355602320057,0.363569970201964,0.320187617260788,0.266341463414634,0.209024971937855,0.187241379310345,0.268284371752942,0.173829441211598,0.226371814092954,0.177331134344273,0.16587602598514,0.16587602598514,0.245240179392389,0.210580595874714,0.185580595874714,0.156168831168831,0.208590163934426,0.432332649722747,0.184,0.110714285714286,0.123417072365342,-0.403097838037625,0.687567956776105,-0.544022517653979,0.441550302292937,0.441550302292937,0.157837184890165,0.129801864801865,0.129801864801865,-0.618243454144416,-0.451032412917165,-0.213821304578193,0.419529502427249,0.378307938912473,0.399893520628159,0.352867132867133,0.377119387544748,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.41142455772724,-0.0857142857142857,-0.14,0.2,0.0582468917003832,-0.227795461947671,-0.284525443596282
"STAT",0.219722222222222,0.212503518153673,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.2,0.150106829719284,0.191764705882353,0.18,0.0649619634627131,0.0615136876006441,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.02,0.045,0.0809071591018853,0.025,0,-0.0069376026272578,-0.326728064963359,0.104995176821802,-0.0628629869659736,0.443869183025809,0.443869183025809,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.205984841796826,-0.459279674281075,0.0427236315086783,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.172651637812928
"cMet",0.392820512820513,0.393837535014006,0.360504201680672,0.342857142857143,0.3,0.412676767676768,0.325,0.392452788949117,0.407222222222222,0.385,0.21042735042735,0.198888888888889,0.198888888888889,0.207272727272727,0.2725,0.26,0.266666666666667,0.15,0.384458874458874,0.15,0.2,0.00476190476190475,-0.315,0.486830788844945,-0.193696362677913,0.449042553191489,0.449042553191489,0.245318957771788,0.203809523809524,0.203809523809524,-0.326512673048284,-0.459383753501401,-0.259293394777266,0.162545219638243,0.086969696969697,0.130568475452196,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.128263534554544,-0.177272727272727,-0.442005590496157
"SRC",0.395469236645707,0.386957671957672,0.355476190476191,0.331666666666667,0.325,0.324273504273504,0.3,0.299155991022853,0.308888888888889,0.32,0.111517273576097,0.108660130718954,0.108660130718954,0.0964102564102564,0.169457013574661,0.157692307692308,0.15,0.0533333333333333,0.248571428571429,0.0333333333333333,0.15,0.0013986013986014,-0.344312359089977,0.202494569611252,-0.102894923001578,0.470056022408964,0.470056022408964,0.217554695307118,0.191973299958281,0.191973299958281,-0.26344555401623,-0.482064397500993,-0.150921917588584,0.0751648714408032,0.0322033898305085,0.0567316917173009,0,0.0322033898305085,0,-0.05,-0.05,-0.1,0,-0.0285695666340827,-0.1,-0.0333333333333333,0,-0.0821804404586219,-0.0733333333333333,-0.398195514466701
