"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","NFB","IKK","AKT","SHH","TWIST1","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.438498952426499,-0.459610977258036,-0.424446142093201,-0.378991596638655,-0.314285714285714,-0.438397445345124,-0.346282233581504,-0.28,-0.389064112011791,-0.336521739130435,-0.100476967398654,-0.108190817545656,-0.0933521078682369,-0.0666666666666667,-0.0714285714285714,-0.0788359788359788,-0.182543721909313,-0.394023976023976,-0.138556067588326,-0.10952380952381,-0.0666666666666667,-0.234377982276755,-0.245018315018315,-0.212051282051282,-0.17051282051282,-0.225728822882288,0.55255945875618,-0.600949250305135,-0.600949250305135,-0.571153759850055,0.570888002215292,-0.378785403050109,-0.344063180827887,-0.344063180827887,0.652436363695621,0.332099917075425,0.612788145561255,-0.451072799455547,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.385948393711552,0.159543721909313,0.353868422080713
"SUFU",-0.502271424952456,-0.597472960631865,-0.564672960631865,-0.524132420091324,-0.481666666666667,-0.462757891775816,-0.413742879253286,-0.353846153846154,-0.429710681475387,-0.393240093240093,-0.158294392069578,-0.155677199228601,-0.145396825396825,-0.1,-0.12,-0.134285714285714,-0.370041760012577,-0.347035771246298,-0.324166666666667,-0.290833333333333,-0.0666666666666667,-0.287349293887024,-0.390802578609283,-0.361718913270637,-0.323787878787879,-0.298437589097337,0.502373737373737,-0.56216177625473,-0.56216177625473,-0.523386578393412,0.470386243586422,-0.435784882917641,-0.410256427633088,-0.410256427633088,0.524794637314557,0.372335495793825,0.573851125838378,-0.345797890745898,-0.406671769358337,-0.325694797962393,-0.379059829059829,-0.302638863446704,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435816205670715,0.0333333333333333,0.253333333333333,-0.15,-0.35552647116678,0.349419191919192,0.421845238095238
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.353846153846154,-0.323333333333333,-0.1,-0.3,-0.2,-0.105128205128205,-0.12,-0.1,0,-0.0333333333333333,-0.0666666666666667,-0.290833333333333,-0.240740740740741,-0.333333333333333,-0.3,0,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.345781637717122,-0.303846153846154,-0.303846153846154,0.397006472491909,0.298373983739837,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.29965367965368,0.253333333333333,0.302857142857143
"Ecadherin",-0.415684560540176,-0.399588875230996,-0.371412079650886,-0.340068796068796,-0.307636363636364,-0.392697512791502,-0.354818556295198,-0.281818181818182,-0.363613847452857,-0.328877005347594,-0.128313143439194,-0.115224765768376,-0.105372549019608,-0.0333333333333333,-0.0666666666666667,-0.0906666666666667,-0.345433307731695,-0.434348119156338,-0.297916666666667,-0.266666666666667,0,-0.374473035790442,-0.402970808021074,-0.375629984051037,-0.342296650717703,-0.295296650119841,0.302392642185704,-0.385798343420251,-0.385798343420251,-0.489119541986572,0.619897573752412,-0.418422221883309,-0.397732566710895,-0.397732566710895,0.603960285998734,0.3563817302702,0.395016731016731,-0.411274945309014,-0.376974119485559,-0.394984926476622,-0.353897196408636,-0.376086303197523,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427802067000778,0,0.233333333333333,-0.266666666666667,-0.356867424089447,0.324798387096774,0.356079887545405
"cateninmemb",-0.415684560540176,-0.399588875230996,-0.371412079650886,-0.340068796068796,-0.307636363636364,-0.392697512791502,-0.354818556295198,-0.281818181818182,-0.363613847452857,-0.328877005347594,-0.128313143439194,-0.115224765768376,-0.105372549019608,-0.0333333333333333,-0.0666666666666667,-0.0906666666666667,-0.345433307731695,-0.434348119156338,-0.297916666666667,-0.266666666666667,0,-0.374473035790442,-0.402970808021074,-0.375629984051037,-0.342296650717703,-0.295296650119841,0.302392642185704,-0.385798343420251,-0.385798343420251,-0.489119541986572,0.523988743944688,-0.418422221883309,-0.397732566710895,-0.397732566710895,0.605034161133272,0.3563817302702,0.395016731016731,-0.411274945309014,-0.376974119485559,-0.394984926476622,-0.353897196408636,-0.376086303197523,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427802067000778,0,0.233333333333333,-0.266666666666667,-0.356867424089447,0.324798387096774,0.356079887545405
"GSK3",-0.243930198106571,-0.272704554173362,-0.256481149918043,-0.237208422645316,-0.197402597402597,-0.211782268795742,-0.147865304094812,-0.113333333333333,-0.189027777777778,-0.157777777777778,-0.0867443028312594,-0.0846663944769574,-0.0745575297802233,-0.058974358974359,-0.0565353345841151,-0.0623045653533458,-0.145283568788146,-0.275985279297862,-0.11974025974026,-0.10974025974026,-0.0666666666666667,-0.194252544131061,-0.255735574229692,-0.238935574229692,-0.220094994519547,-0.169166171878436,0.351758008615943,-0.381026025865535,-0.381026025865535,-0.408838670580158,0.413564264325,-0.214182311023838,-0.195197763562469,-0.195197763562469,0.4844263128766,0.0169871425444181,0.385827292360736,-0.376252331283856,-0.345854166561427,-0.362788190553139,-0.326047403276403,-0.345817387633431,-0.32630519251148,-0.306842105263158,-0.306842105263158,-0.286842105263158,-0.286842105263158,-0.383599171501985,0.0333333333333333,0.0954545454545455,-0.25,-0.0246255881162744,0.130432083639631,0.174922683210929
"RKIP",-0.300676007196206,-0.325339805825243,-0.27,-0.22,-0.2,-0.231427425821973,-0.226779307467668,-0.17,-0.187241379310345,-0.17,-0.159581881533101,-0.156847597369083,-0.153754813863928,-0.1,-0.125,-0.151315789473684,-0.208590163934426,-0.379560308972074,-0.14,-0.1,-0.1,-0.258543536260005,-0.212565656565657,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.334539969834087,-0.3753562963647,-0.3753562963647,-0.62525763561446,0.475516292072583,-0.108492822966507,-0.0628787878787879,-0.0628787878787879,0.544894010951033,0.187087703298374,0.383525541125541,-0.378232535065169,-0.32,-0.351754385964912,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0262362637362637,0.184,0.22908072319837
"miR200",-0.117015373037611,-0.143389083744097,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.105819418676562,-0.101528626630201,-0.0142857142857143,-0.0806493506493507,-0.0442857142857143,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,0,0,-0.0037037037037037,-0.0691822601357549,-0.227890011223345,-0.0458333333333333,-0.0325,0,-0.113281131623112,-0.129777072722719,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,-0.369994317685112,-0.369994317685112,-0.314833511931918,0.406960753020097,-0.282943606101501,-0.263751686909582,-0.263751686909582,0.440164152495495,0.223244188256811,0.3030886479837,-0.33657945779818,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.316161318514984,0.0572257383966245,0.0816828810377197
"KLF4",-0.387347324006218,-0.371412079650886,-0.340068796068796,-0.307636363636364,-0.263636363636364,-0.363613847452857,-0.332851343180444,-0.2,-0.328877005347594,-0.281818181818182,-0.111306340718105,-0.105372549019608,-0.0906666666666667,0,-0.0333333333333333,-0.0666666666666667,-0.324798387096774,-0.409395738203957,-0.266666666666667,-0.233333333333333,0,-0.354196538094589,-0.375629984051037,-0.342296650717703,-0.305454545454545,-0.28138936535163,0.265618448637317,-0.352303197789183,-0.352303197789183,-0.464634693501723,0.592542735042735,-0.397732566710895,-0.372920536635707,-0.372920536635707,0.672793373147922,0.340358338457334,0.360540540540541,-0.394984926476622,-0.353897196408636,-0.376086303197523,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0,0.2,-0.233333333333333,-0.344799274539044,0.297916666666667,0.325811688311688
"ZEB2",-0.238695681648702,-0.226543901893446,-0.219097093382808,-0.207532467532468,-0.194805194805195,-0.164832567256063,-0.164017873362357,-0.158333333333333,-0.156295981890209,-0.153070175438596,-0.146407624633431,-0.138931883986848,-0.137102615694165,-0.134285714285714,-0.134285714285714,-0.134285714285714,-0.132280646183085,-0.127492632670229,-0.122857142857143,-0.114285714285714,-0.114285714285714,-0.112321756908,-0.101328289197142,-0.0964102564102564,-0.0897435897435897,-0.0689194139194139,-0.0523565158559132,-0.051165188414975,-0.051165188414975,-0.0500526944936086,-0.0415318495285875,-0.0225312190531854,-0.0162405466019924,-0.0162405466019924,0.00649043430293886,0.0122479159529519,0.0144794183560471,0.0429011670307781,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113326155128093,0.127735191637631,0.178648971394453
