"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","cfos","SNAI1","MEK","HEY1","ERK","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","Csn","cateninmemb","FUS","TWIST1","Jagged","NOTCH","NOTCHic","Csl","Ecadherin","KLF4","SOSGRB2","ZEB2","ZEB1","GSK3","SNAI2","miR200","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","TrCP","SUFU","Frizzled","CD44","cMet","SRC","DSH","Patched","STAT","LIV1","AXIN2","Destcompl","RKIP"
"TrCP",-0.416279579911867,-0.434462813410388,-0.397278697886922,-0.349705882352941,-0.284705882352941,-0.27,-0.314444444444444,-0.329832317073171,-0.411154970760234,-0.0928632322494215,-0.360277777777778,-0.100598766676748,-0.0875218435998252,-0.163386200223486,-0.104761904761905,-0.138095238095238,-0.16515406162465,-0.122510822510823,-0.0761904761904762,0.493572544294194,-0.0939393939393939,-0.363806184012066,-0.213858344400177,-0.220868693350445,-0.188021978021978,-0.145714285714286,0.56614314656456,0.543308591992803,-0.184548784548785,-0.587322182053732,-0.587322182053732,0.343883517104891,-0.591875263473624,0.599456666140877,-0.388645066187439,-0.350824553366926,-0.350824553366926,-0.350824553366926,-0.332428581031122,-0.387414075546992,-0.298635477582846,-0.363105775151735,0.0333333333333333,0.0666666666666667,-0.257894736842105,-0.334005246051206,-0.300202429149798,-0.257894736842105,-0.2,0.141913807585449,-0.2,-0.1,-0.366307387744427,-0.316342334064154,0.337543133195307
"SUFU",-0.49353337588152,-0.585993247616706,-0.555091960063058,-0.516363636363636,-0.476363636363636,-0.353846153846154,-0.391346153846154,-0.406479785626836,-0.456123125940199,-0.156829443457827,-0.425492495309569,-0.153922206370105,-0.144352828379674,-0.360171692584512,-0.23452380952381,-0.266523809523809,-0.290467471495641,-0.318095238095238,-0.192857142857143,0.446135748687826,-0.286666666666667,-0.333708011781782,-0.270016295760977,-0.378279692236473,-0.351241065627031,-0.315438596491228,0.516159328126564,0.501266507585594,-0.28609022556391,-0.558599779960094,-0.558599779960094,0.365402551951697,-0.506891846163137,0.570654624234391,-0.422808721252459,-0.398830035639671,-0.398830035639671,-0.398830035639671,-0.381500701262272,-0.317789516175328,-0.354544179523142,-0.298840860918605,0.15,0.253333333333333,-0.321935483870968,-0.276866338625611,-0.249994091929576,-0.218125960061444,-0.28,0.341499493414387,-0.176190476190476,-0.133333333333333,-0.413135705673544,-0.33169550494328,0.416909490900893
"Patched",-0.386842105263158,-0.476363636363636,-0.44,-0.4,-0.3,-0.1,-0.2,-0.321264367816092,-0.353846153846154,-0.105128205128205,-0.3,-0.12,-0.1,-0.286666666666667,-0.1,-0.15,-0.192857142857143,-0.333333333333333,0,0.334653916211293,-0.3,-0.231318681318681,-0.191794871794872,-0.273333333333333,-0.233333333333333,-0.2,0.390659340659341,0.355555555555556,-0.25,-0.433333333333333,-0.433333333333333,0.296666666666667,-0.404416804864566,0.440476190476191,-0.34,-0.3,-0.3,-0.3,-0.28,-0.249994091929576,-0.233333333333333,-0.218125960061444,0,0.2,-0.2,-0.176190476190476,-0.133333333333333,-0.1,-0.2,0.253333333333333,-0.1,-0.1,-0.306666666666667,-0.283163340724316,0.302857142857143
"Ecadherin",-0.416921273131265,-0.399214650310599,-0.372312980551787,-0.340969696969697,-0.307636363636364,-0.281818181818182,-0.328877005347594,-0.356099920176551,-0.394603748349101,-0.128084864208038,-0.364959479574398,-0.115086781064673,-0.105159420289855,-0.342066893949424,-0.302857142857143,-0.33989417989418,-0.367525758841548,-0.297916666666667,-0.26,0.608337032896352,-0.266666666666667,-0.433163467903036,-0.368561633827652,-0.400882428138354,-0.374928229665072,-0.342296650717703,0.596018701286373,0.30464135021097,-0.294722698684963,-0.388007786846796,-0.388007786846796,0.360557219630383,-0.483487991117882,0.397277365813951,-0.416979127613688,-0.397558837758616,-0.397558837758616,-0.397558837758616,-0.368940209042937,-0.401266357828216,-0.347232023989556,-0.385921352678885,0.2,0.233333333333333,-0.322907699665232,-0.367972634730167,-0.346544063301596,-0.322907699665232,-0.296078431372549,0.323191391941392,-0.296078431372549,-0.266666666666667,-0.421172143858709,-0.347508645695864,0.357952066642995
"cateninmemb",-0.416921273131265,-0.399214650310599,-0.372312980551787,-0.340969696969697,-0.307636363636364,-0.281818181818182,-0.328877005347594,-0.356099920176551,-0.394603748349101,-0.128084864208038,-0.364959479574398,-0.115086781064673,-0.105159420289855,-0.342066893949424,-0.302857142857143,-0.33989417989418,-0.367525758841548,-0.297916666666667,-0.26,0.512567384884714,-0.266666666666667,-0.433163467903036,-0.368561633827652,-0.400882428138354,-0.374928229665072,-0.342296650717703,0.59748788102035,0.30464135021097,-0.294722698684963,-0.388007786846796,-0.388007786846796,0.360557219630383,-0.483487991117882,0.397277365813951,-0.416979127613688,-0.397558837758616,-0.397558837758616,-0.397558837758616,-0.368940209042937,-0.401266357828216,-0.347232023989556,-0.385921352678885,0.2,0.233333333333333,-0.322907699665232,-0.367972634730167,-0.346544063301596,-0.322907699665232,-0.296078431372549,0.323191391941392,-0.296078431372549,-0.266666666666667,-0.421172143858709,-0.347508645695864,0.357952066642995
"GSK3",-0.236703828486381,-0.263963748746357,-0.24684663162924,-0.227799012581621,-0.190842490842491,-0.116666666666667,-0.155442176870748,-0.142365665034294,-0.201989764180799,-0.0847613044942651,-0.179409119019509,-0.0822735770475004,-0.0735992726285151,-0.136425582468805,-0.153333333333333,-0.166913580246914,-0.181336657169991,-0.110344827586207,-0.133333333333333,0.429284519975248,-0.1,-0.259392370529249,-0.182957302483079,-0.242250418531386,-0.22578700389724,-0.207676767676768,0.415345957173724,0.349129608561496,-0.156538959294801,-0.376319156959019,-0.376319156959019,0.0132910677276875,-0.409100332175926,0.381651221252004,-0.203555075241202,-0.184525701039414,-0.184525701039414,-0.184525701039414,-0.353276997488075,-0.383254542864587,-0.33528289719309,-0.369795423367731,0.0866666666666667,0.09,-0.315610766045549,-0.353222706344056,-0.335610766045549,-0.315610766045549,-0.28952380952381,0.121909453436547,-0.28952380952381,-0.242857142857143,-0.385485380116959,-0.00113152641387255,0.170106255539578
"miR200",-0.121665842339054,-0.149629404196127,-0.128610295915872,-0.102748226950355,-0.0708333333333333,-0.0142857142857143,-0.0442857142857143,-0.106340612157272,-0.109388251651025,-0.0134180790960452,-0.0823809523809524,-0.0167387848486693,-0.00989839396919043,-0.0711177041349455,-0.0357894736842105,-0.0570015948963317,-0.0746486537198612,-0.0467857142857143,-0.02,0.44074115485757,-0.0325,-0.236570807260462,-0.117228608845133,-0.134954393482001,-0.114708994708995,-0.0887830687830688,0.478008217137136,0.349245664053219,-0.117214076246334,-0.37187450039968,-0.37187450039968,0.235282882901931,-0.332973077871594,0.304691823482694,-0.298869628024558,-0.277179487179487,-0.277179487179487,-0.277179487179487,-0.324012288315274,-0.356127656962045,-0.305024946543122,-0.343021732365995,0,0.02,-0.280434782608696,-0.327404016748279,-0.30792349726776,-0.283333333333333,-0.25,0.058474025974026,-0.25,-0.2,-0.362455799011402,-0.328542356398144,0.0842444019118739
"RKIP",-0.287986425339367,-0.310558871405317,-0.262105263157895,-0.22,-0.2,-0.17,-0.17,-0.211462934383481,-0.225019157088123,-0.159581881533101,-0.187241379310345,-0.156725110893631,-0.153754813863928,-0.199820089955022,-0.0857142857142857,-0.110714285714286,-0.152649769585253,-0.14,-0.1,0.484302704463995,-0.1,-0.362037899968935,-0.247268907563025,-0.200047281323877,-0.151111111111111,-0.111111111111111,0.558628054619175,0.332663797226208,-0.055831608005521,-0.370163797226208,-0.370163797226208,0.151898178626289,-0.617980415606875,0.379067679490321,-0.0826923076923077,-0.0403846153846154,-0.0403846153846154,-0.0403846153846154,-0.319251336898396,-0.380277342076408,-0.264705882352941,-0.353797591297591,0.1,0.1,-0.2,-0.317045454545455,-0.2625,-0.2,-0.1,0.179130434782609,-0.1,0,-0.333333333333333,-0.00928555330178048,0.221377912867275
"KLF4",-0.389351179673321,-0.372312980551787,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.2,-0.281818181818182,-0.335454758886228,-0.364959479574398,-0.111306340718105,-0.328877005347594,-0.105159420289855,-0.0906666666666667,-0.323191391941392,-0.26,-0.302857142857143,-0.33989417989418,-0.266666666666667,-0.2,0.582127646614763,-0.233333333333333,-0.409038954284359,-0.349422877846791,-0.374928229665072,-0.342296650717703,-0.305454545454545,0.665075959817315,0.266666666666667,-0.28138936535163,-0.354514963880289,-0.354514963880289,0.345260415977415,-0.459860915766668,0.362568172568173,-0.397558837758616,-0.374539969834087,-0.374539969834087,-0.374539969834087,-0.347232023989556,-0.385921352678885,-0.322907699665232,-0.367972634730167,0.1,0.2,-0.296078431372549,-0.346544063301596,-0.322907699665232,-0.296078431372549,-0.266666666666667,0.297916666666667,-0.266666666666667,-0.233333333333333,-0.39786059701775,-0.337116488833119,0.328674500103071
"ZEB2",-0.219275198112069,-0.203597174992282,-0.19917239623122,-0.191596638655462,-0.185714285714286,-0.158333333333333,-0.147222222222222,-0.146106493126441,-0.145270322605631,-0.14453316953317,-0.141959064327485,-0.1360757913389,-0.135756302521008,-0.11993381871678,-0.117777777777778,-0.115452196382429,-0.115452196382429,-0.113574660633484,-0.111111111111111,-0.10898734834905,-0.107692307692308,-0.101509416398138,-0.0936743374641919,-0.0797593582887701,-0.0779411764705882,-0.075,-0.0586218721611042,-0.0584329004329004,-0.0493976791849132,-0.0407544316071001,-0.0407544316071001,-0.0212366783622453,-0.00426476273553765,0.00493610981942185,0.0209082202541725,0.0238932948810382,0.0238932948810382,0.0238932948810382,0.0935590180963315,0.0956887652206707,0.0968557213930348,0.0984599449514704,0.1,0.1,0.101333333333333,0.102273504273504,0.105606837606838,0.110222222222222,0.113333333333333,0.117470764529588,0.122222222222222,0.133333333333333,0.143687855070479,0.163672072994603,0.164909090909091
