"","FOXC2","SNAI1","EGR1","MEK","ERK","cfos","HEY1","TWIST1","SHH","SMAD","ILK","AKT","NFB","Csn","IKK","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","TGF","TGFR","RAF","PI3K","DELTA","CDC42","PAK1","Ecadherin","miR200","GSK3","SOSGRB2","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.412764957959635,-0.308695948422845,-0.24,-0.366226479980349,-0.324893146647015,-0.279130434782609,-0.0499529646941235,-0.376960191981931,-0.143034021732946,-0.0474500768049155,-0.0429339477726575,-0.146101364522417,-0.0833333333333333,-0.0583333333333333,-0.120175438596491,-0.109984639016897,-0.206345006816633,-0.080952380952381,-0.218461538461538,-0.187692307692308,-0.146153846153846,0.530117616445485,-0.563772453485102,0.562536307007185,-0.573415673606809,-0.573415673606809,-0.348710466694685,-0.0538994435330019,-0.0489814107461166,-0.317346830331048,-0.317346830331048,-0.317346830331048,-0.038375350140056,-0.0285714285714286,0.637213770398302,0.586117003331097,0.329275974025974,-0.0686331133113311,-0.444768455037489,-0.395721960728379,-0.422975351589213,-0.364990253411306,-0.396679055292917,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.431601140130743,0.0333333333333333,0.0476190476190476,-0.2,-0.383927141505215,0.126034021732946,0.314400571803887
"SUFU",-0.490530166221578,-0.39298927219671,-0.323076923076923,-0.415119431803218,-0.386608793505345,-0.362470862470862,-0.114337522090272,-0.340842500017345,-0.336208903708904,-0.102216971816912,-0.0978289810547875,-0.271270152666126,-0.220857142857143,-0.192857142857143,-0.24778021978022,-0.299166666666667,-0.267358585645224,-0.265833333333333,-0.375656565656566,-0.347878787878788,-0.313787878787879,0.49259704634447,-0.521351809854455,0.467855902900959,-0.548433756848656,-0.548433756848656,-0.422414787163761,-0.298402497297751,-0.292682576193215,-0.398364154252369,-0.398364154252369,-0.398364154252369,-0.283108108108108,-0.275,0.518145406652578,0.560869732818519,0.376758767414636,-0.152042694147957,-0.344375436880965,-0.406940869952022,-0.325193851203216,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352193363928839,0.320378787878788,0.402684386469364
"Patched",-0.39,-0.312365591397849,-0.1,-0.323076923076923,-0.3,-0.2,-0.0743589743589744,-0.240740740740741,-0.265833333333333,-0.0866666666666667,-0.0666666666666667,-0.192857142857143,-0.1,0,-0.15,-0.333333333333333,-0.188783068783069,-0.3,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,-0.416613026819923,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.335096153846154,-0.275,-0.266666666666667,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.266666666666667,-0.166666666666667,0.397006472491909,0.440476190476191,0.305128205128205,-0.15,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"Ecadherin",-0.409348322914566,-0.340902295637678,-0.263636363636364,-0.354507598728339,-0.330586030100888,-0.304812834224599,-0.0687859475699981,-0.43200927447329,-0.311178139022945,-0.0423975857107766,-0.0377971014492754,-0.346339586339586,-0.293333333333333,-0.26,-0.322962962962963,-0.275,-0.356036383722015,-0.25,-0.391837463236487,-0.366930400039461,-0.337033492822967,0.297140178152836,-0.488475108784758,0.618875873449044,-0.376977780386288,-0.376977780386288,-0.410914014509973,-0.0826804355467523,-0.0770746489283075,-0.391640271493213,-0.391640271493213,-0.391640271493213,-0.0697575757575758,-0.0630909090909091,0.600260656991014,0.386729581198855,0.362847512150136,-0.149987210736962,-0.411115304070804,-0.377230529741969,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.295430107526882,0.34358825586755
"cateninmemb",-0.409348322914566,-0.340902295637678,-0.263636363636364,-0.354507598728339,-0.330586030100888,-0.304812834224599,-0.0687859475699981,-0.43200927447329,-0.311178139022945,-0.0423975857107766,-0.0377971014492754,-0.346339586339586,-0.293333333333333,-0.26,-0.322962962962963,-0.275,-0.356036383722015,-0.25,-0.391837463236487,-0.366930400039461,-0.337033492822967,0.297140178152836,-0.488475108784758,0.522966709004478,-0.376977780386288,-0.376977780386288,-0.410914014509973,-0.0826804355467523,-0.0770746489283075,-0.391640271493213,-0.391640271493213,-0.391640271493213,-0.0697575757575758,-0.0630909090909091,0.601331207971422,0.386729581198855,0.362847512150136,-0.149987210736962,-0.411115304070804,-0.377230529741969,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.295430107526882,0.34358825586755
"GSK3",-0.23600486824477,-0.133424334344456,-0.0996078431372549,-0.178502364794934,-0.16145691024948,-0.136644880174292,-0.0574270429924363,-0.272701122348305,-0.121443099590006,-0.0457392467451794,-0.0428906710330355,-0.171534409077513,-0.142916666666667,-0.124166666666667,-0.157859195402299,-0.10123586091328,-0.179653116862656,-0.0915584415584415,-0.243860159448395,-0.227496523084758,-0.210014005602241,0.344844458201275,-0.409100321756575,0.412806560639906,-0.371728906952306,-0.371728906952306,-0.20115879829685,0.0478499372666923,0.0514396808564359,-0.183931907540547,-0.183931907540547,-0.183931907540547,0.0545755693581781,0.0536231884057971,0.480398100419514,0.377375533492359,0.0217849792023094,-0.0612980628749205,-0.376775312698664,-0.347871737241736,-0.364143733751296,-0.328532114600226,-0.347848097063852,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.385438580562481,0.0866666666666667,0.0772727272727273,-0.25,-0.0151903369022711,0.11043831490101,0.161625479783375
"miR200",-0.116581738045153,-0.0997082547082547,-0.0142857142857143,-0.0985528756957328,-0.0761038961038961,-0.0442857142857143,-0.00669491525423729,-0.22778397471649,-0.0644767015226564,-0.00547618387105723,-0.00265486725663717,-0.070883813306852,-0.0357894736842105,-0.02,-0.0557894736842105,-0.0458333333333333,-0.110306561176377,-0.0325,-0.128647129219894,-0.111133004926108,-0.0869950738916256,0.34836093857833,-0.314833511931918,0.406960753020097,-0.369587813620072,-0.369587813620072,-0.281512273659518,-0.0267094347116191,-0.0232210626185958,-0.262809031764256,-0.262809031764256,-0.262809031764256,-0.0183823529411765,-0.0125,0.439926108355498,0.302769938560132,0.226551407215886,-0.0644068343004513,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0546940928270042,0.080955773562146
"RKIP",-0.291408782788093,-0.20734893799106,-0.17,-0.209618488628026,-0.173448275862069,-0.17,-0.135656213704994,-0.369964349376114,-0.189311475409836,-0.128814232514394,-0.127824133504493,-0.144047619047619,-0.0857142857142857,-0.1,-0.110714285714286,-0.14,-0.245866682836123,-0.1,-0.202719502719503,-0.156565656565657,-0.111111111111111,0.332663797226208,-0.624385964912281,0.474936280818634,-0.368663797226208,-0.368663797226208,-0.0837634587634588,0.000231419670672002,0.0123809523809524,-0.0418831168831169,-0.0418831168831169,-0.0418831168831169,0.0266666666666667,0.0333333333333333,0.541440794061046,0.377852175614352,0.164381402679275,0.025968253968254,-0.377496836898203,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0227081076332972,0.168,0.218207282913165
"KLF4",-0.383032533440882,-0.322231409561729,-0.2,-0.330586030100888,-0.304812834224599,-0.263636363636364,-0.060061115355233,-0.407986928104575,-0.295430107526882,-0.0377971014492754,-0.032,-0.322962962962963,-0.26,-0.2,-0.293333333333333,-0.25,-0.338416246422243,-0.233333333333333,-0.366930400039461,-0.337033492822967,-0.305454545454545,0.262962962962963,-0.464333025702278,0.592081001654172,-0.346646026831785,-0.346646026831785,-0.391640271493213,-0.0770746489283075,-0.0697575757575758,-0.368846153846154,-0.368846153846154,-0.368846153846154,-0.0630909090909091,-0.0590909090909091,0.670465136056253,0.355258445258445,0.346953472415037,-0.147355631789594,-0.395148917516182,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.275,0.316996495567924
"ZEB2",-0.230682206682207,-0.151718057479441,-0.133333333333333,-0.132948224219084,-0.128070175438597,-0.128070175438597,-0.126173020527859,-0.122940809454583,-0.117706683560342,-0.116723417427643,-0.116723417427643,-0.113561786085151,-0.111111111111111,-0.111111111111111,-0.108888888888889,-0.108571428571429,-0.102208279254369,-0.1,-0.0920622110130307,-0.0860512820512821,-0.0820512820512821,-0.0589187229002416,-0.0482775174579693,-0.0434781055197873,-0.0432176908071575,-0.0432176908071575,-0.0127605513686884,-0.0120016491445063,-0.0104143475572047,-0.00783549783549783,-0.00783549783549783,-0.00783549783549783,-0.00701298701298701,-0.00519480519480519,0.00229178791952887,0.00648028002709736,0.00951803356103101,0.0275641025641026,0.0443906929081132,0.0461970445456684,0.0482867968042171,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.11336339621102,0.11588850174216,0.166505636070853
